monitor lizard	varan
turn	vende
wrong	fejl
she	hende
cancer	kræft
baggage	bagage
eunuch	gilding
pancake	æbleskive
apple	æble
cause	anledning
Rebekah	Rebekka
dough	dej
winter	vinter
archive	arkiv
inheritance	arv
negative	negativ
do	gøre
arrangement	aftale
Jacob	Jakob
chapter	kapitel
interrupt	afbryde
convey	aflevere
branch	branche
klæde	klæde af
set up	arrangere
embassy	ambassade
street	gade
host	skare
abdication	abdikation
academy	akademi
university	universitet
small	lille
rely	stole på
hvordan	hvordan går det
cheers	skål
tuneful	melodiøs
sudden	pludselig
Hilbert space	Hilbertrum
argument	diskussion
analytic	analytisk
beta particle	betapartikel
motorcycle	motorcykel
world	verden
pointed	spids
philistine	spidsborger
surjective	surjektiv
distributive	distributiv
mobilization	mobilisering
carriage	vogn
coordinate system	koordinatsystem
coordinate	koordinat
hypnotize	hypnotisere
hypnosis	hypnose
short story	novelle
powder	pulver
pure mathematics	ren matematik
stochastic	stokastisk
breeze	brise
Helsinki	Helsingfors
ivory tower	elfenbenstårn
crystallize	krystallisere
crystallize	udkrystallisere
crystallize	kandisere
glue	lime
high jump	højdespring
long jump	længdespring
pole vault	stangspring
triple jump	trespring
gallop	i fuldt firspring
branch	gren
happen	sker
tank up	tanke
rule	regel
our	vores
marble	marmor
pressure	pression
eternal	evig
elementary	elementær
Helena	Lena
Corsica	Korsika
Joakim	Joachim
pear	pære
volcano	vulkan
Vulpes vulpes	ræv
pronoun	pronomen
Plato	Platon
tease	drille
vocation	kald
Chinese	kinesisk
gale	porse
Dorthea	Dorothea
tram	sporvogn
genocide	folkemord
fuse	sikring
total	bestand
prescription	recept
part	afdeling
simplicity	enfold
knight	ridder
punctual	punktlig
office	kontor
transparence	transparens
direktør	-trice
meat	kød
material	materiale
simpleton	tosse
size	størrelse
ox	okse
dogma	dogme
alcohol	alkohol
nothing	ingenting
confess	bekende
drunk	drukken
muesli	mysli
centilitre	centiliter
commerce	handel
burn	brandsår
united	enig
departure	afgang
deviation	afvigelse
die	dø
pronunciation	udtale
Rumænien	Bukarest
yogurt	yoghurt
frieze	frise
battle	kamp
purple	lilla
litter	kuld
antimony	antimon
drug	droge
higher education	amanuensis
accelerator	speeder
Christ	Kristus
manage	klare
load	laste
withered	vissen
poisonous	giftig
organ	orgel
obvious	no shit, Sherlock
soon	snart
antelope	antilope
function	virke
Afrikaans	afrikaans
Mammalia	pattedyr
origin	origo
ecliptic	ekliptika
ectoplasm	ektoplasma
liana	lian
testicle	nosse
apostrophe	apostrof
banana	banan
telephony	telefoni
hummingbird	kolibri
hydrology	hydrologi
python	pyton
clitoris	klitoris
broom	visse
consensus	konsensus
psychiatry	psykiatri
psychology	psykologi
interest	interesse
club	kølle
anatomy	anatomi
position	stilling
nun	nonne
caesium	cæsium
police	politi
breach	breche
chassis	stel
Yugoslavia	Jugoslavien
rise	opgang
acknowledge	erkende
asbestos	asbest
score	snes
cosmology	kosmologi
diploma	diplom
Funen	Fyn
poster	plakat
cool	sval
likely	trolig
effective	effektiv
horoscope	horoskop
account	konto
agronomist	agronom
waulk	valke
congruity	kongruens
orange	appelsin
malic acid	æblesyre
acidity regulator	surhedsregulator
sodium citrate	natriumcitrat
sodium cyclamate	natriumcyklamat
aspartame	aspartam
acesulfame potassium	acesulfam-kalium
stabiliser	stabilisator
guar gum	guargummi
xanthan gum	xanthangummi
preservative	konserveringsmiddel
kaliumsorbat	kalium sorbat
