fish eggs	bulinga
drug	bulung
bred	buluadan
workshop	buluhatan
errand	buluhaton
enclosure	bulukutan
clinic	bululngan
sick person	bululngon
laundry	bulunakan
spindle	bulungan
flood	bulus
holder	bulutangan
school	buluthoan
schoolboy	bumulutho
birth	bun-ag
thread	bunang
genial	bunayag makig-atubang
cordial	bunayag sing kabubut-on
vetiver grass	bungalon
whale	bungansiso
bump	bunggo
party	bunghay
harelip	bungil
deaf	bungul
beard	bungot
angle	bunit
stye	buntug
baptise	bunyag
beard	burangos
polish	burnil
pure	bus-og
bridle	busal
cliff	busay
satiated	busgon
limestone	busilak
aperture	buslot
pregnant	busung
dark brown	butad
boar	butakal
item	butang
calumny	butang-butang
cracked	buti
lie	butig
misleading	butigon
pufferfish	butiti
penis	buto
raise	butwas
escape	buy-an
betray	buyagyag
accompany	buylog
cling	buyot
lump	daay
reach out	dab-ot
kindling	dabadaba
kindle	dabdab
shower	dabudabu
season	dag-on
red	dagaang
hay	dagami
March	dagangbulan
gather fruit	dagas
abundance	dagaya
gentle	daginit
debris	dagotdot
fester	dagsang
sap	dagta
needle	dagum
wear out	dagumak
thunder	daguob
appearance	dagway
shabby	dagway nga makahuhuya
enjoy oneself	dagyang
shoot	dahog
frond	dahon
mantis	dahon-dahon
catch	dakup
very big	daku kaayo
blister	dal-ok
bring	dala
coward	dalag
dame	dalaga
maid	dalagita
big	dalagku
malefactor	dalakpon
dream	dalamgohanon
wayward	dalamhak
path	dalan
swamp	dalanawan
astray	dalang-dalang
assail	dalasaon
visit	dalaw
key lime	dalayap
implicate	daldal
bring	dalhon
gust	dalimuos
slip	dalin-as
strong	dalisay
poisonous	dalitan
caress	dalo
greedy	dalok
deep	dalum
dirty	damak
spider	damang
dream	damgo
vegetable	damot
aid	dampig
pool	danaw
acquire	dangat
span	dangaw
wean	danggot
scurf	dangog
sole	dapa-dapa
flea	dapaw
hawk	dapay
companion	dapig
close	dapit
slip	daplos
cough	daroos
quick	dasig
cram	daskon
date palm	datilis
defeat	daug
accept	dawat
turn	dawdaw
machine	dawdawan
receive	dawhat
stroll	dayan
devotion	debosyon
pants	delargo
defect	depekto
design	dibuho
fireplace	digamohan
dictate	dikta
countless	dimaisip
unlucky	dimalas
inexplicable	dimasaysay
dishonest	dimatarung
bottomless	dimatungkad
sentence	dinalan
disgruntled	dingot
painting	dinuagan
seashells	dioktok
devout	Diosnon
divine	diosnon
straw	dipaha
difference	diperensya
screw	diruskas
jostle	dis-og
discharge	deskarga
speech	diskurso
debate	diskusyon
clitoris	ditil
crane	dogwak
document	dokumento
cork	dool
tick	dotol
color	duag
visit	duaw
addition	dugang
chest	dughan
break	dugmok
bloody	dugoon
best	dugus
crane	dugwak
doubt	duha-duha
hand	dohol
respect	duko
lump	dul-ay
disappear	dula
dig	dulang
mine	dulangan
awl	dulat
meteorite	dulis
pause	dulog
stationary	dulogan
border	dulonan
parking	dulongan
dedication	dulot
dribble	dulud
attraction	dulugokan
grinder	dulukdokan
darkness	dulum
swarm	dulumugan
ear	dulunggan
wire	dulus
old	dumaan
fade	dumaay
flourish	dumagaya
flourish	dumagsa
runaway	dumalagan
emigrant	dumalagsa
engineer	dumalahan
tame	dumar
enter	dumayon
prohibit	dumili
