Irish	Eeerish
torn	ee-rent
easy	eeth
fear	egast
frightened	egasted
faith	faaighe
faggots	fagoghes
fallow	falloo
unprincipled	falsakeen
farthing	fardeen
bundle	fardele
cowboy	farragh
ailing	fartoo
false	faulsa
bar	Fearde
devil	feand
confused	fousthen
birds	fowlès
fits	frampès
peevish	frampled
foreland	furloan
game	gaame
walking	gandelt
wandered	gandet
horse	garraane
cabbage	gaubbach
gloves	gauntletès
dust	gazb
joiner	geinere
merry	ghemboles
skin	gidhaan
staring	glawmzeen
chopping	gnafeen
got	godth
goodness	goounees
good	gooude
gossip	gozp
hedgehog	granogue
grace	greash
fish	greeleen
greasy	greezee
grange	grenge
grieve	grieefeth
grind	grieend
groyne	gring
sorrow	grynedaane
childish	gurlish
good	gudeváre
hail	haail
hatchet	hatcheat
heads	haddokès
half	halleef
horse	hamaron
thing	hardishe
pignuts	harnothes
snipe	harpleat
harm	harrm
spirit	hawlse
heaven	heaaven
heartily	hearthilee
hindmost	hemust
weight	heifteen
sod	henteen
house	heouse
herring	hereen
hand	hoane
Shrove Tuesday	holghe
horned	hoornta
cupboard	hulmogee
hungry	hungherth
eyes	ieen
airy	iree
Joan	Jauaan
rags	jhemes
John	Jockeen
judge	jooudge
cabbage	kaayle
cats	kaudès
hatched	kearnt
skittles	keillès
rolled	keillet
shoe	keowe
kerchief	kerchure
combed	khimed
churning	khuingokee
cruck	khulears
fumbler	kimleare
cold	kimmelt
pit	kishe
hill	knaugh
knoweth	knouth
coffer	koaver
salted	koornt
catch	kotch
angry	kurnee
lace	laace
lane	laane
late	laate
lay	laaye
latchet	lacheate
wanting	lauckeen
plover	laupeen
laugh	leeigh
laughing	leeigheen
idle	leiough
land	lhoan
limbs	lemethès
little	lethel
leaven	leveen
long	lhaung
pull	lhaungher
less	lhose
opening	lhowsaane
open	lhowse
flock	lhuske
light	lhygt
looking	lickeen
liefer	liveer
heriots	lotherwite
churn	lownnick
ears	luggès
beat	luther
make	maake
quick	maarl
maggots	maghogès
Mary	Malcheen
mallet	maleet
awl	managh
manage	manish
Margaret	Margraate
married	marreet
marrow	marrough
Martin	Marteen
malt	mault
maiden	mydhen
Miles	Milchare
dazzled	mistern
middle	mithel
worthless	mizleare
misting	mizleen
mother	moodher
hill	mothee
pining	moulteen
idler	mycheare
naked	naaghen
neat	naate
Nanny	Naneen
foremost	neemest
nigh	neeghe
now	neow
knitting	nitheen
nostrils	nizterels
none	noucht
knuckle	noughel
noggin	nuggeen
night	neeght
one	oananooree
oats	oathès
paid	paait
cake	palske
pap	pappee
parables	parboles
neat	parcheka
parted	parthed
pewter	pedher
piper	peepeare
kine	keeine
latest	lauthest
pillion	pilleen
pity	pitheye
platters	plathearès
kiss	poage
poke	poake
palm	polm
fool	pomeale
porter	porther
potter	potteran
cry	poumgaam
power	poustee
prate	praate
he-goat	puckawne
division	pulmere
thick	pussough
rattle	rapple
rest	rasth
early	raaye
reader	readeare
stroke	rebine
rich	reeche
riches	reeches
stroke	reeshp
row	reoue
returned	returnth
luncheon	risheen
rusheen	risheeneare
stout	robunkshough
shipwreck	zhiprocke
hand	rookeen
rusty	roostha
rouse	rooze
vagrant	ropeare
rotten	rothed
rough	roughel
Robin	Rubbeen
sloven	saalvache
comfortable	saaughe
sirrah	sarree
scald	scaul
scholar	scholleare
rubbing	scuddeen
shade	shaade
sheath	shaadh
bashful	shaamfast
shameless	shaaumeless
shoneen	shaneen
shorn	shaure
thin	sheakeare
gap	sheardhe
pair	sheare
ice	sheck
heron	shederow
shilling	shilleen
tailor's	shipeen
shirt	shoorth
plough	shor
shroud	shrude
shoulder	shuller
shouldering	shullereen
shreds	shraanes
supper	sippeare
scales	skaulès
pigs	skelpearès
slate	skleat
knives	skudhelès
tall	skunnaan
slender	slendeare
greedy	slougherdhès
idle	slouk
sloven	slouveen
small	smaale
smattering	smaddereen
smoking	smockeen
stroke	smolke
snuff	sneesheen
snow	sneow
spade	spaade
sparrows	sparroon
slow	speale
spittle	speate
spur	spourr
twig	spraay
start	starth
stout	steout
urine	sthall
storm	stharm
iron	stheel
staves	stheeves
stairs	sthiers
filly	sthit
stone	sthoan
stand	sthoane
stall	sthole
scattered	sthraught
strand	sthroane
fool	stouck
strayed	straayd
astray	straayeare
astray	straayart
oatmeal	strabut
strait	streigkt
strove	streu
stripper	strippeare
stocking	stuckeen
idle	stuggoone
writing	surchte
tale	taale
tape	taape
taste	taaste
tall	taullee
tip	teap
tale	tellgence
town	teoune
scolding	tharvizeen
thought	thaugkt
Teague	Thieg
blows	thif
thumb	thoome
Thomas	Thommeen
eye	thorelucke
Thursday	Thorsdei
car	thraame
trace	threesh
thrive	threeve
told	tolth
towards	toowards
tower	toweare
slothful	trameal
trenchers	trenshoorès
trespass	treshpass
Tuesday	Tusedei
betwixt	twish
this	t'year
tight	tyght
encourage	tyshe
out	udh
out of	udho
understand	understhoane
vapour	vaaper
bragging	vaapereen
kerchief	valleat
value	vallert
family	vamilee
forgive	vargee
artful	vartful
headland	varreen
forget	varreet
fern	vearne
feeling	veeleen
wiser	veezer
very	veree
vessel	veseal
feathers	vethers
fizzing	vezeeen
where	vidie
villain	villent
flail	vleal
flesh	vleash
fly	vlee
flock	vlock
dear	voorneen
foot	voote
forehead	vorreat
forty	vorty
Friday	Vreedie
frost	vrosth
first	vursth
uneasy	waafur
weight	waaight
attend	waaite
well	waal
with	w'aam
with	w'aare
Walter	Wathere
wet	weate
waistcoat	wauscoat
waste	wauste
wind	weend
windmill	weend-mile
winding	weeneen
winding	weeneen-kaase
weary	weery
webby	wefty
welcome	welkome
Wednesday	Wennesdei
weaver	weveare
sneezing	whateen
turn	whil
sheet	whithel
look	wiethe
blowing	winnooween
prying	wiveare
work	woork
worked	woorkt
unprovided	wooveless
wrist	wrasth
tumble	wullow
bellows	wurgheere
furze	wyddeer
William	Wyllhaume
looks	wytheen
gave	yaate
spewing	yalpeen
art	yarthe
give	yeeit
give	yeeoure
if	yith
yellow	yullou
Sally	Zailee
serve	zarve
Saturday	Zathardei
ship	zhip
Simon	Zimoon
sunset	zin-zetteen
Sunday	Zindei
large	zippeen
sitting	zitheen
sowing	zoween
sweating	zweatheen
carols	carolès
danger	craueet
Ash Wednesday	die oaskean
do	dosth na
elder	ellena ghou
good-for-nothing	gooudee hang
give	gu es
leave	lee it
magpie	maggota-pee
Michaelmas	Michaulmas Die
grief	murreen-leam
harvest	paugh-meale
forks	pickkès
smart	quiel laaune
spring	raugh-moone
scald-crow	scaulte-crouw
glittering	shimmereen
shoemaker	shoone-maakeare
here's	shud with
take heed	taake heed
out	udh o' harr
basket	wefty chems
bowl	cowlee
Mogue	Moake
