copper	ϧⲁⲗⲕⲓⲛ
boat	ϫⲟⲓ
monk	ⲙⲟⲛⲁⲭⲟⲥ
cup	ⲁⲡⲟⲧ
kill	ϩⲱⲧⲃ
find	ϭⲓⲛⲉ
eat	ⲟⲩⲱⲙ
person	ⲣⲱⲙⲉ
human	ϩⲟⲟⲩⲧ
celestial being	ⲁⲅⲅⲉⲗⲟⲥ
baptize	ⲃⲁⲡⲧⲓⲍⲉ
preach	ⲕⲏⲣⲩⲥⲥⲉ
dismiss	ⲕⲱ ⲉⲃⲟⲗ
six	ⲥⲟⲟⲩ
five	ⲧⲓⲟⲩ
four	ϥⲧⲟⲩ
three	ϣⲟⲙⲧ
two	ⲥⲛⲁⲩ
one	ⲟⲩⲁⲓ
nine	ⲯⲓⲧ
ten	ⲙⲏⲧ
female	ⲥⲱⲛⲉ
sibling	ⲥⲟⲛ
vital sign	ⲱⲛϩ
love	ⲙⲉ
love	ⲙⲉⲓⲉ
animal	ⲑⲏⲣⲓⲟⲛ
use	ϩⲱⲃ
money	ⲛⲟⲩⲃ
mouth	ⲗⲁ
king	ⲙⲛⲧⲉⲣⲟ
Ten Commandments	ⲉⲛⲧⲟⲗⲏ
word	ϣⲁϫⲉ
multitude	ⲙⲏⲏϣⲉ
coin	ϩⲁⲧ
male	ⲗⲱⲙⲓ
Greco-Roman	ⲁⲡⲟⲗⲗⲱⲛ
magical power	ⲙⲛⲧⲙⲁⲅⲟⲥ
feat	ⲙⲁⲅⲓⲁ
leader	ϩⲏⲅⲉⲙⲱⲛ
Psalms	ⲯⲁⲗⲙⲟⲥ
Athena	ⲡⲁⲣⲑⲉⲛⲟⲥ
torturer	ⲕⲉⲥⲧⲱⲛⲁⲣⲓⲟⲥ
old man	ϩⲗⲗⲟ
pschent	ϩⲱⲣ
Egypt	ⲥⲏϥⲉ
copper piece	ⲭⲁⲗⲕⲓⲟⲛ
for	ⲛ-
a	ⲟⲩ-
steal	ϫⲓⲟⲩⲉ
steal	ϭⲓⲟⲩⲓ
image	ⲉⲓⲇⲱⲗⲟⲛ
seat	ⲑⲣⲟⲛⲟⲥ
marketplace	ⲁⲅⲟⲣⲁ
quality	ⲁⲣⲉⲧⲏ
biblical	ⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ
goodwill	ⲭⲁⲣⲓⲥⲙⲁ
August	ⲁⲩⲅⲟⲩⲥⲧⲟⲥ
Jesus	ⲙⲁⲑⲏⲧⲏⲥ
torture	ⲃⲁⲥⲁⲛⲓⲍⲉ
set	ⲡⲁⲛϩⲟⲡⲗⲓⲁ
Jordan	ⲓⲟⲣⲇⲁⲛⲏⲥ
live	ⲁⲛⲁⲭⲱⲣⲉⲓ
hand over	ⲡⲁⲣⲁⲇⲓⲇⲟⲩ
believe	ⲡⲓⲥⲧⲉⲩⲉ
hermit	ⲁⲛⲁⲭⲱⲣⲏⲧⲏⲥ
Egypt	ⲥⲏϥⲓ
ϩⲉⲛ-	ϩⲛ-
synagogue	ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ
wear	ⲫⲟⲣⲉⲓ
tree	ϫⲟⲉⲓⲧ
put	ⲕⲱ
we	ⲁⲛⲟⲛ
hello	ⲭⲉⲣⲉ
Zeus	ⲍⲉⲩⲥ
Hermes	ⲉⲣⲙⲏⲥ
baker	ⲁⲙⲣⲉ
upper case	Ϣ
lower case	ϣ
upper case	Ϥ
lower case	ϥ
upper case	Ϧ
lower case	ϧ
upper case	Ϯ
lower case	ϭ
upper case	Ϩ
lower case	ϩ
upper case	Ϫ
lower case	ϫ
upper case	Ϭ
more than	ⲑⲟⲩⲣⲉ-
left hand	ϩⲃⲟⲩⲣ
left hand	ⲕⲃⲓⲣ
ear	ⲙⲁϣⲧⲁ
cure	ⲙⲉⳋⲏⲗ
premature	ⲳⲕⲧⲟⲕ
basilisk	ⲥⲓⲧ
Earth	ⲕⲁϩⲓ
Sun	ⲣⲏ
live	ⲱⲛϧ
testify	ⲙⲉⲧⲙⲉⲑⲣⲉ
clean	ⲧⲟⲩⲃⲟ
master	ⲁⲣⲭⲏⲧⲣⲓⲕⲗⲓⲛⲟⲥ
other side	ⲉⲙⲏⲣ
other side	ϩⲓⲙⲏⲣ
multitude	ⲙⲏϣ
stater	ⲥⲁⲑⲉⲣⲓ
bury	ⲕⲱⲥ
male	ⲃⲱⲕ
byword	ⲡⲁⲣⲟⲓⲙⲓⲁ
compel	ϩⲟϫϩⲉϫ
pleasant smell	ⲥⲑⲟⲓⲛⲟⲩϥⲓ
believe	ⲛⲁϩϯ
write	ⲥϧⲁⲓ
drink	ⲥⲱ
hate	ⲙⲟⲥϯ
take	ϭⲓ
sit	ϩⲉⲙⲥⲓ
look at	ⲛⲁⲩ
hit	ϣⲁⲣⲓ
keep	ⲁⲣⲉϩ
hear	ⲥⲱⲧⲉⲙ
understand	ⲕⲁϯ
sleep	ⲉⲛⲕⲟⲧ
awaken	ⲛⲉϩⲥⲓ
walk	ⲙⲟϣⲓ
die	ⲙⲟⲩ
come out	ⲓ ⲉⲃⲟⲗ
come in	ⲓ ⲉϧⲟⲩⲛ
play	ϫⲉⲣϫⲉⲣ
learn	ϭⲓⲥⲃⲱ
teach	ϯⲥⲃⲱ
ask	ϣⲓⲛⲓ
put	ⲭⲱ
be full	ⲥⲓ
receive	ϣⲱⲡ
open	ⲟⲩⲱⲛ
appear	ⲟⲩⲱⲛϩ
send	ⲟⲩⲱⲣⲡ
know	ⲥⲱⲟⲩⲛ
become ill	ϣⲱⲛⲓ
make	ⲓⲣⲓ
bring	ⲓⲛⲓ
you	ⲛⲑⲟⲕ
you	ⲛⲑⲟ
they	ⲛⲑⲱⲟⲩ
she	ⲛⲑⲟⲥ
he	ⲛⲑⲟϥ
you	ⲛⲑⲱⲧⲉⲛ
lo	ⲉⲓⲥ
lo	ⲓⲥ
fai	ϥⲁⲓ
khai	ϧⲁⲓ
hori	ϩⲟⲣⲓ
janjia	ϫⲁⲛϫⲓⲁ
qima	ϭⲓⲙⲁ
lioness	ⲗⲁⲃⲟⲓ
gerund	ϫⲓⲛ-
like	ϩⲱⲥ
back	ϭⲓⲥⲓ
cook	ⲫⲓⲥⲓ
ϣⲫⲏⲣ ⲙⲙⲟϣⲓ	ϣⲫⲏⲣ ⲙⲙⲟϣⲓ
female dog	ⲟⲩϩⲱⲣⲓ
female dog	ⲟⲩϩⲱⲣⲉ
stable fly	ⲟⲩϩⲟⲣ
harbor	ⲙⲣⲱ
call	ⲙⲟⲩϯ
become	ⲉⲣⲣⲱⲙⲓ
shine	ⲉⲣⲟⲩⲱⲓⲛⲓ
fear	ⲉⲣϩⲟϯ
remember	ⲉⲣⲫⲙⲉⲩⲓ
sin	ⲉⲣⲛⲟⲃⲓ
begin	ⲉⲣϩⲏⲧⲥ
show	ⲧⲁⲙⲟ
honor	ⲧⲁⲓⲟ
heal	ϯⲁⲗϭⲟ
heal	ⲉⲣⲫⲁϧⲣⲓ
deserve	ⲉⲣⲡⲉⲙⲡϣⲁ
increase	ⲉⲣϩⲟⲩⲟ
give grace	ⲉⲣϩⲙⲟⲧ
sing psalm	ⲉⲣⲯⲁⲗⲓⲛ
verb	ϣ-
verb	ϣⲉⲡ-
verb	ϫⲉⲙ-
find strength	ϫⲉⲙϫⲟⲙ
find comfort	ϫⲉⲙⲛⲟⲙϯ
find use	ϫⲉⲙϩⲏⲟⲩ
receive grace	ϣⲉⲡϩⲙⲟⲧ
receive pain	ϣⲉⲡⲙⲕⲁϩ
tolerate	ϣⲉⲡϧⲓⲥⲓ
glorify	ϯⲱⲟⲩ
strengthen	ϯϫⲟⲙ
explain	ϯⲕⲁϯ
take	ϭⲓⲥⲙⲟⲩ
take glorification	ϭⲓⲱⲟⲩ
be strengthened	ϭⲓϫⲟⲙ
kiss	ⲫⲓ
know	ⲉⲙⲓ
away from	ⲉⲃⲟⲗϩⲁ
in front of	ⲟⲩⲃⲉ
honor	ⲉⲣⲧⲓⲙⲁⲛ
scourge	ⲉⲣⲙⲁⲥⲧⲓⲅⲅⲟⲓⲛ
wear	ⲉⲣⲫⲟⲣⲓⲛ
dye	ϭⲏϫⲓ
sleep	ⲛⲕⲟⲧⲕ
pschent	ϩⲱⲗ
make	ⲉⲓⲣⲉ
make	ⲓⲗⲓ
size	ϭⲟⲧ
knife	ϭⲟⲣⲧⲉ
lightning	ⲉⲃⲣⲏϭⲉ
stag	ⲉⲓⲟⲩⲗ
onion	ⲙϫⲱⲗ
dance	ϭⲟⲥϫⲉⲥ
finish	ϫⲱⲕ
scatter	ϫⲱⲣ
lift	ⲱⲗⲓ
give birth	ⲙⲓⲥⲓ
perhaps	ⲁⲣⲏⲩ
sneeze	ⲁⲛⲧⲁϣ
first year	ⲁⲥⲫⲟⲩⲓ
grave	ⲃⲏ
goat	ⲃⲁⲁⲙⲡⲉ
iron	ⲃⲉⲛⲓⲡⲉ
tin	ⲃⲁⲥⲛϭ
tin	ⲑⲣⲁⲛ
saw	ⲃⲁϣⲟⲩⲣ
be hungry	ϩⲕⲟ
lotus	ⲥⲁⲣⲡⲱⲧ
sneeze	ⲁⲛⲑⲁϣ
kill	ϧⲱⲧⲉⲃ
lily	ϣⲱϣⲉⲛ
Monday	ⲡⲓⲥⲛⲁⲩ
dismiss	ⲭⲱ ⲉⲃⲟⲗ
left hand	ϫⲁϭⲏ
bridegroom	ⲡⲁⲧϣⲉⲗⲉⲧ
be	ⲉⲣ
be	ⲉⲣⲙⲉⲑⲣⲉ
receive	ϣⲟⲡϥ
be	ⲉⲣϣⲏⲣⲓ
become flesh	ⲉⲣⲟⲩⲥⲁⲣⲝ
boy	ϣⲏⲣⲓ
be	ⲭⲏ
ⲁⲣⲉⲧⲉⲛⲉⲣ ⲟⲩ	ⲁⲣⲉⲧⲉⲛⲉⲣ ⲟⲩ
ⲁⲕⲉⲣ ⲟⲩ	ⲁⲕⲉⲣ ⲟⲩ
ⲁⲣⲉⲉⲣ ⲟⲩ	ⲁⲣⲉⲉⲣ ⲟⲩ
grumble	ⲕⲗⲉⲙⲗⲉⲙ
kill	ϩⲟⲧⲉⲃ
sleep	ⲉⲛⲕⲁⲧⲕ
help	ⲇⲟⲉⲓⲙ
farm	ϫⲉⲫⲣⲟ
disturb	ϣⲧⲁⲗⲧⲉⲗ
move	ⲕⲓⲙ
rest	ⲙⲟⲩⲛ
rise	ϣⲉⲉⲓ
destroy	ⲧⲁⲕⲁ
worship	ϣⲉⲙϣⲓ
kill	ϩⲱⲧⲉⲃ
Ra	ⲣⲉ
disturb	ϣⲑⲉⲣⲧⲉⲣ
cry	ⲣⲓⲙⲉ
disturb	ϣⲑⲟⲣⲧⲉⲣ
cry	ⲗⲓⲙⲓ
cry	ⲣⲓⲙⲓ
hide	ϩⲱⲡ
carrying	ϥⲁⲓ-
flee	ⲫⲱⲧ
star	ⲥⲟⲩ
be healthy	ⲟⲩϫⲁⲓ
well-being	ⲟⲩϫⲁⲓ ϧⲉⲛ ⲡϭⲟⲓⲥ
Thoth	ⲑⲱⲑ
Thoth	ⲑⲱⲟⲩⲧ
February	ⲡⲁⲱⲡⲓ
Hathor	ϩⲁⲑⲱⲣ
April	ⲭⲟⲓⲁⲕ
June	ⲙⲉⲭⲓⲣ
June	ⲙⲉϣⲓⲣ
February	ⲡⲁⲱⲡⲉ
April	ⲕⲟⲓⲁⲕ
July	ⲫⲁⲙⲉⲛⲱⲑ
July	ⲡⲁⲣⲉⲙϩⲁⲧ
August	ⲡⲁⲣⲙⲟⲩⲑⲓ
September	ⲡⲁϣⲟⲛⲥ
October	ⲡⲁⲱⲛⲓ
November	ⲉⲡⲓⲡ
December	ⲙⲉⲥⲱⲣⲓ
ⲁⲃⲟⲧ	ⲡⲓⲕⲟⲩϫⲓ ⲛⲁⲃⲟⲧ
February	ⲡⲁⲟⲡⲓ
January	ⲓⲁⲛⲟⲩⲁⲣⲓⲟⲥ
February	ⲫⲉⲃⲣⲟⲩⲁⲣⲓⲟⲥ
March	ⲙⲁⲣⲧⲓⲟⲥ
April	ⲁⲡⲣⲓⲗⲓⲟⲥ
May	ⲙⲁⲓⲟⲥ
June	ⲓⲟⲩⲛⲓⲟⲥ
July	ⲓⲟⲩⲗⲓⲟⲥ
September	ⲥⲉⲡⲧⲉⲙⲃⲣⲓⲟⲥ
October	ⲟⲕⲧⲱⲃⲣⲓⲟⲥ
November	ⲛⲟⲉⲙⲃⲣⲓⲟⲥ
December	ⲇⲉⲕⲉⲙⲃⲣⲓⲟⲥ
Osiris	ⲟⲩⲥⲓⲣⲓ
Isis	ⲏⲥⲓ
Sobek	ⲥⲟⲩⲕ
Ptah	ⲡⲑⲁϩ
Amun	ⲁⲙⲟⲩⲛ
Neith	ⲛⲏⲑ
Khonsu	ϣⲟⲛⲥ
Anubis	ⲁⲛⲟⲩⲃ
Set	ⲥⲏⲧ
name	ⲙⲏⲓ
Sobek	ⲥⲟⲩⲕⲏ
Mars	ⲙⲟⲗⲟⲭ
Remphan	ⲣⲏⲫⲁⲛ
Mesopotamia	ⲙⲉⲥⲟⲡⲟⲧⲁⲙⲓⲁ
trouble	ⲑⲗⲩⲯⲓⲥ
ⲕⲟⲩϫⲓ	ⲕⲟⲩϫⲓ ⲛⲁⲗⲟⲩ
fight	ⲙⲗⲁϧ
reconcile	ϩⲱⲧⲡ
ⲓⲛⲓ ⲛ̀ⲟⲩϣⲟⲩϣⲱⲟⲩϣⲓ	ⲓⲛⲓ ⲛⲟⲩϣⲟⲩϣⲱⲟⲩϣⲓ
female	ⲃⲱⲕⲓ
ⲁⲗⲟⲩ	ⲁⲗⲟⲩ ⲙⲃⲱⲕⲓ
gate	ⲡⲩⲗⲱⲛ
swear	ⲱⲣⲕ
persecution	ⲇⲓⲱⲅⲙⲟⲥ
person	ⲣⲉϥⲉⲣϩⲟϯ
preach	ϩⲓⲱⲓϣ
pray	ⲧⲱⲃϩ
think	ⲙⲉⲩⲓ
east	ⲓⲉⲃⲧ
noon	ⲙⲉⲣⲓ
powerful	ⲣⲉⲙⲛϫⲟⲙ
guide	ϭⲓⲙⲱⲓⲧ
threaten	ϫⲱⲛⲧ
breathe	ⲙⲉϩ
persecute	ϭⲟϫⲓ
lead	ⲁⲙⲁϩⲓ
turn	ⲕⲱϯ
tanner	ⲃⲁⲕϣⲁⲣ
Egyptian	ⲣⲉⲙⲛⲭⲏⲙⲓ
Rhoda	ⲣⲱⲇⲏ
Roman name	ⲡⲱⲡⲗⲓⲟⲥ
be able to	ϣϫⲟⲙ
Egyptian	ⲙⲉⲧⲣⲉⲙⲛⲭⲏⲙⲓ
verb	ⲁⲧϣ-
Venus	ⲥⲟⲩⲣⲟⲧ
crocodile	ⲥⲟⲩⲭⲓ
without	ⲁⲧ-
knower	ⲣⲉϥⲉⲙⲓ
commit adultery	ⲉⲣⲛⲱⲓⲕ
always	ⲛⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ
baked	ϫⲱϫ
Sirius	ⲥⲓⲱⲑⲓ
always	ⲛⲛⲁⲩ ⲛⲓⲃⲉⲛ
country dweller	ⲣⲉⲙⲛⲕⲟⲓ
run away	ⲉⲣ ⲉⲃⲟⲗ
good	ⲛⲟϥⲣⲓ
operate	ⲉⲣϩⲱⲃ
once upon a time	ⲓⲥ ⲑⲛⲉⲓ
weasel	ⲕⲗⲏ
cat's ear	ⲙⲁϫⲉ ⲕⲗⲏ
work	ⲙⲕⲁϩ
south	ⲣⲏⲥ
hello	ⲭⲁⲓⲣⲉ
middle	ⲙⲏⲧⲉ
giant	ⲁⲫⲱⲫ
edge	ⲥⲱⲡⲉ
good	ⲛⲟⲩϥⲉ
crown	ⲗⲱⲃϣ
good	ⲛⲟⲩϥⲓ
preparation	ⲥⲟⲃϯ
kamsin	ⲑⲏⲟⲩ
cool	ⲕⲃⲟ
noon	ⲙⲉⲉⲣⲉ
arm	ϭⲃⲟⲓ
heel	ϧⲁ
passing	ⲥⲓⲛⲓ
passing	ⲥⲓⲛⲉ
idol	ⲧⲟⲩⲱⲧ
idol	ⲑⲟⲩⲱⲧ
salutation	ⲟⲩⲱϣⲧ
one thousand	ϣⲟ
chicken	ⲉⲣϫ
chicken	ⲏⲣϫ
crocodile	ⲉⲙⲥⲁϩ
moving	ⲕⲉⲙⲧⲟ
moving	ⲕⲙⲧⲟ
cabbage	ⲕⲣⲁⲙⲃⲏ
cabbage	ⲕⲣⲁⲙⲃⲉ
dawn	ϩⲧⲟⲟⲩⲉ
voice	ϧⲣⲱⲟⲩ
voice	ϩⲣⲟⲟⲩ
back	ϫⲓⲥⲉ
four	ϥⲧⲟⲟⲩ
arm	ϫⲫⲟⲓ
lower case	ⲁ
Babylon	ⲃⲁⲃⲩⲗⲱⲛ
Isis	ⲏⲥⲉ
demon	ⲓϧ
cleansing	ⲣⲱϧⲓ
cleansing	ⲣⲱϩⲉ
dye	ϫⲏϭⲉ
give birth	ⲙⲓⲥⲉ
Indian	ϩⲉⲛⲧⲟⲩ
dawn	ⲧⲟⲟⲩⲓ
scatter	ⲥⲱⲣ
hood	ⲕⲗⲁϥⲧ
cover	ϩⲱⲃⲥ
settlement	ⲕⲉⲣⲕⲏ
government	ⲙⲁⲛⲉⲣϣⲓϣⲓ
present	ⲛⲏⲉⲧϣⲟⲡ
face	ϩⲟ
Osiris	ⲟⲩⲥⲓⲣⲉ
Abrasax	ⲁⲃⲣⲁⲥⲁⲝ
lightning	ⲉⲃⲣⲏϫ
son	ϣⲏⲣⲉ
Nu	ⲛⲟⲩⲛ
well	ϩⲟⲛⲃⲉ
you	ⲑⲏⲛⲟⲩ
slave	ϩⲁⲗ
I	ⲁⲛⲁⲕ
we	ⲁⲛⲁⲛ
you	ⲛⲧⲁⲕ
you	ⲛⲧⲟⲕ
you	ⲛⲧⲟ
you	ⲛⲧⲁ
he	ⲛⲧⲟϥ
he	ⲛⲧⲁϥ
she	ⲛⲧⲟⲥ
she	ⲛⲧⲁⲥ
you	ⲛⲧⲱⲧⲛ
you	ⲛⲧⲱⲧⲛⲉ
you	ⲛⲧⲁⲧⲉⲛ
they	ⲛⲧⲟⲟⲩ
they	ⲛⲧⲁⲩ
royal official	ⲃⲁⲥⲓⲗⲓⲕⲟⲥ
clergy	ⲁⲡⲁ
clergy	ⲁⲙⲁ
rose	ⲟⲩⲣⲧ
old woman	ϩⲗⲗⲱ
road	ϩⲓⲏ
river	ⲉⲓⲉⲣⲟ
settlement	ϭⲉⲣϭⲏ
commoners	ⲗϧⲏ
majesty	ϣⲃⲏ
patricians	ⲡⲏ
ground	ⲓⲧⲉⲛ
humankind	ϩⲁⲙⲉⲩ
Egyptian	ⲡⲉⲧⲉⲫⲣⲏ
Egyptian god	ⲃⲏⲥ
iron	ⲃⲉⲛⲓⲡⲓ
Greater Armenia	ⲁⲛⲁϫⲓⲧ
night	ϭⲱⲣϩ
tavern	ⲡⲁⲛⲧⲟⲭⲓⲟⲛ
memorial	ⲙⲛⲓⲙⲓⲟⲛ
enclosure	ⲉⲣⲃⲓ
Pathros	ⲑⲟⲩⲣⲏⲥ
liver	ⲙⲁⲟⲩⲥⲉ
Upper Egypt	ⲡⲁⲑⲟⲩⲣⲏⲥ
rose	ⲃⲉⲣⲧ
Nile	ϯⲁⲣⲁⲃⲓⲁ
Fustat	ⲗⲓⲟⲩⲓ
Libyan	ⲫⲁⲓⲁⲧ
Mareotis	ⲛⲓⲫⲁⲓⲁⲧ
Senegal	ⲧⲥⲁⲣⲅⲁⲛⲓⲁ
giant	ⲕⲁⲗⲁϣⲓⲣⲉ
Nile	ⲙⲟⲛⲏ
couch	ϣⲁⲓⲣⲓ
planet	ⲫⲱⲥⲧⲏⲣ
bed	ϭⲗⲟϫ
forum	ⲕⲓⲙⲉⲛⲁⲥⲓⲟⲛ
artisan	ⲧⲉⲭⲛⲓⲧⲏⲥ
mullet	ⲫⲟⲣⲓ
Athena	Ⲁⲑⲩⲛⲁ
Eros	ⲇⲓⲟⲛⲩⲥⲟⲥ
Hera	ⲏⲣⲁ
Easter	ⲡⲁⲥⲭⲁ
egg	ⲥⲱⲟⲩϩⲓ
Poseidon	ⲡⲟⲥⲓⲇⲱⲛ
Serapis	ⲥⲉⲣⲁⲡⲓⲥ
Hermes	ϩⲉⲣⲙⲏⲥ ⲡⲧⲣⲓⲥⲙⲉⲅⲓⲥⲑⲟⲥ
touch	ϭⲟϩ
Heracles	ⲏⲣⲁⲕⲗⲁⲥ
Dionysus	ⲃⲁⲕⲭⲟⲥ
torch	ⲫⲁⲛⲟⲥ
Demeter	ⲇⲏⲙⲏⲧⲏⲣ
Ares	ⲁⲣⲏⲥ
roman emperor	ⲓⲟⲩⲗⲓⲁⲛⲟⲥ
Lord	ⲕⲩⲣⲟⲥ
Apis	ϩⲁⲡⲉ
copulate	ⲛⲟⲩϩⲃ
acacia	ϣⲟⲛϯ
Anuket	ⲁⲛⲟⲩⲕⲓ
Hades	ϩⲁⲇⲏⲥ
Hermes	ϩⲉⲣⲙⲏⲥ
emperor	ⲁⲩⲧⲟⲕⲣⲁⲧⲱⲣ
chlamys	ⲭⲓⲧⲱⲛ
Apis	ϩⲁⲡⲓ
Bastet	ⲟⲩⲃⲁⲥⲧⲉ
Shu	ϣⲱⲓ
androgyne	ϩⲟⲩⲧⲥϩⲓⲙⲉ
androgyne	ϩⲟⲩⲧ ⲥϩⲓⲙⲉ
fish	ⲗⲉⲓϥⲓ
tilapia	ⲣⲁⲙⲉ
date palm	ⲃⲉϩⲱⲗ
Cerberus	ⲕⲉⲣⲃⲟⲩ
Egypt	ⲅⲩⲡⲧⲓⲟⲥ
Ptah	ⲡⲧⲁϩ
love	ⲁⲫⲣⲟⲇⲓⲧⲏ
Sun	ϩⲏⲗⲓⲟⲥ
poetry	ⲙⲟⲩⲥⲁ
Harpocrates	ϩⲁⲣⲡⲟⲕⲣⲁⲧⲏⲥ
good	ⲛⲟϥⲣⲉ
Nephthys	ⲛⲉⲃⲑⲱ
Roman	ⲇⲓⲁⲛⲏ
Roman	ⲓⲩⲛⲟ
Baal	ⲃⲁϩⲁⲗ
Romulus	ⲣⲱⲙⲟⲩⲗⲟⲥ
Amun	ⲁⲙⲱⲛ
Duat	ⲧⲏ
Greece	ⲁⲣⲕⲁⲇⲓⲁ
Ionian	ⲉⲫⲉⲥⲟⲥ
sexual love	ⲉⲣⲱⲥ
Iris	ⲓⲣⲓⲥ
Tutu	ⲧⲟⲟⲩⲧⲉ
Zeus	ⲍⲉⲟⲥ
Anhur	ⲁⲛϩⲟⲩⲣⲉ
Anubis	ⲁⲛⲟⲩⲡ
Bastet	ⲟⲩⲃⲁⲥϯ
Poseidon	ⲡⲟⲥⲓⲧⲱⲛ
catamite	ⲙⲁⲗⲁⲕⲟⲥ
Athena	ⲁⲑⲏⲛⲁ
Hathor	ⲁⲑⲱⲣ
epithet	ⲧⲣⲓⲥⲙⲉⲅⲓⲥⲑⲟⲥ
Phoebus	ⲫⲟⲓⲃⲟⲥ
epithet	ⲡⲣⲟⲙⲁⲭⲟⲥ
Maahes	ⲙⲓⲟⲥ
Anuket	ⲁⲛⲟⲩⲕⲉ
Min	ⲙⲓⲛ
Socrates	ⲥⲱⲕⲣⲁⲧⲏⲥ
roman	ⲧⲣⲁⲓⲁⲛⲉ
hermaphroditism	ⲉⲣⲙⲁⲫⲣⲟⲇⲓⲧⲟⲥ
poetry	ⲡⲉⲣⲓⲇⲱⲛ
fear	ⲫⲟⲃⲟⲥ
Hephaestus	ⲏⲫⲁⲓⲥⲧⲟⲥ
Hestia	ⲉⲥⲧⲓⲁ
offering	ⲟⲩⲱⲧⲛ
Sekhmet	ⲥⲁⲭⲙⲓ
Serapis	ⲥⲁⲣⲁⲡⲓⲥ
Asclepius	ⲁⲥⲕⲗⲏⲡⲓⲟⲥ
epithet	ⲡⲁⲗⲗⲁⲥ
roman emperor	ⲁⲛⲧⲓⲛⲟⲟⲥ
Greece	ⲙⲁⲕⲉⲇⲟⲛⲓⲁ
Khnum	ϩⲛⲟⲩⲙ
Geb	ⲅⲉⲃ
epithet	ⲧⲃⲁⲓⲧⲱⲟⲩ
epithet	ⲟⲩⲉⲛⲟϥⲣⲉ
Petbe	ⲡⲉⲧⲃⲉ
Athenian	ⲁⲣⲓⲥⲧⲟⲫⲁⲛⲏⲥ
Nike	ⲛⲓⲕⲏ
Thoth	ⲑⲱⲟⲩⲧ ⲡⲓⲟ ⲡⲓⲟ
cable	ⲗⲉⲃⲁⲛ
horn	ⲧⲁⲡ
Achilles	ⲁⲭⲓⲗⲗⲓⲟⲛ
Athena	ⲉⲑⲁⲛⲓⲟⲛ
Memphis	ⲛⲁⲟⲥ
