perfecting	ܓܡܪܐ
thief	ܓܢܒܐ
strong	ܓܢܒܪܐ
thief	ܓܢܒܬܐ
genus	ܓܢܣܐ
garden	ܓܢܬܐ
cake	ܓܪܝܨܬܐ
backbone	ܓܪܡ ܚܨܐ
bone	ܓܪܡܐ
bridge	ܓܫܪܐ
wolf	ܕܐܒܐ
wolf	ܕܐܒܬܐ
bear	ܕܒܐ
fly	ܕܒܒܐ
bee	ܕܒܘܪܬܐ
sacrifice	ܕܒܚܐ
paternal uncle	ܕܕܐ
paternal aunt	ܕܕܬܐ
millet	ܕܘܚܢܐ
memory	ܕܘܟܪܢܐ
beam	ܢܘܠܐ
tail	ܕܘܢܒܐ
fear	ܕܚܠܬܐ
attendant	ܕܚܫܐ
ink	ܕܝܘܬܐ
male	ܕܟܪܐ
blood	ܕܡܐ
price	ܕܡܝܐ
tear	ܕܡܥܬܐ
drive	ܪܕܦ
think	ܚܫܒ
kill	ܩܛܠ
wash	ܣܚܐ
fly	ܦܪܚ
sit	ܝܬܒ
stand	ܩܘܡ
laugh	ܓܚܟ
die	ܡܝܬ
fight	ܟܬܫ
take	ܐܚܕ
sunrise	ܕܢܚܐ
pole	ܕܦܐ
pestle	ܕܩܘܩܐ
beard	ܕܩܢܐ
grinding	ܕܩܩܐ
give	ܢܬܠ
knock	ܢܩܫ
pray	ܨܠܝ
straighten	ܬܪܨ
float	ܛܦ
fear	ܕܚܠ
return	ܥܛܦ
fast	ܨܡ
repent	ܬܘܐ
dispatch	ܫܠܚ
can	ܫܟܚ
thistle	ܕܪܕܪܐ
arm	ܕܪܥܐ
homestead	ܕܪܬܐ
body part	ܗܕܡܐ
palace	ܗܝܟܠܐ
wax	ܫܥܘܬܐ
green	ܝܘܪܩܐ
black	ܐܘܟܡܐ
red	ܣܘܡܩܐ
Tyrian purple	ܐܪܓܘܢܐ
kermes	ܙܚܘܪܝܬܐ
pale	ܝܪܘܩܐ
Simeon	ܫܡܥܘܢ
John	ܝܘܚܢܢ
Ephraim	ܐܦܪܝܡ
Joseph	ܝܘܣܦ
Miriam	ܡܪܝܡ
Sarah	ܣܪܐ
Matthew	ܡܬܝ
gazelle	ܛܒܝܬܐ
Peter	ܦܛܪܘܣ
and	ܘ-
in	ܒ-
name	ܫܡܐ
appointed	ܘܥܕܐ
rose	ܘܪܕܐ
vein	ܘܪܝܕܐ
dung	ܙܒܠܐ
ringing	ܙܓܓܐ
glass	ܙܓܘܓܝܬܐ
yoke	ܙܘܓܐ
shaking	ܙܘܥܐ
weapon	ܙܝܢܐ
olive	ܙܝܬܐ
singer	ܙܡܪܬܐ
type	ܙܢܐ
sower	ܙܪܘܥܐ
arsenic	ܙܪܢܝܟܐ
arsenic	ܐܪܣܢܝܩܘܢ
help	ܣܝܥܬܐ
span	ܙܪܬܐ
apple	ܚܒܘܫܐ
fellowship	ܚܒܪܘܬܐ
chest	ܚܕܝܐ
circle	ܚܘܓܬܐ
stick	ܚܘܛܪܐ
heat	ܚܘܡܐ
washing	ܚܘܦܐ
thought	ܚܘܫܒܐ
sinner	ܚܛܝܐ
lock	ܨܘܨܝܬܐ
life	ܚܝܐ
wisdom	ܚܟܡܬܐ
sweetness	ܚܠܝܘܬܐ
father-in-law	ܚܡܐ
globule	ܚܡܘܪܬܐ
ferment	ܚܡܝܥܐ
ferment	ܚܡܝܪܐ
banana	ܡܘܙܐ
strangulation	ܚܢܩܐ
yoke	ܢܝܪܐ
axe	ܚܨܝܢܐ
persistence	ܚܨܝܦܘܬܐ
field	ܚܩܠܐ
desolate	ܚܪܒܐ
mustard	ܚܪܕܠܐ
darkness	ܚܫܟܐ
butcher	ܛܒܚܬܐ
cough	ܫܥܘܠܐ
