dark	kara
lizard	iʃələ
beard	gʊrgakta
bone	gɪramna
rib	o꞉tilə
vein	ʊŋɪkta
temples	guliwukə
tail	irgi
spine	darama
skull	dɪlŋi gɪramnan
back	ʃɔgdɔnɔ
forehead	ɔmkɔtɔ
eye	yɛ꞉ʃa
cheek	antʃan
chin	dʒəg
eyelid	yɛ꞉ʃaŋi wun
blink	balɪ-
eyelash	ʃaramʊkta
ear	ʃɛ꞉n
earwax	ʊrʊmŋa
nose	ɔŋɔktɔ
nostril	ɔŋɔktɔŋi dɔ꞉n
snot	ɪlɪkʃa
mouth	amŋa
lip	əmun
tongue	iŋi
tooth	iktə
face	dərə
brain	irgə
jaw	uɲə
gums	buyə
molar tooth	ʃɛ꞉muki
neck	nɪkɪmna
throat	ko꞉məkə
shoulder	mi꞉rə
shoulder blade	ɪʃakɪ
collarbone	tu꞉rə
arm	ŋa꞉la
armpit	ɔ꞉nɪ
elbow	itʃɛn
wrist	bilə꞉n
palm	aŋŋa
finger	uɲaka꞉n
finger	ʃarbakta
thumb	uru꞉n
fingernail	ʊʃɪkta
thigh	bɔ꞉kan
calf	bʊltʃakta
knee	əŋŋən
ankle	ayu꞉kan
heel	ɲiŋtə
footprint	wudʒa꞉
wing	aʃakɪ꞉
feather	ʃuptʃu
nipple	lʊpkʊptɪn
navel	tʃʊŋŋʊrʊ
belly	gudə꞉
heart	mɛɣan
lung	o꞉tə
liver	a꞉kin
kidney	bɔʃɔktɔ
stomach	gʊdɪ
intestines	ʃɪlʊkta
hip	du꞉ki
buttocks	bukʃu
sinew	munŋi
womb	uyuk
testicles	tʃəŋgə
penis	tʃikəltə
breathe	əri꞉-
yawn	dʒɔni-
hiccough	ikəgdə-
cough	ʃimki-
sneeze	ikʃini-
perspire	ɲɛ꞉ʃin-
spit	tʊmʊn-
vomit	iʃə-
bite	kɪk-
lick	ilədə꞉-
dribble	tʃʊrgɪ-
sleep	a꞉ʃɪn-
snore	lʊkɪ-
dream	tʊlgɪt-
wake up	ʃərə-
fart	mukəli-
urinate	tʃikən-
defecate	amʊn-
shiver	ʃilgin-
bathe	olbot-
bathe	ulbuʃt-
be born	baka-
pregnant	dʒʊptɪ ɔ꞉tʃa
life	bardilga
dead	buptɪlə꞉
drown	əyə-
kill	wa꞉-
bury	bʊla-
grave	bakʃa
weak	əbərə
sick	ənuku
fever	ɲiwurə
disease	ənuk
wound	uyə
bruise	kukurə
swelling	awul
itch	ʊtʊn
scratch	ʊkɪ꞉-
blister	tʃənburdə
boil	ukʃin
pus	ɲakʃa
cure	ʊra-
medicine	ɔgtɔ
poison	guntʃulu
rest	dərəmki-
lazy	ənəlgə
lazy	dʒʊtana
lame	dɔkɔlɔn
deaf	kɔŋgɔ
mute	kəlgə
blind	balɪ
naked	dʒulakɪn
eat	dʒəb-
suck	lʊpkʊ-
bunch	loŋbu꞉li
coat	gulami
bracelet	gilə꞉ptun
earring	garga
kitchen	o꞉loŋki
latch	gʊldʒiŋki
bed	ɔrɔ
table	ɔʃtɔl
lock	yɔʃku
yard	turgidɛ
tent	maykan
ladder	tuktiwun
chair	tə꞉ŋki
trough	mɔŋgɔrɔ
kick	pəykələ꞉-
open	laŋɪ-
rough	lə꞉rin
wet	wʊlapkʊn
horn	wulə꞉wun
fight	wa꞉ldɪ-
war	wa꞉ldɪn
weapon	wukə
sword	ʃələmi
round	boŋbəlin
smooth	burtʃurin
dry	ɔlgɔkin
dry	iləŋ
correct	tədʒə꞉
dirty	bʊdʒar
straight	tʃitʃur
rotten	nukuntʃa
right	a꞉n
salt	dɔ꞉sun
float	kəpə꞉n-
throw	garʊnda꞉-
split	i꞉wə꞉-
fruit	tubiɣə
window	tʃoŋko
chin	dʒo꞉g
round	toŋgori
log	gɔlɔ꞉
hoof	ʊrʊ꞉n
weave	nəkə-
rain heavily	oŋko꞉-
moan	mo꞉ro-
mince	do꞉-
wild deer	tɔrɔki
language	ulgulu
Venus	tʃolpon
knife	bo꞉do
oak	tɪbgʊra
birch	tʃa꞉lban
pine	dʒagda
bamboo	ʃuʃə
gold	dʒɔ꞉lɔtʊ
silver	moŋwon
copper	gɛ꞉yin
iron	ʃələ
lead	tʊdʒa
tin	tatʃɪ
hazel	olkok
deep	ʃʊŋta
lean	yoldo
low	nəktə
small	nitʃukun
tilted	ʊgtʃika
sour	dʒuyɛligdi
light	tubdu
far	gɔrɔ
near	da꞉
long	ŋunum
high	gʊgda
cool	gɪlɪ꞉
grey	ɔlan
sky blue	gɪlabarin
big	əgdəŋə
heavy	urgə
wide	ərpə
hot	əku
soft	ʊyan
soft	dəpərin
young	itʃuk
white	yalbarin
fat	bulgu
wet	buligdi
hunt	bəyu-
flow	əyə꞉n-
knife	kɔtɔ
tree stump	mudun
step-mother	ɛɲira
ice	dʒukə
hand towel	oŋko
strainer	dʒɔ꞉ri
comb	ʃuŋku
boat	dʒawɪ
dog	ŋinaɣɪn
leg	algan
axe	ʃukə
cloth	bə꞉ʃu
bowl	tʃaŋkʊ
dry	ɔlgɔ꞉-
prick	ɔrki-
weasel	solgɛ꞉
peach	tɔsa
corner	nɔŋ
ride	ʊg-
pheasant	kɔrgɔl
owl	ɔ꞉ŋmakta
bear	ɲoɲoɣo
wild duck	bolboɣi
butterfly	bolbokon
birch bark boat	talu mɔrgɔ
birch bark picture	talu꞉
road	ɔktɔ
old man	ʊta꞉tʃi
mitten	kəptʃəkɛ
mitten	kɔɣɔlɔ
stream	biraka꞉
goose	ŋɔɲaki꞉
river bank	kətʃin
elm	kayila꞉kun
whirlpool	ʊlgɛr
cousin	tuwən
maternal uncle	na꞉tʃʊ
paternal uncle	ama꞉ka
cousin	ta꞉ra
grandchild	ɔmɔlɛ
aunt	əɲəkə
you	ʃi꞉
I	bi꞉
flesh	ulə
blood	ʃə꞉kʃə
pubic hair	ʃəwurə
dandruff	alʊkta
body hair	iŋakta
head	dɪl
awl	ʃɪlgʊn
shoe	ʃawɪ
button	tʊptʃɪ
all	banbʊr
door	urkə
root	təkən
flower	ɲandʒa
name	gərbi
small	ʃiləmkun
wide	əŋŋəl
short	wurumkun
root	taɣatʃan
narrow	daptʃi
narrow	ʃɪlɪmkʊm
bag	ərgidə
bird	tʃipkan
