statement	word
crops	wæstm
punishment	wite
jump	springen
steal	robben
knotted	knotty
had	chad
gril	grille
castle	castell
law	lawfully
hoard	hord
staff	potent
raggy	ragged
elephant	olifant
like	liken
mad	madden
rest	reste
mat	matte
stone	stony
hook	crochet
place	sted
narrative	historie
calendar	kalender
ephemeral	fantom
assembly	conventicle
wave	unde
pottage	potage
vulva	quoniam
anyone	animan
ship	schip
go	agon
growth	yong
knee	kne
sing	singen
limewood	linden
bandage	ligature
body	lich
feather	feþer
inhabitant	dweller
woodwose	wodwo
steel	stele
hide	skyn
am	cham
have	chave
shall	chell
should	chould
Roman	Neptunus
bind	binden
course	cours
woolen fabric	burnet
having fun	playing
anchor	anker
rope	halter
fleshy	corny
receptacle	saucer
earth	clod
send	fusen
nothing	nought
crying	wop
dust	dusty
cavern	cavernous
loath	loth
breakable	frangible
grandfather	aiel
boasting	bobance
work	werk
remorse	ayenbite
burn	branden
break	breken
separate	delen
negative emotions	haten
effort	winnen
whole	compleet
ne woot	noot
totally	alles
Piper nigrum	peper
muscular	brawny
count	tellen
steal	stelen
make	maken
wool	wollen
veal	veel
sugary	doucet
stupor	dwale
nake	naken
homeland	ethel
reasoning	inwit
kithe	kiþen
dappled	lyard
upside-down	revers
delicate	delicat
garden plants	herbage
hang	hangen
crumb	crome
state	-dom
Judea	Jude
employ	wagen
evilly	wrongfully
one	oon
tiara	coronal
thousand	tribune
commune	comune
rat	raton
very	ful
swaddling	swathing
stop	stoppen
smake	smaken
device	organum
life estate	dower
pismire	pissemyre
part	dol
admirable	commendable
happiness	sele
worse	badder
etymology	ethimologie
blank	blonc
ivy	ivi
Old French	-age
pleasant	lusty
suitably	wel
endless	eternally
stone grave	gravestone
staff	baston
nook	halk
tewel	tuwel
suffer	thole
awning	telt
various span	stund
subvassal	vavasour
ebb	ebben
light grey	plunket
safe	siker
first	verst
orpiment	auripigment
tunic	jupe
shilling	schilling
help	helpen
pillaging	reif
open	openen
throw	werpen
with	wiþ
cold	frosty
lover	lemman
sister	suster
marry	wedden
middle	middel
Roman	Diane
weather	weder
tease	tesen
just	juste
protected	sauf
himself	hine
bran	bren
especially	huru
related	lordly
interior	inwardly
ox	oxe
puff	puf
travel	wenden
sieve	sive
please	plesen
herns	hernes
spellcaster	charmer
Hell	helle
bridle	bridel
candle	candel
green	grene
other	oþer
womb	matrice
Normandy	Normandie
pity	scathe
fight	toiling
herbaceous plant	herbe
malady	maladie
dale	delle
counsel	conseil
guide	duk
mo	namo
village	thorp
Holy Grail	graal
fortunately	graciously
salad	salade
Roman pantheon	Juno
senility	dotard
boil	wellen
baptistry	baptistery
so	zuo
prayer	bede
thine	þin
eager	rathe
ordain	tegen
kill	fordon
immoral	crabbed
certainly	certes
heat	hete
swear	sweren
send	senden
burn	sengen
tie around	spannen
spin	spinnen
want	wischen
lukewarm	leuk
study	studie
sunlight	sunni
carp	carpe
merchant	marchant
girl	lasse
soups	potager
magician	conjurer
ridiculousness	dotage
Norway	Norn
wealth	richesse
knotty	knotted
flower	guid
fraudulence	fraude
lantern	lanterne
shit	scyte
peace	pees
sack	sak
Roman	Saturne
body	bodi
sinfully	viciously
noble	duchesse
kid	kide
loathsome	wlatsome
come	comen
beat down	abaten
renounce	alienen
insane	amad
elf	elven
cause	avalen
consider	avisen
gaily	gamely
call	callen
capableness	capacite
hollow	caven
complete	completen
freeze	congelen
urge	conjuren
consider	consideren
curl	crispen
kind	cunde
deform	deformen
sit	sitten
saying	dicte
door	dore
foolish	doten
duchy	duche
planet	Vesper
skill	faculte
film	filme
float	fleten
float	floten
medicament	fomenten
form	formen
fumigation	fumen
yawn	gane
cover	hilen
leaf	leef
jury	jure
entry	ingang
wash	laven
divide	parten
liquid	liquide
pea	pese
pity	pite
private	prive
use	noten
resist	resisten
dress	roben
produce seed	seden
teach	techen
diminish	tiren
turn	tornen
turn	turnen
hazard	hasard
baggage	bagage
effective	fundie
alike	yliche
sound	sownen
reason	enchesoun
hydromancy	ydromancy
Greek	Phebe
abide	wonen
leper	mesel
amusement	spile
maker	roper
placename	Stafford
scab	sursanure
wisdom	sapience
easy	ethe
whale	balene
concise	bref
feast	feste
deceit	blench
was	chwas
benefit	behovely
sieve	sarsen
strongly	manfully
brave	manful
cask	tunne
east	esterne
hair	heer
pack	pakken
sixth	sixte
long	longen
maniple	fanon
straight	streight
last	laste
take	nimen
goose	goos
mulberries	murrey
head	nol
lodestone	magnete
run	renne
hive	hyve
nun	nonne
spark	sparke
twinling	twyndyllyng
spinning wheel	mulne
bruise	blo
worthy	digne
wedge	wegge
peg	pegge
sip	sippen
coney	coni
housewife	huswif
better	beteren
disgracefully	dishonestly
baker	bakere
baker	bakestere
roll	walken
roll	walkien
waken	waknen
sleep	slepen
nag	nagge
rage	belwen
bag	bagge
forty	fourty
no	nai
to and fro	waggen
ability	vertu
rice	rys
ready	fus
court	assise
cherry	cheri
goat	goot
trunk	stok
retable	reredos
blameworthy	blameable
clog	galoche
hack	hakken
palm	palme
perfect	parfit
philosophy	philosophie
ready	fous
