painful	痛い
1	ひと
create	造
eat	食べる
see	見る
seaweed	みる
recall	覚える
show	見せる
say	言う
say	いう
inform	教える
resign	辞める
talk	話す
shut	閉める
shut	閉まる
halberd	刀
saw	みた
みる	見た
ten thousand	萬
China	中國
investigate	調べる
rise	上がる
die	死ぬ
criticise	やっつける
city	しない
what	何
causative	せます
circle	○
Chinese person	中国人
Chinese person	中國人
text	中文
pad	パッド
shine	曜
circle	円
north	北
be	です
extend	隶
Japanese language	日本語
forest	森
champagne	酒
by far	ずっと
flame	火
handle	柄
buddha	神様
tribe	㐌
chaste	㐜
component	㐮
fellow	㑪
しゅ	㑯
ばん	㒼
obstruction	丂
under	丅
above	上
subliminal	下
table	丌
not	不
bestow	与
parapet	丏
beggar	丐
ox	丑
moreover	且
large	丕
thirty	丗
C	丙
help	丞
discard	丟
hill	丠
both	両
rooster	丣
medium	並
connect	丩
counter	个
bifurcation	丫
catch	丮
dense	丯
abundant	丰
hairstyle	丱
skewer	串
skewer	丳
grass	丵
circle	丸
cinnabar	丹
stretch	乀
flow	乁
from	乃
〆	乄
long time	久
poverty	乏
diverge	乖
power	乗
squint	乜
beg	乞
to be	也
がい	乢
divine	乩
chaos	乱
cow's milk	乳
drought	乹
northwest	乾
greedy	亄
end	了
schedule	予
verbal fight	争
small steps	亍
say	云
mutually	互
well	井
four	亖
span	亘
few	些
sub-	亜
sub-	亞
destroy	亡
intersect	交
also	亦
capital city	京
arbor	亭
clear	亮
capital city	亰
busy	亹
assemble	亼
benevolence	仁
surplus	仂
dimly	仄
between	介
follow	从
Buddha	仏
傘	仐
official	仕
murder	他
netsuke	付
Lychnis	仙
fly	仚
same	仝
ren	仞
thousand	仟
strong	仡
make	令
compared to	以
wig	仮
face-up	仰
similar	仵
responsibility	任
portion	份
imitate	仿
はい	伂
handsome	伃
Italy	伊
あい	伌
five	伍
kabuki	伎
prostrated	伏
attack	伐
rest	休
ふ	伕
crowd	众
perineum	会
son	伜
count	伯
clever	伶
sink or swim	伸
becoming	似
し	佀
あい	佁
cultivate	佃
dwelling	住
aid	佐
help	佑
body	体
possess	佔
dignified	佖
余世	余
ease	佚
flattery	佞
sword	佩
かく	佫
deceive	佯
one hundred	佰
ほう	佱
beautiful	佳
じ	佴
ただしい	佶
こう	佷
meet	佸
depend upon	佹
せん	佺
し	佽
row	佾
messenger	使
しん	侁
たく	侂
か	侉
ためし	例
samurai	侍
び	侎
dwarf	侏
quiet	侐
think	侖
しゅん	侚
companion	供
せん	侟
tomboy	侠
ぶ	侢
contempt	侮
marquis	侯
さ	侳
invade	侵
友	侶
big	俁
in charge	係
ornament	俅
sagacious	俊
ふ	俌
similar	俏
clever	俐
wood	俑
こん	俒
はい	俖
民俗	俗
prisoner	俘
き	俙
へい	俜
protection	保
chivalrous person	俠
confidence	信
fork	俣
rickshaw	俥
companion	俦
discipline	修
bend down	俯
か	俰
actor	俳
ひ	俷
salary	俸
I	俺
び	俻
いく	俼
きん	俽
son	倅
えん	倇
校倉	倉
そう	倊
item	個
assistant	倌
twice	倍
prosperous	倎
hastily	倐
すい	倕
climate	候
sunrise	倝
borrow	借
ugly	倠
prostitute	倡
beautiful	倢
price	値
fatigue	倦
Yamato	倭
bare	倮
しょう	倯
こん	倱
とう	倲
し	倳
ほん	倴
ぶ	倵
倶楽部	倶
dam	偃
temporary	假
cling to	偎
偏窟	偏
fuss	偓
stop	停
よう	偞
wander	偟
よう	偠
impure	偣
ゆ	偤
strong	健
ふう	偩
compel	偪
ち	偫
transgress	偭
しゅう	偮
い	偯
investigation	偵
偶然	偶
び	偹
ろう	偻
falsehood	偽
large	傀
じょう	傇
りつ	傈
いん	傊
こう	傋
bystander	傍
てん	傎
こう	傐
outstanding	傑
umbrella	傘
たん	傝
はつ	傠
encourage	催
employ	傭
summon	傳
stoop	傴
loan	債
そく	傶
wound	傷
そう	傸
きょう	傹
傾角	傾
fraudulent price	傿
せつ	僁
bend	僂
び	僃
light	僄
humiliate	僇
ばん	僈
たん	僋
よう	僌
labor	働
せん	僎
figure	像
せん	僐
residing abroad	僑
たい	僓
そん	僔
ろう	僗
しょう	僘
こう	僙
colleague	僚
とう	僜
ふぁん	僠
せん	僢
せん	僣
Buddhist priest	僧
courageous	僩
こ	僱
fall down	僵
きん	僸
worth	價
ほう	僼
あい	僾
し	僿
ceremony	儀
とう	儅
warn	儆
がん	儑
companion	儔
fellow	儕
transient	儚
weak	儜
けい	儝
you	儞
りょう	儠
puppet	儡
りょ	儢
ほう	儤
いく	儥
ひょう	儦
し	儩
a person with lithe movements	優
れき	儮
obstinate	儳
companion	儷
exorcism	儺
らい	儽
しん	兂
elder	兄
bring up	充
portent	兆
兇悪	兇
たい	兊
gram	克
exchange	兌
avoid	免
male	兎
newborn baby	児
exchange	兑
child	兒
Rabbit	兔
political party	党
helmet	兜
destruction	兦
all member	全
both	兩
ゆ	兪
together	共
that	其
tool	具
ceremony	典
hope for	冀
endoskeleton	内
book	冊
again	再
hollow	冎
light	冏
ぼう	冐
helmet	冑
crown	冕
superfluous	冗
photograph	写
crown	冠
hatred	冤
dark	冥
富	冨
おおい	冪
open sea	冲
serene	冴
smelting	冶
cool	冷
fall apart	冸
ふつ	冹
ばい	凂
awful	凄
icicle	凇
endure	凌
nonfreezing	凍
ぎ	凒
cold	凓
さう	凔
べい	凕
床几	几
in general	凡
ぼん	凢
はん	凣
きょ	凥
wind	凨
calm	凪
female phoenix	凰
ひょう	凴
box	凵
ominous	凶
letterpress	凸
knife	刂
blade	刄
injury	刅
classification	分
cut	切
reap	刈
publish	刊
decapitate	刎
き	刏
たん	刐
penalty	刑
trim	刓
り	刕
sever	刖
matrix	列
蜀	刘
ふつ	刜
judgement	判
different	別
plane	刨
profit	利
cut down	刪
arrival	到
clear	刳
system	制
ticket	券
Buddhist temple	刹
spike	刺
engrave	刻
shave	剃
beheading	剄
ら	剆
cut	剉
plane	削
opposed	剌
ago	前
さく	剒
cutting	剔
ひ	剕
divide	剖
そう	剙
し	剚
sturdy	剛
peel	剝
てつ	剟
けい	剠
sharp	剡
とく	剢
double-edged sword	剣
agent	剤
peel	剥
えん	剦
かく	剨
leftover	剩
たく	剫
たん	剬
おく	剭
copy	副
leftover	剰
double-edged sword	剱
divide	割
scythe	剴
injury	創
cut	剸
りく	剹
り	剺
ふう	剻
ひょう	剽
たく	劅
theatrical play	劇
へき	劈
axe	劉
かい	劊
っよう	劋
double-edged sword	劍
destroy	劐
しつ	劕
り	劙
power	力
success	功
add	加
bad	劣
きん	劤
きょう	劦
assistance	助
intimidate	劫
く	劬
encourage	劭
いつ	劮
ろう	劳
けん	劵
こう	劶
よう	劷
あい	劸
きょう	劻
れつ	劽
こく	勀
power	勁
こう	勂
suddenness	勃
勅許	勅
courage	勇
reward	勑
bit	勒
かい	勓
べん	勔
movement	動
ぼう	勗
perception	勘
おう	勜
win	勝
combine	勠
forces	勢
diligence	勤
きょう	勥
persuade	勧
えい	勩
きゃく	勪
はん	勫
distinguished	勲
meritorious deed	勳
millimeter	勺
いん	勻
きゅう	勼
ぶん	勽
negation	勿
いん	匀
unit	匁
かつ	匃
かい	匄
yurt	包
Hungary	匈
handful	匊
pottery	匋
こう	匌
おう	匎
ほう	匏
ほく	匐
きゅう	匑
きょう	匓
spoon	匕
hardening	化
brain	匘
spoon	匙
bier	匛
box	匣
box	匤
trunk	匧
ぞう	匨
bandit	匪
whirl	匯
たん	匰
enclosure	匸
rendaku	匹
vocal register	区
doctor	医
hide	匽
shelter	匿
ward	區
thirty	卅
soldier	卆
noon	午
half	半
forty	卌
swastika	卍
swastika	卐
lowly	卑
officers	卒
table	卓
collaboration	協
onefold	単
しょう	卙
doctor	博
law	卞
augury	占
card	卡
wine vessel	卣
divination	卦
lofty	卬
きょう	卭
danger	危
immediate explosion	即
instead	却
egg	卵
volume	卷
wholesale	卸
きん	卺
instead	卻
Sir	卿
しつ	厀
unlucky	厄
か	厊
whetstone	厎
かふ	厒
precipice	厓
てい	厗
しゃ	厙
thick	厚
cut	厝
atomic number	原
し	厠
archi-	厡
mansion	厦
てん	厧
stable	厩
きん	厪
ごう	厫
き	厬
し	厮
れき	厯
whetstone	厲
strict	厳
shell	厴
spring	厵
expectoration	去
generally	叀
3	叁
mansion	参
three	參
fork	叉
and	及
friend	友
shinjitai	双
antimatter	反
income	収
はつ	叐
obedient	叒
し	叓
uncle	叔
concatenate	叕
confer	叙
叛旗	叛
こう	叝
い	叞
clever	叡
thicket	叢
tea	古
short section	句
か	叧
shout	叫
call	召
passable	可
pedestal	台
scold	叱
record	史
right	右
fulfill	叶
number	号
official	司
straw bag	叺
ちょう	叼
あう	吁
ぼう	吂
each	各
fit	合
インチ	吋
sharing	同
name	名
vomit	吐
scared	吓
せ	吔
ごう	吘
くう	吙
ちゅう	吜
miserly	吝
barking	吠
しん	吢
しん	吣
ほう	吥
no	否
instruct	吩
pound sterling	听
throat	吭
こう	吰
しん	吲
呉	吳
suck	吸
とう	吺
lips	吻
howl	吼
bark	吽
I	吾
spine	呂
こく	呄
ばい	呅
amazed	呆
けい	呇
display	呈
China	呉
tell	告
きょう	呌
うん	呍
foot	呎
しょう	呏
とつ	呐
drink	呑
し	呞
ぼう	呣
ぜん	呥
てい	呧
circumference	周
し	呩
charm	呪
whisper	呫
へい	呯
し	呲
く	呴
ど	呶
いつ	呹
きょう	呺
call	呼
so	咁
そう	咂
talk	咄
へつ	咇
gentleness	和
recitation	咏
instruct	咐
だ	咑
こ	咕
た	咜
かく	咟
outspokenly	咢
こう	咣
い	咦
baa	咪
とう	咮
blossom	咲
cough	咳
かい	咴
くうい	咶
howl	咷
all	咸
けん	咺
く	咻
throat	咽
pathetic	哀
evaluation	品
とう	哃
こう	哅
quiver	哆
いく	哊
てつ	哋
interjection	哎
こん	哏
member	員
sing	哥
か	哧
mile	哩
しょく	哫
か	哬
cry	哭
spitting	哯
ろう	哰
philosophy	哲
ば	哶
れつ	哷
さい	哸
かん	哻
good	哿
いう	唀
げん	唁
こく	唃
song	唄
sound	唅
tempt	唆
lip	唇
おう	唈
alas	唉
きょう	唊
と	唋
sound	唎
Tang dynasty	唐
ぜい	唑
しゅう	唒
とう	唗
けい	唘
しん	唚
ounce	唡
ぎん	唫
か	唬
せつ	唰
cry	唳
きょう	唴
syllable	唵
しゃ	唶
よ	唷
groan	唸
Kagoshima	唹
そう	唼
neigh	唽
こつ	唿
とう	啁
しゅう	啃
agriculture	商
てき	啇
こう	啈
らん	啉
きょう	啋
とん	啍
ご	啎
question	問
そう	啑
こつ	啒
けい	啔
とう	啕
allure	啗
えん	啘
し	啙
stingy	啚
さい	啛
けい	啟
はい	啡
ounce	啢
かん	啣
what	啥
たん	啴
鳴く	啼
がん	啽
しゅ	啾
たん	啿
virtue	善
らち	喇
music	喈
throat	喉
talk	喋
しゅく	喌
さい	喍
か	喎
しゃ	喏
えう	喓
あく	喔
ぎん	喗
pant	喘
beak	喙
shout	喚
かん	喛
rejoice	喜
scold	喝
piston	喞
sigh	喟
い	喡
てふ	喢
く	喣
こう	喤
と	喥
じょう	喦
ほがらか	喨
metaphor	喩
devour	喫
きょう	喬
condole with	喭
い	喴
manage	営
metaphor	喻
かく	嗀
てい	嗁
えう	嗂
さ	嗄
smell	嗅
しょう	嗆
lowly	嗇
よう	嗈
こう	嗊
throat	嗌
さく	嗍
さ	嗏
かつ	嗐
reproach	嗑
とう	嗒
けい	嗘
ほう	嗙
oh	嗚
pouch	嗛
like	嗜
cackling	嗝
し	嗞
らつ	嗢
継	嗣
laugh	嗤
こう	嗥
さ	嗦
ごう	嗷
chatter	嗹
すい	嗺
gargling	嗽
さく	嘀
yell	嘂
sound	嘅
lament	嘆
wrangle	嘊
ひょう	嘌
bad	嘎
menace	嘑
sharp	嘒
けん	嘕
lie	嘘
は	嘙
ば	嘜
ろく	嘞
かつ	嘠
しょう	嘨
noisy	嘩
lap	嘬
ほう	嘭
とう	嘮
whistle	嘯
entrust	嘱
beak	嘴
garrulous	嘵
neigh	嘶
こう	嘷
no doubt	嘸
りょう	嘹
きょう	嘺
mirthful	嘻
たん	嘽
たん	嘾
そん	噀
rumor	噂
はん	噃
きつ	噄
き	噅
とう	噇
しゅく	噈
bite	噉
いつ	噊
とん	噋
choke	噎
inhale	噏
き	噐
とう	噔
き	噕
ぼく	噗
けつ	噘
きん	噙
えいびろ	噚
bite	噛
よう	噟
たち	噠
せん	噡
いく	噢
ちゅ	噣
shut up	噤
bad	噩
exclamation	噫
ぜい	噬
きょう	噭
えん	噮
よう	噰
きゃく	噱
swallow	噲
ぐ	噳
erupt	噴
どう	噵
use	噶
きん	噷
とん	噸
story	噺
いん	噾
すい	噿
roar	嚄
嚆矢	嚆
よう	嚈
ひ	嚊
ちゅう	嚋
しん	嚍
かう	嚎
sneeze	嚏
しょう	嚐
sneeze	嚔
はく	嚗
bite	嚙
のう	嚢
throat	嚨
はく	嚩
たん	嚪
frown	嚬
lump	嚭
guide	嚮
た	嚲
strictness	嚴
さん	嚵
おう	嚶
にょう	嚷
ごう	嚻
ざく	嚼
せつ	嚽
かん	嚾
accompaniment	囃
てん	囅
たい	囆
bag	囊
double happiness	囍
Kagoshima	囎
かん	囏
country	囗
capture	囚
turn	回
group	団
edge	囦
けい	囧
そう	囪
こつ	囫
かい	囬
がん	园
decoy	囮
trouble	困
そう	囱
surround	囲
diagram	図
country	囶
こん	囷
prison	囹
hard	固
pasture	囿
country	圀
prison	圄
かん	圅
range	圈
prison	圉
privy	圊
country	國
surround	圍
えん	圎
sphere	圏
field	園
round	圓
library	圕
drawing	圖
round	圜
らん	圞
pressure	圧
countryside	在
dike	圩
earth	地
cliff	圸
gentle	均
dust	坌
pit	坎
seat	坐
southwest	坤
flat	坦
せき	坧
い	坨
jar	坩
unit	坪
てん	坫
か	坬
でい	坭
だい	坮
ひ	坯
wilds	坰
あう	坱
ふつ	坲
clod	坴
けつ	坹
はつ	坺
ち	坻
split	坼
れい	坽
ちょ	坾
つける	坿
こ	垀
ち	垁
suspend	垂
らつ	垃
swamp	垈
collapse	垉
kata	型
とう	垌
ろつ	垏
し	垐
border	垓
おう	垔
こう	垕
たい	垖
ちょう	垗
ふく	垘
くう	垙
げう	垚
だ	垛
だ	垜
た	垞
よう	垟
limit	垠
はつ	垡
grime	垢
きょう	垥
けい	垧
しゅ	垨
せい	垩
は	垪
mountain pass	垰
cliff	垳
せい	垶
かん	垸
ほう	垹
ふ	垺
はい	垻
ぎん	垽
かん	垾
しょ	垿
しん	埁
かう	埂
billionth	埃
ほう	埄
よう	埇
しゅん	埈
ろう	埌
boundary	埏
しん	埐
らち	埓
てい	埕
trash	埖
てん	埝
てい	埞
range	域
けん	埢
infertile land	埣
add	埤
せい	埥
bowl	埦
く	埧
さう	埩
しょう	埫
とう	埬
たい	埭
たん	埮
えん	埯
しゅく	埱
ほう	埲
harden	埵
art	埶
えき	埸
cultivate	培
base	基
しゅん	埻
point	埼
そう	埽
mud	埿
Ys	イース
ditch	堀
か	堁
cafeteria	堂
こん	堃
hard	堅
river bank	堆
こう	堈
いく	堉
white earth	堊
こ	堌
と	堍
degenerate	堕
しょう	堘
ひよく	堛
れん	堜
ちょう	堞
てん	堟
battlements	堠
ぐ	堣
dike	堤
かい	堦
ぜん	堧
げつ	堨
こう	堩
bear	堪
ゆ	堬
こう	堭
がく	堮
high	堯
dam	堰
news	報
しつ	堲
び	堳
く	堶
あん	堷
ふ	堸
しょう	堹
Osaka	堺
しん	堻
こう	堼
かん	堿
wall	塀
き	塈
せき	塉
えい	塋
じ	塒
pagoda	塔
paint	塗
mound	塚
piston	塞
そう	塟
fill in	塡
お	塢
てい	塣
かく	塥
あい	塧
きょう	塨
fill in	填
じょう	塲
ほう	塴
こく	塶
おう	塸
せん	塹
ばい	塺
brick	塼
そう	塽
cram school	塾
つち	塿
ち	墀
difficult situation	境
そく	墄
しょ	墅
てい	墆
ふせぐ	墇
かん	墈
よう	墉
てん	墊
しん	墋
しゃく	墌
paint	墍
かく	墎
しょう	墏
てき	墑
しょう	墒
grave	墓
pagoda	墖
increase	増
stony	墝
increase	增
虚	墟
せん	墠
せん	墡
はつ	墢
とう	墥
tomb	墦
ink	墨
とん	墩
しゅん	墫
ち	墬
せい	墭
とう	墱
hesitate	墸
cliff	墹
land	墺
しょう	墻
けき	墼
こう	墽
えき	墿
wall	壁
てん	壂
plug up	壅
かく	壆
podium	壇
おん	壈
きょ	壉
break	壊
soil	壌
ざん	壍
はち	壎
かん	壏
し	壐
がく	壑
あい	壒
あつ	壓
mound	壔
moat	壕
ぜん	壖
steep slope	壗
shop	壚
bottle	壜
い	壝
mound	壟
れき	壢
りん	壣
shop	壥
がん	壧
らい	壨
I	壬
voice	声
one	壱
sell	売
casing	壳
jar	壷
one	壹
さい	壻
こん	壼
longevity	壽
ぼう	壾
しゅん	壿
ち	夂
こ	夃
resist	夆
change	変
すい	夊
summer	夏
summer	夓
evening	夕
outside	外
えん	夗
ぼう	夘
many	多
た	夛
night	夜
immense	夥
Daegu	大
heavens	天
fat	太
man	夫
young	夭
centre	央
mistake	失
とう	夲
ancient tribe	夷
boast	夸
こう	夾
ぼう	奀
てい	奃
cover	奄
ほう	奅
strange	奇
Nara	奈
offer	奉
てん	奌
play music	奏
clear	奐
pledge	契
かい	奒
extravagant	奓
ほん	奙
servant	奚
こう	奛
しゅん	奞
こう	奟
てん	奠
がう	奡
inside	奥
heart	奧
exhort	奨
rob	奪
せき	奭
agitation	奮
woman	女
thing	奴
てい	奵
せん	奷
wicked	奸
せん	奾
がん	奿
likeness	如
queen	妃
lie	妄
そう	妆
けん	妍
かい	妎
ぶん	妏
geisha	妓
ちゅう	妕
attractive	妖
せん	妗
うん	妘
strange	妙
ふう	妚
ghost character	妛
じゅう	妞
あん	妟
どう	妠
ふん	妢
ひ	妣
よ	妤
jealousy	妬
ちゃく	妰
しょう	妱
えん	妴
とう	妵
けん	妶
ちつ	妷
ばつ	妺
spouse	妻
ひ	妼
しん	妽
concubine	妾
か	姀
beauty	姁
せい	姃
びん	姄
はん	姅
ふ	姇
れい	姈
older sister	姉
begin	始
ぜん	姌
さん	姍
おう	姎
Indian coral tree	姑
clan	姓
entrust	委
きょ	姖
さん	姗
ひん	姘
にん	姙
とう	姛
wild turmeric	姜
す	姝
きつ	姞
かい	姟
しょう	姠
かつ	姡
けん	姢
beautiful	姣
old woman	姥
bestiality	姦
wicked	姧
niece	姪
princess	姬
beautiful	姱
あん	姲
べい	姳
れつ	姴
はい	姵
beautiful	姶
ゆう	姷
beautiful	姸
た	姹
marriage	姻
せん	姾
figure	姿
しゅう	娀
power	威
beauty	娃
とう	娉
brother	娌
slender	娍
ぼ	娒
さく	娖
てい	娗
ごう	娙
husband	娚
ご	娛
graceful	娜
てい	娣
そう	娤
たい	娧
ご	娪
き	娭
でん	娮
じ	娰
marry	娵
けん	娹
prostitution	娼
がい	娾
charm	婀
frequently	婁
べん	婂
そう	婃
きく	婅
brahmin	婆
さい	婇
りょう	婈
graceful	婉
ひょう	婊
しゅく	婌
き	婍
わ	婐
ずい	婑
たん	婒
ひ	婓
handsome	婕
げい	婗
けん	婘
かん	婜
てん	婝
けい	婞
こ	婟
わん	婠
maidservant	婢
いん	婣
しゅう	婤
どう	婥
lady	婦
せい	婧
げん	婩
covetous	婪
いん	婬
てん	婰
かく	婳
とう	婸
だん	婻
しゃく	婼
か	婽
handsome	婾
じゅう	媃
みょう	媌
たん	媏
き	媐
こう	媓
べん	媔
えい	媖
けん	媗
い	媙
flatter	媚
princess	媛
てい	媜
しゅう	媝
し	媞
lewd	媟
し	媤
い	媦
かい	媧
こ	媩
おう	媪
ほ	媬
しう	媰
えう	媱
えん	媴
じょう	媶
りう	媹
び	媺
おう	媼
mother	媽
sex	媾
しん	嫀
bride	嫁
よう	嫆
ろう	嫏
frolic	嫐
えい	嫕
wanton	嫖
せん	嫙
scorn	嫚
えい	嫛
しょう	嫞
じゆく	嫟
widow	嫠
き	嫢
beautiful	嫣
せん	嫥
young	嫩
しゃ	嫬
こ	嫭
へつ	嫳
charming	嫵
elegant	嫻
play with	嫽
しゅ	嬃
くわ	嬅
graceful	嬈
seductive	嬌
はん	嬎
せん	嬐
ふ	嬔
lady	嬙
じょう	嬝
lass	嬢
ひん	嬪
えん	嬮
accidentals	嬰
ridicule	嬲
win	嬴
lazy	嬾
widow	孀
delicate	孅
り	孋
しょく	孎
child	子
mosquito larva	孒
manhole	孔
twin	孖
exist	存
filial piety	孝
season	季
solitude	孤
ど	孥
education	学
grandchild	孫
あ	孲
し	孳
し	孶
り	孷
げつ	孼
げつ	孽
twin	孿
roof	宀
calm	宁
home	宅
protect	守
hiragana	安
とつ	宊
Song	宋
complete	完
えう	宎
せい	宑
quiet	宓
しゅ	宔
religion	宗
mid-air	宙
determine	定
address	宛
precious objects	宝
reality	実
guest	客
proclaim	宣
room	室
し	宩
きゅう	宫
shrine	宮
superintend	宰
ほう	宲
そこなう	害
tea party	宴
domestic fowl	家
contain	容
secret	宻
こう	宼
lodging	宿
loneliness	寂
accusation	寃
contribute	寄
density	密
foe	寇
かく	寉
wealth	富
ねい	寍
へい	寎
かん	寏
しん	寑
cold	寒
imply	寓
しん	寖
ねい	寗
ほう	寚
tolerant	寛
ねい	寜
寡夫	寡
ご	寤
lonely	寥
reality	實
fort	寨
い	寪
photograph	寫
dormitory	寮
げい	寱
ほう	寳
precious objects	寶
measurement	寸
temple	寺
りん	寽
facing	対
longevity	寿
は	尀
seal	封
exclusive	専
ふ	尃
shoot	射
こく	尅
just now	将
just now	將
precious	尊
fathom	尋
correct	對
direct	導
labia minora	小
せつ	尐
尖鋭	尖
younger brother	尗
esteem	尙
おう	尢
reasonable	尤
りょう	尥
weak	尩
おう	尫
かい	尬
lofty	尭
swelling	尰
concerning	就
こつ	尳
たい	尵
かん	尷
corpse	尸
shaku	尺
buttocks	尻
honorific	尼
exhaust	尽
urine	尿
flatulence	屁
ひ	屄
sit	居
かい	屆
てん	屇
report	届
roof	屋
corpse	屍
excrement	屎
へい	屏
rubbish	屑
unfold	展
せい	屖
あ	屙
ろう	屚
class	属
てい	屟
frequently	屢
straw sandal	屣
footwear	履
clogs	屧
straw sandal	屨
りょう	屪
ぞく	屬
gigantic strength	屭
さ	屮
gathering	屯
disobedient	屰
がつ	屵
き	屺
じん	屻
ごつ	屼
かん	屽
ごう	岇
か	岈
せつ	岊
peak	岑
かい	岕
さく	岝
よう	岟
きょ	岠
いただき	岣
けつ	岤
は	岥
りゅう	岦
magma	岩
peninsula	岬
た	岮
よう	岰
だい	岱
こう	岲
mountain peak	岳
hill	岵
beach	岸
じ	岻
ゆり	岼
placename	岾
しゅう	峀
placename	峅
かふ	峆
こう	峇
らく	峈
ふ	峊
じ	峏
かい	峐
ぼ	峔
し	峕
あん	峖
り	峛
けい	峜
よう	峟
や	峫
り	峲
こう	峵
しん	峷
せい	峸
high	峻
gorge	峽
しゅう	崈
か	崋
peninsula	崎
びん	崏
こん	崐
こん	崑
しゅつ	崒
tower	崚
とう	崠
かん	崡
い	崣
こう	崤
えん	崦
collapse	崩
くつ	崫
こう	崲
ゆ	崳
ほう	崶
しう	崷
とん	崸
てい	崹
し	崼
cliff	崿
ちう	嵀
りつ	嵂
かん	嵅
けい	嵆
かん	嵈
てい	嵉
しょう	嵊
び	嵋
fresh energy	嵐
けつ	嵑
やましな	嵙
と	嵞
き	嵟
げい	嵠
そう	嵢
pile up	嵩
こう	嵪
ほう	嵭
けん	嵰
よう	嵱
towering	嵳
たお	嵶
きょう	嵹
せん	嵼
uneven	嵾
さん	嶃
さう	嶆
しゃう	嶈
すい	嶉
すい	嶊
island	嶋
island	嶌
りゅう	嶐
りょう	嶚
けい	嶡
ぎょう	嶪
ぎ	嶬
しう	嶯
かい	嶰
かつ	嶱
けい	嶲
あう	嶴
さい	嶵
ぎ	嶷
さん	巉
き	巋
ぎ	巍
どう	巎
けん	巏
てん	巓
てん	巔
き	巙
かい	巜
river	川
こう	巟
go around	巡
nest	巢
nest	巣
work	工
enormous	巨
shaman	巫
差異	差
itself	己
already	已
snake	巳
street	巷
broad chin	巸
spiral	巻
southeast	巽
cloth	巾
mayor	市
てい	帄
smooth sailing	帆
でん	帇
免%許	师
paper	帋
希求	希
こ	帍
たん	帎
ど	帑
nettle	帔
れん	帘
じち	帙
broom	帚
silk	帛
mikado	帝
げい	帠
へい	帡
けん	帣
せい	帨
teacher	師
seat	席
ほう	帮
chastity belt	帯
return	帰
へい	帲
curtain	帳
さつ	帴
わん	帵
eternal	常
す	幁
べき	幂
width	幅
assist	幇
へい	幈
たずな	幉
こう	幊
hooded wagon	幌
幔幕	幔
curtain	幕
ひょう	幖
ほう	幚
けい	幜
せん	幝
turban	幞
flag	幟
flag	幡
currency	幣
へい	幤
べき	幦
ふん	幩
cover up	幬
べつ	幭
らん	幱
ひょう	并
へい	幷
射幸心	幸
よう	幺
fantasy	幻
childish	幼
dark	幽
some	幾
dotted cliff	广
office	庁
仄	庂
vast	広
