die	fa
do you speak English	ukhuluma isiNgisi na
do you speak Zulu	ukhuluma isiZulu na
good night	lala kahle
good night	lalani kahle
good night	nilale kahle
good night	ulale kahle
how are you	unjani
how are you	ninjani
I don't speak Zulu	angikhulumi isiZulu
I don't understand	angiqondi
I don't know	angazi
I'm ... year(s) old	ngineminyaka engu-
uneminyaka emingaki	uneminyaka emingaki
my name is	igama lami ngu-
what is your name	ngubani igama lakho
I'm sorry	ngiyaxolisa
Zulu given name	uShaka
stomach ache	ishaka
shark	ushaka
metre	imitha
second	isekhondi
short moment	umzuzwana
moment	umzuzu
kilogram	ikhilogremu
gram	igremu
minute	iminithi
hour	ihora
ridge	izinga
kilometre	ikhilomitha
centimetre	isentimitha
millimetre	imilimitha
litre	ilitha
millilitre	imililitha
inch	iyintshi
mile	imayela
than	kuna-
a lot	kakhulu
planet	iplanethi
planet	unozungezilanga
circle	zungeza
give up	duba
sex	hlobonga
respect	hlonipha
shame	amahloni
shyness	izinhloni
ugly	banyana
somewhat old	dadlana
somewhat long	danyana
catch up	fumana
song	iculo
dance song	ingoma
cloud	iyezi
yellow	ncombo
young	uhlaza
ignorance	ubuluhlaza
whiteness	ubumhlophe
blackness	ubumnyama
dark brown	nsundu
dark	insundu
town	idolobha
mouse	igundane
bat	ilulwane
umbrella	isambulela
weasel	ubhozo
slender mongoose	uchakide
weasel	ubhoshobana
marsh mongoose	umvuzi
spotted hyena	impisi
springbok	insephe
game	inyamazane
honey badger	insele
rock hyrax	imbila
meerkat	ububhibhi
monkey	inkawu
black rhinoceros	ubhejane
white rhinoceros	umkhombo
white rhinoceros	umduzu
kudu	umgankla
hawk	uhele
mole	ivukuzi
zebra	idube
hare	unogwaja
thumb	isithupha
index finger	isikhombisa
eight	isishiyagalombili
nine	isishiyagalolunye
forearm	ugalo
ten	ishumi
continent	izwekazi
cheetah	ingulule
lizard	intulo
soap	insipho
brush	ibhulashi
shampoo	ishampu
sponge	isiponji
bath	ubhavu
shower	ishawa
Christmas	uKhisimusi
Easter	iPhasika
Family Day	uSuku loMkhaya
family member	umkhaya
Freedom Day	uSuku lweNkululeko
freedom	inkululeko
Youth Day	uSuku lweNtsha
young people	intsha
Women's Day	uSuku lwabeSifazane
woman	owesifazane
Heritage Day	uSuku lwamaGugu esizwe
valuable	igugu
people	isizwe
Day of Reconciliation	uSuku lokuBuyisana
withdraw mutually	buyisana
return	buyisa
Day of Goodwill	uSuku loXolo
peace	uxolo
peaceful	xola
Human Rights Day	uSuku lwamaLungelo aBantu
human right	ilungelo labantu
New Year	uNcibijane
right	ilungelo
prepare	lungela
piano	ipiyano
guitar	isigingci
trumpet	icilongo
violin	ivayolini
kindness	umusa
plume	usiba
tomorrow	umuso
milk	ubisi
wall	ubonda
donkey	imbongolo
steady	jola
knowledge	ulwazi
user	umsebenzisi
use	sebenzisa
anxiety	uvalo
once	kanye
understand	qonda
understand	qondisisa
duck	idada
admirable	bukeka
bean	ubhontshisi
raise	phakamisa
rise	phakama
show clearly	bonisisa
make	khethisa
shake	shukumisa
move	shukuma
make laugh	hlekisa
make	limisa
stick	namatha
weed	hlakula
tired	khathala
sing	hlabelela
bring for	lethela
make	lethisa
overcome	ahlula
hold	amukela
break	aphuka
break	aphula
die	bhubha
boil	bilisa
lend	boleka
return	buyela
puff adder	ibululu
wide	igobongo
palm wine	injemane
play	dlala
explain	chaza
scatter	chitha
mixed together	dibana
mix together	dibanisa
tire	dinisa
tire	dinwa
feed	dlisa
edlula	dlula
behind	emuva
back	umuva
done	enzakala
cause	enzakalisa
lead	umthofu
silver	isiliva
brass	ithusi
otter	intini
sulfur	isibabule
potato	izambane
make like	fanisa
speckle	feketha
hide	fihla
warm	fudumala
heat	fudumeza
desirable	funeka
no smoking	akubhenywa
smoke	bhenywa
smoke	bhema
fell	gawula
end	gcina
last	gcinile
feel cold	godola
go home	goduka
fill	gqiba
change	guqula
round up	gweba
sleep	lalisa
see	bonwa
appear	bonakala
warm	otha
descend	ehla
bleed	opha
nourish	ondla
enter	ngena
wake up	vuka
middle	phakathi
rider	umgibeli
leave	shiya
spoil	mosha
praise singer	imbongi
whine	tetema
agree	vuma
lynx	indabushe
serval	indlozi
aardvark	isambane
transport	thutha
conflict	ukungqubuzana
cool	phola
delay	libala
vetkoek	igwinya
abridge	finyeza
swear	bheja
demolish	diliza
shoot	dubula
appropriate	fanela
complete	feza
anoint	gcoba
criticize	gxeka
chew	hlafuna
abash	hlaza
analyse	hlaziya
adjust	hlela
kick	khaba
bloom	khahlela
watch	khangela
crave	khanuka
hasten	khawuleza
give	khonza
free	khulula
remember	khumbula
remind	khumbuza
encourage	khuthaza
admonish	khuza
ascend	khwela
adjust	lungisa
amaze	mangala
prefer	ncama
help	nceda
help	ncedisa
decrease	nciphisa
jest	ncokola
admire	ncoma
bury	ngcwaba
disallow	nqaba
prevent	nqanda
beg	nxiba
deviate	phambuka
carry	phatha
comment	phawula
disturb	phazamisa
kindle	phemba
answer	phendula
safe	phepha
contradict	phikisa
repeat	phinda
throw	phosa
rub	phucula
come	phumelela
dream	phupha
hasten	phuthuma
hire	qasha
strip	qhaqha
set	qhatha
drive	qhuba
thick	qina
amass	qokelela
bloat	qumba
sign	sayina
practice	thakatha
pray	thandaza
take	thatha
send	thumela
sew	thunga
allow	vumela
awake	vusa
blaze	vutha
speak	vuya
drip	vuza
compel	xhasa
grey	xuba
announce	azisa
stop	yeka
game	umdlalo
student	umfundi
acquaintance	umhlobo
farmer	umlimi
cook	umpheki
noise	umsindo
shade	umthunzi
hare	umvundla
coward	igwala
summer	ihlobo
paper	iphepha
chance	ithuba
lazy	ivila
yesterday	izolo
lesson	isifundo
shield	isihlangu
stool	isitulo
arm	ingalo
worry	inkathazo
baboon	imfene
article	impahla
brain	ingqondo
conversation	ingxoxo
help	uncedo
winter	ubusika
sleep	ubuthongo
motor car	imoto
wine	iwayini
cemetery	umngcwabo
send	thuma
get	thola
serve	phaka
pride	ukuzigqaja
verse	ivesi
knife	ummese
lamb	imvana
permit	imvumo
nature	imvelo
generality	imvamisa
act	isigcawu
roar	bhonga
door	isivalo
field	isivande
ward	iwodi
singer	ibhimbi
nurse	unesi
yard	igceke
necessity	isidingo
jump	gxuma
ooze	gxiza
cloth	indwangu
hatred	inzondo
drown	minza
mixture	ingxubevange
section	ingxenye
nest	isidleke
knock	gqula
crack	gqoma
inspiration	ugqozi
stool	isigqiki
coat	ijazi
yolk	ijokwe
porridge	isijingi
dove	ijuba
yard	iyadi
one-eyed	indlobho
knock	ngqubuza
aim	injongo
skin	injobo
bow-legged person	isigwegwe
depth	injula
nationhood	ubuzwe
nation	izwe
subside	bohla
patch	indima
depth	inzulu
crown	isidlokolo
antidote	isibiba
song	ihubo
waiter	uweta
Miss	umisi
fat person	isidula
plate	isitsha
plate	imbenge
knock	ngqongqoza
compress	cindezela
rub	hlikihla
pull	donsa
push	sunduza
float	ntaza
flow	gobhoza
swollen	vuvukala
freezing cold	qanda
full	gcwala
dirty	ngcola
wet	netha
narrow	msweswana
thick	gqinsi
yellow	liphuzi
cold	makhaza
beer	ubhiye
grey	ngwevu
jug	ujeke
danger	ingozi
enemy	izitha
incise	gcaba
make fun of	gcona
circle	indingilizi
secret	imfihlo
octopus	ingwane
quarrel	ingxabano
clever person	iqili
cut	isiko
brain	ubuchopho
friendship	ubudlelwane
kinship	ubuhlobo
livestock	imfuyo
education	imfundo
guinea fowl	impangele
faith	ukholo
amaze	mangalisa
heart	inkaba
district	ihlelo
thousand	inkulungwane
arena	inkundla
fortress	inqaba
maternal uncle	umalume
clerk	unobhala
image	isithombe
messenger	isithunywa
shadow	isithunzi
print	shicilela
preach	shumayela
shrink	shwabana
promise	isithembiso
heel	isithende
hero	ilembe
move	qhela
plait	qhina
advance	qhubeka
insert	ngenisa
need	swela
break	phula
lay	endlala
handsome	igeza
end	phela
complete	phelela
hem	phetha
puberty	thomba
ladle	indebe
heir	indlalifa
expense	indleko
beard	intshebe
music	umculo
family	umndeni
armpit	ikhwapha
cinder	ilahle
pay	khokha
happen	enzeka
dress	ambatha
come	phumela
earring	icici
angel	ingelosi
jaw	umhlathi
finger potato	umhlaza
technology	ubuchwepheshe
break	ikhefu
fig	ikhiwane
lightning	umbane
trunk	umboko
opinion	umbono
windpipe	uqhoqhoqho
brother	ubhuti
killer	umbulali
singer	umculi
builder	umakhi
player	umdlali
coach	umqeqeshi
writer	umlobi
editor	umhleli
writer	umbhali
breeder	umfuyi
talk	bheda
belch	bhodla
praise	dumisa
push away	dudula
rape	dlwengula
toe	uzwane
sweet	uswidi
fact	uqobo
operation	uqhaqho
form	uhlobo
journey	uhambo
explain	qondisa
persevere	qinisela
confirm	qinisekisa
firm	qinisa
sacred	ngcwele
artificial	mbumbulu
mauve	mdaka
dun	mpofu
chaste	msulwa
above	phezulu
coach	qeqesha
bloom	qhakaza
invent	qamba
ache	qaqamba
perfume	isiqholo
plot	isiqithi
neck	umqala
spine	umqolo
front	umphambili
outside	umphandle
diamond	idayimane
balloon	ibhaloni
sin	isono
hail	isichotho
assembly	ibandla
beetle	ibhungane
lawyer	igqwetha
grave	ingcwaba
outcome	inqindi
wound	inxeba
cockroach	iphela
dream	iphupho
farm	ipulazi
thigh	ithanga
hole	umgodi
bin	umgqomo
door	umnyango
artery	umthambo
amount	umthamo
law	umthetho
burden	umthwalo
reward	umvuzo
attempt	umzamo
example	umzekelo
building	isakhiwo
fat person	isidudla
million	isigidi
fan	isihlwele
parrot	isikhwenene
fool	isilima
ancestor	idlozi
branch	ihlahla
Muscovy duck	ikewu
whistle	impempe
answer	impendulo
eland	impofu
duiker	impunzi
custom	imvelaphi
authorization	imvume
house	indlwana
grasshopper	intethe
thigh bone	inyonga
gallbladder	inyongo
strategy	iqhinga
hope	ithemba
beat	bhula
watch	bukela
bless	busisa
fill	gcwalisa
walk	hambela
attack	hlasela
backbite	hleba
skin	hlinza
