Sherpa	ཤར་བ
felt	ཕྱིང་པ
crowded	འཚང་ག
chemistry	རྫས་འགྱུར་རིག་གནས
octagon	ཟུར་བརྒྱད་མ
pentagram	སྐར་མ་ཟུར་ལྡ
witness	བར་མི་མཚམས་རྡོ
witness	དཔང་པོ
famous	སྐད་གྲགས
group	ཚོ་ཁག
insane	སྨྱོན་པ
insane asylum	སྨྱོན་པའི་སྨན་ཁང
second	སྐར་ཆ
tadpole	ལྕོང་མོ
wash	བཀྲུ་བ
whale	ཆུ་སྲིན
elevator	གློག་གི་སྐས་འཛེགས
Shambhala	བདེ་འབྱུང
front	མདུན
empowerment	དབང
war	དམག
big	ཆེ
size	ཆེ་ཆུད
small	ཆུད
buy	ཉོ
Sanskrit	ལྷན་ཅིག་སྐྱེས་པའི་དགའ་བ
Prajñāpāramitā	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མ
Sanskrit	ཚད་མེད་བཞི
Sanskrit	མི་གཡོ་བ
Sanskrit	ལོངས་སྦྱོད་རྫོགས་པའི་སྐུ
lotus	པདྨ
wisdom	ཤེས་རབ
India	རྒྱ་གར་སྐད་དུ
Tibet	བོད་སྐད་དུ
Candamaharosana	གཏུམ་པོ་ཁྲོ་བོ་ཆེན་པོ
Vajrasattva	རྡོ་རྗེ་སེམས་དཔའ
Bhagavan	བཅོམ་ལྡན་འདས
Candamaharosana	རྡོ་རྗེ་དབྱིངས་ཀྱི་དབང་ཕྱུག་མ
Vajra realm	རྡོ་རྗེ་དབྱིངས
vagina	བྷ་ག
Sanskrit	ཏིང་ངེ་འཛིན
tathāgata	དེ་བཞིན་གཤེགས་པ
essence	སྙིང་པོ
countless	དཔག་ཏུ་མེད་པ
yogi	རྣལ་འབྱོར་པ
yogini	རྣལ་འབྱོར་མ
yoga	རྣལ་འབྱོར
green	ལྗང་གུ
liberation	རྣམ་གྲོལ
real	དངོས་དང་དངོས་མེད
real	དངོས
boundary	མུ
time	ཚེ
primordial	ཡེ
taste	རོ
dice	ཤོ
fate	ཕྱ
flour	ཕྱེ
knife	གྲི
dance	བྲོ
mudra	ཕྱག་རྒྱ
cypress	ཤུག་པ
bride	མནའ་མ
crystal	ཆུ་ཤེལ
aluminium	ཧ་ཡང
master	བདག་པོ
experience	ཉམས་མྱོང
spelling	སྦྱོར་ཀློག
leg	ཞབས
listen	ཉན
can	ཐུབ
willow	ལྕང་མ
each	ཀུན་པོ
below	འོག
difficult	ཁག་པོ
teach	འདོམས
talk	གཏོམ
vowel	འགྲེང་པོ
plain	ཐང
mud	འདམ
Golmud	ན་གོར་མོ
end	མཇུག
roll	སྒྲིལ
possible	སྲིད
realm	སྲིད་པ
throat	མིད་པ
Lobsang	བློ་བཟང
Qinghai	ཁུ་ཁེ་རྲོའུར
water lily	ཀུ་མུད
clove	ལི་ཤི
star anise	ལི་ཤི་མཚོན་འཁོར
holy	དམ་པ
how	གང་འདྲ
learn	སྦྱང
necessary	དགོས
conclude	མཇུག་སྒྲིལ
possess	ལྡན
image	བཞིན
view	ལྟ་སྟངས
whatever	གང
again	སླར
live	གསོན
give	གནང
righteous	བཟང
maternal uncle	ཨ་ཞང
so	འོ་ན
together	མཉམ་དུ
guidance	འཁྲིད་སྟོན
need	དགོས་པ
self-awareness	རང་རྟོགས
kingdom	རྒྱལ་སྲིད
cardamom	ཀ་ཀོ་ལ
compassion	ཐུགས་རྗེ
mind	ཐུགས
compassion	སྙིང་རྗེ
grandfather	སྤོ་བོ
grandmother	རྨོ་མོ
spouse	ཟླ་བོ
merchant	ཚོང་པ
sale	ཚོང
secretary	དྲུང་ཡིག
author	རྩོམ་པ་པོ
author	རྩོམ་མཁན
nurse	ནད་གཡོག
scientist	ཚན་རིག་པ
craftsman	བཟོ་པ
buttercup	ལྕེ་ཚ
older sister	ཨ་ལྕག
turquoise	གཡུ
turquoise	གཡུ་ཁ
sister	སྲིང་མོ
clever	སྤྱང་པོ
turquoise	གཙུག་གཡུ
turquoise	གཡུ་ལོ
good	བཟང་ངན
good	བཟང་ཞན
good news	གཏམ་བཟང
pink	ཟིང་སྐྱ
pink	དམར་སྐྱ
short	ཐུང་ཐུང
orange	ལི་ཝང
gray	སྐྱ་བོ
lapis lazuli	མུ་མེན
very	ཞེ་དྲག
respect	ཞེ་ས
singer	དབྱངས་ཅན
Sarasvati	དབྱངས་ཅན་མ
Sarasvati	དབྱངས་ཅན་སྒྲོལ་མ
river	གཙང་པོ
kangaroo	ཁུག་བྱི
goral	ཁྲི་སྙན་ས་ལེ
dolphin	མཚོ་ཕག
hippopotamus	ཆུ་རྟ
skunk	ཏེ་ལོ
brown bear	དྲེད་མོང
squirrel	ནགས་བྱི
bonobo	བོ་ནོ་བོ
flying squirrel	བྱ་མ་བྱི
polar bear	བྱང་སྣེའི་དོམ་དཀར
red panda	བྱི་ལ་དོམ་ཆུང
mole	བྱི་ལོང
walrus	མཚོ་གླང
civet	ཞི་མི་ལིང་མོ
weasel	ཟེ་མོ་སེར་པོ
jackal	འཕར་བ
dhole	འཕར་སྤྱང
takin	ར་རྒྱ
leopard cat	རི་ཞི
zebra	རྐྱང་ཁྲ
cheetah	ཤ་གཟིག
killer whale	སྟག་ཆུ་སྲིན
platypus	སྲམ་ངང་མཆུ་ཅན
baboon	ཧྥེ་ཧྥེ
compassion	བྱམས་བརྩེ
make	བཟོ
instruction	སློབ་སྟོན
area	ས་ཕྱོགས
all	གང་ས
happy	སྐྱིད་པོ
method	སྟངས
life	འཚོ་བ
woman	བུད་མེད
wife	ཆུང་མ
hear	གོ
architecture	ཁང་རྩིག་བཟོ་རིག
lead	ཁྲིད
next	རྗེས་མ
vomit	སྐྱུག་པ་ཤོར
tears	མཆི་མ
injury	གནོད་པ་
inn	གནས་ཚང་
inkpot	སྣག་བུམ་
principle	ཚུལ
temple	ཁྲ་འབྲུག་ལྷ་གང
world	གནས་རྟེན
dharmachakra	ཚིག་མཛོད་ཆེན་མོ
dharmachakra	ཆོས་འཁོར་དང་དོན་གཅིག
attachment	ཞེན་འཛིན
trouble	རྙོག་ཟིང
lotus flower	མེ་ཏོག་པད་མ
egoism	རང་གཅེས་འཛིན
error	ལོག་ཤེས
illusion	སྒྱུ་མ
virtuous	དགེ
inattention	ཤེས་བཞིན་མིན་པ
forgetfulness	བརྗེད་ངས
harming	རྣམ་པར་འཚེ་བ
shamelessness	ངོ་ཚ་མེད་པ
man	སྐྱེས་བུ
garland	ཕྲེང
steel	དྭངས་ལྕགས
pelt	གབ་ཀོབ
jade	གཡང་དི
steam	རླངས་བ
moss	བི་ཆུ
confidence	གདིང
silk	དར་ཡབ
silk	དར་སྐུད
lance	མདུང་དར
silk paper	དར་ཤོག
most	ཤོས
incense	སྤོས
value	རིན་ཐང
egg	བྱ་འབྲས
father	ཨ་ཕ
demon	གདོན་འདྲེ
turquoise	གཡུ་མདོག
glacial	གཡུ་མཚོ
manure	ལུད
gentian	སྤང་རྒྱན
elder	རྒན
elder	རྒན་པོ
home	ཚང
string	རྒྱུད
knowledge	རྒྱུས
infectious	ནད་ཡམས
tassel	སྐྲ་གཞུག
egret	རྒྱ་བྱ་དཀར་མོ
wing	གཞོགས
seed	སོན་རྩ
seed	རྒྱུད་རྩ
cassava	ལ་ལྟོས
boar	ཕོ་ཕག
plough	ཐོང་བཤོལ
pasture	རྩྭ་ཁ
jade	གཡང་སྤྲུའུ
clay	འཇིམ་པ
thunder	འབྲུག་སྒྲ
longan	འབྲུག་མིག
nomad	འབྲོག་མོ
pasture	རྩྭ་ཐང
meadow	སྤང་ལྗོངས
meadow	སྤང་ཐང
forested	ནགས་རི
jungle	ནགས་ཚལ
forest	ནགས་ཐོན
mighty	དབང་ལྡན
ownerlessness	བདག་མེད
sky	མཁའ
vipassana	ལྷག་མཐོང
great	རྫོགས་ཆེན
meditative	སྙོམས་འཇུག
reflection	བསམ་པའི་སྟོབས
cinema	གློག་བརྙན་ཁང
snow lion	གངས་སེང་གེ
gankyil	དགའ་འཁྱིལ
wish-fulfilling gem	ཡིད་བཞིན་ནོར་བུ
sunyata	སྟོང་པ་ཉིད
mind section	སེམས་སྡེ
arhat	དགྲ་བཅོམ་པ
tablet	བྱང་བུ
tablet	ཐོ་དེབ
raincloud	ཆར་སྤྲིན
rainfall	ཆར་རྒྱུན
anicca	མི་རྟག་པ
mindfulness	དྲན་པ
Passaddhi	ཤིན་ཏུ་སྦྱང་བ
kileśa	ཉོན་མོངས
chanda	འདུན་པ
interest	མོས་པ
self-respect	ངོ་ཚ་ཤེས་པ
decorum	ཁྲེལ་ཡོད་པ
rainstorm	ཆར་རླུང
ammonia	ཟེ་ཚའི་རླངས་རླུང
rainfall	ཆར་ཞོད
automobile	སྣུམ་འཁོར
fog	ཁུག་སྣ
noblewoman	ཇོ་མོ
lady	ཐུ་མོ
leaf	འདབ་མ
snowflake	ཁ་འདབ
Terminalia arjuna	ཀ་ཁུ་བྷ་ཡ
song	མགུར་མ
publication	དཔེ་སྐྲུན
explanation	གསལ་བཤད
germinate	མྱུ་གུ་འབུས་པ
germinate	ས་བོན་སྨིན་པ
incense	བདུག་སྤོས
spikenard	སྤང་སྤོས
coffin	རོ་སྒམ
conclusion	མཇུག་བསྡོམས
conch	དུང་སྒོར
conch	དུང་དཀར
congregation	ཚོགས་སྡེ
conquer	དབང་སྒྱུར་བྱས
consecration	རབ་གནས
constellation	སྐར་མའི་ཆགས་སྟངས
coral	བྱུ་རུ
siddhi	དངོས་གྲུབ
Kalön	བཀའ་བློན
organization	སྒྲིག་འཛུགས
mint	ཕོ་བ་རིལ
Indian madder	བཙོད
lord	གཙོ
ewe	འབྲུག་མོ
Chamdo	ཆབ་མདོ
like	ནང་བཞིན
hungry	ལྟོགས་པ
surface	རྨ་ཁ
garden	ལྡུམ་ར
game	རི་དྭགས
flatulence	ཕྱེན
gift	ལག་རྟགས
pregnancy	མངལ་སྦུམ་པ
Yarlung Tsangpo	ཡར་ཀླུངས་གཙང་པོ
Japanese	ཉི་ཧོང
rose	རྒྱ་སེ
Czechia	ཅེ་ཁེ
January	ཟླ་བ་དང་པོ
February	ཟླ་བ་གཉིས་པ
March	ཟླ་བ་གསུམ་པ
April	ཟླ་བ་བཞི་པ
May	ཟླ་བ་ལྔ་པ
June	ཟླ་བ་དྲུག་པ
July	ཟླ་བ་བདུན་པ
August	ཟླ་བ་བརྒྱད་པ
September	ཟླ་བ་དགུ་པ
October	ཟླ་བ་བཅུ་པ
November	ཟླ་བ་བཅུ་གཅིག་པ
December	ཟླ་བ་བཅུ་གཉིས་པ
ground	གཞི
cilantro	བསོད་ནམས་དཔལ་འཛོམས
coriander	འུ་སུ
turmeric	སྒ་སེར
turmeric	ཡུང་བ
grape	རྒུན་འབྲུམ
platinum	གསེར་དཀར་པོ
soap	ཡི་ཙི
turquoise	བླ་གཡུ
turquoise	དྲུག་དཀར
protect	སྐྱོབ་པ
conduct	ཚུལ་ཁྲིམས
opinion	བསམ་ཚུལ
become	ཆགས
deep	ཟབ་པོ
evil	ཉེས་པ
demon	འདྲེ
excellent	མཆོག
hero	དཔའ་བོ
sin	སྡིག
number	ཨང་གྲངས
Islam	དབྱི་སི་ལམ་ཆོས་ལུགས
mosque	ཁ་ཆེའི་ཆོས་ཁང
lyrics	གཞས་ཚིག
keyboard	མཐེབ་གཞོང
molasses	བྱི་རིལ
Uranus	སྐར་མ་གནམ་རྒྱལ
Neptune	སྐར་མ་མཚོ་རྒྱལ
put	བཞག
inheritance	ནོར་སྐལ
molasses	བུ་རམ
legacy	ཤུལ་བཞག
dance	ཞབས་བྲོ
magazine	དུས་དེབ
surveillance	ལྟ་སྲུང
frost	སད
lord	རྗེ་བོ
iceberg	ཁྱགས་རི
hydrogen	ཡང་རླུང
helium	ཧེ་རླུང
sick	ནད་པ
information	གནས་ཚུལ
body	གཟུགས་པོ
