river	ab
moon	lúan
bright	solusta
brightness	solustacht
atom	atam
crook	cammóc
prince	prinnsa
-like	-amail
primacy	prímdacht
kingliness	rígdacht
taffrail	lipting
fox	crimthan
Manx	sibal
flatulence	gáethamlacht
flatulence	gáethmairecht
exile	deoraidecht
jury	coiste
twentieth	fichetmad
bring	dobeir
boy	maccoím
sultan	sabdán
heir	eigre
inheritance	eigrecht
fosterage	daltacht
lust	drúis
camp	longphort
curse	mallacht
kitten	caittín
England	Saxain
Britain	Breta
writing	screptra
uncouth	bachlachda
literary	literda
literature	literdacht
person	persanda
hawk	senén
priesthood	sacartacht
lifetime	saegulrad
secular	saegulta
horned	adarcach
priesthood	sacerdóite
prison	prísún
prisoner	prísúnach
cleverness	gliccus
poison	fí
property	ferannus
shoulder	gúala
load	gúalaire
travel	siblaid
before	ríam
ship	ciúil
strong	medb
fly	cuileóc
be	attá
head	cenn
marry	pósaid
dwarf	abacc
man	dóenda
humanity	dóendacht
humane	dóendachtach
natural	aicenta
archer	saigteóir
archer	bogatóir
quiver	saigetbolc
archer	saigtech
archery	saigteóracht
pleasure	oíbnius
seniority	sindsirrdacht
seniority	sinsirecht
alphabet	aibgitir
separate	deiligid
metropolitan	metrapolitan
viper	colubir
Norseman	Northmann
affection	báid
write	scríbnaigid
writer	scríbneóir
customary	nósmar
near	comgarach
near	comgar
Quran	Acurón
air	aerda
gold	afost
warrant	baránta
authority	barántas
authoritative	barántamail
protection	barántacht
baron	barún
oral tradition	béloides
woman	benagán
beer	beóir
speaker	bérlaid
comparison	baramail
female	mnáamail
fruitful	blichtmar
womanly	banamail
honor	míadamlacht
happiness	socamail
elegy	marbnad
have	fétaid
maiden	maigden
saltiness	sailltecht
image	ímáig
harp	cruittirecht
animate	ainmide
elm	lemán
brush	scúap
charity	cartóit
chastity	ógacht
legend	léigint
craft	saírsecht
childishness	lenmaidecht
youthful	ógánta
ash	fuinnseóg
dagger	gláede
early	mochtráth
frost	sicc
cheese	grús
enemy	náma
maidenhood	ingenas
youth	gillacht
boyhood	gillaighecht
ash	lúaith
one	óen
service	géilsinecht
hostageship	géilsine
hostageship	gíallacht
hostageship	gíallnus
chant	cantairecht
calm	reithinech
calm	reithine
metal	mital
wooden structure	crannóc
neck	brága
mineral	mían
vein	míanach
bird of prey	préchán
heaviness	tromdacht
heavy	tromaigid
grey	líathaid
charcoal	gúal
coal	gúalach
diminish	lagdaigid
foster brother	derbchomalta
nothing	neimní
foster brother	comalta
lump	cnocán
bell	clocán
bell	clocach
youth	gillanrad
pregnant	ingenach
army	slúagh
fletch	tinne
accommodation	ósta
in-law	clíamain
messenger	echlach
recollection	mebair
beard	grend
moment	mómint
ship	scáeth
foster	comaltas
eat	ithid
exiled	deoradach
youth	gillarad
cowardly	midlach
learned	sanusach
counting	comáirem
miner	míanaige
warfare	cathaigecht
darkness	dorchacht
encampment	longportach
ball	líathróit
sport	spled
bent	méin
horror	úathbás
boundary	crích
brotherly	bráithremail
destructiveness	bráthamlacht
destructive	bráthamail
malt	grutt
nail	tairnge
come	doicc
cowardice	midlachas
cowardice	midlaigecht
crowning	rígad
liver	áe
warlike	ánrata
horse	echall
ease	sádaile
smiting	forbba
Leinstermen	Laigin
come	dotét
war	badbda
sixth	seissed
seventh	sechtmad
ninth	nómad
thirtieth	tríchatmad
pour out	ardáili
revile	cáinid
expel	cartaid
look at	fégaid
grant	feraid
cut short	gerraid
protect	immdích
go	téit
sail	séolaid
extend	sínid
kiss	memm
marriage	pósad
swim	snáid
complaint	gerán
each	cach
brewer	scóaire
crosspiece	tarsna
when	in tan
rise	éirgid
protect	ditnid
fame	airdircus
seek	condaig
lord	tigerna
same	cétna
then	in tan sin
Liffey	Cúalu
Leitrim	Bréfne
at the same time	immallé
west	íarthar
hearth	tellach
first	cét-
trident	áel
first taking	cétgabáil
taking	gabáil
if	manitucad
however	immorro
thrust	tadall
first thrust	céttadall
