which	וועלך
priesthood	כּהונה
region	געגנט
Jewish Autonomous Oblast	ייִדישער אויטאָנאָמער געגנט
awe	ייִראת־הכּבֿוד
decade	יאָרצענדלינג
army	מיליטער
military	מיליטעריש
weaponry	געווער
future	וועט־זײַן
future	צוקונפֿט
past	פֿאַרגאַנגענהייט
cell phone	מאָביל־טעלעפֿאָן
car	אויטאָ
machine	מאַשין
vacuum cleaner	שטויבמאַשין
car	אויטאָמאָביל
automaton	אויטאָמאַט
autograph	אַווטאָגראַף
autonomy	אויטאָנאָמיע
autonomous	אויטאָנאָמיש
author	אויטאָר
pencil	בלײַער
face	געזיכט
merchandise	סחורה
capital	הויפּטשטאָט
fir	טענענבוים
Christmas tree	ניטלבוים
Christmas	ניטל
border	גרענעץ
bird	עוף
sidelock	פּאה
letter	בריוו
suddenly	מיט אַ מאָל
hatred	האַס
just	באשר
craziness	משוגעת
liquor	משקה
part	חלק
accusation	בלבול
finger	פֿינגער
error	טעות
pin	שפּילקע
astrological	מזל
voice	קול
black	שוואַרצער
צו	צום
prostitute	זונה
excommunication	חרם
miracle	נס
garment	בגד
lord	אדוני
revenge	נקמה
symbol	סימן
mushroom	שוועמל
spoon	לעפֿל
intestine	קישקע
Dr.	ד״ר
author	מחבר
wine	ווײַן
victim	קרבן
rip	ריס
thee	דיר
island	אינדזל
August	אויגוסט
thing	זאַך
object	חפֿץ
difficult	קשה
generation	דור
face	פרצוף
songsmith	מנגן
fate	מערכה
Sunday	זונטיק
Wednesday	מיטוואָך
Thursday	דאָנערשטיק
Friday	פֿרײַטיק
Gentile	גוי
Passover	מעות חטים
window	פֿענצטער
donkey	אייזל
if	מה־דאָך
music	מוזיק
milk	מילך
dowry	נדן
question	שאלה
Halacha	הלכה
garden	גן
culture	קולטור
dictionary	ווערטערבוך
activity	אַקטיוויטעט
idiot	שמאָק
forbidden	אסור
manly	מענלעך
table	טיש
rain	רעגן
religion	רעליגיע
word	וואָרט
honey	האָניק
word	ווערטער
snake	שלאַנג
sleep	שלאָף
sleep	שלאָפֿן
you	ענק
signature	חתימה
mirror	שפּיגל
medicine	מעדיקאַמענט
community	קהילה
wing	פֿליגל
syllable	טראַף
yarmulke	יאַרמלקע
moon	לבֿנה
sunny	זוניק
blood	בלוט
lake	אָזערע
אַלמנה	אלמנה
מוכר	מוכר־ספֿרים
curse	קללה
Yiddish	תּ
tradition	מסורה
probably	משמעות
you	דו
Irgun	ארגון
אַלטער	אַלטער קאַקער
son	בנים
verb	ווערב
German	דײַטש
sorcerer	מכשף
Judah	יהודה
bagel	בייגל
summer	זומער
January	יאַנואַר
February	פֿעברואַר
March	מאַרץ
April	אַפּריל
May	מײַ
September	סעפּטעמבער
November	נאָוועמבער
December	דעצעמבער
cosmos	קאָסמאָס
grammar	גראַמאַטיק
part of speech	ווערטערקלאַס
he	ער
basically	בעצם
Isaac	יצחק
regret	חרטה
citron	אתרוג
snow	שניי
woman	קימפּעטאָרין
knish	קניש
kugel	קוגל
tragedy	צרה
Mordecai	מרדכי
dark	טונקל
translation	איבערזעצונג
wolf	וואָלף
sky	הימל
kiss	קוש
influence	באַאײַנפֿלוסן
possible	מעגלעך
rainbow	רעגנבויגן
news	ידיעה
my	מײַן
dangerous	געפֿערלעך
goldsmith	גאָלדשמיד
black pepper	פֿעפֿער
corned beef	פּעקלפֿלייש
liver	לעבער
Italian	איטאַליענער
