1	၁
take	ယူ
wrong	မှား
quick	မြန်
slow	နှေး
bookshop	စာအုပ်ဆိုင်
pork	ဝက်သား
beef	အမဲသား
curry	ဟင်း
cooked rice	ထမင်း
shop	ဆိုင်
title	မယ်
noodle	ခေါက်ဆွဲ
chicken	ကြက်သား
house	အိမ်
how much	ဘယ်လောက်
telephone	တယ်လီဖုန်း
eleven	ဆယ့်တစ်
twelve	ဆယ့်နှစ်
twenty	နှစ်ဆယ်
twenty-one	နှစ်ဆယ့်တစ်
thirty	သုံးဆယ်
hundred	ရာ
one hundred	တစ်ရာ
one thousand	တစ်ထောင်
ten thousand	သောင်း
hundred thousand	သိန်း
hello	အမိန့်ရှိပါ
want	ချင်
be	ရှိ
bud	ဖူး
morning	နံနက်
nest	သိုက်
octopus	ဘဝဲ
chinlone	ခြင်းလုံး
congee	ဆန်ပြုတ်
can	နိုင်
today	ဒီနေ့
ကျေးဇူးတင်ပါတယ်	ကျေးဇူးတင်ပါတယ်
thank	ကျေးဇူးတင်
gratitude	ကျေးဇူး
ဒါပါပဲ	ဒါပါပဲ
friend	မိတ်ဆွေ
hate	မုန်း
abbot	ဆရာတော်
airplane	လေယာဉ်ပျံ
this	အနှီဟာ
be	ဖြစ်
examination	စာမေးပွဲ
နေကောင်း	နေကောင်း
နေကောင်းရဲ့လား	နေကောင်းရဲ့လား
pad	အခု
Thingyan	သင်္ကြန်
future	ရှေ့
in	အထဲ
appearance	အပြင်
on	အပေါ်
under	အောက်
only	တည်း
ballpoint pen	ဘောပင်
look	ကြည့်
stream	ချောင်း
put	ထား
shoe	ဖိနပ်
sarong	ထဘီ
trousers	ဘောင်းဘီ
sell	ရောင်း
how much	ဘယ်နှစ်
yet	ပြီ
shirt	အင်္ကျီ
pencil	ခဲတံ
cloth	ထည်
arrive	ရောက်
long time	ကြာကြာ
yesterday	မနေ့က
tomorrow	နက်ဖြန်
day after tomorrow	သဘက်ခါ
time	အချိန်
class	အတန်း
late	နောက်ကျ
it doesn’t matter	ကိစ္စမရှိပါဘူး
matter	ကိစ္စ
minute	မိနစ်
noon	နေ့လယ်
afternoon	ညနေ
strength	အား
ဘယ်လို	ဘယ်လို
be called	ခေါ်
want	လို
mile	မိုင်
climate	ရာသီဥတု
like this	ဒီလို
you’re welcome	ရပါတယ်
like	ကြိုက်
ဘယ်မှ	ဘယ်မှ
any	မှ
do	လုပ်
in order to	ဖို့
sequence	အစီအစဉ်
read	စာဖတ်
clerk	စာရေး
listen	နားထောင်
understand	နားလည်
excuse	ခွင့်လွှတ်
apologize	တောင်းပန်
slowly	ဖြည်းဖြည်း
want	အားနာ
quickly	အမြန်
many	များများ
well	ကောင်းကောင်း
soft	တိုး
softly	တိုးတိုး
a little	နည်းနည်း
quickly	မြန်မြန်
correctly	မှန်မှန်
often	ခဏခဏ
early	စောစော
happy	ပျော်
happily	ပျော်ပျော်
birthday	မွေးနေ့
လည်ချောင်း	လည်ချောင်း
banana	ငှက်ပျော
we	ကျွန်တော်တို့
lots of	-တွေ
you	ရှင်တို့
diglossic	-တို့
you	ခင်ဗျားတို့
enter	ဝင်
free	လွတ်လပ်
follow	လိုက်
shadow	အရိပ်
two hundred	နှစ်ရာ
knife	ဓား
music	ဂီတ
Japan	ဂျပန်
radio	ရေဒီယို
difficult	ခက်
pretty	လှ
hide	ဝှက်
thanakha	သနပ်ခါး
forget	မေ့
ask	မေး
edge	စပ်
boil	ကျို
pain	နာ
rubber	ရော်ဘာ
cry	ငို
brown	ညို
side	ဘက်
grandchild	မြေး
corner	ထောင့်
that	အဲဒီ
map	မြေပုံ
accept	လက်ခံ
accidentally	မတော်တဆ
accountant	စာရင်းကိုင်
Wikipedia	ဝီကီပီးဒီးယား
cremation	ဈာပန
run	ပြေး
paper	စက္ကူ
silent	တိတ်
syringe	ပြွတ်
motorcycle	မော်တော်ဆိုင်ကယ်
mushroom	မှို
glasses	မျက်မှန်
driver	ယာဉ်မောင်း
peanut	မြေပဲ
Happy New Year	နှစ်သစ်ကူး မင်္ဂလာပါ
refrigerator	ရေခဲသေတ္တာ
washing machine	အဝတ်လျှောက်စက်
password	စကားဝှက်
dialect	ဒေသိယစကား
bag	အိတ်
temperature	ပြဒါးချိန်
group	အစု
onion	ကြက်သွန်နီ
naan	နံပြား
bread	ပေါင်မုန့်
weight	အလေး
mistake	အမှား
scissors	ကတ်ကြေး
zodiac	ရာသီ
wife	ဇနီး
wheat	ဂျုံ
arrow	မြား
voice	အသံ
ဒဏ်ရာ	ဒဏ်ရာ
question	ပုစ္ဆာ
question	အမေး
roof	အမိုး
glow	အရောင်
nat	နတ်
ink	မင်
dim	မှုန်
chair	ထိုင်ခုံ
powder	အမှုန့်
nirvana	နိဗ္ဗာန်
midwife	လက်သည်
midwife	ဝမ်းဆွဲ
oil	ဆီ
dollar	ဒေါ်လာ
shape	ပုံ
stupa	ဓာတ်ပုံ
chair	ကုလားထိုင်
bedroom	အိပ်ခန်း
toilet	အိမ်သာ
karanda	ခံ
acid	အက်စစ်
letter	အက္ခရာ
computer	ကွန်ပျူတာ
eye	မျက်-
eyelash	မျက်တောင်
lens	မှန်ဘီလူး
very	အရမ်း
we	ကျွန်မတို့
England	အင်္ဂလန်
face	မျက်နှာ
North America	အမေရိက
kind	မျိုး
nationality	လူမျိုး
sarus crane	ကြိုးကြာ
here	ခဲ့
teach	သင်
easy	လွယ်
မြို့	ပုဂံ
Kengtung	ကျိုင်းတုံ
မြို့	မော်လမြိုင်
မြို့	အင်းဝ
မြို့	ထားဝယ်
မြို့	ပဲခူး
မြို့	ပုသိမ်
also	လည်း
what about	ကော
bucket	ပုံး
newspaper	သတင်းစာ
cheap	ဈေးချို
all right	နော်
needle	အပ်
in order to	အောင်
ဘယ်လောက်လဲ	ဘယ်လောက်လဲ
monastery	ဘုန်းကြီးကျောင်း
classroom	စာသင်ခန်း
park	ပန်းခြံ
brick building	တိုက်
post office	စာတိုက်
bank	ဘဏ်တိုက်
tea room	လက်ဖက်ရည်ဆိုင်
movie	ရုပ်ရှင်
office	ရုံး
embassy	သံရုံး
game	အားကစား
song	သီချင်း
Thailand	ထိုင်း
some	တချို့
လုပ်	အ-
Maha-Radza Weng	မဟာ ရာဇဝင်တော်ကြီး
parabaik	ပုရပိုက်
want	လိုချင်
idea	အကြံ
work	အလုပ်လုပ်
compress	သိပ်
already	ပြီးပြီ
common parlance	ဝေါဟာရ
avoid	ကြဉ်
Hindi	ဟိန္ဒီ
really	တကယ်
agree	သဘောတူ
no	ဟင့်အင်း
catch	ဖမ်း
bake	ဖုတ်
chin	မေးစေ့
build	ဆောက်
but	ဒါပေမဲ့
clever	တော်
cloth	ပိတ်
disaster	ဘေးဆိုး
drive	မောင်း
weak	အားနည်း
poison	အဆိပ်
tweezers	ဇာဂနာ
calf	သလုံး
axe	ပုဆိန်
wake up	နိုး
jump	ခုန်
kneel	ဒူးထောက်
spider	ပင့်ကူ
carry	သယ်
rabbit	ယုန်
chili	ငရုတ်
storm	လေမုန်တိုင်း
betel	ကွမ်းရွက်ပင်
hooligan	လမ်းသရဲ
paan	ကွမ်းယာ
constitution	ဖွဲ့စည်းပုံအခြေခံဥပဒေ
water buffalo	ကျွဲ
potato	အာလူး
bicycle	စက်ဘီး
ask	ပန်
press	ပိ
dull	မွဲ
to	ထံ
covering	ခွံ
knob	ဘု
cover	မံ
hair	ကေ
say	ဟူ
untie	ဖြေ
you	ညည်း
pen	ကလောင်
chariot	ရထား
hat	ဦးထုပ်
feverish	ဖျား
fever	အဖျား
base	အခြေ
child	သူငယ်
complete	ငံ
မြို့	မဲဆောက်
once and for all	ကုန်ကုန်
tremblingly	ချဲ့ချဲ့
buoyantly	စွေ့စွေ့
steadfastly	တံ့တံ့
distinctly	ပီပီ
softly	ပျပျ
complete	ပြင်ပြင်
copiously	ဖျင်ဖျင်
profusely	ဖြောဖြော
unremittingly	ဖြော်ဖြော်
upright	မတ်မတ်
on one's last legs	ယဲ့ယဲ့
delightedly	ရမ်းရမ်း
indistinctly	ရိပ်ရိပ်
ordinary	ရိုးရိုး
hazily	ရေးရေး
bravely	ရဲရဲ
swiftly	ရွတ်ရွတ်
smithereens	ရွပ်ရွပ်
lightly	ရွရွ
freely	ရှင်ရှင်
openly	ရှင်းရှင်း
wearily	လဲ့လဲ့
at once	လောလော
completely	လုံးလုံး
lengthwise	လျားလျား
thinly	လှပ်လှပ်
thoroughly	လှလှ
languidly	လှုပ်လှုပ်
joyfully	လှုလှု
totally	သစ်သစ်
clamourously	သောသော
faintly	သဲ့သဲ့
vaguely	သံ့သံ့
continuously	သွင်သွင်
urgently	သွတ်သွတ်
toweringly	သွန်းသွန်း
raging	ဟူးဟူး
along	အတူ
loudly	အိုင်အိုင်
short time	ခေတ္တ
slightly	ငွေ့ငွေ့
morosely	ငူတူတူ
due	စူးစူး
pristinely	ဆွဆွ
stridently	ညံစာစာ
tautly	တင်းတင်း
askew	တစောင်း
in advance	တင်ကူး
waft	ဖြူး
thoroughly	တန
wrongly	တလွဲ
thoroughly	နာနာ
in pairs	ဒွယံဒွယံ
in pairs	အစုံအစုံ
wife	အိမ်သူ
garden	ဥယျာဉ်
red	အနီ
until	အထိ
mathematics	သင်္ချာ
moon	စန္ဒာ
sandstone	သဲကျောက်
address	လိပ်စာ
ram	သိုးထီး
drone	ပျားထီး
ewe	သိုးမ
he-cat	ကြောင်ထီး
he-goat	ဆိတ်ထီး
nanny goat	ဆိတ်မ
she-cat	ကြောင်မ
niece	တူမ
tigress	ကျားမ
mare	မြင်းမ
doe	သမင်မ
lioness	ခြင်္သေ့မ
lion cub	ခြင်္သေ့ကလေး
lion	ခြင်္သေ့
foal	မြင်းကလေး
filly	မြင်းမကလေး
kitten	ကြောင်ကလေး
sweetheart	ရည်းစား
lard	ဝက်ဆီ
boar	ဝက်ထီး
sow	ဝက်မ
chorus	သံပြိုင်
telephone number	ဖုန်းနံပါတ်
friend	သူငယ်ချင်း
this one	ဒီဟာ
that one over there	အဲဒီဟာ
taxi	တက္ကစီ
bus	ဘတ်စ်ကား
bus station	ကားဂိတ်
aircraft	လေယာဉ်
train	မီးရထား
pedicab	ဆိုက်ကား
Germany	ဂျာမန်
France	ပြင်သစ်
horsecart	မြင်းလှည်း
လက်ဖက်ရည်	လက်ဖက်ရည်
snack	မုန့်
blue	အပြာ
green	အစိမ်း
yellow	အဝါ
brown	အညို
black	မည်း
black	အမည်း
black	အနက်
white	အဖြူ
Germany	ဂျာမနီ
Asia	အာရှ
Europe	ဥရောပ
Africa	အာဖရိက
time	ခါ
doctor	ဆရာဝန်
hello	ဟဲလို
television	တယ်လီဗီးရှင်း
surprise	ဪ
comma	၊
diglossic	၍
ditto	၎
of	၏
remember	မှတ်မိ
oar	တက်
soft	ပျော့
street	လမ်းကြား
barnacle	ခရင်း
noun	နာမ်
people	ပြည်သူပြည်သား
တော်ပြီ	တော်ပြီ
expensive	ဈေးကြီး
food	အစား
food	အစားအစာ
verb	ကြိယာ
government	အစိုးရ
sky	အာကာသ
tractor	ထွန်စက်
republic	သမ္မတနိုင်ငံ
fashion	ဖက်ရှင်
touchstone	မှတ်ကျောက်
charcoal	မီးသွေး
flintlock	ကျောက်မီး
shepherd	သိုးထိန်း
kennel	ခွေးအိမ်
islet	ကျွန်းကလေး
cast iron	သံကြွပ်
wrought iron	တေသံ
magnet	သံလိုက်
magnetic field	သံလိုက်စက်ကွင်း
menstruate	သွေးပေါ်
blood type	သွေးအုပ်စု
butter	ထောပတ်
mustard oil	မုန်ညင်းဆီ
coconut oil	အုန်းဆီ
company	ကုမ္ပဏီ
pronunciation	အသံထွက်
president	သမ္မတ
gasoline	ဓာတ်ဆီ
magazine	မဂ္ဂဇင်း
Internet	အင်တာနက်
ကျောင်းသုံးစာအုပ်	ကျောင်းသုံးစာအုပ်
consonant	ဗျည်း
vowel	သရ
fence	ခြံ
relic	ဓာတ်
go out	ထွက်
bar	အရက်ဆိုင်
liquid	ရည်
harrow	ထွန်
turmeric	နနွင်း
peach	မက်မွန်
လက်ကိုင်ပဝါ	လက်ကိုင်ပဝါ
scarf	ပဝါ
လိုဏ်ခေါင်း	လိုဏ်ခေါင်း
cave	လိုဏ်
sweet-and-sour	ချိုချဉ်
testicle	ဝှေးစေ့
melon	သခွားမသီး
melon	ဖရုံ
activity	အလုပ်
adjective	နာမဝိသေသန
movie	ဇာတ်ကား
factory	စက်ရုံ
bioscope	ဘိုင်စကုတ်
trade	အရောင်းအဝယ်
politics	နိုင်ငံရေး
Negro	ကပ္ပလီ
grape	စပျစ်
vehicle	ယာဉ်
flag	အလံ
law	ဥပဒေ
club	ကလပ်
chance	အခွင့်
မြို့	ဗီယင်ကျန်း
news	သတင်း
mohinga	မုန့်ဟင်းခါး
poem	ကဗျာ
literature	စာပေ
medicine	အာယုဗ္ဗေဒ
ကြိယာဝိသေသန	ကြိယာဝိသေသန
litre	လီတာ
metre	မီတာ
ကျင်ချောင်း	ကျင်ချောင်း
vagina	ယောနိ
anus	စအို
manager	မန်နေဂျာ
ရဲသား	ရဲသား
police	ပုလိပ်
တရားခံ	တရားခံ
ဝန်ကြီး	ဝန်ကြီး
window	ပြတင်းပေါက်
လေသာပေါက်	လေသာပေါက်
death	မရဏ
ဇာတ်ရုံ	ဇာတ်ရုံ
သေခြင်း	သေခြင်း
passport	ပတ်စပို့
gram	ဂရမ်
program	ပရိုဂရမ်
café	ကဖီး
ဆေးဆိုင်	ဆေးဆိုင်
အချက်အလက်	အချက်အလက်
ngapi	ငါးပိ
taste	အရသာ
taste	ရသ
matter	ဝတ္ထု
certificate	လက်မှတ်
rubbish	အမှိုက်
glad	ဝမ်းသာ
cave	ဂူ
cross	ကူး
free of charge	အခမဲ့
observe	လေ့လာ
သင်ကြား	သင်ကြား
skirt	စကတ်
ဖုန်စုပ်စက်	ဖုန်စုပ်စက်
volcano	မီးတောင်
ဟင်းသီးဟင်းရွက်	ဟင်းသီးဟင်းရွက်
လက်အိတ်	လက်အိတ်
သစ်ကုလားအုတ်	သစ်ကုလားအုတ်
hippopotamus	ရေမြင်း
democracy	ဒီမိုကရေစီ
ballet	ဘဲလေး
gun	သေနတ်
leopard	ကျားသစ်
thief	သူခိုး
pineapple	နာနတ်
fly	ယင်ကောင်
ant	ပုရွက်ဆိတ်
ant	ပုရွက်
Bangladesh	ဘင်္ဂလားဒေ့ရှ်
Italy	အီတလီ
soap	ဆပ်ပြာ
rain shower	သင်္ကြန်မိုး
crab	ကဏန်း
crocodile	မိကျောင်း
festival	ပွဲတော်
politeness	ယဉ်ကျေးမှု
အယူဝါဒ	အယူဝါဒ
belief	အယူ
belief	ဝါဒ
massage	အနှိပ်
affection	အချစ်
affectionate	ချစ်ခင်
love	မေတ္တာ
television	ရုပ်မြင်သံကြား
murder	လူသတ်မှု
telephone	စကားပြောကြေးနန်း
human being	မနုဿ
မြို့	စစ်ကိုင်း
မြို့	မြစ်ကြီးနား
feature	လိင်
sexual intercourse	သံဝါသ
waterfall	ရေတံခွန်
ရေခဲမုန့်	ရေခဲမုန့်
page	စာမျက်နှာ
party	ပါတီ
parents	မိဘ
monarch	ဘုရင်
ခရီးသည်	ခရီးသည်
journey	ခရီး
-er	သည်
mobile phone	မိုဘိုင်းလ်ဖုန်း
strom	မုန်တိုင်း
Cambodia	ကမ္ဘောဒီးယား
Vietnam	ဗီယက်နမ်
Korea	ကိုရီးယား
Khmer	ခမာ
north	မြောက်
east	အရှေ့
Mongolia	မွန်ဂိုးလီးယား
Spain	စပိန်
Canadian	ကနေဒါ
Malaysia	မလေးရှား
Indonesia	အင်ဒိုနီးရှား
နိုင်ငံ	စင်ကာပူ
beetle	ပိုးတောင်မာ
today	ယနေ့
ကားရုံ	ကားရုံ
help	ကူညီ
help	ကူ
postcard	ပို့စကတ်
တံဆိပ်ခေါင်း	တံဆိပ်ခေါင်း
holiday	အလုပ်ပိတ်ရက်
holiday	အားလပ်ရက်
younger brother	မောင်
string	အမျှင်
thread	အပ်ချည်
Iran	အီရန်
New Zealand	နယူးဇီလန်
Brunei	ဘရူနိုင်း
tunnel	ဥမင်
fence	စည်း
partition	အကာ
tortoise	လိပ်
stain	အစွန်း
face towel	မျက်နှာသုတ်ပဝါ
napkin	လက်သုတ်ပဝါ
box	သေတ္တာ
လက်ဆွဲသေတ္တာ	လက်ဆွဲသေတ္တာ
carpet	ကော်ဇော
နိုင်ငံသား	နိုင်ငံသား
helicopter	ဟယ်လီကော့ပတာ
blog	ဘလော့ဂ်
မြို့	တောင်ကြီး
cup	ပန်းကန်
ရေခွက်	ရေခွက်
cup	ခွက်
အဝတ်အစား	အဝတ်အစား
clothing	အဝတ်
layer	အထပ်
stadium	စတေဒီယံ
မီးခြစ်	မီးခြစ်
တိရစ္ဆာန်ရုံ	တိရစ္ဆာန်ရုံ
paddy field	လယ်
နန်းတော်	နန်းတော်
parcel	ပါဆယ်
queen	မိဖုရား
ဘုရင်မ	ဘုရင်မ
battery	ဘက်ထရီ
camp	စခန်း
robot	စက်ရုပ်
sofa	ဆိုဖာ
stairs	လှေကား
socks	ခြေအိတ်
chocolate	ချောကလက်
lantern	မီးအိမ်
မီးခွက်	မီးခွက်
shine	ထွန်း
tofu	တိုဟူး
tool	ကိရိယာ
toy	ကစားစရာ
hamburger	ဟမ်ဘာဂါ
beer	ဘီယာ
beer	ဗျစ်
sky	ကောင်းကင်
လည်စည်း	လည်စည်း
T-shirt	တီရှပ်
wax	ဖယောင်း
candle	ဖယောင်းတိုင်
video	ဗီဒီယို
စစ်တပ်	စစ်တပ်
extent	အကျယ်
region	ဒေသ
stockings	မော်ဇာ
earrings	နားကပ်
earrings	နားကွင်း
စီးပွားရေး	စီးပွားရေး
ပညာရေး	ပညာရေး
exercise	လေ့ကျင့်ခန်း
practice	လေ့ကျင့်
paratha	ပလာတာ
ထောပတ်သီး	ထောပတ်သီး
ဒိန်ခဲ	ဒိန်ခဲ
pork sausage	ဝက်အူချောင်း
တောင်ကြား	တောင်ကြား
visa	ဗီဇာ
vinegar	ရှလကာရည်
weapon	လက်နက်
wharf	ဆိပ်
သင်္ဘောဆိပ်	သင်္ဘောဆိပ်
ဆိပ်ကမ်း	ဆိပ်ကမ်း
wages	လုပ်ခ
signboard	ဆိုင်းဘုတ်
abhor	စက်ဆုပ်
wait	စောင့်
interest	ဝါသနာ
escalator	စက်လှေကား
enemy	ရန်သူ
စွမ်းအင်	စွမ်းအင်
cucumber	သခွား
boy	ချာတိတ်
မိန်းကလေး	မိန်းကလေး
girl	သူငယ်မ
little girl	ကောင်မလေး
whale	ဝေလငါး
dolphin	လင်းပိုင်
dinosaur	ဒိုင်နိုဆော
Portugal	ပေါ်တူဂီ
engine	အင်ဂျင်
poster	ပိုစတာ
Christmas	ခရစ္စမတ်
Christmas	နာတာလူးပွဲ
cake	ကိတ်မုန့်
မုန်လာဥဝါ	မုန်လာဥဝါ
Greece	ဂရိ
new	ဆန်း
consultant	အတိုင်ပင်ခံ
human	ပုဂ္ဂိုလ်
railway	သံလမ်း
Islam	အစ္စလမ်
Jesus	ယေရှု
