big	be
chuckle	mikimokimoka
church	eglizy
cicada	jorery
cinnamon	kanelina
circle	fangi-bolana
umbilical cord	didiam-poitra
circumference	faribolana
circumflex accent	tendro satroka
citizen	vahoaka
city	tanambe
city hall	lapan'ny tanana
civet	alazy
civil servant	mpanao fanjakana
civil war	ady an-trano
claim	fari-bava
clamour	fintsam-bava
clang	mikarantsana
clapper	kiborin-dakolosy
clasp	mamihina
clean	madio
cleansing	fanadiovana
cleaver	antsibe
mercy	famindram-po
click	mikitrankitrana
climate	toe-tany
climb	fiakarana
cling	mifihitra
clip	mamangitra
cloaca	faratsinaibe
cloak	kapaoty
clock	famantaranandro
clod	bainga
closure	hidy
cloth	gongoro
clothes-brush	borosin-akanjo
clothing	akanjo
cloud	rahona
clove	jirofo
club	kibay
clumsy	badrahodra
cluster	salohy
clutch	hehitra
coal	arintany
coarse	batritra
coastal region	amorontsiraka
coat	mandalotra
plating	ankosotra
coax	manambitamby
cob	taolan-katsaka
cockroach	kalabe
coconut	dafo
coconut	voaniho
coequal	vaoharo
coin	vola madinika
collapse	fianjerana
collar	vozon' akanjo
collar-bone	taolampanavy
collect	mamongobongo
collecting	fanantazana
collection	firaketana
college	kolejy
colony	zanatany
colored	lokoana
coloured	voarangy
comb	fihogo
combination	fampikambakambanana
come	fanalefahan-tsazy
comfort	fiononana
commission	raha ampaitra
commissioner	fanilo
committee	komity
commoner	bozaka aman' ahitra
commotion	mihotakotaka
communion	kominio
communism	kominisma
Communism	kômonisma
company	fahitr' olona
compare	mampitaha
compensation	onitra
competition	fifaninanana
complaint	fitarainana
completion	fahafenoana
compliment	fiarahabana
composure	fiadanana
compound	fantana
compromise	elanelam-panahy
comradeship	fihavanana
concave	kaoka
concavity	lempona
concept	hevitra
concern	ahiahy
concert	konseritra
formal meeting	anjaika
concurrent	mandia aloka
violent fall	dalaboboka
condemnation	heloka
condemned	helohina
conflict	adiady
confluence	vinany
conjecture	fanao fotsy
conjugate	mitanisa
conjunction	mpampitohy
conjuration	fankatovana
connection	fanohizana
conqueror	kalaza
close relative	atin-kavana
conscience	fieritreretana
conscience	fahatsiarovantena
consecration	fanokanana
produce	vokatra
console	mampionona
consonant	rcaisoratra
constable	polisy
consternation	mivarahontsana
constraint	geka
construct	mandrafitra
consulate	tranon'ny konsily
consult	mioko
consumption	fandaniana
contact	fifampikasohana
contagious illness	areti-mifindra
contemporary	zaza indray mihira
content	finaritra
continent	mahafady
contrition	fanenenana
control	fehy
convalescent	manaritra
convention	fifanarahana
conversation	dinika
converse	midinika
cook	mahamasaka
cooking	handro
copy	fandikana
copyright	zom-pamorona
coral	haran-dranomasina
plug	atsentsina
corkscrew	fanalana bosoa
corn	katsaka
cornea	fitaratry ny maso
corner	zoro
cornerstone	fehizoro
corporal	kaporaly
corporation	kompania
corpse	faty
corpulence	hatavezana
corridor	lalantsara
corrugation	fintina
corruption	fahalovana
corset	fitizy
cotton	hasy
cough	kohaka
count	manisa
counting	fanisana
countryside	ambanivohitra
countryman	tantsaha
courage	herim-po
court	fitsarana
courtier	tandapa
cover	fonom-boky
cow	omby
coward	fananga
cowardice	fahosana
cowpox	nendran' omby
crack	mivavavava
crackle	mikepoka
craft	fangopangoka
cravat	fehitenda
craving	haokaoka
craw	takorobabo
crawl	Fomba filomanosana
crayfish	orambato
foolish	adala
make something creak	adilotra
cream	hero-dronono
creature	zavatra noforonina
credit	voaka
creep	mandady
creole	kiriolona
between	antsefatsefany
cricket	angely
crime	heloka bevava
criminal	meloka
error	fahadisoana
cripple	mahavoa kilema
criticism	tsikera
croak	migoraidraika
crop	miraoka
crossbreed	zafindraony
crossroad	sakeli-dalana
crouch	mamitsaka
large group	andiany
crown	satroboninahitra
crucible	memy
crumble	mirodana
crumple	mamozafoza
crush	manamontsamontsana
crystal	kristaly
cubit	hakiho
Coua reynaudii	fandikanala
cull	mifantina
cultivation	voly
cunning	be hevitra
cup	kaopy
cupidity	ngoaina
curl	mamonkina
curse	mamotitra
curve	faraingo
law	didin-tany
cut off	fongotra
cute	mahafatifaty
cutting	fanapahana
cyst	voavary
daily	isan'andro
dale	hadilanana
force	ankaso
damp	etona
foot	dadamanainga
dance	dihy
dandruff	angadrano
extremely dark	alim-pito
Microcarbo africanus	famefakangaty
dash	mandaboboka
date	daty
daughter	faravavy
daughter-in-law	vinanto
day after tomorrow	afakampitso
day before yesterday	afakomaly
day pupil	kilasimody
daybreak	mazava atsinanana
full daylight	antoandro
midday	antoandrobenanahary
deacon	diakona
dead	afaka aina
deaf	marenina
dear	lalaina
death	ai-miampify
deceiver	fatsora
December	desambra
decision	fanapahan-kevitra
decorate	ahaingo
decrease	miandalana
dedication	fitokanana
old	antitra
defeat	faharesena
narrow valley	bangoa
defy	maninana
level	ambaratonga
dejection	ondrika
delay	mahaela
delicacy	fitelemana
gratification	aram-po
deluge	safo-drano
delve	mangady
demand	mitaky
demander	mangataka
demean	mihosina
