more	tan
lazy	kayang
belt	sinturon
government	gobyernu
diamond	brilyante
ten	fulu
stick	barabay
post	arigi
nosebleed	panggung
we	kitam
market	palengke
intestine	sinay
house	binalay
person	tawlay
wing	pappak
rat	bukat
grass	kaddat
flower	lappaw
wind	babbag
cloud	dulam
fire	afuy
lightning	kilakilat
thunder	addug
heavy	dammat
narrow	atallin
small	bullak
left	wigi
short	alinak
nine	syam
twenty	adwafulu
hundred	gatut
fifty	limafulu
how	kassandi
he	baggina
far	kaiwan
near	gubin
mosquito	kamug
road	daddaman
vine	lanut
ant	taggam
eggplant	balansinat
fool	balangkag
laundry	bambal
fishhook	banwet
mumps	basingil
lizard	basikut
urinary	basisaw
sneeze	basiyan
guava	bayabat
marrow	uruhng
husk	upak
nest	umuk
thigh	uffu
light	uddu
spring	ubbung
calf	ubban
uterus	alugganakan
monkey	ayong
taunt	ayayat
fart	attut
stump	attud
fool	attit
joke	atatub
starch	atawli
church	assimban
rice	assip
steam	assup
flea	assamal
puppy	asitu
earring	aritus
breakfast	arimusal
effort	aresga
snore	aranggok
plow	aradu
diaper	appin
surname	apilyidu
pin	apili
hunt	anup
locust	annun
fifty	annamafulu
flood	annab
shadow	aninu
whisper	anibib
tadpole	angulolu
body odor	anggi
heron	andagwak
poison ivy	allalatang
key	alladdu
firefly	alipappat
wire	alambri
waist	akkawangan
spider	akakawa
doormat	agirerattan
crab	agatul
chicken	afungat
fontanelle	abungubungu
lawyer	abugadu
cover	abbung
riddle	lagunut
bastard	labwag
cricket	kuryat
fever	kulikug
butterfly	malibamban
scorpion	malagama
lump	fukkal
afternoon	fugab
grasshopper	durun
feather	dudut
dusk	dilam
shore	dappit
sap	dannu
again	damman
mudfish	daluhg
house	daluduk
pimple	dagiwat
booger	daggang
carabao	daffug
mud	buyun
travel	byahe
pubic hair	bumbul
rice	bumbug
naked	boyang
testicle	latag
morning	lelaw
procession	lehwan
kind	lidag
roasted	lityon
armpit	lukek
earthquake	lunig
knife	kutyilyu
sawdust	kusut
too	kuruga
flicker	kurap
slippery	kundag
dandruff	kugipa
car	kotye
electricity	koryente
farmer	kosetyero
noise	kongit
toothpaste	kolgeit
toilet	kobeta
ring	kiring
elbow	kidag
infected	kepal
parent-in-law	katugangan
surprise	kattut
bite	kassib
neighbor	karruba
match	kasafego
sheep	karneru
throat	karalong
earthworm	karalang
side	karalet
cousin	kapitta
bedbug	kannit
candle	kandelat
tomato	kamasit
clitoris	tunggil
fork	tunidor
labor pain	tuliwan
fishy	nanguht
content	nagyan
mad	muyung
male	maninsig
two	tugud
common cold	siffun
tailor	sastri
postage	selyu
doll	sassanat
right now	sawwe
firefly	sigarafuy
east	silawan
harmonica	silindru
chin	simid
wild	simaron
cement	simintu
loose	sinsilyu
slippers	sinyelas
toothbrush	sipilyu
bill	sippit
cicada	sirag
opening	siwang
floor	swelu
ninety	syamafulu
rib	tagang
comb	tagetay
west	taggapan
cricket	taginsak
walking	tagukud
coward	talagguhn
kingfisher	talattak
bridge	taletay
upper	tallang
seldom	tallutaggik
forest	talun
thirty	talwafulu
slap	tampal
finger	tamuru
escape	tamuhng
fang	tanggil
nape	tangngad
middle	tangnga
hornet	tappak
talkative	tarabitab
crow	tarauk
mushroom	taruluk
only	papandan
handkerchief	panyok
cheek	paringil
iron	parensa
yoke	parakol
harrow	paragut
nephew	panganakan
pepper	pamyenta
paddle	paluga
catfish	paltat
slingshot	palsik
fin	palepped
stair	palikad
applause	palappak
cart	palakapak
breadfruit	pakak
place	pagginan
rice	pagay
pinch	paddit
gum	ngarud
voice	ngaral
yesterday	nufugab
business	nigosyo
short	nuwani
thigh	ilal
sun	igaw
tail	ifut
drool	ibag
judge	hwes
just then	hustuhustu
cage	haola
thumb	gundarakal
sow	gukung
intentionally	gugurat
kind	golagola
gap	giwang
slice	girit
dust	girafuk
index finger	gintuturu
corner	giral
then	gindan
shout	girawa
hip	gatud
milk	gattak
seedling	gassik
Spanish	Gassilang
scissors	garsib
glass	garafon
scrape	garaggad
kind	gannud
goat	ganding
saw	ganggal
line	gallit
habit	gagangay
hoe	gabyon
debris	gabat
pillow	fungan
navel	futag
mound	futtul
pubic	fukkul
white	fullaw
deep	fulikat
mother	fukkanenam
fried	fritu
family	familya
damn	fakkangenana
mirror	espehu
exercise	eksersisyu
starfruit	dullungan
bolo	dukyal
kind	dudul
debate	dibate
leg	dantay
where	dansaw
knock-kneed	dangkul
kind	damilig
temporary	damara
earthen	dalikan
blame	dakig
strong	dagguht
violin	byulin
Friday	Byernis
bottle	butelya
tummy	bussut
anal	bungug
dynamite	bungbung
crocodile	bukarut
vote	botu
star	bitun
gizzard	bitugal
bamboo	bombong
knot	bittul
hunger	bisin
coconut	bingkan
thread	binola
dragonfly	birang
bamboo	billak
kind	binallay
wine	binarayan
hairknot	bikul
bladder	baruk
kind	basikul
king	patul
chair	pattugungan
catfish	pattat
uncle	tiyu
scratch	kerrit
