piously	pie
alphabet	alfabeto
tearily	larme
wall	muro
moo	muu
Easter	pasko
manner	mise
personal	persona
gradually	grade
violet	viola
plus	plus
after	post
pestilence	pesto
Mars	Marso
zephyr	zefiro
zygoma	zigomo
present	nuna
zoologist	zoologo
golden	ora
densely	dense
Jew	hebreo
telephone	telefono
thousand	mil
Kanado	Idaho
Native American	Indiana
Miĉigano	Ohio
man	viro
future	futuro
Rhine	Rejno
use	uzi
dogmatic	dogma
my	mia
karmic	karma
bee	abelo
fir	abio
abomination	abomeno
have	aboni
apricot	abrikoto
abscess	absceso
wormwood	absinto
maple	acero
goodbye	adiaŭ
adjective	adjektivo
administer	administri
admire	admiri
admonish	admoni
worship	adori
adultery	adulti
adverb	adverbo
air	aero
affable	afabla
affect	afekti
thing	afero
age	aĝo
annoyance	agaco
eagle	aglo
tune	agordi
agreeable	agrabla
garlic	ajlo
-ever	ajn
tick	akaro
accelerate	akceli
accent	akcento
accept	akcepti
hawk	akcipitro
acquire	akiri
pimple	akno
accompany	akompani
sharp	akra
locust	akrido
axle	akso
give birth	akuŝi
accusative	akuzativo
water	akvo
lark	alaŭdo
kingfisher	alciono
other	alia
moose	alko
monotonously	monotone
at least	almenaŭ
alms	almozo
alder	alno
high	alta
altar	altaro
marshmallow	alteo
alternate	alterni
match	alumeto
alum	aluno
mass	amaso
both	ambaŭ
anvil	amboso
starch	amelo
amphibian	amfibio
friend	amiko
court	amindumi
bribe	subaĉeti
expose	aerumi
surly	malafabla
midwife	akuŝistino
ammonia	amoniako
extent	amplekso
amuse	amuzi
membership	anaro
pineapple	ananaso
duck	anaso
common eider	molanaso
angel	anĝelo
eel	angilo
corner	angulo
soul	animo
anise	anizo
also	ankaŭ
still	ankoraŭ
anchor	ankro
announce	anonci
goose	ansero
instead of	anstataŭ
place	anstataŭi
before	antaŭ
apron	antaŭtuko
antimony	antimono
Annunciation	anunciacio
separate	aparta
belong	aparteni
scarcely	apenaŭ
appear	aperi
disappear	malaperi
applaud	aplaŭdi
lean	apogi
wild boar	apro
April	aprilo
approve	aprobi
near	apud
spider	araneo
arrange	aranĝi
arbitrary	arbitra
bow	arĉo
heron	ardeo
slate	ardezo
arena	areno
arrest	aresti
clay	argilo
argue	argumenti
architecture	arĥitekturo
architecture	arkitekturo
arc	arko
harlequin	arlekeno
arm	armi
arrogant	aroganta
arsenic	arseniko
art	arto
artifice	artifiko
joint	artiko
ending	-as
in-law	bo-
-ly	-e
good	-eco
augmentative	-eg-
inceptive	ek-
ex-	eks-
chief	-estro
genders	ge-
transitive	-igi
become	-iĝi
holder	-ingo
ami	-int-
ami	-is
profession	-isto
-s	-j
opposite	mal-
-fold	-obla
ami	-ont-
collective	-ope
will	-os
love	-ot-
ur-	pra-
container	-ujo
avaricious	-ulo
article	artikolo
artichoke	artiŝoko
arthritis	artrito
ace	aso
insure	asekuri
assign	asigni
asparagus	asparago
asp	aspido
attack	ataki
attempt	atenci
wait for	atendi
attentive	atenta
attest	atesti
attain	atingi
orache	atriplo
trump	atuto
or	aŭ
hear	aŭdi
August	aŭgusto
listen	aŭskulti
autumn	aŭtuno
grandfather	avo
avaricious	avara
hazelnut	avelo
oats	aveno
adventure	aventuro
eager	avida
warn	averti
notice	avizo
donkey	azeno
nitrogen	azoto
chat	babili
trifle	bagatelo
bayonet	bajoneto
bake	baki
swing	balanci
stammer	balbuti
baldaquin	baldakeno
soon	baldaŭ
whale	baleno
baleen	balenosto
balustrade	balustrado
bamboo	bambuo
bathe	bani
band	bando
bow	banto
baptize	bapti
godfather	baptopatro
bar	barilo
wriggle	barakti
beard	barbo
barber	barbiro
borscht	barĉo
keg	barelo
barque	barko
lappet	basko
bast	basto
bastion	bastiono
beat	bati
fight	batali
weapon	batalilo
bazaar	bazaro
bed	bedo
regret	bedaŭri
beak	beko
pretty	bela
deadly nightshade	beladono
bless	beni
bench	benko
berry	bero
animal	besto
birch	betulo
need	bezoni
estate	bieno
beer	biero
bind	bindi
bird	birdo
biscuit	biskvito
bismuth	bismuto
white	blanka
cockroach	blato
cry	bleki
blind	blinda
blond	blonda
blow	blovi
blue	blua
boa	boao
boat	boato
spool	bobeno
bark	boji
boil	boli
bonbon	bombono
good	bona
bore	bori
borax	borakso
shore	bordo
hem	borderi
bourse	borso
boot	boto
bottle	botelo
cattle	bovo
on	sur
arm	brako
bream	bramo
bran	brano
branch	branĉo
brandy	brando
gill	branko
cabbage	brasiko
brave	brava
shelf	breto
bridle	brido
brick	briko
shine	brili
brilliant	brilianto
stitch	brodi
scald	brogi
bronze	bronzo
brush	broso
eyebrow	brovo
noise	brui
burn	bruli
brown	bruna
breast	brusto
head	bruto
urchin	bubo
water buffalo	bubalo
slaughter	buĉi
shed	budo
toad	bufo
buffet	bufedo
buckle	buko
bouquet	bukedo
ball	bulo
bulb	bulbo
broth	buljono
roll	bulko
bumble-bee	burdo
burgher	burĝo
bud	burĝono
mouth	buŝo
muzzle	buŝumo
bushel	buŝelo
butter	butero
shop	butiko
button	butono
button	butonumi
decisively	decide
alive	viva
annoy	ĉagreni
chamois	ĉamo
chamberlain	ĉambelano
period	periodo
room	ĉambro
champagne	ĉampano
cock	ĉano
cap	ĉapo
hat	ĉapelo
chapter	ĉapitro
because	ĉar
charlatan	ĉarlatano
charming	ĉarma
hinge	ĉarniro
carpenter	ĉarpenti
carpenter	ĉarpentisto
lint	ĉarpio
hunt	ĉasi
game	ĉasaĵo
chaste	ĉasta
at	ĉe
accommodate	cedi
cedar	cedro
chief	ĉefo
chief	ĉefa
cornflower	cejano
aim	celi
cell	ĉelo
cement	cemento
shirt	ĉemizo
chain	ĉeno
brain	cerbo
cherry	ĉerizo
coffin	ĉerko
draw	ĉerpi
certain	certa
assure	certigi
deer	cervo
cease	ĉesi
horse	ĉevalo
spherical	sfera
world	mondo
denarius	denaro
originally	origine
severely	severe
deathly	morte
mature	matura
hey	hej
myself	min
floral	flora
foundation	fondo
energetic	energia
ten	dek
zero	nul
sky	ĉielo
November	novembro
she	ŝi
neologism	-iĉo
gender-neutral	ri
dentist	dentisto
father	patro
mother	patrino
parent	gepatro
parents	gepatroj
father	patriĉo
method	metodo
mother	matro
fate	sorto
luma	lumo
big	granda
country	lando
end	fino
old	olda
help	helpo
expression	frazo
round	ronda
only	nura
back	dorso
place	loko
part	parto
below	infre
much	multa
hot	varmega
paint	farbo
corner	angula
being	esto
far	fora
form	formo
game	ludo
Sikh	sika
plan	plano
gold	oro
common	komuna
ordinary	ordinara
island	insulo
moon	luno
deep	profunda
fruit	frukto
apple	pomo
surface	surfaco
material	objekto
full	plena
rho	roto
six	ses
zero	nulo
fact	fakto
clear	klara
evident	evidenta
mint	mento
strong	forta
minute	minuto
warm	varma
quick	rapida
green	verda
corrective	korekta
star	stelo
program	programo
blog	blogo
note	noto
ow	aj
agreement	akordo
active	aktiva
acute	akuta
I love you	mi amas vin
capable	kapabla
absurd	absurda
actor	aktoro
war	milito
diocese	diocezo
disk	disko
in	jene
lone	sola
for	dum
dust	polvo
early	frue
egg	ovo
electricity	elektro
anemic	anemia
afterwards	poste
aspen	tremolo
ardent	arda
allergy	alergio
something	alio
pope	papo
chin	mentono
bicycle	biciklo
physics	fiziko
civil	civila
ash	cindro
lemon	citrono
thick	dika
dilemma	dilemo
pop	popo
opposite	malo
widower	vidvo
sir	sinjoro
king	reĝo
prince	princo
boy	knabo
bachelor	fraŭlo
greenly	verde
manifest	manifesto
district	distrikto
divorce	divorco
it	ĝi
net	rete
hum	zumo
Zambian	zambiano
pretty	linda
silicon	silicio
uranium	uranio
Uranus	Urano
live	urbano
universe	universo
usefully	utile
prime number	primo
beryllium	berilio
boron	boro
aluminium	aluminio
titanium	titanio
vanadium	vanadio
gallium	galio
bromine	bromo
yttrium	itrio
niobium	niobio
molybdenum	molibdeno
ruthenium	rutenio
rhodium	rodio
palladium	paladio
indium	indio
tellurium	teluro
iodine	iodo
barium	bario
lanthanum	lantano
hafnium	hafnio
rhenium	renio
osmium	osmio
iridium	iridio
polonium	polonio
astatine	astato
cerium	cerio
promethium	prometio
samarium	samario
gadolinium	gadolinio
terbium	terbio
holmium	holmio
erbium	erbio
thulium	tulio
ytterbium	iterbio
lutetium	lutecio
thorium	torio
neptunium	neptunio
plutonium	plutonio
americium	americio
berkelium	berkelio
fermium	fermio
mendelevium	mendelevio
nobelium	nobelio
dubnium	dubnio
order	ordo
partially	parte
geographic	geografia
obviously	evidente
eternity	eterno
taste	gusto
smoke	fumo
military	soldo
hundred	cento
centimetre	centimetro
center	centro
somewhere	ie
theoretical	teoria
favorably	favore
cool	mojosa
industrial	industria
tragic	tragedia
painfully	pene
symbol	simbolo
oven	forno
in principle	principe
condition	stato
atmospheric	atmosfera
fortunate	fortuna
go	goo
loving	ama
sincerely	sincere
four	kvar
in	perse
speed	rapido
theirs	ilia
study	studi
wash	lavi
handcuffs	mankateno
oregano	origano
element	elemento
Chinese	ĉinia
encore	bis
payment	pago
amid	meze
feeling	sento
jubilee	jubileo
yoke	jugo
July	julio
June	junio
fluorine	fluoro
phosphorous	fosforo
Saturn	Saturno
Neptune	Neptuno
just	justa
visual	vida
end	fini
feel	senti
muddy	kota
chicken	koko
peep	pepi
aloe	aloo
that	ties
Nederlando	Belgio
false	nevera
cymbal	cimbalo
homosexual	samseksema
homosexuality	samseksemo
Serbio	Montenegro
multe	mdr
rainbow	ĉielarko
Ascension	ĉieliro
crumple	ĉifi
figure	cifero
dial	ciferplato
rag	ĉifono
cigar	cigaro
cigarette	cigaredo
swan	cigno
quibble	ĉikani
scar	cikatro
stork	cikonio
chicory	cikorio
bug	cimo
cinnabar	cinabro
cinnamon	cinamo
here	ĉi
every	ĉia
always	ĉiam
everywhere	ĉie
every	ĉiel
everything	ĉio
cypress	cipreso
wax	ciro
around	ĉirkaŭ
environs	ĉirkaŭaĵo
encircle	ĉirkaŭi
circumference	ĉirkaŭo
draw	cirkelo
circumstance	cirkonstanco
circular	cirkulero
cite	citi
zither	citro
everyone	ĉiu
everyone	ĉiuj
civilize	civilizi
chisel	ĉizi
affectionate	-ĉjo
chocolate	ĉokolado
interrogative	ĉu
live	loĝi
date	daktilo
checkers	damoj
damask	damasko
dance	danci
dandy	dando
danger	danĝero
thank	danki
date	dato
dative	dativo
thorn apple	daturo
endure	daŭri
continue	daŭrigi
decide	decidi
December	decembro
decipher	deĉifri
dedicate	dediĉi
defend	defendi
thaw	degeli
degenerate	degeneri
demote	degradi
on duty	deĵori
decline	deklinacii
declivity	deklivo
right	dekstra
left	maldekstra
dolphin	delfeno
delirious	deliri
ask	demandi
demon	demono
dense	densa
tooth	dento
denounce	denunci
depute	deputi
draw	desegni
detailed	detala
destroy	detrui
ought	devi
compel	devigi
motto	devizo
desert	dezerto
desire	deziri
debauch	diboĉi
opossum	didelfo
damage	difekti
differ	diferenci
define	difini
embankment	digo
digest	digesti
dictate	dikti
active	diligenta
Sunday	dimanĉo
agedly	olde
delight	ravi
litre	litro
letter	a
April	Aprilo
August	Aŭgusto
India	Barato
December	Decembro
God	Dio
France	Francio
Germany	Germanio
July	Julio
June	Junio
and	K
Sri Lanka	Lanko
Latin	Latino
Francio	Monako
November	Novembro
she	S
September	Septembro
Lord	Sinjoro
Thor	Toro
China	Ĉinio
French	france
buzzard	buteo
Georgian	georgia
Bolivian	bolivia
Eritrean	eritrea
Syrian	siria
Korean	korea
you're welcome	nd
Serbian	serbia
sneeze	terni
cinematic	kina
parrot	papago
young	june
plate	plato
Latin	latina
run	kuri
pack	paki
Slovenian	sloveno
oil	oleo
the Americas	Usono
dodo	dido
Eskimo	eskimo
American	amerika
gay	geja
million	meg
idea	ideo
moment	momento
damnation	damno
life	vivo
pure	pura
abroad	eksterlande
workbench	stablo
environment	medio
different	alii
devotedly	sindone
direct	direkti
rudder	direktilo
discount	diskonti
disposal	disponi
argue	disputi
distill	distili
distinguish	distingi
distract	distri
guess	diveni
various	diversa
divide	dividi
sweet	dolĉa
they	ili
loved	amato
love	ame
mi	MBR
h-sistemo	ch
their	ria
x-sistemo	hx
oh	hu
actively	aktive
somewhither	ien
someone's	ies
aha	oho
rap	repo
drive	peli
paraplegic	paraplegia
Wednesday	merkredo
Monday	lundo
Friday	vendredo
bunch	aro
ex	vuo
lath	lato
behest	peto
pine	pino
brown	bruno
non-	ne-
diasporic	diaspora
maliciously	malice
entice	logi
heliotrope	heliotropo
saddle	selo
h-sistemo	sh
Eve	Evo
about	pri
against	kontraŭ
except	krom
until	ĝis
line	verso
but	sed
although	kvankam
according to	laŭ
notwithstanding	malgraŭ
past	preter
what	kio
who	kiu
how	kiel
where	kie
when	kiam
how much	kiom
why	kial
who	tiu
so	tiel
then	tiam
that	tiom
that	tial
yesterday	hieraŭ
tomorrow	morgaŭ
yes	jes
mass	meso
today	hodiaŭ
some	iu
somehow	iel
sometime	iam
some	iom
for	ĉial
everyone	ĉies
Panamo	Kolombio
red	ruĝa
yellow	flava
black	nigra
gray	griza
tom	kato
fox	vulpo
Nile	Nilo
nothing	nenio
nobody	neniu
in no way	neniel
nowhere	nenie
none	neniom
nobody	nenies
one	unu
five	kvin
nine	naŭ
lo	jen
just	ĵus
as if	kvazaŭ
never	neniam
filial	fila
erroneous	mis-
German	germane
tortoise	testudo
immediately	tuj
too much	tro
however	tamen
almost	preskaŭ
more	pli
most	plej
even	eĉ
main	ĉef-
neither	nek
give	doni
be	esti
easy	facila
do	fari
happy	feliĉa
side	flanko
time	fojo
important	grava
glad	ĝoji
have	havi
help	helpi
child	infano
go	iri
field	kampo
some	kelka
start	komenci
understand	kompreni
well	koni
heart	koro
believe	kredi
work	labori
salmon	salmo
mosquito	moskito
package	pako
sail	velo
San Francisco	San Francisko
last	lasta
read	legi
acquire	lerni
lift	levi
put	meti
war	militi
frequent	ofta
happen	okazi
speak	paroli
ask	peti
carry	porti
be able to	povi
take	preni
near	proksima
reply	respondi
remain	resti
receive	ricevi
rich	riĉa
laugh	ridi
know	scii
follow	sekvi
send	sendi
sit	sidi
write	skribi
stand	stari
look	ŝajni
hold	teni
earth	tero
whole	tuta
come	veni
go	veturi
see	vidi
way	vojo
wish	voli
show	montri
die	morti
move	movi
nation	nacio
found	fundi
Wiccan	vika
cultural	kultura
okay	okej
picture	bildo
sleep	dormi
husband	edzo
fall	fali
family	familio
window	fenestro
son	filo
finger	fingro
fly	flugi
brother	frato
early	frua
stop	halti
hair	haro
hour	horo
interest	interesi
interest	intereso
throw	ĵeti
sing	kanti
colour	koloro
advise	konsili
build	konstrui
courtyard	korto
cost	kosti
grow	kreski
cry	krii
brave	kuraĝa
leave	lasi
letter	letero
bed	lito
eat	manĝi
lacking	manki
sea	maro
morning	mateno
Gypsy	cigano
abandonment	cedo
aba	abajo
suit	pika
amazed	miri
mountain	monto
give birth	naski
necessary	necesa
eye	okulo
occupy	okupi
peace	paco
pay	pagi
pass	pasi
piece	peco
think	pensi
lose	perdi
let	permesi
person	persono
people	popolo
door	pordo
require	postuli
press	premi
perform	prezenti
own	propra
try	provi
point	punkto
right	rajto
tell	rakonti
rule	regi
meet	renkonti
look	rigardi
notice	rimarki
means	rimedo
week	semajno
search	serĉi
simple	simpla
sound	soni
Sun	suno
change	ŝanĝi
table	tablo
fear	timi
drag	tiri
quiet	trankvila
drink	trinki
turn	turni
city	urbo
worth	valoro
evening	vespero
garment	vesto
face	vizaĝo
travel	vojaĝi
cranefly	tipolo
abbatial	abata
goal	celo
duration	daŭro
ache	doloro
doubt	dubi
example	ekzemplo
choose	elekti
mistake	erari
hope	esperi
fire	fajro
celebrate	festi
fish	fiŝo
forget	forgesi
hit	frapi
foreign	fremda
gay	gaja
gain	gajni
gazette	gazeto
glass	glaso
garden	ĝardeno
right	ĝusta
clear	hela
inner	interna
calculate	kalkuli
catch	kapti
hide	kaŝi
fearful	tima
later	posta
ravioli	raviolo
satiated	sati
cause	kaŭzo
neck	kolo
collection	kolekto
angry	koleri
trade	komerci
lead	konduki
agree	konsenti
satisfied	kontenta
body	korpo
cover	kovri
cook	kuiri
lie	kuŝi
custom	kutimo
tired	laca
milk	lakto
broad	larĝa
tie	ligi
league	ligo
wood	ligno
line	linio
play	ludi
mark	marko
middle	mezo
measure	mezuri
month	monato
nature	naturo
nose	nazo
snow	neĝo
night	nokto
number	nombro
cloud	nubo
uncle	onklo
think	opinii
order	ordoni
ear	orelo
bread	pano
paper	papero
forgive	pardoni
step	paŝi
endeavour	peni
floor	planko
complain	plendi
pleasure	plezuro
cry	plori
feather	plumo
Spaniard	hispano
binding	bindo
United Kingdom of Great Britain and Northern Ireland	brito
Morocco	Maroko
photo	foto
attempt	provo
abstract	abstrakta
historically	historie
arterial	arteria
dearly	kare
slightly	ete
appraise	taksi
spoken	parola
job	laboro
trot	troti
easterly	oriente
legal	proceso
difference	saldo
minister	ministro
event	evento
Athenian	atena
seminar	seminario
bitter	amari
society	socio
quality	eco
certainly	certe
flax	lino
truly	vere
parliament	parlamento
bust	busto
duel	duelo
alas	ve
visually	vide
empire	imperio
mandate	mandato
tone	tono
trip	iro
awning	alero
pant	anhelo
pacifism	pacifismo
adept	adepto
optimism	optimismo
argument	argumento
insult	insulto
reading	legado
alternative	alternativa
individual	individuo
labium	labio
progress	progreso
mythical	mita
benthos	bento
fetus	feto
ministry	ministerio
ceremonious	ceremonia
sign	signo
mood	modo
ceremonial	trono
kindly	afable
distance	foro
goodness	bono
systematic	sistema
model	modelo
tourism	turismo
myth	mito
musical instrument	instrumento
beard	barba
daffodil	narciso
cordially	kore
ocean	oceano
imagination	imago
do	umi
magnet	magneto
wave	ondo
by	brite
required	endi
definitively	definitive
chemical	kemia
leaf	folio
shamefully	honte
famous	fama
baby	bebo
x-system	x
sleep	dormo
imperial	imperia
mi	MTR
hopes	esperanto
peak	pinto
spinning top	turbo
Portuguese	fado
egg	ova
devilishly	diable
tending	ema
down	sob
morally	morale
cube	kubo
lesbian	lesbo
Danish	dana
biblical	biblia
etymological	etimologia
taco	tako
poisonous	venena
down	lanugo
variolous	variola
eighth	oka
begin	eki
mud	koto
energetically	energie
shape	Protea
Aphrodite	Afrodita
during	vintre
spring	printempe
onion	cepo
census	censo
Xhosan	kosa
tenthly	deke
oops	ups
depth	profundo
mudflat	vado
vampire	vampiro
vandalism	vandalismo
poison	veneno
Columba	kolombo
greasy	grasa
idiomatic	idioma
peafowl	pavo
rule	regulo
pass	paso
ring	ringo
sheaf	garbo
glass	vitro
crypt	kripto
jacket	jako
temptation	tento
local	loka
racial	rasa
stand	starigi
opposite	mala
festive	festa
enormously	enorme
vampiric	vampira
uterus	utero
distress	angora
standard	norma
him	lin
mouse	muso
fig	figo
iron	fera
up	sor
Ainu	aina
mute	muta
bus	busa
pious	pia
sheet	tego
heart	kora
song	kanto
mia	mia nomo estas
be called	nomiĝi
name	nomi
how	-el
always	-am
aliom	-om
rapidly	rapide
who	ki-
ce	ti-
village	vilaĝo
Celtic	kelta
useless	vana
film	kino
interior	ena
tyrant	tirano
worthy	-inda
bitterness	amaro
to	liven
draw lots	loti
hooray	hura
everyone	ĉi-
someone	i-
no	neni-
pose	pozo
award	premio
kiom	kiom vi aĝas
age	aĝi
mast	masto
condition	farto
mauve	malva
glad	ĝoja
airport	flughaveno
fly	aviadi
aircraft	aviadilo
flea	pulo
punishment	puno
punish	puni
Russian	rusa
world	monda
bark	boj
sheep	ŝafo
shawl	ŝalo
skin	ŝelo
joke	ŝerco
shield	ŝildo
mold	ŝimo
ham	ŝinko
ship	ŝipo
twin	ĝemelo
joy	ĝojo
key	ŝlosilo
cord	ŝnuro
cupboard	ŝranko
steel	ŝtalo
state	ŝtato
stone	ŝtono
stocking	ŝtrumpo
step	ŝtupo
shoe	ŝuo
shoulder	ŝultro
sweat	ŝvito
osseous	osta
fairy	feo
death	morto
earth	tere
sand	sablo
hay	fojno
lung	pulmo
swim	naĝi
right angle	orto
flight	flugo
port	haveno
beech	fago
mole	talpo
naked	nuda
braces	ŝelko
storm	ŝtormo
ant	formiko
rain	pluvo
date	dati
scornful	moka
be	stati
guest	gasto
order	mendi
palm tree	palmo
octopus	polpo
sea	mara
bridge	ponto
neighbour	najbaro
bodily	korpa
police	polica
salt	salo
deaf	surda
proud	fiera
Scottish	skoto
justly	juste
well	puto
ridicule	moko
thistle	kardo
knowledge	kono
horn	korno
coal	karbo
goat	kapro
raven	korvo
gnat	kulo
run	kuro
cake	kuko
sew	kudri
foam	ŝaŭmo
fellow	ulo
callus	kalo
breed	bredi
lightning	fulmo
frog	rano
ear	oto
tan	tani
blow	bato
Sikh	siko
rotten	putra
glow	ardi
rank	rango
tongue	lango
whatchamacallit	umo
bar	baro
female	ina
chirp	pepo
shameful	fia
from	el-
Eve	Eva
aboriginal	aborigeno
update	ĝisdatigo
Serb	serbo
queue	vico
sinful	peka
theater	teatro
soldier	soldato
thirst	soifo
tomb	tombo
prudently	prudente
ardently	arde
apparatus	aparato
solar	suna
nitrate	azotato
nitrate	nitrato
beautifully	bele
nitrite	nitrito
kaj	ks
firmly	firme
nest	nesti
sheet metal	lado
urinary	urina
battering ram	ramo
cost	kosto
phosphate	fosfato
tank	tanko
briefcase	teko
extensive	vasta
ozone	ozono
soap	sapo
pantheism	panteismo
virgin	virga
risk	riski
hope	espero
mildly	milde
quiet	kvieta
bad	malbona
passion	pasio
curtain	kurteno
engage	amori
leonino	amoro
restaurant	restoracio
juice	suko
serpent	serpento
inject	injekti
fuck	fiki
gift	donaco
cup	taso
leave	foriri
lick	leki
letter	kuo
pain	torturi
pain	torturo
kill	mortigi
find	trovi
gender	sekso
have sex	seksumi
fuck	fiko
blessing	beno
State of Israel	Israelo
fall in love	enamiĝi
coin	monero
quality	kvalito
permanently	permanente
baglike	saka
frivolous	vanta
apéritif	aperitivo
abyss	abismo
final	fina
gossip	klaĉo
blade	klingo
creak	knari
knead	knedi
crab	krabo
hornet	krabro
spit	kraĉi
grate	krado
clamp	krampo
crop	kropo
cross	kruco
crippled	kripla
Esperantists	krokodilado
edge	rando
same	samo
tartuffe	tartufo
badger	melo
nephew	nevo
reef	rifo
clothe	vesti
anomalous	anomalia
ball	balo
bath	bano
core	kerno
weapon	armilo
observatory	observatorio
crack	fendo
frost	gelo
hoof	hufo
dominate	domini
rite	rito
fear	timo
slang	slango
celebration	festo
granitic	granita
thank you	dankon
mountainous	monta
wheel	rado
rail	relo
solder	luti
knot	nodo
intimate	intima
aurochs	uro
nepotism	nepotismo
halo	nimbo
yoga	jogo
negative	negativa
alchemical	alkemia
buck	boko
sloth	bradipo
milking	melko
May	majo
angry	kolera
robbery	rabo
originally	originale
third	tria
closed	ferma
mock	imita
his	lia
additional	plia
temptingly	tente
herd	bovaro
cow	bovino
rhombus	rombo
admiring	admira
celestial body	astro
spread about	dise
butane	butano
tsarina	carino
brightly	hele
