lion	ⵉⵣⵎ
Agadir	ⴰⴳⴰⴷⵉⵔ
portal	ⴰⴳⴳⵓⵔ
bear	ⴰⴱⴰⴱⴱⵓⵥ
brown	ⴰⵔⴰⵙ
history	ⴰⵎⵣⵔⵓⵢ
geography	ⵜⴰⵔⴰⴽⴰⵍⵜ
regular	ⵓⵍⴳⵉⵏ
pole	ⴰⴳⵊⴷⵉ
philosophy	ⵜⴰⴼⵍⵙⴰⴼⵜ
English	ⵜⵉⵏⴳⴻⵍⵉⵣⵜ
tiger	ⴰⴽⵙⵉⵍ
honest	ⴰⵎⴰⵖⵓⴷ
mathematics	ⵜⵓⵙⵏⴰⴽⵜ
giraffe	ⴰⵎⴷⵖ
number	ⴰⵎⴹⴰⵏ
square	ⴰⵎⴽⴽⵓⵥ
rhombus	ⴰⵎⵖⵔⵓⵏ
linguistics	ⵜⴰⵙⵏⵉⵍⵙⵜ
cat	ⴰⵎⵛⵉⵛ
rain	ⴰⵏⵥⴰⵔ
religion	ⴰⵙⴳⴷ
river	ⴰⵙⵉⴼ
Nile	ⵏⵏⵉⵍ
proposition	ⴰⵙⵓⵎⵔ
flag	ⴰⵛⵏⵢⴰⵍ
tea	ⴰⵜⴰⵢ
golden	ⴰⵡⵔⴰⵙ
horse	ⴰⵢⵉⵙ
Barb horse	ⴰⵢⵉⵙ ⴰⵎⴰⵣⵉⵖ
line	ⴰⵣⵔⵉⵔⵉⴳ
Algeria	ⴷⴷⵣⴰⵢⵔ
people	ⴰⴳⴷⵓⴷ
unit	ⴰⴼⵔⴷⵉⵙ
imam	ⵍⵉⵎⴰⵎ
speech	ⵉⵏⴰⵡ
counting	ⴰⵙⵉⴹⵏ
analysis	ⵜⴰⵙⵍⴹⵜ
distance	ⴰⵣⴰⵔⵓ
equation	ⵜⴰⴳⴷⴰ
solution	ⴰⴼⵙⵙⴰⵢ
exercise	ⴰⵍⴰⵖⵎⵓ
doubt	ⵜⵓⵔⴷⴰ
talent	ⵜⴰⵎⵥⵍⴰ
imagination	ⵜⴰⵡⴰⵍⵉⵜ
attention	ⵜⴰⵖⴹⴼⵜ
collection	ⵜⵉⴳⵔⵉ
number	ⵓⵟⵟⵓⵏ
folly	ⴰⵏⴼⴰⵍ
demand	ⴰⵙⵓⵖⵏ
sole	ⴰⴷⴰⵙⵉⵍ
depression	ⴰⴳⵯⵏⵉ
sieve	ⵜⴰⵍⵍⵓⵏⵜ
condition	ⵜⴰⴼⴰⴷⴰ
conference	ⵜⵉⵏⴰⵡⵜ
intellectual	ⴰⵡⵏⴳⵉⵎ
natural	ⴰⴳⴰⵎⴰⵏ
black	ⴰⴱⵔⴽⴰⵏ
complex	ⴰⵎⵓⵏⵙⴽⴰⵍ
stick	ⵉⵖⵕⵢⴰⵏ
counting	ⵓⵙⵉⴹⵏ
Islam	ⵉⵙⵍⴰⵎ
anthem	ⵉⵣⵍⵉ
national	ⴰⵏⴰⵎⵓⵔ
republic	ⵜⴰⴳⴷⵓⴷⴰ
Maghreb	ⵍⵎⵖⵔⵉⴱ
shop	ⵜⵏⵣⵣⵓⵜ
south	ⵡⵏⵥⵓⵍ
nature	ⴰⴳⴰⵎⴰ
solution	ⴰⴼⵔⴰ
Moroccan	ⴰⵎⵖⵔⵉⴱⵉ
equivalence	ⵜⴰⴳⴷⴰⵣⴰⵍⵜ
value	ⴰⵣⴰⵍ
lord	ⴰⴳⵍⵍⵉⴷ
twenty	ⵄⵛⵔⵉⵏ
lake	ⴰⴳⵯⵍⵎⴰⵎ
flower	ⴰⵢⵊⵊⵉⴳ
dog	ⵉⴳⴷⵉ
work	ⵅⴷⵎ
I	ⵏⴽⴽ
finish	ⵛⵎⵎⵍ
plough	ⴽⵔⵣ
turn	ⴱⵔⵔⵎ
help	ⵄⴰⵡⵏ
bend down	ⵃⵓⴹⵔ
get well	ⵊⵊⵢ
question	ⵙⴰⵍ
accompany	ⵎⵓⵏ
grow up	ⵔⴱⴱⴰ
wake up	ⴼⴰⴼⴰ
look at	ⵔⴰⵄⴰ
braid	ⴱⵔⵛⵎ
neigh	ⵃⵏⵃⵏ
beat	ⴼⵔⴼⵔ
take	ⴰⵎⵥ
pick up	ⴰⵙⵢ
alert	ⴰⵊⵢ
climb	ⴰⵍⵢ
change	ⴱⴷⴷⵍ
run	ⵔⵡⵍ
enter	ⴽⵊⵎ
melted	ⴼⵙⵢ
light	ⴼⵙⵓⵙ
empty	ⵅⵡⵓ
swear	ⴳⴳⴰⵍⵍ
face	ⵇⴰⴱⵍ
consult	ⵛⴰⵡⵔ
bet	ⵅⴰⴹⵔ
announce	ⴱⵔⵔⵃ
assemble	ⵊⵎⵄ
damage	ⴼⵙⴷ
fast	ⵥⵓⵎ
bite	ⵛⵛ
milk	ⴰⵖⵓ
we	ⵏⵓⴽⴽⵏⵉ
all	ⵇⴰⵃ
breath	ⵓⵏⴼⵙ
triangle	ⴰⵎⴽⵔⴰⴹ
all	ⴽⵓⵍ
ashes	ⵉⵖⴷ
back	ⵜⴰⴷⴰⵡⵜ
bad	ⴳⴰⵔ
be	ⵅⵅⵓ
bad	ⵓⵔⵉⵃⵍⵉⵏ
bark	ⴰⵇⵛⵓⵔ
because	ⵄⵍⴰⵃⵇⵇ
belly	ⴰⵄⴷⴷⵉⵙ
stomach	ⴰⴷⵉⵙ
unit	ⵜⴰⵃⴱⵓⴱⵜ
big	ⴰⵅⴰⵜⴰⵔ
big	ⴰⵎⵇⵇⵔⴰⵏ
bite	ⵇⵇⵙ
big	ⵎⵖⵓⵔ
black	ⴰⴱⵅⵅⵓⵛ
blood	ⵉⴷⴰⵎⵎⵏ
blow	ⵙⵙⵓⴹ
wind	ⵓⴹ
bone	ⵉⵖⵙ
brother	ⴳⵎⴰ
mother	ⵎⵎⴰ
burn	ⵖⵓⵙ
burn	ⵙⵙⵖⵓⵙ
burn	ⴽⵎⴹ
boy	ⵍⵄⵉⵍ
girl	ⵜⴰⵔⴱⴰⵜⵜ
child	ⴰⵔⴱⴰ
child	ⵉⵛⵉⵔⵔⵉ
clothing	ⵉⵄⴱⴰⵏⵏ
clothing	ⵎⵍⵙⵉⵡⵜ
wool	ⴰⵄⴱⴰⵏ
storm	ⵉⵙⴳⵏⵡ
fog	ⵜⴰⴳⵯⵓⵜⵜ
cold	ⵙⵎⵉⴹ
come	ⴷⴷⵓ ⴷ
go	ⴷⴷⵓ
come	ⴰⵙ
cook	ⵙⵙⵏⵡ
cooked	ⵏⵡ
count	ⵃⴰⵙⴱ
cry	ⴰⵍⵍ
cut	ⴱⴱⵢ
dance	ⵛⵟⵃ
dig	ⵖⵣ
dirty	ⵡⵙⵅ
dirty	ⵔⴽⵓ
dirty	ⵓⵎⵓⵎ
drink	ⵙⵡ
hard	ⵇⵇⴰⵔ
dry	ⵖⴰⵔ
laundry	ⵣⵡⵓ
dull	ⵃⴼⵓ
dust	ⵜⴰⴳⴹⵔⵓⵔⵜ
ear	ⴰⵎⵥⵥⵓⵖ
eight	ⵜⵎⴻⵏⵢⴰ
eye	ⵜⵉⵟⵟ
fall	ⵜⵜⵓⵜⵜⵢ
fall	ⴹⵔ
far	ⴱⵄⴷ
fat	ⵜⴰⴷⵓⵏⵜ
fat	ⵉⵎⵙ
father	ⴱⴱⴰ
fear	ⴳⴳⵯⴷ
fear	ⵜⵉⵡⴷⵉ
feather	ⵔⵔⵉⵛ
few	ⵛⵡⵉⵢ
few	ⴷⵔⵓⵛ
few	ⵉⵎⵉⴽ
fight	ⵏⵏⴰⵖ
fire	ⵍⵄⴰⴼⵉⵜ
five	ⵅⵎⵙⴰ
hold up	ⵀⵣⵣⴰ
flow	ⴰⵣⵣⵍ
flow	ⵙⵓⴷⴷⵎ
flow	ⵏⴳⵉ
fly	ⴰⴼⵔⵡ
four	ⵔⴱⵄⴰ
freeze	ⵊⵎⵎⴷ
freeze	ⴳⵔⵙ
cold	ⵜⴰⴳⵔⵙⵜ
ice	ⴰⴳⵔⵉⵙ
give	ⴽⴼ
good	ⵉⵥⵉⵍ
good	ⵖⵓⴷⵓ
grass	ⵜⵓⴳⴰ
green	ⴰⵣⴳⵣⴰ
intestines	ⵉⵙⵕⵎⴰⵏ
tripes	ⵜⴰⴷⵓⵡⵡⴰⵔⵜ
he	ⵏⵜⵜⴰ
he	ⵢ-
head	ⵉⵖⴼ
head	ⴰⵇⵕⵕⵓ
head	ⴰⵇⵛⴰⵛ
hear	ⵙⵍ
here	ⴷⴰⴷ
hit	ⴳⵯⵜ
hold	ⵟⵟⴼ
how	ⵎⵉⵎⴽ
hundred	ⵎⵢⴰ
hunt	ⴳⵎⵔ
I	-ⵅ
ice	ⵉⵡⵔⵉ
if	ⵎⴽ
know	ⵉⵙⵉⵏ
laugh	ⵟⵙ
leaf	ⵜⴰⵡⵔⵉⵇⵜ
left	ⴰⵥⵍⵎⴰⴹ
sleep	ⴳⵏ
live	ⴷⴷⵔ
inhabit	ⵙⴽⵏ
long	ⵖⵣⵉⴼ
long	ⴰⵖⵣⵣⴰⴼ
louse	ⵜⴰⵅⵅⵓⵢⵜ
many	ⴱⵣⵣⴰⴼ
abound	ⵄⴷⴷⵓ
many	ⴳⴳⵉⴷⵉ
mountain	ⵊⵊⴱⵍ
mountain	ⵄⴰⵔⵉ
mouth	ⴰⵇⵎⵓ
name	ⵉⵙⵎ
narrow	ⵇⵎⵔ
near	ⵇⵔⵔⴱ
neck	ⵃⵏⵢⵉ
neck	ⴰⵎⴳⵔⴹ
new	ⵓⵊⴷⵉⴷ
nine	ⵜⵙⵄⵓⴷ
nose	ⵜⵉⴳⵏⵣⴰⵔ
old	ⴰⵇⴷⵉⵎ
other	ⵢⴰⴹⵏ
other	ⵢⴰⴹⵏⵉⵏ
person	ⴱⵏⴰⴷⵎ
play	ⵍⵄⴱ
play	ⵓⵔⴰⵔ
play	ⵀⴷⵔ
pull	ⵏⵣⵖ
lead	ⵣⵓⵖⵔ
pull	ⵍⴷⵉ
push	ⴷⴼⵄ
push	ⵜⵃⵉ
red	ⵣⵡⵉⵖ
red	ⴰⵣⴳⴳⵯⴰⵖ
right	ⴰⴼⴰⵙⵉ
right	ⵙⵜⵉⵜⵜ
truth	ⵜⵉⵜⵜ
right	ⵙⵃⵓ
right	ⵍⵃⵇⵇ
road	ⴰⴱⵔⵉⴷ
root	ⴰⵥⵓⵔ
rope	ⴰⵙⵇⵇⵏ
attach	ⵙⵙⵇⵇⵏ
small	ⵉⵣⵉⴽⵔ
rope	ⴰⴳⴰⵜⵓ
rotten	ⵔⵛⵓ
rub	ⵎⵔⵢ
salt	ⵜⵉⵙⵏⵜ
sand	ⵔⵔⵎⵍⴰ
sand	ⴰⵍⵅⵉⵅ
scratch	ⴽⵎⵣ
sea	ⵍⴱⵃⵔ
see	ⴰⵏⵏⴰⵢ
sowing	ⵉⴼⵙⴰⵏ
seed	ⵣⵣⵔⵔⵉⵄⵜ
seed	ⴰⵎⵓⴷ
seven	ⵙⴱⵄⴰ
sew	ⴳⵏⵓ
sharp	ⵛⵡⵓ
short	ⵛⴹⵉⵏ
short	ⴰⵛⵟⵟⵡⴰⵏ
short	ⴳⵣⵉⵍ
sing	ⵉⵏⵉ ⵉⵣⵍⴰⵏ
song	ⵉⵣⵍⴰⵏ
say	ⵉⵏⵉ
sing	ⵉⵔⵉⵔ
sister	ⵓⵍⵜⵎⴰ
daughter	ⵓⵍⵜ
sit	ⵇⵇⵉⵎ
sit	ⵖⵉⵎ
six	ⵙⵜⵜⴰ
skin	ⴰⴳⵯⵍⵉⵎ
skin	ⴰⵀⵉⵜⵓⵔ
small	ⵎⵥⵉⵢ
smell	ⴽⴹⵓ
smooth	ⵍⵡⵉⵖ
smooth	ⴰⵍⴳⴳⵯⴰⵖ
snake	ⵉⴼⵉⵖⵔ
some	ⵛⴰ
speak	ⵙⵙⵉⵡⵍ
speech	ⵉⵡⵍ
spear	ⵜⴰⴼⴰⵍⴰ
spit	ⵙⵙⵓⴼⵙ
spit	ⵓⴼⵙ
split	ⵟⵟⵉⵇⵙ
split	ⵙⵜⵖ
squeeze	ⵥⵉⵢⵔ
squeeze	ⵥⵎ
pierce	ⵏⵇⵇⴱ
stand	ⴱⴷⴷ
stick	ⵜⴰⵖⵔⵉⵜⵜ
stick	ⵜⴰⵖⵔⵓⵛⵜ
stone	ⵉⵙⵍⵍⵉ
stone	ⴰⵥⵔⵓ
ten	ⵄⵛⵔⴰ
straight	ⵙⴳⴳⵎ
straight	ⵏⵎ
suck	ⵙⵙⵓⵎⵎ
swell	ⴰⴼⴼ
swim	ⵄⵓⵎ
tail	ⴰⴱⵔⴹⵓⴹ
that	ⵡⴰⵏ
that	ⵜⴰⵏ
that	ⴰⵢⵉⵏ
there	ⴷⵉⵏ
that	ⵉⵏ
they	ⵏⵉⵀⵏⵉ
they	-ⵏ
thick	ⵣⵓⵔ
thin	ⵙⴷⵉⴷ
think	ⵅⵎⵎⵎ
this	ⵡⴰⴷ
this	ⵜⴰⴷ
this	ⴰⵢⴰⴷ
thou	ⴽⴳⴳ
thou	ⴽⵎⵎ
thou	ⵜ- -ⴷ
throw	ⴳⵔ
tie	ⴽⵔⵙ
tie	ⴽⵔⴼ
tongue	ⵉⵍⵙ
incisor	ⵜⵓⵖⵎⵙⵜ
tooth	ⵓⵅⵙ
molar	ⵓⴳⵍ
tree	ⴰⵅⵍⵉⵊⵊ
tree	ⴰⵙⴽⵍⵓ
turn	ⴹⵓⵡⵔ
throw up	ⵔⴰⵔ
hot	ⵃⵎⵓ
warm	ⵔⵖ
wash	ⵙⵙⵉⵔⴷ
wash	ⵉⵔⴷ
we	ⵏ-
wet	ⴱⵣⵢ
moist	ⵎⵎⵖ
what	ⵎⴰⵢ
when	ⵎⵉⵍⵎⵉ
when	ⵎⴰⵏⵜⵓⵔ
where	ⵎⴰⵏⵉ
white	ⵎⵍⵓⵍ
white	ⵓⵎⵍⵉⵍ
wide	ⵡⵙⵄ
wide	ⴼⵍⵉⵢ
woman	ⵜⴰⵎⵟⵟⵓⵜⵜ
nice	ⴰⵣⵡⵓ
wind	ⴰⵖⵔⴱⵉ
wing	ⴰⴼⵔ
wipe	ⵙⴼⴹ
worm	ⴰⵡⴽⴽⵉⵡ
ye	ⴽⵓⵏⵏⵉ
ye	ⴽⵏⵉⵏⵜⵉ
ye	ⵜ- -ⵎ
ye	ⵜ- -ⵏⵜ
she	ⵏⵜⵜⴰⵜ
she	ⵜ-
they	ⵏⵉⵀⵏⵜⵉ
ye	-ⵏⵜ
year	ⴰⵙⴳⴳⵯⴰⵙ
yellow	ⵡⵔⵉⵖ
yellow	ⴰⵡⵔⴰⵖ
heavy	ⵥⵥⴰⴳ
heavy	ⵙⵜⵉⵍ
breast	ⵉⴼⴼ
breast	ⴰⴱⵓⴱⴱⵓ
claw	ⴰⵅⴱⴰⵛ
fingernail	ⴰⵛⵛⵔ
full	ⵄⵎⵎⵔ
horn	ⵉⵙⴽ
knee	ⴰⴼⵓⴷ
moon	ⴰⵢⵓⵔ
round	ⴰⵎⴹⵓⵡⵔ
behind	ⴷⴼⴼⵉⵔ
after	ⴹⴰⵔ
until	ⴰⵍ
under	ⴷⴷⴰⵡ
on	ⵖⴼ
on	ⵏⵏⵉⴳ
or	ⵏⴻⵖⴷ
lip	ⴰⵅⵎⵉⵎ
lip	ⴰⵏⵛⵓⵛ
throat	ⵜⴰⴳⵔⵊⵓⵎⵜ
finger	ⴰⴹⴰⴹ
nail	ⵉⵙⴽⵔ
tear	ⴰⵎⵟⵟⴰ
suckle	ⵟⵟⴹ
ask for	ⵜⵜⵔ
dream	ⵡⴰⵔⴳⴰ
get up	ⵏⴽⵔ
give birth	ⴰⵔⵡ
bury	ⵎⴹⵍ
be sick	ⴰⵖ … ⵛⴰ
sick	ⴰⵎⵓⴹⵉⵏ
be sick	ⴰⴹⵏ
exit	ⴼⴼⵖ
pick up	ⴰⵙⵉ
take	ⴰⵖ
open	ⵎⵔⵥⵎ
put on	ⵍⵙ
lightning	ⵓⵙⵎ
well	ⴰⵏⵓ
shadow	ⴰⵎⴰⵍⵓ
house	ⵜⴰⴷⴷⴰⵔⵜ
bitter	ⵙⵎⵓⵎ
bitter	ⵔⵥⵉⴳ
drunk	ⵙⴽⴽⵔ
speak	ⵡⵍ
