that	on
path	ohcalli
weed	acahualli
war	acalchimalli
witch	tlahuelpochtli
wall	pantli
sour	chichic
breast	chichihualli
fox	oztoatl
cape	tematl
vest	xicolli
gambeson	ichcahuipilli
thermal underwear	tlahuiztli
quexquemetl	quechquemitl
shoe	xiuhcactli
loincloth	centzonmaxtlatl
crown	xiuhuiztli
diadem	copilli
rebozo	payotl
boot	cozehuatl
channel	apantli
willow	huexotl
cacomistle	tlahcomiztli
birch	ilitl
cow	cuacuahueh
door	caltentli
maize	tlayolli
corn	miahuatl
root	nelhuatl
Jaguar fish	ocelomichin
grittiness	oceloyotl
flag	pamitl
hospital	cocoxcalli
cap	cuamatlatl
chicken	piotl
chicken	pionacatl
comb	cuanacatl
Tulancingo de Bravo	Tollantzinco
catharid	tlalxiquipilli
cicada	chiquilichtli
earwig	maxalli
devil scorpion	tlazolcolotl
camel spider	ehecatocatl
enchiladas	tlaxcalchilatl
tigridia	oceloxochitl
green	quilitic
Huasteca	Cuextecapan
western grebe	acachichictli
soul	tetonalli
toe	xopilli
knee	tlancuaitl
harbour	acalco
ravine	atlauhtli
sexual intercourse	yecoa
Eagle	cuauhpilli
combat	tlatehuiliztli
grittiness	cuauhyotl
return	cuepcayotl
earthen vessel	cuezcomatl
mulberry	coatlanxocotl
shoulder blade	ahcolchimalli
laurel	acapahtli
neighbour	calnahuac
green tomato	miltomatl
blanket	pepechtli
cockroach	cacalachin
blue	matlaltic
turtle shell	ayocacallotl
letter	machiyotlahtoliztli
oceanic abyss	ayohualli
radish	rahuano
chilcostle	chilcoztli
habanero	chiltomatl
artichoke	huitzquiltzontecomatl
cardoon	huitzquilli
chilaca	chilacatl
prairie dog	motohtli
tejocote	texocotl
margay	xochimiztli
damp	atoctli
judio tlacatl	judiotlacatl
famale	judiocihuatl
male	judioquichtli
jewishness	judioyotl
judaism	judiocayotl
mazacuata	mazacoatl
iguana	cuauhcuetzpalin
verb	tlachihualiztli
mexicanity	mexihcayotl
shoemaker	cacchiuhqui
left-handed	opochmayeh
prince	piltlahtoani
zapotillo	tetzapotl
common wood pigeon	tlacahuilotl
felid	mimiztin
artesian	amantecatl
zucchini	ayohconetl
prade dog	itzcuinyotl
calla lily	huacalxochitl
inch plant	matlalin
matlalxochitl	matlalxochitl
jar	acomitl
American wigeon	xalcanauhtli
Mexican duck	xomotl
American duck	zolcanauhtli
northern shoveler	yacapatlahuatl
skin	cuetlaxtli
poinsettia	cuetlaxochitl
nit	acilin
queen	cihuatlahtoani
folded	tlacuelpacholli
foam	pozolli
bathroom	nealtiloyan
bathroom	tetemaloyan
pantry	tlacualcalli
helm	tlacuexcochtiloni
plaza	aitualli
totomostle	totomochtli
popcorn	momochtli
sausage	nacacuitlaxcolli
moustache	camatzontli
eyebrow	ixcuamolli
muscle	ahcoltetl
eyelash	ixtzontli
eye	ixtelohtli
buttocks	tzintli
anal cleft	tzintlantli
heel	xoquechtli
rib	omicicuilli
Portuguese	portugallacatl
purple	camohpaltic
pink	xochipaltic
dark blue	texohtic
weasel	cozahtli
aphid	chiahuitl
peach	torazno
urine	axiliztli
kidney	necoctetencatl
dry	zotl
cantil	zolcoatl
Zacatec	zacatecatl
small	zacatamalli
small	zacanochtli
grass	zacamilli
mucus	yacahcuitlatl
vein	ezcohtli
dragonfly	atzoncal
dragonfly	apipiyollotl
joint	zazaliuhyantli
pubis	zacapilli
pubis	tepoltzontli
paw	mahtli
lung	chichitl
arrive	hualla
toad	cacatl
toad	acacatl
decree	tlahtolmatiliztli
beginning	peuhyotl
large	calixatl
fissure	aquiyan
priestess	cihuatlamacazqui
god	tlamacazqui
fire priest	tlenamacac
equality	neneuhcayotl
Teotihuacan	Teotihuahcan
Papalotla	Papalotlah
Chiautla	Chiauhtlah
Cuautitlán	Cuauhtitlan
Ecatepec	Ehecatepec
moviment	ollin
fly	patlana
glass	tlahuantli
