that	on
Pátzcuaro	Patzcuaro
frog	cueyatl
pendant	xiuhtotonacocheh
pendant	xiuhtotonacochtli
hummingbird disguise	huitzitzilnahualeh
Snowy Egret	aztatzoneh
Snowy Egret	aztatzontli
jaguar	ocelocopileh
jaguar	ocelocopilli
front line	yaotenhuah
Zapotec	tzapotecatl
turquoise	teoxihuitl
mat	ocelopetlatl
Iztaccíhuatl	Iztac tepetl
Popocatépetl	Popocatepetl
Pico de Orizaba	Poyauhtecatl
alderman	regidor
coral	tapachtli
corregimiento	corregidoryotl
hound	cuecuechmictia
shipwreck	acallapani
scratch	tataca
genitals	maxauhtinemi
rash	zahuatl
hallucinogenic	toloatzin
everlasting	cemihcac
prophet	propheta
rattlesnake	teuctlacozauhqui
turn	cuepa
Aztec	Tezcatlipoca
four time	nappa
eye	tix
hunter	tlaminqui
squirrel	techalotl
sunray	tonalmitl
judge	ychteccatetlatzontequiliani
lesbian	tepatlachuiani
lizard	cuetzpalin
aquatic reptile	acuetzpalin
ychtecqui	ichtecqui
mecaueuetl	mecahuehuetl
teococolizpalaniliztli	teococoliztli
puma cub	mizconetl
xaltoçan	xaltozan
uiçacotl	huizacotl
chachahuatl	chachauatl
wolf	mayaquen
ycpitl	icpitl
tlacatlacuilo	tlacatlacuiloliztli
tlacatlacuilo	tlacatlahcuiloh
aotli	aohtli
tlachioalli	tlachihualli
drowning	teilaquiliztli
tlalticpacquiça	tlalticpacquiza
tlācatiliztli	tlacatiliztli
buttock	tzintamalli
penis	tepolli
penis	tepoleh
sick	cocoxqui
lesbian	patlachuia
maya̱na	mayana
die	amiqui
mictiuetzi	mictihuetzi
nahuatlahto	nahuatlahtoh
chili pepper	mochil
locative	-tlan
busty	tlacazolchichihualeh
breast	chichihualmecapalli
çoquiyo	zoquiyoh
tzajtzi	tzatzi
shout	tzahtzi
scream	mauhcatzatzi
quiahui	quiyahui
tlaqualli	tlacualli
bag	xiquipiltontli
espada	tepoztzotzopaztli
xīlōtl	xilotl
song	cuicatl
intestine	cuitlaxcolli
cuīcuītzcatl	cuicuitzcatl
swallow chick	cuicuitzcaconetl
adobe	xamitl
sour	xococ
summon	notza
Lovely Cotinga	xiuhtototic
fall	huetzi
cualli	yectli
yecteneua	yectenehua
live	yoli
bug	yolcatl
onion	xonacatl
cheek	cantli
teocuitlacuzcatl	teocuitlacozcatl
quauhpatolli	cuauhpatolli
auillatolli	ahuillahtolli
triplet	tenamaztli
charge	tlequiquiztlaltema
charge	tlatlequiquiztlaltentli
sulfur	tlequiquiztlalxoquiyac
cozticteocuitlaquixtiloyan	cozticteocuitlaoztotl
bloom	cueponi
burn	xotla
burn	tlemiqui
tunalmi̱ki̱	tonalmiqui
miccaçaioli	miccazayolin
azcaputzalli	azcapotzalli
happy	yolpaqui
yoaltica	yohualtica
yoac	yohuac
nohpalli	nochtli
flesh	nacatl
quiauitl	quiyahuitl
chocolate seller	chocolanamacac
Tamooc	Tamomox
Tamooc	tamuoc
cape	capatli
teutetl	teotetl
church	teohcalli
chichiquiltopilli	maquauhtopilli
maquauhtopilli	chichiquiltopilli
chichiquiltopilli	chichiquilli
Cacatzac	cacatzac
ayc	aic
muztla	moztla
kill	mictia
ocelopetlatl	petlatl
bowl	caxitl
stink	potoni
pa̱qui	paqui
happiness	paquiliztli
pata̱ni	patlani
pacalli	pahcalli
thin	pitzahuac
castillan xochitl	castillan xochitl
mihlacatl	millahcatl
over there	ompa
bird	tototetl
parrot	cocho
puchtecayotl	pochtecayotl
puchtecati	pochtecati
quauhiztesuchitl	cuauhiztexochitl
bury	toca
representative	tepantlahtoani
mat	petlazolli
Mexican marigold	cempohualxochitl
govern	tlahtocati
red-eyed treefrog	calatl
frog	milcalatl
lance	tepuztopilhuia
pierce	ixili
stab	tlaxilli
lance	tlatepuztopilhuilli
sap	necuatl
temple	teopan
withdraw	tzinquiza
hiccups	tziucnoliztli
cry	choca
monkey	cuauhchimal
cold	tzompilihui
cold	tzompilli
tear	tzayani
sandal	cactli
fiesta	ilhuitl
dream	temiqui
dream	yztlacatemictli
cut	cotona
glanders	mazacocoliztli
glanders	mazacocolizzoh
duckling	canauhconetl
castillan canauhtli	castillan canauhtli
on all fours	coyonenemi
sentence	tlatzontequilia
forearm	matzotzopaztli
library	amoxcalli
give	maca
you	tehoatl
you	tehuatl
be	cah
transform	mocuepa
ōōme	ome
ēēyi	eyi
nānāhui	nahui
māmācuīlli	macuilli
blood	tayo
mother	inan
today	āxān
child	pilpil
dweller	nemini
possessor	-eh
disciple	discipulo
that	inon
capulin	capolin
want	nequi
drink	ī
stew	emolli
Christian	christiano
candy	confites
water	nauh
thorn	huitztli
mortar	molcaxitl
pool	acaxitl
pond	michacaxitl
stew pot	chilmolcaxitl
whitewash	tizatl
hair	tzontli
fence	chinamitl
garden	xochichinancalli
fence	techinamitl
fence	tlacochinamitl
house	chinancalli
jicama	xicamatl
depart	ehua
go	yauh
come	huitz
grind maize	teci
swallow	toloa
weed	zacatl
navel	xictli
agave	metl
avocado	ahuacatl
Chiranthodendron pentadactylon	macpalxochitl
opossum	tlacuatzin
us	tech-
n-	ni-
tobacco	piciyetl
seize	āna
flower	xochihua
twenty	cempohualli
chili	chilatl
mockingbird	centzontlahtoleh
sweat lodge	temazcalli
peanut	tlalcacahuatl
reddish	pinacatl
this	inin
hominy	nextamalli
huipiltin	huipilli
tamal	nacatamalli
herb	quilitl
tadpole	atepocatl
unsifted maize	pinolli
powder	cacahuapinolli
ground salt	iztapinolli
thorn	ahhuatl
prickly pear	xoconochtli
potsherd	tapalcatl
cacao pod	cacahuacentli
calehqueh	caleh
pride	nepohualiztli
marriage	nenamictiliztli
spouse	namictli
burrow	tochcalli
fishing net	michmatlatl
street	caltzalantli
net	matlatl
opening	tzalantli
avocado	ahuacacuahuitl
resident	chaneh
avocado flower	ahuacaxochitl
tool	manamictli
dancer	mihtotihqui
person	-qui
mesquite	mizquitl
drunkard	tlahuanqui
chest	elchiquihuitl
basket	chiquihuitl
bird	totochiquihuitl
palm tree	zoyatl
palm-leaf basket	zoyachiquihuitl
mat	petlazoyatl
read	amoxpohua
reading	amoxpohualiztli
-tion	-liztli
count house	calpohua
tear	ixayotl
clean	pohpohua
wipe away	ixayopohpohua
clean	mapohpohua
count	calpohualli
death	miquiliztli
count egg	totoltepohua
count	pohualli
divine	tonalpohua
calendrical period	tonalpohualli
sign	tonalpohualiztli
come down	hualtemo
descent	hualtemoliztli
immortality	ahmiquiliztli
swallow water	aoni
robbery	ichtequiliztli
steal	ichtequi
act tying	ilpiliztli
starry	citlalloh
land	tlalli
feces	xayotl
silt	tlalxayotl
lees	ocxayotl
tail	cuitlapilli
chapel	teocalcuitlapilli
coyoltin	coyolli
cane	coyolacatl
great-grandfather	achcolli
heart	olotl
pestle	texolotl
maize flower	oloxochitl
tlapanmeh	tlapantli
tile	tapalcatlapantli
cuauhtlapanmeh	cuauhtlapantli
quetzal	quetzaltototl
lost	poliuhqui
storage platform	tlapanco
Tenochtitlan	Mexihco
on	-co
disk	comalli
cave	tepecoyoctli
children	coconeh
rope	zacamecatl
cord	mecatl
eye	ixeh
fishing line	michmecatl
rope	ichmecatl
plural	-meh
plural	-tin
plural	-queh
ruler	tlahtohqueh
bracelet	matemecatl
noose	mazamecatl
meat	mazanacatl
stew	mazamolli
colt	mazamamachtiliztli
tame	mazamamachtia
sunbeam	tonameyotl
Mexica	mexihcatl
Aztec	mexihcah
reader	amoxpohuani
tumpline	mecapalli
fish	mimichtin
chapoltin	chapolin
eagle	cuacuauhtin
amaranth	huauhtli
frog	cuecueyah
sacred fir	oyametl
mushroom	nanacatl
grinding stone	metlapilli
slab	metlatl
ear	elotl
nacacehqueh	nacaceh
īxeh nacaceh	ixeh nacaceh
nacaceh īxeh	nacaceh ixeh
women	cihuah
immortal	ahmicqui
divine	teoyotl
toasted	totopochtic
dead	tlemoyonextli
tear	ixxayotl
left	opochtli
flowery	xochiyoh
full	-yoh
ant	azcayoh
nitty	acelloh
nit	acelli
lousy	atenyoh
ravine	atlauhyoh
tearful	choquizzoh
excrement	cuitlayoh
excrement	cuicuitlayoh
tearful	ixayoyoh
dusty	teuhyoh
clod	tlalteyoh
soil	tlahtlalteyoh
clod	tlaltetl
dirty	tlazolloh
earth	tlalloh
fruit-bearing cactus	xoconochnohpalli
tick	mazaatemitl
fat	tomahuac
host	tlalohqueh
ear	nacaztli
seat	icpalli
yes	quemah
idem	quemeh
cushion	tzonicpalli
cushion	cuachicpalli
cotton blanket	cuachtli
canopy	cuachcalli
standard	cuachpamitl
hydromel	aoctli
alcoholic beverage	nochoctli
maiden	ichpochtli
parent	ichpocheh
turkey hen	ichpochtotolin
palm tree	zotolin
palm tree	zoyacuahuitl
palm-leaf basket	zoyatanahtli
palm-leaf basket	zoyatanahtontli
