inula	woman
soil	zemja
blossom	kwět
hay	syno
wheat	pšeńca
man	čłowjek
grandfather	dźěd
dough	ćěsto
wax	wósk
moon	měsac
wolf	wjelk
raspberry	malena
sheep	wowca
week	tydźeń
Monday	póndźela
Tuesday	wutora
Wednesday	srjeda
Thursday	štwórtk
Friday	pjatk
Sunday	njedźela
your	twój
window	wokno
evening	wječor
day	dźeń
wood	drjewo
one’s	swój
world	swět
at	při
wind	wětr
poor	chudy
horse	kóń
residence	bydło
moth	mól
otter	wudra
thrush	drózn
beat	bić
apple	jabłuko
bearded	brodaty
bubbly	banja
flea	pcha
flea	tcha
dry	suchi
healthy	strowy
body	ćěło
straw	słoma
Polish	pólšćina
Bautzen	Budyšin
Estonia	Estiska
Lusatian Neisse	Łužiska Nysa
Görlitz	Zhorjelc
lightning	błysk
dust	proch
tar	smoła
mosquito	komor
one	jena
fur	kosma
sand	pěsk
air	powětr
stone	kamjeń
spring	nalěćo
honey	měd
lake	jězor
vinegar	kisało
peace	měr
refrigerator	chłódźak
onion	cybla
ozone	ocon
Tajikistan	Tadźikistan
Italy	italska
fruit	płód
bear	mjedwjedź
Poland	Pólska
snow	sněh
wind	wětřik
key	kluč
bone	kósć
she	wona
swan	kołp
nest	hnězdo
image	wobraz
lamb	jehnjo
beat	ćepać
mane	hriwa
heron	čapla
pure	čisty
your	waš
birch	brěza
interpreter	tołmač
heavy	ćežki
hair	włós
belly	brjuch
friend	přećel
shore	brjóh
mud	błóto
plough	radło
loin	bjedro
mow	syc
excrement	howno
Faroe Islands	Färöje
white	běły
green	zeleny
yellow	žołty
ox	woł
willow	wjerba
sea	morjo
rain	dešć
year	lěto
bread	chlěb
rich	bohaty
early	zažny
black	čorny
red	čerwjeny
fresh	čerstwy
ash	popjeł
it	wono
wall	sćěna
star	hwězda
way	puć
fog	mhła
wing	křidło
meat	mjaso
feather	pjerjo
sun	słónco
guest	hósć
death	smjerć
tree	štom
tail	wopuš
fingernail	nochć
root	korjeń
liver	jatra
animal	zwěrjo
corner	nuhł
threshold	próh
door	durje
spoon	łžica
village	wjes
elbow	łochć
roof	třěcha
light	swěca
candle	swěčka
ten	dźesać
calf	ćelo
seven	sydom
wool	wołma
servants	čeledź
haystack	stóh
stirrup	třmjeń
wreath	wěnc
spindle	wrjećeno
spark	škra
needle	jehła
arrow	třěła
ant	mrowja
butterfly	mjetel
lizard	ješćelca
turtle	žołwja
wasp	wosa
louse	woš
eel	wuhor
beetle	žuk
moon	měsačk
castrated boar	wjapř
dragon	zmij
child	dźěćo
one	jedyn
five	pjeć
six	šěsć
nine	dźewjeć
eight	wosom
eight	wósom
glory	chwała
laughter	směch
room	stwa
suet	łój
ask	prosyć
potshard	črjop
gut	črjewo
heart	wutroba
angel	jandźel
skylark	škowrončk
squirrel	wjewjerčka
shoulder	ramjo
udder	wumjo
have	měć
when	hdy
nightingale	sołobik
through	přez
abstract verb	nosyć
concrete verb	njesć
abstract verb	wozyć
carry	wjezć
abstract verb	chodźić
go	hić
abstract verb	jězdźić
go	jěć
abstract verb	wodźić
concrete verb	wjesć
abstract verb	lětać
concrete verb	lećeć
hard	twjerdy
source	žórło
vein	žiła
bile	žołč
tear	sylza
rib	rjebło
road	dróha
flint	křemjeń
childhood	dźěćatstwo
childhood	dźěćowstwo
lead	wołoj
wait	čakać
copper	mjedź
silver	slěbro
stream	trumjeń
thunderstorm	njewjedro
tavern	korčma
awl	šidło
sew	šić
cat	kóčka
Germany	Němska
honor	česć
hump	horb
chest	hrudź
throat	hordło
fist	pjasć
heel	pjata
duckweed	rjasa
belief	wěra
fir	jědla
three	třo
four	štyrjo
finch	zyba
acorn	žołdź
eleven	jědnaće
twelve	dwanaće
thirteen	třinaće
fourteen	štyrnaće
fifteen	pjatnaće
sixteen	šěsnaće
seventeen	sydomnaće
eighteen	wósomnaće
nineteen	dźewjatnaće
twenty	dwaceći
thirty	třiceći
forty	štyrceći
hide	kryć
dig	ryć
horror	hroza
wisent	žubr
mute	němy
yesterday	wčera
tomorrow	jutře
today	dźensa
chěžow	chěža
garden	zahroda
morning	ranje
face	mjezwočo
journey	pućowanje
now	nětko
where	hdźe
rodent	hrymzak
mammal	cycak
animal kingdom	zwěrina
autumn	nazyma
summer	lěćo
England	jendźelska
leaf	łopjeno
April	apryl
partnership	partnerstwo
cress	žerchej
sow	syć
blind	slepy
edible dormouse	połch
Sambucus	bozanka
corncockle	kukel
stork	baćon
hoopoe	hupak
European goldfinch	šćihlica
Stipa	kowjel
dock	zdźer
Sanicula	hojawa
Chenopodium	pólšica
water starwort	jabrik
Pinus	chójna
hole	dźěra
Viscum	jemjel
Eurasian sparrowhawk	kraholc
Corvus frugilegus	hawron
aftergrass	wotawa
Cyperus	cachor
Cyperus papyrus	papjerowc
absinthe	połon
Pedicularis	wšowica
Agrostis	wjechelca
firm	kruty
you two	wój
they two	wonaj
they two	wonej
Bromus	kostrjawa
humpbacked	horbaty
hive	kołč
boat	čołm
vocative case	wokatiw
accusative case	akuzatiw
rush	syćina
mosquito	kuntwora
northern pike	šćuka
that	kotryž
deduce	dedukować
