is	on
hunting	mečästämine
cook	keittäi
communism	kommunizmu
nationalism	natsionalizmu
love	rakkahus
wristwatch	rannehčuasut
breakfast	huondesvero
treasure	uarreh
time difference	aiguero
magazine	aigukauzilehti
age	aigukauzi
timer	aiguhälütin
Soviet Union	Nevvostoliitto
mirror	zirkalo
ant	kudžoi
bridegroom	sulhaine
disaster	avaarii
Lake Ladoga	Luadogu
stroke	aivoparaličču
wasp	amburjaine
eel	ängerjäs
swan	joučen
anatomy	anatoumii
tonsillitis	angiinu
wolverine	ahmoi
week	nedäli
alligator	alliguator
age	igä
age limit	igäraja
police	politsii
epilepsy	epilepsii
cucumber	ogurču
pharmacy	aptiekku
hospital	bolʹničču
jacket	palʹto
patch	paikku
coffee	koufei
truck	gruzoviekku
jeans	džinsat
sugar	zuahari
fax	faksu
keyboard	klaviatuuru
United States	Nʹu Jork
mosque	mečetti
olive oil	oliivuvoi
yoghurt	jogurtu
anchovy	ančoussu
orange	apelʹsiinu
bridge	silda
foot	jalga
neck	kakla
plough	adra
iron	rauda
down	alah
trap	ryda
part	oža
hut	tsardakka
tea	tsoojuo
guest room	gornitsa
bread	leibä
Friday	pietenisä
Saturday	suovatta
Sunday	pyhänpiä
featherbed	perinä
straw bolster	posteli
third-person	tuldin
brother	velj
blanket	odjuala
generous	louhki
small	vagahainen
pillow	pieluksi
father-in-law	appiukko
large room	perttih
lot	oza
fingernail	kynzi
truth	tozi
family	pereh
beam	parzi
spring	lähte
bird	lindu
air	ilmu
nest	pezä
view	nägö
field	peldo
stream	virdu
crane	kurgi
roach	särgi
trace	jälgi
milk	maido
nuclear war	ydinsoda
pit	kuoppu
ice	jiä
rock	kallivo
misfortune	hädä
path	polgu
hedgehog	čiili
maiden	neičyt
alley	kujo
heritage	perindö
translator	kiändäi
seeker	eččii
dressmaker	ombelii
knife	veičči
thigh	reizi
year	vuozi
fifth	viijes
sixth	kuvves
wave	ualdo
wave	laineh
hair	hivus
profit	hyödy
call	kučču
sentence	virkeh
heart	syväin
sickle	čirpi
sour cream	kannates
laugh	nagro
currant	čihoi
owl	hyybii
owl	tuukkai
vessel	astii
number	lugu
soot	nogi
lever	vibu
heel	kandu
healthy	terveh
pea	herneh
fat	razva
four	nellä
mud	redu
cock	kukoi
blizzard	purka
gate	veräjä
support	tugi
fight	torata
dust	pölü
pain	kibu
cuckoo	kägi
tulla	tulou
shoulder	olga
bay	laksi
shepherd	paimoi
awl	oraine
talk	pagin
rough	karhei
horse	hopo
say	aakkoa
narrow-minded	ahashenkine
plight	ahinko
pulk	ahkivo
dregs	ahku
Finland	Šuomi
nobody	niken
domestic animal	šiivatta
I love you	mie šilma šuvačen
eye	šilmä
large	šuuri
life	eländä
assistant	abuniekka
blind	šogie
pit	hauda
evening	ilda
bear	kondie
forehead	očča
cone	käby
sheep	lammaš
width	levehyš
strawberry	mančikka
lunch	murgina
black	mušta
badger	mägrä
badger	mäkrä
roe	mähnä
pine	mändy
pine	pedäjä
pine	honga
sleep	magua
hunger	nälgä
button	nyblä
capital city	piälinna
boy	poiga
boy	briha
bicycle	polgupyörä
love	armahuš
quarrel	riida
man	mieš
person	ristikanža
Finn	ruočči
word	šana
dictionary	šanakirja
wall	šeinä
bridge	šilda
weather	šiä
dress	šoba
death	šurma
duck	šorža
shuttle	šukkulaine
sock	šukka
autumn	šygyžy
republic	tažavalda
health	tervehyš
street	uuličča
calf	važa
belly	vačča
debt	velga
sister	čikko
pretty	šoma
poor	keyhä
happy	ožakaš
unhappy	ožatoin
clever	hajukaš
gifted	nerokaš
ragged	ribukaš
-less	-toin
homeless	talotoin
family	perehitöin
nine	yheksän
because of	täh
frying pan	riehtilä
forest	meččä
walk	käyvvä
grasshopper	rašvakatti
capercaillie	meččo
lock	lukku
grandmother	ämmö
spider	hämehikki
he	hiän
which	kumpani
someone	kennih
something	minih
self	iče
myself	iččeni
thyself	iččes
himself	iččeh
each other	toini toisen
second	toini
elbow	kynkä
mold	homeh
sin	riähkä
kind	tämmöni
yesterday	eklen
marry	akottuo
culture	kulʹtura
factory	tehaš
do	tehtä
viviparous lizard	čičiliušku
wide	levie
middle-aged	keški-ikäni
beak	n'okka
undressed	pal’l’aš
laugh	nakrua
burn	paluo
sit	istuo
doze	n'ukkuo
bring	tuuvva
stay	jiähä
wild bee	mehiläini
lie	venyö
get	suaha
cradle	kätyt
fall	kuatua
draw	piirdiä
crooked	viärä
bow	kuari
