where	may
eighteen	chunka pusaqniyuq
nineteen	chunka isqunniyuq
twenty	iskay chunka
thirty	kimsa chunka
forty	tawa chunka
fifty	pichqa chunka
sixty	suqta chunka
seventy	qanchis chunka
eighty	pusaq chunka
ninety	isqun chunka
thousand	waranqa
twenty-one	iskay chunka hukniyuq
twenty-two	iskay chunka iskayniyuq
twenty-three	iskay chunka kimsayuq
twenty-four	iskay chunka tawayuq
twenty-five	iskay chunka pichqayuq
twenty-six	iskay chunka suqtayuq
twenty-seven	iskay chunka qanchisniyuq
twenty-eight	iskay chunka pusaqniyuq
twenty-nine	iskay chunka isqunniyuq
thirty-one	kimsa chunka hukniyuq
thirty-two	kimsa chunka iskayniyuq
thirty-three	kimsa chunka kimsayuq
thirty-four	kimsa chunka tawayuq
thirty-five	kimsa chunka pichqayuq
thirty-six	kimsa chunka suqtayuq
you	qamkuna
they	paykuna
bring	apamuy
dry	ch'akiy
hate	chiqniy
put	churay
send	kachay
return	kutiy
request	mañay
circle	muyuy
old	awki
grandparents	awkikuna
principality	awkisuyu
republic	ripuwlika
thirty-seven	kimsa chunka qanchisniyuq
ten thousand	chunka waranqa
hundred thousand	pachak waranqa
million	hunu
thirty-eight	kimsa chunka pusaqniyuq
thirty-nine	kimsa chunka isqunniyuq
forty-one	tawa chunka hukniyuq
forty-two	tawa chunka iskayniyuq
forty-three	tawa chunka kimsayuq
forty-four	tawa chunka tawayuq
forty-five	tawa chunka pichqayuq
forty-six	tawa chunka suqtayuq
forty-seven	tawa chunka qanchisniyuq
forty-eight	tawa chunka pusaqniyuq
forty-nine	tawa chunka isqunniyuq
abound	achkachay
puppy	allqucha
honor	apuchay
p'ampachay	pampachay
pampachay	p'ampachay
bury	p'ampay
pampa	p'ampa
ruffled	ch'iri
freeze	chiriy
-er	-q
teaching	yachachiy
teacher	yachachiq
pupil	yachakuq
study	yachakuy
learner	yachachikuq
wash	mayllakuy
washing	mayllay
break	llik'iy
torn	llik'isqa
-saq	-sqa
-raq	-rqa
old	chakwas
old man	achachi
alpaca	allpaqa
mountain	pikchu
adore	willkay
consecrate	willkachay
work	llamk'ay
disobey	llamkay
touch	llamkhay
read	ñawiriy
source	pukyu
spout	pukyuy
wiñay	winay
already	ña
edible	mikhuna
outside	jawa
pain	nanay
lead	pusay
noise	buulla
rotten	ismu
follow	qatiy
forgetting	qunqay
stench	asnay
scratch	aspiy
skunk	añas
manure	wanu
approach	chimpay
help	chimpachiy
heal	hampiy
grab	hap'iy
happiness	kusikuy
bear	jukumari
fish	challwa
second-person	-yki
bread	t'anta
second-person	-ykichik
putative	-chá
-pa	-paya
tree	sach'a
pen	qillqana
writing	qillqay
progressive	-chka
hina	-hina
how	imahina
young	wamra
illness	unquy
arrive	chayamuy
morning	paqarin
dawn	paqariy
dawn	paqar
limitative	-kama
Saturday	k'uychichaw
hope	suyay
rainbow	k'uychi
Monday	killachaw
Tuesday	atipachaw
victory	atipa
Wednesday	quyllurchaw
star	quyllur
Thursday	illapachaw
lightning	illapa
Friday	ch'askachaw
curly	ch'aska
Sunday	intichaw
deep	ukhu
deep	chiwanway
meat	aycha
request	watukuy
yesterday	qayna
town	llaqta
cry	waqachiy
-ku	-nku
first-person	-nchik
-ku	-yku
plural	-nkichik
singular	-nki
book	liwru
call	qayay
that	haqay
father	tayta
tool	llamk'ana
punish	maqakuy
argue	maqanakuy
reciprocal	-naku
see	rikunakuy
mana	-chu
what	imanay
wask'a	waska
long	wask'a
dirty	khuchi
lasso	waskay
exile	mitmay
colony	mitma
village	ayllu
recognize	ayllunakuy
assemble	aylluy
I	sapay
base	manqu
mighty	qhapaq
strong	sinchi
harden	sinchiyay
generous	ruq'a
left	lluq'i
right	paña
accountant	yupanki
blood	yawar
meeting	tupay
young	wayna
community	ayni
communal	ayniy
messenger	chaski
yarawi	harawi
yarawiy	harawiy
humita	humint'a
make	humint'ay
shift	mit'a
here	kaypi
there	chaypi
over there	haqaypi
from	kaymanta
from	chaymanta
from	haqaymanta
table	patacha
friend	atillcha
car	karru
brother	wawqi
science	riqsiy
acquaintance	riqsi
known	riqsisqa
bathe	armay
bathe	armakuy
granary	pirwa
stack	pirway
division	t'aqa
and	hinaspa
title	umalli
upper	hanaq
but	-taq
with	-yuq
sierra	qhichwa
week	hunk'a
hot	rupha rupha
hot	rupha
wild	sallqa
pacha	p'acha
face	uya
shine	llimphiy
smell	q'apay
planting	hawiy
multicolored	ñawra
color	llimphi
flower	t'ika
adobe	tika
small	ch'uspa
slowly	pallay
furrow	khata
hat	chuku
mirror	rirpu
light	k'anchay
ñam	ñan
vicuna	wik'uña
heat	ruphay
wind	wayra
extinguish	thasnuy
api	p'api
rock	rumi
harden	rumiyay
southern	qulla
begonia	achanqaray
first	hukñiqi
second	iskayñiqi
third	kimsañiqi
first	ñawpa
animal	q'awa
worker	ruraq
drunkenness	machay
corn	aqha
hide and seek	chinkay
-sapa	-spa
pay	kañiy
said	ñisqa
bind	saway
certainty	-puni
for	-rayku
father	ususi
infinite	llulluy
pigeon	urpi
heart	sunqu
swimming	wamp'uy
alone	paylla
thin	ch'arki
dry	ch'arkiy
devil	supay
bewitch	layqay
sorcerer	layqa
ichá	icha
nevertheless	ichaqa
confusion	musphay
perhaps	ichá
become	ruk'uyay
old	ruk'u
behead	qhuruy
strangle	sipiy
straw	ichhuy
mountainous	urqu
ullantay	ullanta
ullanta	ullantay
tarantula	apanqura
tuber	raqacha
fungus	k'allampa
quy	quwi
guinea pig	kututu
eye	ñawi
anointed	willaq
resistant	anku
idyll	wayllu
love	waylluy
durable	qaqa
boulder	qaqa qaqa
virgin	aklla
girlfriend	salla
eat	pituy
universal	llapan
all	llapa
death	wañu
bloom	t'ikay
fine	ñina
honor	sumay
rise up	lluqsiy
stand up	sayariy
hostile	awqa
do	hinay
all	hinantin
dress	churakuy
stumble	mitk'ay
false step	mitk'a
flee	mitikuy
thresh	t'ustuy
embrace	marq'ay
nose	sinq'a
snuff	sinq'ay
present	kunan
Peru	takanakuy
dignified	much'ay
maturation	puquy
tree	mallki
hope	suyakuy
strong	kallpa
male-assigned	quariwarmi
race	kallpay
rest	q'imikuy
approach	q'imiy
call	waqyay
call	waqya
leader	kuraka
elder	kuraq
central	chawpi
kiss	much'a
abundant	yupa
grow	ruruy
ripe	puqu
without	-nnaq
support	q'imi
skillful	amawt'a
princess	ñust'a
airplane	antanka
brown	allqa
black-and-white	alqa
blue	anqas
brown	ch'umpi
belt	chumpi
belt up	chumpiy
lead	rampay
orange	killmu
become	kulliyay
become	tutayay
sky blue	qhusi
clear	qusi
yellow	q'illu
green	q'umir
purple	sañi
smile	thiti
gray	uqi
orange	willapi
experiment	yaña
experimentation	yañay
white	yuraq
God	Dyus
sacred	wak'a
broody	tuqtu
amancay	hamanq'ay
feed	qullpay
salty	qullpa
parcel	suyuy
lid	ch'ipchi
recur	-ykacha
flutter	phawaykachay
blink	ch'ipchiy
cover	qatay
blanket	qata
annually	watan watan
meet	qilliy
heap	qisa
bluster	phiñay
angry	phiña
freedom	qispiy
ripen	susuy
punishment	wanay
found	tiqsiy
overtake	yalliy
more	yalli
devilish	millaymana
bad	millay
approach	asuy
place	suk'ay
whistle	sukay
thing	suk'a
afternoon	sukha
grief	phutiy
letter	qillqa
then	chayqa
crooked	q'iwi
torsion	q'iwiy
wheel	qalla
begin	qallay
brightness	phaqsa
glitter	phaqsay
angel	anqil
joy	q'uchu
generation	miray
counter	yupana
birth	wachay
drink	suq'uy
cloud	phuyu
evaporation	phuyuy
universal	tiksi
begin	tiksiy
round	muyu
gold	quri
gild	qurichiy
transfer	wantuy
happiness	kusiy
fart	thasay
fart	supiy
belly	wiksa
chicken	wallpa
creation	wallpay
castle	pukara
fortify	pukaray
free	qispi
clear	q'ispi
door	punku
earn	usachiy
be able to	usay
flower	sisay
bring up	uyway
tame	uywa
true	chiqa
straight	chiqan
climb	siqay
metal	chuqi
diminish	yawyay
queen	quya
equal	paqta
objective	paqtay
all	tukuy
outside	waqta
land	allpa
evaluation	tupuy
milk	ñukñu
dark	chunta
harvest	kallchay
gentian	phallcha
cloak	yaqullay
cloak	yaqulla
jump	phinkiy
departure	lluqsi
break	p'akiy
torn	p'aki
confusion	pantay
first	puchkay
spindle	puchka
split	puchqay
beginning	qallariy
call	qapariy
appearance	rikuriy
leave	saqiy
tiredness	sayk'uy
earth up	taqtay
change	tukuchiy
cobblestone	khallki
pavement	khallkiy
clear	sut'i
be called	sutiy
dark	t'itu
foresee	t'ituy
sting	wach'iy
arrow	wach'i
boat	wamp'u
fool	wampu
opening	wamphu
great	may may
lodging	tampu
attention	uyay
dye	ayrampu
bend	k'umuy
boast	kumuy
lowered	k'umu
soft	llamp'u
fine	llamp'uy
love	khuya
close	wichq'ay
garden	muya
catwalk	uruya
polychrome	pillqu
unite	ch'antay
form	chantay
step	thatki
beat	thatkiy
