he	de
yam bean	maenzgat
buttock	caekhaex
kingdom	vangzgoz
federation	lenzbangh
committee	veijyenzvei
Mulaujcuz Swciyen	Lozcwngz
recently	mboengqneix
occur	fatseng
mother	daxmeh
unite	lienzhab
Mid-Autumn Festival	bet nyied cibngux
Dragon Boat Festival	ngux nyied co'ngux
dignity	cunhyenz
written character	cihsaw
written Zhuang	Sawcuengh
automobile	giceh
where	gizlawz
hole	congh
nose	ndaeng
do not	gaej
language	yijyenz
friend	baengzyoux
government	cwngfuj
passport	hucau
crawl	ruenz
banana	gyoijhom
rainbow	duzdoengz
rainbow	saidoengz
underside	𬻊
up	gwnz
hospital	yihyen
doctor	canghyw
nurse	husw
beggar	gaujvaq
nurse	bouxganqbingh
who	bouxlawz
male	-boux
Bouyei	Bouxyaej
home page	yiebdaeuz
page	yieb
first	daeuz
bamboo tube	mbaengq
shiver	nyamx
church	gyauvei
Jesus	Yehsuh
Jesus Christ	Yehsuh Gihduz
widow	yahmaiq
commit suicide	gaggaj
give	dajcim
descendant	lwglan
granddaughter	lanmbwk
grandson	lansai
big	mbwk
honourable	miznaj
unsatisfied	ndaej dangj vuengzdaeq sieng dangj sien
assistant	riuj haizcauj
boast	gingj boemx loengx
roll	gingj
case	loengx
carry	riuj
perish together	ma dai maet caez dai
try	ep meuz gwn meiq
embellish	dem gyaeuj dem rieng
look for trouble	nyaeb maet haeuj ndang
incite	aux ma dox haeb
be	langh bit roengz raemx
dig up	byoengq hangx saez
work	gwn haeux rog
beer	laeujbizciuj
widow	maiq
Chinese	Vahgun
maternal grandfather	goengda
small	iq
lie down	ninz
slave	hoiq
bank	yinzhangz
publish	cuzbanj
press	cuzbanjse
constitution	yenfaz
water wheel	loekraemx
news	sinhvwnz
because	aenvih
Bible	Swnggingh
fortified settlement	singz
capital city	gingsingz
capital city	soujduh
doctor	yihswngh
doctor	eiseng
library	duzsuhgvanj
profession	cangh
communism	gungcanjcujyi
communist	gungcanj
communist	gungcanjcujyicej
woodpecker	roegdingfaex
Holland	Hozlanz
iron	dangqdaeuj
police	gingjcaz
hail	lwgbag
supermarket	cauhsi
autonomous prefecture	swcicouh
pneumonia	feiyenz
district	gih
lock	suj
cucumber	lwgbieng
pumpkin	namzgva
pumpkin	lwggva
lemon	makningzmungx
man	bouxsai
egg yolk	gyaeqhenj
egg yolk	gyaeqhak
egg yolk	myonzlieng
medicine	ywraemx
parents	bohmeh
rake	rauq
tear	raemxda
pig	mounoh
swine fever	mouraq
worker	minzgoeng
secret	mimiz
hot spring	mboqraemxraeuj
mahjong	mazcoz
clear water	raemxsaw
perfume	raemxhom
nature	swhyienz
sparrow	roeglaej
peacock	roeggungjcoz
quail	roegam
quail	roeggumj
peacock	gungjcoz
Siberian crane	roegbeghag
Siberian crane	beghag
wild duck	roegbit
egret	roegcaeuq
