of	de
long	luang
wide	luarc
far away	luntun
grind	macnur
eat	mančur
sheaf	manzula
husband	marait
meal	marianda
marry	martur
ripe	matoir
stepmother	matraja
fun	alegraia
doctor	medco
heal	medcur
urine	mejatoira
lead	menur
mix	mescur
glass	mežul
shit	miarda
blackbird	miarla
Wednesday	misedma
tub	tinir
move	moitur
coin	monaita
fly	muasca
millstone	mucna
hill	muncial
Thursday	zue
nest	naid
born	nascoit
nut	nauc
uncle	naul
no one	nenčoin
niece	niapta
fiancée	ninapta
fiancé	ninapto
walnut	nochiera
nothing	nolja
nuestra	nuester
nose	nuos
honor	onaur
dorado	ourata
pay	pacur
jug	paila
yoke	zaug
bird	paserain
dig up	pasnur
pitch	pecla
small	pedlo
louse	pedoclo
pepper	pepro
why	percó
partridge	pernaica
lock	pescatoira
difficulty	pesunt
drip	pezlur
comb	piacno
hang	piandar
paint	piandro
lose	piardro
stone	pitra
bun	pizaraul
plant	pjancura
please	placar
rain	pluaja
complain	plungro
fowl	poluastro
can	potar
prune	potuor
dine	prandar
ask	precur
priest	priast
breakfast	prinz
pig	puarc
part	puart
door	puarta
flea	pulco
dust	pulvro
graze	puoscro
root	radaica
shore	raipa
reason	rasaun
cover	recanjala
laugh	redro
saddle	siala
swallow	rondaina
branch	ruoma
ruose	ruosa
sand	sablaun
alone	sanglo
leeches	sansoike
thigh	copsa
health	santut
soap	sapaun
seven	sapto
sated	satoil
on	saupra
chip	sčela
remove	scutro
sickle	secla
reap	seclur
dried	secut
handkerchief	sedarul
feel	senter
seventy	septuanta
sixteen	setco
shade	sombreja
spike	spaica
thorn	spaina
push	spangro
asparagus	spirač
foam	sploima
star	stala
store	stasaun
steelyard	stataira
work	stentur
extinguish	stotur
squeeze	strengar
whistle	sublar
sweat	sudaur
lamb	sugol
bat	surca pizigaun
susane	susana
taljuat	taljur
slow	tierč
thunder	tonur
torture	tormiant
kingdom	raigno
fishing	tragala
thirteen	tretco
beam	trua
throw	truar
wine	trufo
house	cuosa
frozen	glazait
eye	uaclo
maple	vaple
uat	uapto
blind	vuarb
ash tree	uarno
barley	vuarz
bone	vuas
sail	vaila
harvest	vedmur
twenty	venč
squirrel	viala
wind	viant
belly	viantro
evening	viaspro
neighbor	vičain
old	vieclo
thimble	ziziul
neck	zoglo
daily	cotidiun
sanctified	santificuot
will	voluntuot
temptation	tentatiaun
substance	sostuanza
badly	malamiant
then	diatremun
still	junkaura
dew	ruzuda
Saturday	subatu
girl	troka
use	usur
play	jocur
Lent	coresma
tie	ligur
around	atuarn
time	tiamp
heavy	pesaint
glass	viatro
week	setemúna
body	cuarp
black	niar
autumn	autun
barber	burbur
old	vetrun
thirty	tranta
open	aprer
palm	puolma
male	muosclo
blood	suang
canal	canul
carry	portur
Easter	puoscua
forehead	fruant
fate	suart
color	colaur
grandson	nepaut
young	jaun
rue	roita
rainbow	jarkbaluen
hell	infiarn
summer	instuat
covered	copiart
open	apiart
bitter	marcus
dregs	muarka
eighty	otuonta
eighty	octuanta
amorous	moraus
light	luminur
enemy	nemaic
blasphemed	blasmuat
sinner	pecataur
lump	glaiba
river	floim
deaf	suard
vomit	gombro
poisoned	invelenuot
rosemary	lusmarin
armpit	scul
castle	castial
skein	matuos
mister	sinaur
basket	caniastro
woman	molier
thought	pinsamiant
chimpi	cuomp
warm	cuolt
people	ziant
lame	zuap
green	viard
clothing	vestemiant
cabbage	viarz
thin	muogro
something	nosko
always	siampro
always	sianpro
recall	racuardar
return	tornuar
against	cuantra
first	praimo
watch over	vejur
seen	vedoit
sip	suars
same	medesem
same	stiass
stomach	stomac
water	jacqua
book	lebro
close	serur
smoke	fumur
favula	favular
sir	sinjaur
buy	comprur
sister	seraul
why	perké
word	paraul
good night	buna nuot
favla	favlur
stay	restur
enclose	inserur
bite	morscur
kiss	bissur
shit	cacur
vomit	gomitur
level	gualisur
heretic	reticuot
learn	inparur
night	nuot
good morning	bun dai
pants	moduonde
country	paiš
fruit	fruot
kill	amazur
push on	plongur
work	travalur
advance	avanzur
light	imprendro
take	prendro
charge	incaricur
guard	guardur
daic	dicro
paula	paulur
speak	parlur
comprehend	comprendro
charge	caricur
castrate	castrur
hate	odiur
know	sapro
do	facro
want	vular
grow	crescro
read	legro
write	scribro
sail	navigur
leave	lasčur
put	ponro
pick	elegro
improve	meliurur
begin	inizur
doubt	dubitur
strip	despoliur
wake up	dismissur
exile	esiliur
sell	vendro
advocate	advocur
advocuta	advocut
get underway	abrivur
speed	abrivuta
provoke	provocur
try	provur
dalmata	dalmat
apply	aplicur
complicate	complicur
intention	intentiaun
comprehension	comprensiaun
retention	retentiaun
interpretation	interpretatiaun
apprehension	aprensiaun
action	actiaun
application	aplicatiaun
conversation	conversatiaun
converse	conversur
abbreviation	abreviatiaun
abbreviate	abreviur
abstract	abstraict
contract	contraict
bring	trairo
contraction	contractiaun
caution	cautiaun
interpret	interpretur
learn	aprendro
collect	colegro
collection	colectiaun
election	electiaun
hope	sperur
wait for	atendro
attention	atentiaun
vision	visiaun
gather	recolegro
matter	afacro
affect	afaict
effect	efaict
affect	afaictur
advocate	abucur
weave	tesuor
house	kuoza
blame	kualp
spear	luanza
rule	comanduar
cook	cucro
godfather	compuar
paper	cuorta
forge	fusaina
rake	grabia
emperor	imperataur
deceive	inganuar
wash	lavuar
brown	maraun
prince	prinsep
luck	fortauna
mason	muradaur
fish	pescuar
inform	informuar
charity	carituat
grind	moluar
surprise	stupair
crow	cuarb
pray	preguar
smell	odaur
merchant	mercuante
lament	lamentuar
dust	polber
dance	balluar
grain	furmiant
sew	kosuor
respond	respondro
house	kuosa
vinegar	acaid
affair	affuor
lamb	agnial
far	a la luorga
stand up	alzuarse
alzur	alzur cole palaure
where	andua
go	anduar
appetite	apetiat
spiny lobster	argust
plow	arur
yellow	zuola
far	distuont
