dog	qimmeq
goose	nerleq
brent goose	nerlernaq
pink-footed goose	nerleq siggukitsoq
red-breasted merganser	paaq
harlequin duck	toornaviarsuk
long-tailed duck	alleq
ray	allernaq
eider	aavooq
common eider	miteq
mallard	qeerlutooq
drake	qeerlutooq angutiviaq
teal	qeerlutoornaq
king eider	qingalik
turkey	qingalissuaq
hawk	kissavik
gyrfalcon	kissaviarsuk
peregrine falcon	kiinaaleeraq
vulture	nattoraliusaq
passive participle	-taq
why	sooq
nose	qingaq
beard	umik
milk	immuk
nunatak	nunataq
anorak	annoraaq
stamp	frimærke
hole	allu
murre	appa
Jacob	Jaaku
Thomas	Tuuma
Simon	Siimuut
Isaac	Iisaaq
government	naalakkersueriaaseq
kiss	kunik
penis	usuk
vicinity	eqqaq
big toe	putugoq
chocolate	sukkulaat
cycle	sikkilerpoq
nursery	vuggestue
oxygen	ilti
dictionary	ordbogi
lion	løveq
silver	sølvi
copper	kanngussak
bullet	iluleq
gold	kuulti
chemical element	pinngoqqaat
iron	savimineq
new	nutaaq
handball	håndboldi
grand piano	flygeli
television	fjernsyni
factory	fabrikki
fraction	brøki
large object	persuaq
loud voice	nipersuaq
seagull	naaja
seagull young	naajaaq
offspring	-aq
small wave	maliarsuk
shoddy	-arsuk
alternating current	vekselstrømmi
very large	-kulooq
attempt	-qqusaar
shaman	angakkoq
very	-aqqik
attempt	-niaq
have	-qar
menstruate	aaqarpoq
go	-liar
-ness	-ssuseq
shortness	naassuseq
foster son	ernersiaq
shrimp factory	raajaleriffik
sea	raajaqarfik
republic	republikki
rose	ruusa
write	allappoq
most	-nerpaaq
old	qanganisaq
loanword	oqaasersiaq
consonant	aappersariaq
vowel	ersiut
restaurant	imerniartarfik
voiced	imernaalasoq
voiceless	imernaalanngitsoq
copy	-usiaq
period	naggat
in use	atorpoq
-soq	-toq
cook	igasoq
cook	igavoq
not	-nngit
letter	naqinneq
large	angisooq
teacher	ilinniartitsisoq
teach	ilinniartitsivoq
compete	-niutï
begin	pilerpoq
throat	torluk
naggat	il.il.
intransitive	susaqanngitsoq
object	susaq
subject	susoq
transitive	susalik
form	iluseq
now	maannakkut
krone	koruuni
homosexual man	anguteqatiminoortoq
homosexual man	anguteqatiminoortartoq
Folketing	Folketingi
lesbian	arnaqatiminoortartoq
lesbian	arnaqatiminoortoq
transsexual	transeksueli
kingdom	kunngeqarfik
king	kunngi
ink	pilikki
pudding	puutinngi
move	aalavoq
fish	aalisarpoq
fisherman	aalisartoq
movement	aalaneq
more	-neq
don	ativaa
garment	atisaq
product	sanaaq
adjective	pissusilerissut
practise	guutipilussiorpoq
idol	guutipiluk
enter	iserpoq
healthy	peqqippoq
nurse	peqqissaasoq
sleep	sinippoq
chief	-uneq
prime minister	ministeriuneq
intend	-niar
play	nipilersorpoq
provide	-lersor
bomb	qaartartoq
explode	qaarpoq
war	sorsunneq
quadratic equation	andengradsligningi
singer	erinarsortartoq
sing	erinarsorpoq
concert	tusarnaartitsineq
mercury	kviksølvi
anus	iteq
small	-araq
discussion	oqallinneq
discuss	oqallipput
instrument	-utï
adverb	oqaaseeraq
example	assersuut
only	taamaallaat
pronunciation	taaneq
tak. qupp.	tak.
common gender	fælleskønni
tak. qupp.	qupp.
whether	-ner
or	imaluunniit
neuter gender	intetkønni
chairperson	siulittaasoq
election	qinersineq
result	kinguneq
able	-sinnaa
wrong	kukkuvoq
extremely	-rujussuar
think	isumaqarpoq
trainer	sungiusaasoq
no longer	-junnaar
container	-livik
wallet	aningaasivik
harbour	umiarsualivik
ship	umiarsuaq
meaning	isuma
thoughtless	isumaappoq
make	-lior
think	isumaliorpoq
believe	isumavoq
owl	uppippoq
well	-lluar
mood	isumagissaarpoq
good	-gissaar
cranky	isumaluppoq
citizen	innuttaasoq
debt	akiitsut
relative	ilaqutaq
pocket	kaasarfik
almost	-kanner
descendant	kinguaaq
tiring	qasunarpoq
tired	qasuvoq
hurt	annernarpoq
feel	annerpoq
soporific	sininnartoq
poison	toqunartoq
die	toquvoq
leader	aqutsisoq
find	nassaaraa
museum	katersugaasivik
tell	oqaluttuarpoq
ruin	illukoq
former	-koq
constantly	-juar
speak	oqaluppoq
walk	pisuppoq
film	filmiliorpoq
accompany	ilaavoq
know	ilisimavaa
knowledge	ilisimassuseq
investigate	misissorpaa
precisely	-qqissaar
scientist	ilisimatusartoq
university	universiteti
University of Greenland	Ilisimatusarfik
Naalakkersuisut	naalakkersuisoq
government	Naalakkersuisut
government	naalakkersuisut
order	naalakkerpaa
red	aappalaartoq
scientist	ilisimatooq
inclined	-tooq
joke	quiasaarut
comedian	quiasaartartoq
entertainment	quiasaarneq
joke	quiasaarpoq
colleague	suleqat
fellow	-qatï
school mate	atuaqat
rhubarb	rabarberi
potato	naatsiiaq
chives	purløgi
education	efterskole
as well as	kiisalu
no	naamivik
perform	isiginnaartitsivoq
theatre	isiginnaartitsisarfik
actor	isiginnaartitsisartoq
welcome	tikilluarit
exert	ilungersorpoq
member	ilaasortaq
diligent	ilungersornertooq
which	sorleq
how	qanoq
remember	eqqaavaa
especially	immikkut
problem	ajornartorsiut
good reason	pissuteqarluarluni
higher degree	-neru
lament	ajuusaarpoq
teenager	inuusuttuaraq
young person	inuusuttoq
regrettable	ajuusaarnarpoq
situated	inissisimavoq
traffic	angallanneq
between	akornanni
first	siulleq
island	qeqertaq
Sami	saamisut
Latin	latinerisut
Russian	russisut
book	atuakkiaq
turn	-lii
appear	saqqummerpoq
filming	filmiliorneq
explorer	ilisimasassarsiortoq
regarding	tunngasoq
valley	qooroq
explore	ilisimasassarsiorpoq
leader	pisortaq
all	tamarmik
regard	tunngavoq
technician	teknikeri
nalunaqaaq	-ssaq
homework	ilinniagassat
celebrate	-sior
interested	soqutiginnittoq
interested	soqutiginnippoq
interesting	soqutiginartoq
television broadcasting company	TV-eqarfik
offer up	tuniniarpaa
hundred	hundredi
white	qaqortoq
white	qaqorpoq
borrow	attartorpoq
parking lot	biilinut inissiisarfik
although	-galuar
of course	soorunami
before	siornatigut
skin	ameq
appearance	isikku
not until now	aatsaat
light	qaamasoq
leaf	pilutaq
leaf	piloqut
Danish	danskisut
porpoise	niisa
carrot	musaq
give	-ssit
audience	isiginnaartartut
thus	imaappoq
allow	periarfissippaa
be	tassaavoq
nature	pissuseq
similarity	eqqaanarneq
resemble	eqqaanarpoq
because of	pissutigalugu
reason	pissut
ice	sikuiuitsoq
choose	toqqarpaa
Japanese	japanimiutut
mark	nalunaaqutserpaa
marking	nalunaaqut
type	suussuseq
sound	-paluk
firm	aalaakkak
once	-riar
heavy metal	aatsitassaq oqimaatsoq
mammal	miluumasoq
move	avannarparpoq
several	arlallit
many	amerlasuut
student	ilinniarnertooq
gather	katersuuppoq
pussy	utsuk
helping spirit	toornaarsuk
taava	Karybdis
personally	nammineq
seem	-palaar
accursed	-palaarsuaq
annoying person	uuminaq
Greenlander	kalaaleq
bad	-piluk
suspect	pasivaa
sexually transmitted disease	kinguaassiuutitigut nappaat
genital	kinguaassiuutit
for	tassami
in question	pineqartoq
cream	tarnut
violently	-pilug
little	mikisoq
small	mikivoq
wear	atorpaa
right	ilaa
bad	ajorpoq
like	nuannaraa
mouth	sigguit
term	taaguut
pimple	tinupasoq
especially	pingaartumik
very	-ngaar
important	pingaarpoq
popular	nuannarineqartoq
catch	anguvoq
cancer	kræfti
printed matter	naqitigaq
print	naqiterpaa
about	pillugu
distribute	agguaappai
sailor	umiartortoq
dangerous	ulorianartoq
dangerous	ulorianarpoq
warn	mianersoqquaa
leaflet	naqitigaaraq
Satan	Toornarsuk
Englishman	tuluk
Spanish	spaniamiutut
East Greenlandic	tunumiusut
Chinese	kinamiutut
Arabic	araberisut
Faroese	savalimmiormiutut
Finnish	finlandimiutut
Basque	baskerisut
Faroe Islander	savalimmiormioq
Urdu	urdutut
according to	malillugu
chapter	kapitali
vocative	-aa
as usual	-aasiit
or	-luunniit
wonder	-mita
cake	kaagi
remove	-erutï
pair	-gik
spittoon	nuakoorfik
spit	nuak
trash can	pikoorfik
dustpan	sanikoorfik
dustmote	sanik
ash	arsat
ashtray	arsakoorfik
calendar	qaammatisiutit
get	-siutï
research	ilisimatusarneq
research	ilisimatusarpoq
difficult	-juminaat
basic research	tunngaviusumik ilisimatusarneq
used	atorneqartoq
delimit	killilerpaa
boundary	killeq
health	peqqinneq
healthy	peqqiippoq
boat	raajarniut
prawn fishing	raajarniarneq
catch	raajarpoq
back then	taamani
kill	toquppaa
long time	sivisuumik
pregnant	naartuvoq
fetus	naartu
in total	katillugit
commerce	niuerneq
trade	niuerpoq
agriculture	nunalerineq
soda	sodavandi
Greenland	nunarput
almost	-ngajak
smell	-sunni
carnivore	neqituumasoq
cannibal	inuttuumasoq
eat	-tuuma
ant	uniaaluk
direction	-sig
coin	aningaasaq
money	aningaasat
will	piumassuseq
Russian	russeq
hereby	matumuuna
sleep	sinik
nuisance	naalliuut
recently	qanittukkut
speak	eqqartorpaa
cut asunder	kipivaa
reject	itigartippaa
reject	itigarpoq
pain	naalliuutigaa
statement	oqaaseqarneq
cod	saarullik
Czech	tjekkiamiusut
anemia	aakilliorneq
anemic	aakilliorpoq
lack	-killior
people	innuttaasut
get back	utertippaa
negotiate	isumaqatiginninniarpoq
minister	nunanut allanut ministeri
little	-kit
table	nerrivik
command	inatsivoq
command	inappaa
aluu	-una
cause	-sar
stimulate	tissassarpaa
erection	tissappoq
finish	inerpoq
semen	anisooq
how	qanoq ililluni
parent	angajoqqaaq
new	-taar
again	-qqig
first	siullermik
year	ukioqarpoq
find out	paasivaa
girl	niviarsiaraq
young	nukarleq
natural	pissusissamisoortoq
middle	akulleq
cooperate	suleqatigiipput
normal	pissusissamisoorpoq
large	angivoq
large	allivoq
large	allivaa
small	millivoq
small	millivaa
long	takivoq
long	tallivoq
prolong	tallivaa
antler	nassuk
manage	ajorpaa
because	taamaattummi
a lot	-lluinnar
see	takuneq
sleeve	aaq
bother	ajorsaarivoq
family	ilaqutariinneq
destructive	aseruutaasoq
registered partnership	nalunaarsukkamik inooqatigiinneq
coexistence	inooqatigiinneq
remove	-iar
gun	aallaat
panther	panteri
study	ilinniarpoq
experienced	ilinneq
learn	ilikkarpoq
take	tiguaa
burnt	ilippoq
near	eqqaani
preposition	tungaannarsiut
mention	taavaa
voting	taasineq
mention	taasivoq
messenger	taasaq
name	atsiaq
name	atserpaa
large	anneq
very large	annerpaaq
defecate	angoorpoq
fellow human	inoqat
feminine man	arnaasaq
Tunu	tunumioq
repeated	-qattaar
alive	inuuvoq
life	inuuneq
ignorant	naluvoq
inscrutable	nalunarpoq
inscrutable	nalunaqaaq
want	-erniar
precisely	-piar
small	-ralaaq
dirt	sukuluit
lacking	-kuluk
sigh deeply	anersaaruluppoq
breathe	anersaarpoq
forcefully	-rulup
difficult	artornaqaaq
very	-qï
silent	nipaappoq
elder sibling	angajoq
foster parent	angajoqqaarsiaq
impossible	ajornarpoq
young	inuusuppoq
horny	tiingavoq
translate	nutserivoq
translator	nutserisoq
born	inuusoq
flee	qimaavoq
medicine	nakorsaat
suffer	anniarpoq
hell	anniarfik
mountain ash	napaartoq
disease	nappaq
venereal disease	nappaatipiluk
sick	napparpoq
inland	ikorpoq
reindeer hunter camp	ikorsimmavik
kiss	kunippaa
kiss	kunissivoq
in	-miit
somewhat	-tsiar
happy	pilluarpoq
congratulations	pilluarit
congratulations	pilluaritsi
New Year	ukiortaaq
contain	akoqanngilaq
contain	akoqarpoq
possible	ajornanngilaq
alive	uumavoq
