ଏକ	୧
boat	ଡଙ୍ଗା
flower	ଫୁଲ
shoe	ଜୋତା
oil	ତେଲ
pair	ଜୋଡା
liver	ଯକୃତ
vulture	ଶାଗୁଣା
fear	ଡର
coal	କୋଇଲା
hole	ଛିଦ୍ର
pit	ଗାଡ
silver	ଚାନ୍ଦୀ
fuel	ଇନ୍ଧନ
night	ରାତି
nail	ନଖ
grass	ଘାସ
owl	ପେଚା
city	ନଗର
son	ପୁଅ
daughter	ଝିଅ
daughter-in-law	ବଧୂ
granddaughter	ନାତୁଣୀ
grandson	ନାତି
grandfather	ଜେଜେବାପା
horse	ଘୋଡ଼ା
temple	ମନ୍ଦିର
child	ପିଲା
child	ଶିଶୁ
death	ମରଣ
death	ମୃତ୍ୟୁ
road	ରାସ୍ତା
star	ତାରା
stone	ପଥର
thief	ଚୋର
theft	ଚୋରି
steal	ଚୋରାଇବା
sugar	ଚିନି
thunder	ଗର୍ଜନ
tongue	ଜିଭ
tail	ପୁଛ
umbrella	ଛତା
village	ଗାଁ
spit	ଥୁକିବା
skin	ଚର୍ମ
say	କହିବା
sleep	ନିଦ୍ରାଯିବା
sand	ବାଲୁକା
salt	ଲୁଣ
spider	ମକ୍ରୀ
shoulder	ଖୁଆ
left	ବାମ
wood	ବଣ
warm	ଗରମ
wing	ଡେଣା
walnut	ଅଖରୋଟ
weapon	ଶସ୍ତ୍ର
wood	କାଠ
worm	କୃମି
green	ସବୁଜ
branch	ଡାଳ
branch	ଶାଖା
split	ଫାଟିବା
sour	ଆମ୍ବିଳିଆ
bitter	କଟୁ
bitter	ତିକ୍ତ
breast	ସ୍ତନ
bridge	ପୋଲ
blind	ଅନ୍ଧ
belly	ପେଟ
belly	ଉଦର
bee	ମହୁମାଛି
honey	ମହୁ
fly	ମାଛି
flight	ଉଡାଣ
do	କରିବା
hundred	ଶହ
half	ଅଧା
deep	ଗଭୀର
deaf	ବଧିର
day	ଦିନ
dark	ଅନ୍ଧାର
dry	ଶୁଷ୍କ
dig	ଖୋଳିବା
duck	ବତକ
almond	ବାଦାମ
apple	ସେଓ
age	ଆୟୁ
letter	ଲିପି
give	ଦେବା
hold	ଧରିବା
hunger	ଭୋକ
hungry	ଭୋକିଲା
ill	ବେମାରିଆ
kill	ମରେଇବା
know	ଜାଣିବା
knowledge	ଜ୍ଞାନ
science	ବିଜ୍ଞାନ
scientist	ବିଜ୍ଞାନୀ
thirst	ତୃଷା
dryness	ଶୋଷ
smoke	ଧୂଆଁ
tie	ବାନ୍ଧିବା
tear	ଅଶ୍ରୁ
cough	ଖାସିବା
carrot	ଗାଜର
walk	ଆସିବା
birth	ଜନ୍ମ
burn	ଜଳିବା
country	ଦେଶ
cook	ରାନ୍ଧିବା
he	ସେ
break	ଭାଙ୍ଗିବା
sweet	ମିଠା
sweet	ମଧୁର
rose	ଗୋଲାପ
letter	ଚିଠି
lip	ଓଠ
laugh	ହସିବା
be	ହେବା
school	ବିଦ୍ୟାଳୟ
teacher	ଶିକ୍ଷକ
teach	ଶିକ୍ଷା ଦେବା
education	ଶିକ୍ଷା
thought	ବିଚାର
thought	ଚିନ୍ତା
small	ଛୋଟ
ascend	ଉଠିବା
dirty	ମଇଳା
dream	ସ୍ୱପ୍ନ
fist	ମୁଥ
peacock	ମୟୂର
feather	ପର
fog	କୁହୁଡ଼ି
foot	ପଦ
fall	ପଡିବା
read	ପଢିବା
fat	ମୋଟା
fat	ଚର୍ବି
mouth	ମୁଖ
horn	ଶିଙ୍ଗ
distant	ଦୂର
hide	ଲୁଚିବା
hit	ମାରିବା
hunt	ଶିକାର
hunter	ଶିକାରୀ
army	ସେନା
help	ସହାୟତା
knife	ଛୁରୀ
dumb	ମୂକ
light	ଆଲୋକ
lock	ତାଲା
weight	ଭାର
heavy	ଭାରି
spring	ବସନ୍ତ
scales	ତରାଜୁ
hang	ଝୁଲାଇବା
winter	ଶୀତ
soul	ଆତ୍ମା
see	ଦେଖିବା
male	ଅଣ୍ଡିରା
man	ମନୁଷ୍ୟ
flesh	ମାଂସ
ant	ପିମ୍ପୁଡି
roof	ଛାତ
clove	ଲବଙ୍ଗ
hour	ଘଣ୍ଟା
white	ଧବଳ
sing	ଗାଇବା
week	ସପ୍ତାହ
Odisha	ଓଡ଼ିଶା
