year	ᠠᠨᡳᠶᠠ
ejebun	ᡝᠵᡝᠪᡠᠨ
dangse boo	ᡩᠠᠩᠰᡝ ᠪᠣᠣ
inenggi ejebun	ᡳᠨᡝᠩᡤᡳ ᡝᠵᡝᠪᡠᠨ
inenggi	ᡳᠨᡝᠩᡤᡳ
xun	šun
female	ᡥᡝᡥᡝ
excrement	ᡥᠠᠮᡠ
urine	ᠰᡳᡴᡝ
cat	ᡴᡝᠰᡳᡴᡝ
teacher	ᠰᡝᡶᡠ
student	ᡧᠠᠪᡳ
shabi	šabi
like	ᠠᡩᠠᠯᡳ
abkai jui	ᠠᠪᡴᠠᡳ ᠵᡠᡳ
child	ᠵᡠᡳ
biyangga efen	ᠪᡳᠶᠠᠩᡤᠠ ᡝᡶᡝᠨ
new	ᡳᠴᡝ
yafahan cooha	ᠶᠠᡶᠠᡥᠠᠨ ᠴᠣᠣᡥᠠ
uksin	ᡠᡴ᠋ᠰᡳ᠍ᠨ
ninggiya efen	ᠨᡳᠩᡤᡳᠶᠠ ᡝᡶᡝᠨ
nimeku	ᠨᡳᠮᡝᡴᡠ
amihūn	ᠠᠮᡳᡥᡡᠨ
amihvn	amihūn
menggun	ᠮᡝᠩᡤᡠᠨ
amaga enen	ᠠᠮᠠᡤᠠ ᡝᠨᡝᠨ
today	ᡝᠨᡝᠩᡤᡳ
tomorrow	ᠴᡳᠮᠠᡵᡳ
coro	ᠴᠣᡵᠣ
ere cimari	ᡝᡵᡝ ᠴᡳᠮᠠᡵᡳ
this morning	ᡝᠴᡳᠮᠠᡵᡳ
mucu	ᠮᡠᠴᡠ
kuburhen	ᡴᡠᠪᡠᡵᡥᡝᠨ
father	ᠵᡝᠵᡝ
Ming dynasty	ᠮᡳᠩ ᡤᡠᡵᡠᠨ
an nan	ᠠᠨ ᠨᠠᠨ
yafahan uksin	ᠶᠠᡶᠠᡥᠠᠨ ᡠᡴ᠋ᠰᡳ᠍ᠨ
daicing gurun	ᡩᠠᡳ᠌ᠴᡳᠩ ᡤᡠᡵᡠᠨ
daicing	ᡩᠠᡳ᠌ᠴᡳᠩ
Ming dynasty	ᡩᠠᡳᡳᠮᡳᠩ
Ming dynasty	ᡩᠠᡳᡳᠮᡳᠩ ᡤᡠᡵᡠᠨ
senggi	ᠰᡝᠩᡤᡳ
okto	ᠣᡴ᠋ᡨ᠋ᠣ
yuwei kin	ᠶᡠᠸᡝᡳ ᡴᡳᠨ
fituhan	ᡶ᠋ᡳᡨᡠᡥᠠᠨ
gaha oton	ᡤᠠᡥᠠ ᠣᡨ᠋ᠣᠨ
šobin	ᡧᠣᠪᡳᠨ
xobin	šobin
cai	ᠴᠠᡳ
namun	ᠨᠠᠮᡠᠨ
mederi	ᠮᡝᡩᡝᡵᡳ
eye	ᠶᠠᠰᠠ
arki	ᠠᡵᡴᡳ
nure	ᠨᡠᡵᡝ
yoho	ᠶᠣᡥᠣ
šoho	ᡧᠣᡥᠣ
shoho	šoho
baniha	ᠪᠠᠨᡳᡥᠠ
be liyan tacihiyan	ᠪᡝ ᠯᡳᠶᠠᠨ ᡨ᠋ᠠᠴᡳᡥᡳᠶᠠᠨ
lamai tacihiyan	ᠯᠠᠮᠠᡳ ᡨ᠋ᠠᠴᡳᡥᡳᠶᠠᠨ
puseli	ᡦᡠᠰᡝᠯᡳ
cai puseli	ᠴᠠᡳ ᡦᡠᠰᡝᠯᡳ
lamun	ᠯᠠᠮᡠᠨ
red	ᡶᡠᠯᡤᡳᠶᠠᠨ
red	ᡶᡠᠯᠠᡥᡡᠨ
Sichuan pepper	ᡶ᠋ᡠᠰᡝᡵᡳ
jiha	ᠵᡳᡥᠠ
wolf	ᠨᡳᠣᡥᡝ
tiyan jin	ᡨ᠋ᡳᠶᠠᠨ ᠵᡳᠨ
buda	ᠪᡠᡩ᠋ᠠ
giyai	ᡤᡳᠶᠠᡳ
heart	ᠨᡳᠶᠠᠮᠠᠨ
congee	ᡠᠶᠠᠨ ᠪᡠᡩ᠋ᠠ
feeble	ᡠᠶᠠᠨ
sabu	ᠰᠠᠪᡠ
sweet potato	ᠯᠠᡵᡥᡡᠨ
larhvn	larhūn
hasi	ᡥᠠᠰᡳ
gungju	ᡤᡠᠩᠵᡠ
hūšaju	ᡥᡡᡧᠠᠵᡠ
hvxaju	hūšaju
duck	ᠨᡳᠶᡝᡥᡝ
lio kio	ᠯᡳᠣ ᡴᡳᠣ
liokio	ᠯᡳᠣᡴᡳᠣ
lio kiyeo	ᠯᡳᠣ ᡴᡳᠶᡝᠣ
hūwang ho bira	ᡥᡡᠸᠠᠩ ᡥᠣ ᠪᡳᡵᠠ
golmin ula	ᡤᠣᠯᠮᡳᠨ ᡠᠯᠠ
kingdom	ᠯᡳᠣ ᡴᡳᠣ ᡤᡠᡵᡠᠨ
furgisu	ᡶ᠋ᡠᡵᡤᡳᠰᡠ
suwanda	ᠰᡠᠸᠠᠨ᠋ᡩ᠋ᠠ
gate	ᡩᡠᡴᠠ
