dictionary	woordenboek
listen in	luistervinken
pecking order	pikorde
fucking	tyfus-
batiste	batist
straighten	rechttrekken
Lys	Leie
Diksmuide	IJzer
belfry	Diksmuide
Belgian	Veurne
interesting	wetenswaardigheid
Boom	Bomenaar
Boom	Rupel
headlong	voorover
Rupel	Niel
predestination	voorbestemdheid
tan	gerven
adder stone	heksensteen
liege	leenman
enjoy	klimaatschieten
sedimentary rock	sedimentgesteente
outsider	buitenwacht
North Holland	Noord-Hollands
South Holland	Zuid-Hollands
balconing	balkonspringen
fatten	vervetten
delicacy	delicatesse
honourless	eerloos
circuitous	omslachtig
detail	omstandig
ungratefulness	stank voor dank
offend	op de tenen trappen
compromise	eieren voor zijn geld kiezen
cake	eierkoek
touchdown	eierlanding
eidetiker	eideticus
soon	eerlang
predestined	gedoodverfd
liver fluke	egelworm
night	nachtbraken
polite	onbeschoft
fascioliasis	distomatose
fickleness	wankelmoed
box	schminkdoos
downpour	stortbui
soaked	doorweekt
sheep	ongans
insist	doordrammen
push through	doordrijven
High Fens	Hoge Venen
Brussels	Kanaalbuurt
cantankerous	gemelijk
shire	gouw
colander	verzijp
basket	kindskorf
space opera	ruimteopera
quadruplet	vierling
chuchotage	fluistertolken
contrary	balorig
refractory	weerspannig
irritable	kregelig
poor	schabouwelijk
murky	mottig
thunderclap	donderslag
mood	slechtgehumeurd
quintuplet	vijfling
reburn	herbranden
indignant	geïndigneerd
chicory root	bitterwortel
chicory	suikerij
deduce	deduceren
expressive	zeggingskrachtig
genocide	volkerenmoord
heavy	gewichtig
cocona	orinoco-appel
nitpick	mierenneuken
nitpick	muggenziften
voluntourism	vrijwilligerstoerisme
roll	biggelen
esterification	verestering
esterify	veresteren
esterification	esterificatie
esterification	estervorming
April fool	aprilvis
April fool	1 aprilgrap
humming stone	zoemsteen
artillerist	geschutmeester
bighorn sheep	dikhoornschaap
track	baanatletiek
stubble	stoppelbaard
region	jegenode
lens flare	lensgloed
contronym	controniem
burly	forsgebouwd
entrecôte	tussenribstuk
entrecôte	ribstuk
unicameral	eenkamerig
conversion	ombouw
gentleman's agreement	herenakkoord
waste disposal	IGEAN
tear	waterlander
trivialize	bagatelliseren
drink	beroezen
scum	schorremorrie
drunk	sjikker
moth	nachtvlinder
coot	meerkoet
Gallinula chloropus	waterkip
evident	baarlijk
hypocrite	femelaar
beak	snebbe
epistemology	kennisleer
atmosphere	dampkring
pitch	aardpek
nonsense	larie
mess	janboel
common murre	zeekoet
unbirthday	onverjaardag
rabbit hole	konijnenhol
family member	familielid
insect fauna	entomofauna
skipper	schipper
impoverished neighbourhood	achterbuurt
diamonds	koeken
clubs	klaveren
rickety building	gribus
haggle	knibbelen
afterplay	naspel
pygmy	pygmee
atheist	ongodist
atheism	ongodisterij
French Polynesia	Frans-Polynesië
morning	's ochtends
Antwerpian	sinjoor
tired	stikkapot
detention	voorarrest
white-collar crime	witteboordencriminaliteit
lunch	middagmaal
scum	crapuul
ugly	oerlelijk
animals	gedierte
way	geenszins
way	alleszins
awesome	te gek
change one's mind	van gedachten veranderen
usury	woekeren
villainous	crapuleus
brine	brijn
street robber	straatrover
street robbery	straatroof
bestiality	bestialiteit
thoughtcrime	gedachtemisdaad
gloating	zegevreugde
flatfish	tarbot
Zouave	zoeaaf
detention	detentie
mass murder	massamoord
mass murderer	massamoordenaar
gnaw	afkluiven
kibbutz	kibboets
commonplace	gemeenplaats
clichéd	clichématig
quackery	kwakzalverij
tradesman	beunhaas
catastrophic	noodlottig
zoals de waard is	zoals de waard is, vertrouwt hij zijn gasten
greedhead	geldwolf
Deluge	zondvloed
disgust	walging
each other	malkaar
malcander	malkander
melcander	melkander
each other	melkaar
everyone	elkeen
nail bomb	spijkerbom
Thor	Donar
seed	koffieboon
declericalization	ontklerikalisering
angry	spinnijdig
approach	genaken
European polecat	stinkmarter
tin-foil hat	aluhoedje
randy	ritsig
brevity	kortheidshalve
for the sake of convenience	gemakshalve
mating season	bronsttijd
draughty	tochtig
angry	gebelgd
angry	verbolgen
Christian democracy	christendemocratie
voter	stemvee
democrat	democraat
feeling	gemoed
book lung	boeklong
human person	mensenkind
lucky	zondagskind
representative body	volksvertegenwoordiging
representative	volksvertegenwoordiger
shell company	brievenbusmaatschappij
depillarisation	ontzuiling
lectern	lezenaar
errand boy	loopjongen
money	doekoe
joke	fattoe
friend	mattie
work	hosselen
clandestine church	schuilkerk
clandestine church	schuurkerk
hydrocephalus	waterhoofd
thick skin	een olifantshuid hebben
elephant	dikhuid
hurl	mieteren
oppressive	zwoel
sediment	droesem
greenhouse	Westland
goatfucker	geitenneuker
fucker	neuker
frontage road	parallelweg
frontage road	ventweg
conflict	onmin
slurp	slobberen
lick	lebberen
generalise	veralgemenen
generalise	veralgemeniseren
fib	jokken
obstinate	de kont tegen de krib gooien
suspender	bretel
barrel bomb	vatenbom
nuclear bomb	kernbom
cause	splijtzwam
metaphor	beeldspraak
symbol	zinnebeeld
giraffe	langnek
political party	getuigenispartij
integration	inclusie
armoured car	pantserwagen
humanities	geesteswetenschap
humanities	geesteswetenschappen
faculty	geestesoog
accompanier	begeleider
complain	beklag
baculum	penisbeen
baculum	penisbot
idol	idool
flowering plant	gladiool
trickle	sijpelen
blaze	bles
smartphone zombie	smombie
child	bevrijdingskind
running	wedloop
paardenbloem	paardebloem
lease	verpachten
onion dome	uikoepel
buttress	steunbeer
sick bay	ziekenboeg
coffee maker	koffiezetapparaat
search	zingeving
mysophobia	smetvrees
figment	hersenspinsel
helicopter	wentelwiek
salt cod	bakkeljauw
salt cod	klipvis
by Jove	verhip
militant	gideonsbende
flap	klapwieken
banner	banier
hypernym	hyperoniem
pellet	uilenbal
pellet	braakbal
oral cavity	mondholte
sinew	pezig
champagne socialist	salonsocialist
do-gooder	gutmensch
politically correct	policor
outsider	randfiguur
balanced	evenwichtig
patience	lankmoed
scrag	scharminkel
elephant seal	zeeolifant
curse	vervloeken
incident	voorval
streetfighter	straatvechter
cleric assist	vicaris
tortilla	maïskoek
family member	nareis
well-disposed	geporteerd
horny as hell	botergeil
Gandhism	Gandhiïsme
standing	op de been
horizon	einder
comprehension	sjoege
fabrication	verdichtsel
G-string	reetveter
play bingo	bingoën
moral crusader	moraalridder
dishwasher	afwasmachine
ovipositor	legboor
galley	galei
Proto-Semitic	Proto-Semitisch
Proto-Semitic	Oersemitisch
Biblical Hebrew	Bijbels Hebreeuws
gender identity disorder	geslachtsidentiteitsstoornis
gender identity	geslachtsidentiteit
revolving door	draaideur
repeat offender	draaideurcrimineel
moral crusader	fatsoensrakker
moral guardian	zedenmeester
sex offender	zedendelinquent
Romance	romanist
break on the wheel	radbraken
ombudsperson	ombudspersoon
ombudswoman	ombudsvrouw
Druze	druus
sunbed	zonnebank
solarium	zonnestudio
receipt	betaalbewijs
arrangement	schikking
lawyer	raadsman
lawyer	raadsvrouw
Kafkaesque	kafkaësk
Kafkaesque	kafkaiaans
lecher	schuinsmarcheerder
howitzer	houwitser
fog	Witte Wieven
Europe	Avondland
angry	de pest in hebben
venereal disease	geslachtsziekte
sexually transmitted disease	seksueel overdraagbare aandoening
transmissable	overdraagbaar
prison	petoet
pikeman	piekenier
junk	ramsj
angry	belgen
wife	wief
murmur	geroezemoes
nagging	gezeik
carrying about	gesjouw
dawdle	leuteren
grabble	grabbelen
bye	toedeloe
rosewood	rozenhouten
rosewood	rozenhout
smoked cheese	rookkaas
vitality	vitaliteit
vital	vitaal
automobile	automobiel
vomit	barfen
chest of drawers	ladekast
toil	sappelen
water board	waterschap
politiek correct	politiek correct
Bolshevism	bolsjewisme
Bolshevik	bolsjewiek
racist	racistisch
philosophy of science	wetenschapsfilosofie
antisemitism	antisemitisme
Semite	Semiet
anti-Semite	antisemiet
playfully	spelenderwijs
-wise	-wijs
didactic poem	leerdicht
epic poetry	epiek
narrow passage	engte
de teerling is geworpen	de teerling is geworpen
windless	luwte
windless	luw
identify	vereenzelvigen
perpetuate	bestendigen
disambiguate	desambigueren
geen probleem	geen probleem
cozy	gezelligheid
language	germanistiek
Latinist	latinist
Latin language	latinistiek
Slavic studies	slavistiek
expert	neerlandicus
squirrel monkey	doodshoofdaapje
bivouac	bivak
resolve	daadkracht
resolute	daadkrachtig
resolute	krachtdadig
compromise	polderen
turn	inpolderen
super greenhouse gas	superbroeikasgas
stop and search	stopformulier
vote out	wegstemmen
slacker	lanterfanter
Islamitische Staat in Irak en de Levant	Islamitische Staat
waste	lanterfanten
slacker	lanterfant
waste	lanterfanteren
feigning illness	schoolziek
feigned illness	schoolziekte
lament	jeremiëren
thicken	aandikken
fuck off	opkankeren
urinate	miegen
craziness	gekheid
bravery	koenheid
folly	zotheid
fearless	onbevreesd
afraid	vervaard
fearless	onvervaard
printing press	boekdrukkunst
Greek fire	Grieks vuur
fat dormouse	zevenslaper
edible dormouse	relmuis
widely	wijd en zijd
mock	honen
derision	hoongelach
antibody	antistof
crop	etgroen
peatland	etveen
understand	bevroeden
veganism	veganisme
dialectal	breem
soaked	zeiknat
common currency	zeuro
incomprehensible language	koeterwaals
live stream	livestream
be right	gelijk hebben
correct	gelijk krijgen
camomile	kamille
kind	kanjer
unpopular	impopulair
night watchman state	nachtwakersstaat
suffrage	stemrecht
overgrow	overwoekeren
usury	woeker
comfortably	prinsheerlijk
mischievous	guitig
small talk	gezwets
well I never	sakkerloot
all cats are grey in the dark	bij nacht zijn alle katten grauw
Facebook friend	Facebookvriend
modesty	ingetogenheid
introversion	teruggetrokkenheid
openness	openbaarheid
truthful	waarheidsgetrouw
gay rights	homorechten
hard	keutel
drinking water	drinkwater
this	dezen
loathe	een broertje dood hebben
suspension	suspensie
Franciscan nun	franciscanes
unpopularity	impopulariteit
polarity	polariteit
wood	rondhout
collection	sortering
affirm	onderschrijven
chase away	hitsen
egg on	ophitsen
announce	kondigen
known	kond
affection	gesteld zijn op
enter into force	in werking treden
beacon	bakenen
burn	aanbranden
rest	etappe
order	gelasten
longitudinal	overlangs
beat up	ranselen
slim	slanken
stamp	stempelen
trump	troeven
trump	troef
ready	vaardigen
separate	zonderen
weaken	zwakken
yours	uwer
ours	onzer
yours	jouwer
smoke	smoken
druid	druïde
water-repellent	waterafstotend
hydrophobic	hydrofoob
hydrophilic	hydrofiel
xenophobe	xenofoob
substantivisation	substantivering
substantivise	substantiveren
press	prangen
embrace	helzen
rain barrel	regenton
throw hard	kogelen
do	kokstoven
hinder	belemmen
read off	aflezen
annoy	moeien
narrow	nauwen
envy	nijden
novice	groentje
cause	rokkenen
spider	spinnekob
ant	emt
heat	bronst
Dutch	levenslied
honesty is the best policy	eerlijk duurt het langst
acknowledge	miskennen
zander	snoekbaars
devour	verzwelgen
exterminate	verdelgen
suppress	verzwijgen
suck	zabben
mouldy	schimmelen
abuse	schimpen
deduct	afschrijven
stop	schutten
euro	barkie
euro	doezoe
The Hague	Agga
police	skotoe
study grant	studiefinanciering
disinfect	ontsmetten
disinfect	desinfecteren
watch	spieden
die	het besterven
snow angel	sneeuwengel
title	titelen
longline	beug
bay	Zuiderzee
furthermore	voorts
they	hunlieden
jullie	hullie
they	hunlui
you guys	gijlieden
donjon	slottoren
fortified tower	bergvrede
understand	vroeden
fighter	vechter
weak	kuim
forward	forwarden
squelcher	ruisonderdrukker
blaffen	blaffende honden bijten niet
mother	ravenmoeder
mother	kattenmoeder
mother	hondenmoeder
peel	zwaalde
obstetrician	vroedmeester
swarm	krioelen
bantam	kriel
secret	geheimenis
hazing	ontgroening
loud laughter	schaterlach
laugh	schaterlachen
laugh	schateren
sadness	droefenis
do-gooder	goedmens
disarm	ontwapenen
sing along	meezingen
sing along	meezang
hazing	studentendoop
tooth and nail	met hand en tand
population	vergrijzing
slim chance	waterkans
mood	gemoedsgesteldheid
rhetorician	rederijker
in effect	werkstellig
chastity belt	kuisheidsgordel
spiny lobster	langoest
intercostal	intercostaal
intercostal	tussenribs
exudate	wondvocht
faint	zwijmen
weakened	zwijm
perpendicular	perpendiculair
orthogonal	rechthoekig
regain consciousness	bijkomen
cuneiform	spijkerschrift
cuneiform	wigschrift
Inn	Inn
spoil	verderven
poverty	nooddruft
needy	nooddruftig
barcarole	gondellied
cameo	camee
disqualified	gediskwalificeerd
channel	kanaliseren
creamy white	crèmewit
kindergarten	papschool
enemy	vijandin
tarantism	tarantisme
tarantism	danswoede
perforation	perforatie
balanced	uitgewogen
balanced	gebalanceerd
recommendable	aanbevelenswaardig
pool lifeguard	badmeester
uncial letter	unciaal
slit-eye	spleetoog
urinal	urilift
morality	zedelijkheid
indecent	zedeloos
bon vivant	bon-vivant
subsidy	aanrechtsubsidie
vehicle	rupsvoertuig
caterpillar track	rupsband
fair	foor
servitude	knechtschap
house party	huisfeest
fair	jaarmarkt
magic mushroom	paddo
codeine	codeïne
thick-skinned	dikhuidig
bipedal	tweebenig
cigarette	gerro
Gregorian	gregoriaans
earthly	ondermaans
fit	fitheid
chickpea	kikkererwt
nuclear family	kerngezin
doormat	voetveeg
Gryllotalpidae	veenmol
feat	huzarenstuk
autopsy	lijkschouwing
dissection	dissectie
inspection	dijkschouw
mumps	dikoor
first-born	eerstgeborene
first fruits	eersteling
cowpie	koeienvlaai
mealtime	etenstijd
moody	nukkig
exploding cigar	klapsigaar
police officer	motormuis
little penguin	dwergpinguïn
fool	flapdrol
neurosurgeon	neurochirurg
Neanderthal	neanderthaler
measurement system	meetsysteem
month name	maandnaam
place	droomoord
poor as Job	zo arm als Job
destitution	berooidheid
mulled wine	gloeiwijn
aeroplane	Fokker
eat along	mee-eten
unaccountable	ontoerekenbaar
accountable	toerekenbaar
impute	toerekenen
include	meerekenen
doze	doezen
damage	krenken
swan song	zwanenzang
sex crime	zedendelict
cog	kogge
tawny	tanig
tan	tanen
polemic	pennenstrijd
lipid	verspekken
pamphlet	vlugschrift
dead	kassiewijle
knock	rammeien
dukun	doekoen
rough	verruwen
declare	aanzeggen
producer	televisiemaker
beekeeper	iemker
forage	eikelen
immigrant	inwijkeling
headland	uitham
inlet	inham
leave	werkverlet
Dogger Bank	Dogger
Talossa	Talossaans
messenger	boodschapper
metonym	metoniem
lumberjack	houwer
perform	leesten
sling	slingen
authoritarian democracy	democratuur
sizzle	zinderen
aftertaste	nasmaak
whose	welks
pilot whale	grindewal
stave off	afwenden
immediately	subiet
bow	bestevenen
Eid al-Adha	Offerfeest
Eid al-Fitr	Suikerfeest
supercilious	verwaand
ladle	opscheplepel
windy	winderig
agoraphobia	pleinvrees
scum	tuig van de richel
ridge	richel
lift	beuren
country	's lands
house	des huizes
pirate	zeeschuimer
inflatable boat	opblaasboot
gut feeling	onderbuikgevoel
walk around	zwalken
nice	jofel
hatred	kinnesinne
rage	rauzen
bicycle thief	zwijntjesjager
language	talig
serving	portie
watercolour	waterverf
water level	waterpeil
tube	waterpijp
producer	radiomaker
tricky	verneukeratief
spider wasp	spinnendoder
pig	hangbuikzwijn
foam	schuimen
remove	afschuimen
asshole	smeerlap
cutlet	baklap
agitate	opruien
wisdom tooth	verstandskies
aloe	aloë
tender	aanbesteden
concern	aanbetreffen
collide	aanvaren
dyslexic	woordblind
smart	geestrijk
catch-all	containerbegrip
catch-all	verzamelbegrip
grope	bepotelen
thaumaturge	thaumaturg
environmentalist	milieugekkie
earth	randaarde
earth	penaarde
prize	poedelprijs
consolation prize	troostprijs
for real	voor spek en bonen
self-reliance	zelfredzaamheid
feat	krachttoer
raccoon	hespan
beg persistently	soebatten
mask	mombakkes
swindle	sjacheren
ambulance	ziekenauto
junk	tinnef
penis	snikkel
sheikdom	sjeik
improvisation	improvisatie
door opening	deuropening
doorbell	deurbel
wine bottle	wijnfles
wine vinegar	wijnazijn
owner	wijnboer
knowledge	Engelstalig
wine glass	wijnglas
beer bottle	bierfles
nauseous	misselijk
bumpy	hobbelig
pimpmobile	pooierbak
run-down car	ragbak
bump	hobbel
candlelight	kaarslicht
candle wax	kaarsvet
candleflame	kaarsvlam
candler	kaarsenmaker
candle factory	kaarsenfabriek
candelabrum	kaarsenstandaard
rain gutter	dakgoot
roof window	dakraam
reed	dakriet
roof garden	daktuin
dormer	dakkapel
roofer	dakdekker
roofer	dakwerker
rooftop concert	dakconcert
leakage	daklekkage
insulation	dakisolatie
insulation	isolatie
shelter roof	afdak
roof	grasdak
roof thatch	strodak
tented roof	tentdak
tented roof	paviljoendak
tented roof	piramidedak
gable roof	zadeldak
canopy	bladerdak
dome	koepeldak
tile	pannendak
shale roof	schaliedak
calvaria	schedeldak
saw-tooth roof	zaagtanddak
saw-tooth roof	zaagdak
saw-tooth roof	sheddak
pent roof	lessenaarsdak
headlamp	koplamp
LED lamp	ledlamp
brake light	remlamp
lamp	autolamp
lamp	bermlamp
construction light	bouwlamp
tubular fluorescent lamp	buislamp
wood elf	boself
Masonic	maçonniek
afterlife	Eeuwige Oosten
instruction	rituaal
antimasonic	anti-maçonniek
Nepeta	kattenkruid
haggle	marchanderen
silly behaviour	maldoenerij
box	engelenbak
suddenly	plotsklaps
sycophantic	pluimstrijkend
fawn	pluimstrijken
sycophant	pluimstrijker
nosy	vraagal
deep-fry	frituurvet
very slippery	spiegelglad
tank truck	tankauto
tank truck	tankwagen
hotel	horecabedrijf
very slippery	spekglad
Zuid-Holland	Brielle
delivery van	bestelbus
closer	afsluiter
coati	neusbeer
concision	versnijdenis
sun shower	zonneregen
butterfingers	hansworst
banter	ouwehoeren
body	praatbarak
sweat like a pig	zweten als een otter
cattle	rundvee
fowl	pluimvee
audience	klapvee
sheep	kleinvee
cattle	grootvee
red cabbage	rode kool
bus shelter	bushok
audio	babyfoon
cut	jaap
Christian canon	Oude Testament
Christian canon	Nieuwe Testament
smock mill	bovenkruier
mill	wipmolen
slow-witted	slome duikelaar
trump card	troefkaart
unusual	snoeshaan
scraper	schraper
longtimer	oudgast
greenhorn	orang-baar
extremely	dat het een aard heeft
grovel	zoete broodjes bakken
grovel	platte broodjes bakken
creamy cheese quark	plattekaas
fungal cheese	schimmelkaas
agitate	stemming maken
public sentiment	stemmingmakerij
bean	rumboon
fish	visrijk
Pisces	vissenrijk
shekel	sjekel
trend	trendmatig
banking	bankwezen
recapitalize	herkapitaliseren
artisanal	ambachtelijk
prone	vatbaar
satirical poem	hekeldicht
Rotterdam	Rotjeknor
toddler	pagadder
almost	bijkans
chromatid	chromatide
gypsy	boejemer
gymnastics club	turnkring
computer	digibeet
ruckus	boel maken
stepdaughter	cadeaudochter
bovine	koebeest
person	koukleum
overland	overtoom
intensify	verhevigen
life	hiernumaals
life	hiernamaals
knave	schalk
moaning	jeremiade
spinal cord	myelum
conspiracist	complotdenker
Qur'an	soera
war	djihaad
Islamic	oemma
fur collar	bontkraag
youngster	bontkraagje
Islamic	oelama
haughty	corpsbal
ponder	prakkiseren
perform	praktiseren
solidify	verstevigen
blood count	bloedbeeld
van de	v/d
van het	v/h
messenger	bodenbrood
terror	staatsterreur
forbearing	lankmoedig
state	rouwmoed
youth academy	jeugdwerking
wat is er	wat is er
assiduous	ijverig
assiduous	naarstig
annoying	naarling
local ordinance	waterkeur
transfer	uitruil
television channel	staatszender
marine mammal	zeezoogdier
tie	partijdier
libertarian	libertair
libertarian	libertarisch
state intervention	staatsingrijpen
government intervention	overheidsingrijpen
betray	matennaaier
nitpickery	mierenneukerij
Crimean Gothic	Krim-Gotisch
check	aanvinken
rack	gallent
foam	broem
soup	soepvlees
gat in de ozonlaag	ozongat
draw	aan het kortste eind trekken
species	zeearend
bird	Europese zeearend
bird	vliegende deur
tower block	galerijflat
bestow	beschenken
packed together	op een kluitje
conceited	op een voetstuk staan
leg	voetstuk
militaristic	militaristisch
slumlord	huisjesmelker
plow	staartploeg
electric train	stroomtrein
diesel train	dieseltrein
diesel locomotive	diesellocomotief
naughty	stouterik
roof rabbit	dakhaas
circumstantial clause	omstandigheidszin
circumlocution	perifrastisch
traffic	sluipverkeer
plunder	moeskoppen
test	tentamineren
test	examineren
contract	contraheren
thematic vowel	themavocaal
vowel	vocaal
aorist	aoristus
root cause	grondoorzaak
pouch	buidel
baggy pants	drollenvanger
guru	goeroe
hermit monk	anachoreet
Ashkenazi synagogue	almemor
iron law	wet van Meden en Perzen
adoring	dweepziek
persecute	vervolgziek
dancing	dansziek
display	pronken
shine	pralen
swearing	scheldziek
die off	afsterven
cast	wegwerpen
accuse	tijgen
create	bunkeren
neighbourhood	bloemkoolwijk
police trap	verkeersfuik
tender	betalingsmiddel
mnemonic	ezelsbrug
become	verworden
destruction	conflagratie
celebrity criminal	knuffelcrimineel
aerial bomb	vliegtuigbom
gay basher	potenrammer
climate criminal	klimaatcrimineel
cloyingly sweet	zeemzoet
cloyingly sweet	mierzoet
Trumpism	trumpisme
tag	oormerken
time	uit de oude doos
irrelevant	Piet Snot
incidence	lichtinval
unimportant	onbelangrijk
discern	ontwaren
clarify	verhelderen
frank	onomwonden
unconcealed	onverhuld
frank	onverbloemd
orator	redenaar
Syrian	Syrisch
carnival	dansmarieke
gig	schnabbelen
cash	jatmoos
sex	bij de konijnen af
sly fox	leperd
gig	schnabbel
falsetto register	falsetstem
falsetto register	kopstem
brush	penseel
compromise	de kool en de geit sparen
post	paalwerk
Walloon	Waalse
Katenspeck	katenspek
woman	dragonder
version	oertekst
mumble	prevelen
French Reformed	hugenoot
rigging	touwwerk
lineage	afstamming
fashion	blitskikker
male sexual	penopauze
capitalism	cowboykapitalisme
conspire	samenspannen
pension	pensioenbreuk
shame	schaamrood
dressed	toonbaar
racial theory	rassenleer
equal share	samsam
tree frog	boomkikker
plastic bomb	kneedbom
ingenious	Attisch zout
dagger	klootdolk
festivity	zwelgpartij
naked	bloterik
veterinary medicine	veeartsenijkunde
veterinary practice	veeartsenij
post	dukdalf
disease	braakloop
tea	theeleut
merchant capitalism	koopmanskapitalisme
culture	sorrycultuur
productivity	veelschrijverij
capitalism	casinokapitalisme
strength	kippenkracht
diva	nuffig
opinion	vaandelvlucht
hat	kaboutermuts
housed	gehuisd en gehoofd
early rising	matineus
coal scuttle	kolenkit
shallow	kikkerbad
text corpus	tekstcorpus
spectacle case	brillenkoker
promiscuous woman	snol
common gender	gemeenslachtig
rebaptise	herdopen
rename	omdopen
unemotional	koele kikker
tendency	festivalisering
extremely well	wonderwel
chicken breast	kippenborst
writer	veelschrijver
shunning	echtmijding
veterinary medicine	veeartsenijkundig
comings and goings	doen en laten
flatten	pletten
crush	pletteren
form	figureren
newspaper	berliner
animate	begeesteren
gossip	bakerpraat
urban myth	bakerpraatje
one	eenakter
lecture	afkanselen
attain	omhooggevallen
session	sessie
rude	ongelikte beer
lemon	een kat in de zak kopen
political right	domrechts
stairway	parterretrap
deep-fried battered fish	lekkerbekje
Vatican	Vaticaan
requirement	ophokplicht
inside	ophokken
coffee substitute	surrogaatkoffie
liable	zonecht
see the light	het licht zien
ill	ongesteld
zodiacal light	zodiakaallicht
terrible quality	huilen met de pet op
hunt	drijfjacht
tufted duck	kuifeend
exterior	plaatwerk
sea krait	zeeslang
drink	een bakkie doen
soluble coffee	oploskoffie
secretly	de kat in het donker knijpen
Jewish Christianity	jodenchristendom
dream	moorddroom
rat	smiecht
female dancer	danseres
neoliberal	neoliberaal
neoliberalism	neoliberalisme
champagne socialist	salonsocialistisch
keratitis	hoornvliesontsteking
derive courage	moed putten uit
traditionally	vanouds
payment	boter bij de vis
leaf door	porte-brisée
joy	voorpret
quack	wonderdokter
stitch-up	doorgestoken kaart
parasitic plant	woekerplant
parasitoid wasp	sluipwesp
violator	wetsverkrachter
member	Europarlementariër
squeeze	ballenknijper
bed	stroombed
bed	rivierbed
servile disposition	slavenaard
servile disposition	slavenziel
restless	geen zitvlees hebben
flesh	zitvlees
destroy	rampeneren
summit	eurotop
snack	snaaien
South African grill	skottelbraai
political red line	breekpunt
bollard	amsterdammertje
bicolour flag	tweekleur
two	tweekleurig
headhair	langharig
fur	wolharig
pregnant	hormonenbom
hypermasculine	testosteronbom
animal species	diersoort
noticeable	prijken
con	vernachelen
income equality	inkomensgelijkheid
income inequality	inkomensongelijkheid
Piet	Zwarte Pieten
unaccustomed	onwennig
Iliad	Ilias
Aeneid	Aeneis
assegai	assegaai
bar	stamkroeg
glass bell jar	kaasstolp
high wage	topsalaris
market convention	marktconform
transit	versassen
transit	versluizen
music parade	taptoe
house of cards	kaartenhuis
voicepipe	spreekbuis
but	edoch
self-satisfaction	zelfgenoegzaamheid
ride	berijden
unit	esterling
maritime earwig	maritieme oorworm
bed	kribbe
dam	krib
fodder	voerbak
zwartepietenpak	zwarte piet
cordon sanitaire	cordon sanitaires
cordon sanitairtje	cordon sanitairtje
cordon sanitairtjes	cordon sanitairtjes
pundit	commentariaat
service sector	dienstensector
industrial sector	industriesector
agricultural sector	landbouwsector
tow	jaaglijn
tarnish	ontluisteren
Violet blue	violetblauw
Violet blue	violetbruin
suborder	pijlstaartrog
sitting	zitmeubel
hotel	gasterij
creative	creabea
elevenie	elfje
at all costs	koste wat kost
pseudomedicine	kwakdenken
bury the hatchet	de strijdbijl begraven
call a spade a spade	man en paard noemen
one man and his dog	anderhalve man en een paardenkop
deep	dieperik
contest	tweestrijd
gauge	peilstok
pope	bouwpaus
financial business	grootkapitaal
sex maniac	seksmaniak
legal profession	befgajes
incorporation	assimilatie
personal status	aanzien des persoons
discrimination	zonder aanzien des persoons
coastline	kustlinie
voting computer	stemcomputer
take into account	incalculeren
take into account	meecalculeren
calculate	calculeren
farm	veehouderij
amaze	epateren
livestock	veehouder
farm	rundveehouderij
milk	melkveehouderij
livestock	kleinveehouderij
free-range livestock	scharrelvee
dancer	dansvee
single	monocultuur
cargo	deklast
break	breekal
risky situation	waagschaal
risk	in de waagschaal stellen
body of water	waterwolf
terrestrial lion	landleeuw
doctor	dopingarts
all	de dood of de gladiolen
snack dispenser	snackmuur
visibly fast	zienderogen
summary biographical notice	levensschets
military	tamboer
conical candle extinguisher	domper
crazy	knotsgek
scum	rucht
embellish	opleuken
excessively	popiejopie
institution	volksuniversiteit
bodily remains	karkas
lamassu	cherubijn
bandit	bandietennest
Spaniard	spanjool
search field	zoekvak
search bar	zoekbalk
snow crystal	sneeuwkristal
coastal defence	kustverdediging
international trade	wereldhandel
name	boekennaam
worry	in de piepzak zitten
den	rovershol
Gerbillinae	woestijnrat
morning fog	ochtendgrijs
bauble	prullarium
trinket	prullaria
penile fracture	penisbreuk
median	liesbreuk
circle dance	reidans
dance	reidansen
horticultural farm	tuinderij
ponder	overpeinzen
vulture	roofgier
a little	ietsje pietsje
coalition agreement	coalitieakkoord
mortgage interest deduction	hypotheekrenteaftrek
transition	vergroening
royal house	koningshuis
political symbolism	symboolpolitiek
artificial turf	kunstgras
dreg	uitschot
mesthoop	laberlottig
hooligan	straatschender
photo album	fotoalbum
in vain	vechten tegen de bierkaai
Indonesian layer cake	spekkoek
honk	trompen
mountain path	bergpad
paint	verveloos
consumer society	consumptiemaatschappij
eating	consumptie
chain gang	kettingganger
signaling light	vuurbaak
exaggerated	kouwe kak
stampei	stampij
flintlock mechanism	vuursteenslot
infantry soldier	fuselier
insipid food	liflaf
meal	liflafje
grovel	liflaffen
child carrier sling	buikdrager
health	kiplekker
no mean feat	straffen toebak
toilet	vlakspoeler
plateau	diepspoeler
difficulty	geen kind hebben aan
feat	vierklapper
stolid	houten klaas
seal	bezegelen
high heels	hoge hakken
politically correct	politiek-correcte
sex	samsonseks
reconstruction mission	wederopbouwmissie
combat mission	vechtmissie
stud horse	dekhengst
mountain pass	bergpas
confused mess	wirwar
in cold blood	in koelen bloede
art	liflafferij
slack	uit je neus staan te eten
viewing room	filmzaal
walking trip	wandeltocht
queer movement	flikkerbeweging
equate	gelijkschakelen
victory column	eerzuil
certain	geheid
pacemaker	stayeren
line	gedachtelijn
line	gedachtetrant
irritation	wubbes
sand desert	zandwoestijn
