Kha	х
tooth	дандон
nail	нохун
foot	пой
knee	зону
hand	даст
belly	шикам
neck	гардан
back	пушт
heart	дил
heart	қалб
without	бе
liver	ҷигар
drink	нӯшидан
eat	хӯрдан
bite	газидан
suck	макидан
do	кардан
laugh	хандидан
behind	пушти
Tajik	тоҷик
see	дидан
hear	шунидан
hair	мӯ
know	донистан
фикр	фикр кардан
sleep	хобидан
die	мурдан
kill	куштан
fly	паридан
turn	гаштан
come	омадан
give	додан
take	гирифтан
sun	офтоб
rain	борон
star	ситора
river	рӯд
sea	баҳр
river	наҳр
lake	кӯл
salt	намак
stone	санг
sand	рег
republic	ҷумҳурият
celebration	ҷашн
republic	ҷумҳурӣ
king	шоҳ
rice	биринҷ
food	ош
if	ар
child	бача
child	фарзанд
desert	биёбон
wind	бод
storm	бӯрон
storm	тӯфон
fortress	бурҷ
owl	бум
big	бузург
goat	буз
roof	бом
time	вақт
valley	водӣ
wheat	гандум
cherry	гелос
wolf	гург
kidney	гурда
hunger	гуруснагӣ
minute	дақиқа
wall	девор
religion	дин
yesterday	дирӯз
world	дунё
friend	дӯст
friendly	дӯстона
like	дӯст доштан
have	доштан
friendship	дӯстӣ
enmity	душманӣ
olivaceous	зайтунӣ
olive	зайтун
honeybee	занбӯри асал
bee	занбӯр
pigeon	кабӯтар
flea	кайк
key	калид
калимаҳо	калима
pigeon	кафтар
boat	киштӣ
knife	корд
paper	коғаз
bed	кроват
street	кӯча
old	кӯҳна
raven	зоғ
lip	лаб
tulip	лола
worker	коргар
work	кор
work	кор кардан
writer	нависанда
write	навиштан
Iran	Эрон
تهران	Теҳрон
dictionary	луғат
magazine	маҷалла
hope	умед
simple	сода
garage	гараж
concept	мафҳум
beauty	зебоӣ
pronoun	ҷонишин
integer	адади саҳеҳ
integer	рақам
science	илм
shovel	бел
teahouse	чойхона
small	рез
grape	ангур
fire	оташ
lion	шер
milk	шир
paradise	биҳишт
you	ту
yes	бале
shoulder	дӯш
shoulder	китф
congregation	ҷамоат
village	деҳа
fill up	анбоштан
return	баргашт
return	баргаштан
turn	гардидан
sow	киштан
graze	чаридан
bring	овардан
carry	бурдан
count	шуморидан
add up	шумурдан
rot	гандидан
accept	пазируфтан
go	рафтан
sweep	рӯфтан
say	гуфтан
throw	афкандан
test	озмудан
throw	андохтан
end	анҷомидан
cost	арзидан
kindle	афрӯхтан
exercise	варзидан
sport	варзиш
elementary	муқаддамотӣ
binding	ҷилд
university	донишгоҳ
hospital	бемористон
sick	бемор
vital	ҳаётӣ
act	феъл
clothing	либос
food	ғизо
name	номидан
noise	ғавғо
Islam	Ислом
he	ӯ
he	вай
you	шумо
you	Шумо
they	эшон
they	онҳо
yes	ҳа
correct	дуруст
rain	борон боридан
rain	боридан
student	донишҷӯ
knowledge	дониш
literature	адабиёт
beloved	дилчасп
mathematics	риёзиёт
eggplant	бодинҷон
eggplant	боқлаҷон
eggplant	бодимҷон
length	тул
Pakistan	Покистон
shame	шарм
grammar	дастур
kitchen	ошпазхона
grammar	дастури забон
data	додаҳо
letter	нома
preacher	хотиб
function	тобеъ
potato	картошка
basketball	баскетбол
cinema	кинотеатр
frog	курбока
pencil	қалам
mosque	масҷид
object	шайъ
Wikimedia	Викимедиа
meaning	маънӣ
arithmetic	ҳисоб
cable	кабел
زردک	сабзӣ
song	суруд
song	тарона
اصفهان	Исфаҳон
Monday	душанбе
کابل	Кобул
Sunday	якшанбе
Tuesday	сешанбе
Saturday	шанбе
Friday	ҷумъа
Thursday	панҷшанбе
Wednesday	чаҳоршанбе
January	январ
فوریه	феврал
آوریل	апрел
June	июн
July	июл
December	декабр
سپتامبر	сентябр
نوامبر	ноябр
اکتبر	октябр
grandfather	падарбузург
Friday	одина
Soviet	шӯравӣ
allow	гузоштан
wash	шустан
cook	пухтан
database	пойгоҳи додаҳо
flame	алов
potato	себзаминӣ
light	нур
sugar	шакар
pray	дуъо кардан
prayer	дуъо
pomegranate	anor
wireless	бесим
journalism	журналистика
Cyrillic	Ч
cemetery	гӯристон
coffin	тобут
servant	банда
shoulder	шона
англисӣ	англисӣ
Moscow	Маскав
China	Чин
nature	табиат
name	исм
translation	тарҷума
pyrotechnics	тарфгарӣ
attribute	сифат
change	тағйир
here	инҷо
hajj	ҳаҷҷ
scientific	илмӣ
pistachio	писта
Russian	русӣ
dream	хоб
hell	дӯзах
hell	ҷаҳаннам
goal	гол
few	кам
school	мадраса
sword	шамшер
cattle	мол
Nowruz	Наврӯз
akhirah	охират
dragon	аждаҳо
Chinese	чинӣ
find	ёфтан
stay	мондан
search	ҷустуҷӯ
homosexual	ҳамҷинсгаро
homosexuality	ҳамҷинсгароӣ
heterosexual	дигарҷинсгаро
bisexual	дуҷинсгаро
heterosexuality	дигарҷинсгароӣ
bisexuality	дуҷинсгароӣ
гароиш	гароиши ҷинсӣ
sexual	ҷинсӣ
dangerous	хатарнок
pour	рехтан
spill	резондан
young	ҷавон
blind	кӯр
custom	одат
cough	сулфа
سرفیدن	сулфидан
fall	афтодан
bind	бастан
breathe	бардамидан
breathe	дамидан
forgive	бахшидан
sift	бехтан
kiss	бӯсидан
weave	бофтан
blow	вазидан
somoni	сомонӣ
life	зиндагӣ
insect	ҳашара
north	шимол
North America	Амрикои Шимолӣ
South America	Амрикои Ҷанубӣ
Europe	Аврупо
Asia	Осиё
between	байн
thigh	рон
grandfather	бобо
speech	гап
talk	гап задан
cave	ғор
Wikipedia	Википедиа
جوی	ҷӯй
culture	фарҳанг
pig	хук
на	намедонам
apple	себ
last night	дишаб
square	майдон
India	Ҳиндустон
swimming	шиноварӣ
sinner	гуноҳкор
sin	гуноҳ
innocent	бегуноҳ
starless	беситора
fearless	бебок
innocent	бетақсир
shortcoming	тақсир
ignorant	бехабар
news	хабар
haematology	хуншиносӣ
colourless	беранг
color	ранг
uncountable	бешумор
impartial	бетараф
meaningless	бемаъни
peerless	беназир
traitorous	бевафо
fearless	бепарво
fear	парво
season	мавсим
music	мусиқӣ
knowledge	маърифат
chair	сандали
tree	шаҷар
map	харита
story	қисса
story	достон
short story	достони кӯтоҳ
grasshopper	малах
grave	гӯр
cemetery	қабристон
grave	қабр
интихоб	интихоб кардан
election	интихоб
clay	гил
flee	гурехтан
rational	маъқул
sell	фурӯхтан
patriot	ватанпараст
worship	парастидан
patriotism	ватанпарастӣ
domestic	ватанӣ
traitor	ватанфурӯш
treason	ватанфурӯшӣ
homeland	меҳан
simplicity	содагӣ
nudity	бараҳнагӣ
familial	хонаводагӣ
family	хонавода
affection	дилбастагӣ
trait	вижагӣ
image	тасвир
tale	афсона
cow	гов
smell	бӯйидан
text	матн
patience	сабр
saw	арра
saw	миншор
handsaw	дастарра
tea	чой
glad	шод
joy	шодӣ
urine	пешоб
bear	хирс
good	нек
cheese	панир
bracelet	абранҷин
bracelet	абранҷан
armlet	бозубанд
boy	писар
airplane	тайёра
aeroplane	ҳавопаймо
fundamental	бунёдӣ
famous	машҳур
bad	бад
good	хуб
small	хурд
naked	бараҳна
-less	бе-
Persian	форсӣ
Jewish	яҳудӣ
Azerbaijani	озарбойҷонӣ
freedom	озодӣ
want	хостан
understand	фаҳмидан
sisterly	хоҳарона
motherly	модарона
brotherly	бародарона
fatherly	падарона
manly	мардона
womanly	занона
nocturnal	шабона
diurnal	рӯзона
manliness	мардонагӣ
womanliness	занонагӣ
word	вожа
eagle	уқоб
seller	фурӯшанда
neighbour	ҳамсоя
prostitute	фоҳиша
lose	гум кардан
lost	гум шудан
raise	афрохтан
форсӣ	забони форсӣ
anthropology	мардумшиносӣ
dance	рақс кардан
mistake	иштибоҳ
dance	рақсидан
grape	карм
cabbage	калам
кирм	кирми абрешим
кирм	кирми китоб
heat	тоб
кирм	кирми шабтоб
shine	тобидан
bridegroom	домод
wedding	арӯсӣ
sign	аломат
аломат	аломати ҷамъ
аломат	аломати тарҳ
аломат	аломати мусовӣ
power	қудрат
rough	дурушт
microscope	резбин
masterpiece	шоҳкор
time	маротиба
spring	чашма
nanotechnology	нанотехнология
dagger	ханҷар
pipestem	чубуқ
happy	хурсанд
contentment	хурсандӣ
happy	хушҳол
office	идора
idiot	аҳмақ
bitterly	зор-зор
begin	шуруъ кардан
beginning	шуруъ
meeting	мулоқот
autumnal	поизӣ
autumn	поиз
castle	диж
vulture	каргас
easy	осон
distance	дурӣ
sesame	кунҷид
life	зиндагонӣ
daf	даф
Миср	Ҷумҳурии Арабии Миср
руспӣ	русбӣ
руспӣ	руспӣ
little boy	писарак
little girl	духтарак
machine	мошин
Simurgh	Симурғ
if	агар
authority	ихтиёр
yes	оре
ancestor	ниё
Persian Gulf	Халиҷи Форс
بیدادی	бедодӣ
بیدادگری	бедодгарӣ
mace	гурз
mace	кӯпол
otherwise	ваилло
keeper	-бон
desert	саҳро
creation	офариниш
increase	афзудан
slave	абд
servant	ғулом
abstractionism	абстрактсионизм
Abkhazia	Абхозия
dumb	аблаҳ
Satanism	шайтонпарастӣ
dome	гунбаз
fat	чоқ
pregnant	обистан
pregnancy	обистанӣ
quince	биҳӣ
beautiful	зебо
stink	натн
spoon	қошуқ
cucumber	хиёр
cucumber	бодиринг
sulfur	гӯгирд
upper arm	бозу
upper arm	боҳу
walking stick	чӯбдаст
banana	мавз
lightning	соиқа
last	охир
last	вопасин
last	охирин
end	ниҳоят
end	интиҳо
beginning	ибтидо
greetings	одоб
politeness	адаб
page	саҳифа
imam	имом
guide	раҳбар
guide	роҳбар
sign	нишон
means	яъне
institution	оин
ornament	ороиш
decorate	оростан
adornment	зинат
farmer	кишоварз
farmer	деҳқон
user	корбар
use	ба кор бурдан
chinar	чинор
Tajik	ҷ
Tajik	ҳ
tombak	тунбак
left	чап
friend	рафиқ
deep	жарф
Russian	рус
collapse	фурӯпошӣ
speech	сухан
prayer	намоз
know	шинохтан
cough	сурфа
Isfara	Исфара
transportation	таробарӣ
transportation	ҳамлу нақл
heat	гармо
Rome	Рӯм
monkey	маймун
Cyrillic	кирилликӣ
benefit	фоида
Cyrillic	Ӣ
Cyrillic	Қ
Cyrillic	Ӯ
Cyrillic	Ҳ
Cyrillic	Ҷ
eleven	ёздаҳ
twelve	дувоздаҳ
thirteen	сенздаҳ
fourteen	чордаҳ
fifteen	понздаҳ
sixteen	шонздаҳ
seventeen	ҳабдаҳ
eighteen	ҳаждаҳ
nineteen	нуздаҳ
twenty	бист
one thousand	як ҳазор
million	милён
master	устод
qanat	корез
society	ҷомеъа
good	накӯном
Сосиалистӣ	Иттиҳоди Ҷумҳуриҳои Шӯравии Сосиалистӣ
dish	зарф
bee	ору
doctor	духтур
promise	ваъда
vegetation	вегетатсия
temple	ҳайкал
details	ҷузъиёт
shirt	курта
yogurt	ҷурғот
салом	салом алайкум
reddish	бӯр
Ohio	Оҳаё
China	Хитой
pilaf	палав
Tajik	ӣ
coffee	қаҳва
shoe	кафш
bank	бонк
room	утоқ
cinematography	кинематография
God	Оллоҳ
harshness	хушунат
supplication	илтимос
mouse	муш
cotton	пахта
duty	вазифа
instruction	таълим
god	худо
sweet	ширин
low	паст
flour	орд
high	баланд
Kazakhstan	Қазоқистон
excellent	форам
because	чунки
shine	шунаҳ
binoculars	дурбин
spider	тортанак
spider	анкабут
мактаб	мактаб-интернат
spy	ҷосус
photographer	аккос
wild	гуроз
person	шахс
person	шахсият
social	иҷтимоӣ
cotton-bow	поға
gold	тилло
bread	нон
cheap	арзон
sky	осмон
iron	оҳан
ask	пурсидан
dough	хамир
pair	ҷуфт
wheel	чарх
column	сутун
long	дароз
ice	ях
blue	кабуд
green	сабз
every	ҳар
steam	бухор
soup	шӯрбо
sock	ҷӯроб
shop	дӯкон
run	давидан
earth	замин
beard	риш
box	сандуқ
pail	сатил
burn	сухтан
beak	нул
profit	фойда
bright	равшан
buy	харидан
clean	тоза
cold	сард
hen	мурғ
duck	мурғобӣ
catch	капидан
alive	зинда
dark	торик
east	шарқ
thought	фикр
first	якум
guest	меҳмон
hour	соат
help	ёрдам
hat	кулоҳ
hunt	шикор
wine	шароб
letter	мактуб
letter	ҳарф
lamp	чароғ
moon	маҳтоб
memory	ёд
morning	субҳ
month	моҳ
new	нав
navel	ноф
oil	равған
other	дигар
form	сурат
possible	мумкин
peace	оштӣ
mirror	оина
rifle	милтиқ
road	роҳ
rabbit	харгӯш
rooster	хурӯс
sit	нишастан
soul	ҷон
shepherd	чӯпон
camel	шутур
stand	истодан
storm	бурон
thing	чиз
tomorrow	фардо
white	сафед
west	ғарб
window	тиреза
yoghurt	дуғ
smell	бӯй
story	ҳикоя
brush	чӯтка
copper	мис
breast	сина
Zal	Зол
prickle	зиреба
circus	сирк
Bible	Библия
Islamic Republic of Afghanistan	Ҷумҳурии Исломии Афғонистон
workers of the world, unite	пролетарҳои ҳамаи мамлакатҳо, як шавед
caress	навохтан
fuck	гоидан
doctor	табиб
divide	тащсим кардан
distribution	тащсим
distribution	тақсим
divide	тақсим кардан
juniper	арча
school	дабистон
four	чаҳор
second	дуюм
fourth	чорум
third	сеюм
fifth	панҷум
lung	шуш
sixth	шашум
seventh	ҳафтум
eighth	ҳаштум
ninth	нуҳум
Sogdiana	Суғд
believe	бовар кардан
close	наздик
near	назд
answer	ҷавоб
speech	суханронӣ
парранда	паранда
tent	хайма
ninety	навад
edit	вироиш
Kyrgyzstan	Қирғизистон
plural	ҷамъ
step	қадам
orange	апелсин
Uzbekistan	Ӯзбекистон
Uzbekistan	Ҷумҳурии Ӯзбакистон
Uzbekistan	Ӯзбакистон
Uzbekistan	Ҷумҳурии Ӯзбекистон
Uzbekistan	Узбакистон
Uzbekistan	Ҷумҳурии Узбакистон
Uzbekistan	Ҷумҳурии Узбекистон
Uzbekistan	Узбекистон
Iran	Ирон
Iran	Ҷумҳурии Исломии Эрон
Iran	Ҷумҳурии Исломии Ирон
Islamic Republic of Pakistan	Ҷумҳурии Исломии Покистон
Syr Darya	Сирдарё
church	калисо
workers of the world, unite	هه پرولیتارهتی دۇنیا یکشوید
well	чоҳ
second	сония
ostrich	шутурмурғ
ice cream	яхмос
boat	қаиқ
geography	ҷуғрофия
air	ҳаво
hero	қаҳрамон
philosophy	фалсафа
evening	бегоҳ
fan	мухлис
rhinoceros	каркадан
vegetable	сабзавот
dark blue	шаҳло
election	интихобот
candidate	номзад
participant	иштирокчӣ
president	раисҷумҳур
media	расона
pear	мурӯд
cannabis	нашъа
zakat	закот
sunflower	офтобпараст
smuggler	қочоқчӣ
holy war	ҷиҳод
Taliban	Толибон
Badakhshan	Бадахшон
epistemology	маърифатшиносӣ
believe	бовар
Turkmenistan	Туркманистон
Bulgaria	Булғористон
Georgia	Гурҷистон
Hungary	Маҷористон
Mongolia	Муғулистон
Poland	Лаҳистон
Saudi Arabia	Арабистони Саудӣ
Serbia	Сербистон
Balochistan	Балучистон
Turkey	Ҷумҳурии Туркия
Kurdistan	Курдистон
-logy	-шиносӣ
meteorology	ҳавошиносӣ
anthropology	инсоншиносӣ
drug	дору
pharmacology	дорушиносӣ
law	ҳуқуқ
jurisprudence	ҳуқуқшиносӣ
sociology	ҷомеъашиносӣ
archaeology	бостоншиносӣ
poison	заҳр
toxicology	заҳршиносӣ
biology	зистшиносӣ
geology	заминшиносӣ
dermatology	пӯстшиносӣ
psychology	равоншиносӣ
climatology	иқлимшиносӣ
cosmology	кайҳоншиносӣ
etymology	решашиносӣ
gerontology	пиришиносӣ
theology	илоҳиёт
zoology	ҷонваршиносӣ
demonology	девшиносӣ
musicology	мусиқишиносӣ
Panjshir	Панҷшер
Dagestan	Доғистон
eyebrow	абрӯ
glasses	айнак
alphabet	алифбо
diamond	алмос
calf	гӯсола
cinnamon	дорчин
mushroom	занбӯруғ
scorpion	каждум
chemistry	кимиё
kindergarten	кӯдакистон
bridge	кӯпрук
singular	мунфарид
silver	нуқра
family	оила
elbow	оринҷ
museum	осорхона
blacksmith	оҳангар
compass	паргор
steel	пӯлод
newspaper	рӯзнома
art	санъат
axe	табар
ash	хокистар
peach	шафтолу
shahanshah	шоҳаншоҳ
Konya	Қуния
Baal	Баъл
resurrection	баъс
linguist	забоншинос
pharmacy	дорухона
ruby	ёқут
optician	айнаксоз
emir	амир
pomegranate	анор
fig	анҷир
era	аср
opium	афюн
pyramid	аҳром
illness	беморӣ
building	бино
sail	бодбон
archaeologist	бостоншинос
gardener	боғбон
crystal	булӯр
minister	вазир
lexicology	вожашиносӣ
earring	гӯшвора
dentist	дандонпизишк
linguistics	забоншиносӣ
geologist	заминшинос
ginger	занҷабил
chain	занҷир
toxicologist	заҳршинос
orthography	имло
union	иттифоқ
climate	иқлим
climatologist	иқлимшинос
profession	касб
amber	каҳрабо
librarian	китобдор
secretary	котиб
tomb	мақбара
eel	мормоҳӣ
fisherman	моҳигир
fishing	моҳигирӣ
wax	мум
ichthyology	моҳишиносӣ
ichthyologist	моҳишинос
salt shaker	намакдон
marriage	никоҳ
ebony	обнус
waterfall	обшор
ornithology	парандашиносӣ
onion	пиёз
doctor	пизишк
medicine	пизишкӣ
ornithologist	парандашинос
observatory	расадхона
computer	роёна
journalist	рӯзноманигор
industry	саноат
policy	сиёсат
mercury	симоб
watchmaker	соатсоз
sultan	султон
peace	сулҳ
crocodile	тимсоҳ
peacock	товус
crown	тоҷ
parrot	тӯтӣ
bishop	усқуф
horizon	уфуқ
philosopher	файласуф
angel	фаришта
porcelain	фағфур
caliphate	хилофат
bear cub	хирсбача
ashtray	хокистардон
date	хурмо
helicopter	чархбол
lion cub	шербача
mammal	ширхӯр
falcon	шоҳин
chess	шоҳмот
chess player	шоҳмотбоз
Iranian studies	эроншиносӣ
refrigerator	яхдон
slavery	ғуломдорӣ
slavery	ғуломӣ
butcher	қассоб
café	қаҳвахона
gambling	қимор
casino	қиморхона
meteorologist	ҳавошинос
sculptor	ҳайкалтарош
insect	ҳашарот
entomology	ҳашаротшиносӣ
entomologist	ҳашаротшинос
government	ҳукумат
lawyer	ҳуқуқшинос
rye	ҷавдор
surgeon	ҷаррох
world	ҷаҳон
crime	ҷиноят
criminal	ҷинояткор
zoologist	ҷонваршинос
espionage	ҷосусӣ
purple	бунафш
grey	хокистарранг
pink	гулобӣ
