the	in
pot	xohtli
priest	teopixquetl
shine	tlanextli
friend	yoloihni
old age	huehueyotl
bee	neczayolin
cow	cihuayulcacuacuanyo
bull	yulcacuacuanyo
fly	zahualli
elephant	hueyulcatl
lagoon	hueyatezcatl
sowing	tohtli
sowing	toctli
plain	ixtlahuatl
clover	xokoyol
comet	papalotli
damp	atoctli
skin	euatl
mazacuata	mazacoatl
iguana	cuauhcuetzpalin
alligator	zipaktli
plate	apaztli
ten	majtlaktl
five	makuil
three	yeyi
eleven	majtlaktl uan se
syrup	necpahtli
pride	atlamatiliztli
irrigate	atlahuili
hole	atlacuihuayan
diarrhea	apitzalli
rattle	ayacochtli
unbearable	ayehualiztli
noun	tlatocaxtiliztli
verb	tlachihualiztli
eleven	mahtlactli huan ce
nine	chiconahui
down	tlantsintla
down	tlantzintlah
skyscraper	hueyicalli
snow	cececatl
jicama	catzotl
puddle	zoquiatl
dinner room	tlacualoyan
hell	tetonehualoyan
flame	cuezalli
skirt	cueyeh
prince	piltlahtoani
common wood pigeon	tlacahuilotl
sapote	zapotl
Zapotec	zapotecatl
shark	cipacmichin
dust	tehtli
priest	teopixcatzin
diesel	chiatletl
Mazahua	mazahuatl
Matlazincan	matlatzincatl
German	alemantecatl
Yucatec	yucatecatl
wheat	zacacintli
bill	amatomin
corpse	micquetl
elk	cuacuauhmazatl
body	nacayotl
snail	tecilli
lung	zazanactli
bronchus	tzotzomahtli
bronchus	tzotzomapopolochtli
lung	popolochtli
trachea	tlapitzalcoatl
gymnastics	tonacayomoliniliztli
horseback riding	cahuayohyacanaliztli
swimming	tlamaneloliztli
boating	acalpainaliztli
potato	tlalcamohtli
piñon	ococintli
chipotle	chilpoctli
door	calaquiyan
virginity	ichpocayotl
humanity	tlacayotl
prudence	nezcalicayotl
pinter	tlahcuiloh
debility	cocoloyotl
swirl	almoloa
write	amoxmachi
nothing	ahmotlein
gulf	anepantlah
old paper	amazolli
forearm	ahcolmaitl
slid	alahuiztli
swirl	almololiztli
blunder	ahuilnemiliztli
smooth	alaxtic
water	almalinalpan
bathe	altia
artesian	amantecatl
write	amapohua
inmortal	ahmiquini
mist	amixtli
zucchini	ayohconetl
Czech	checotlahtolli
Russian	rusotlahtolli
Romanian	rumanotlahtolli
Bulgarian	bulgarotlahtolli
Turkish	turcotlahtolli
Italian	italianotlahtolli
Romanch	romanchetlahtolli
Mandarin chinese	mandarintlahtolli
Huichol	huitzollahtolli
Slovak	eslovacotlahtolli
Swedish	suecotlahtolli
Greek	griegotlahtolli
Portuguese	portugallahtolli
Spanish	caxtillahtolli
Norwegian	noruegotlahtolli
Lithuanian	lituanotlahtolli
Cantonese	cantontlahtolli
Korean	coreanotlahtolli
Hindi	hinditlahtolli
Nahuatl	nauatlajtol
Tepehua	tepehuahtlahtolli
Navajo	navajotlahtolli
coffe	cafetzin
foto	ixcopinalli
jar	acomitl
mug	xaloh
cloth	canahuatl
sheet	camatilmahtli
school	caltemachtiloyan
courtyard	calixpamitl
Adam's apple	zalatli
blue	yahuitl
blood	yeztli
pomegranate	yezxocotl
cucumber	tepolayohtli
chilacayote	chilacayohtli
alcohol	tleatl
chalkboard	tlahcuilolpantli
box	amacalli
backpack	xiquipilli
eraiser	tlapololoni
pensil	totolacatl
bricklayer	calchiuhquetl
sweet	tzopelic
salted	poyec
plaza	xolatl
Michoacan	michhuacatl
ware	nanauhtli
healthy	cecemeltic
frozen	cepayalli
Pole	poltecatl
Oil	techiahuacayotl
Portuguese	portugaltecatl
Popoloca	popolocatl
Jaliscan	xalixcatl
Tepehua	tepehuatl
queen	cihuatlahtoani
mayor	tequihuah
wrinkle	xolochtli
wrinkled	xolochtic
prepuce	xipintli
elephant	xolochnacayeh
rhinoceros	xolochcuacuauhyeh
fleshy	nacayeh
hip	nacayocantli
earing	nacochtli
foam	potzolli
foam	pozolli
fleshy	nakaye
dinosaur	hueyicuetzpalin
shark	zipakmichin
dolphin	chichimichin
bathroom	nealtiloyan
mercury	atepoztli
rain	quiyahuatl
swim briefs	amaxtli
pants	calzontli
earing	nacazpilolli
huarache	tecahtli
sash	ilpicatl
necklace	xochicozcatl
hat	cuatlazecahuiloni
watch	tonaltlatlamachi
glasses	tlanexixtololohtli
blue eyes	ixtelolomatlaltic
red eyes	ixtelolochichiltic
green eyes	ixteloloxoxohuic
black eyes	ixtelolotliltic
idiot	tompoxtli
punishment	tonehuiztli
smug	topalli
haughty	topalnenquetl
rush	tolin
dome	tecacalli
totomostle	totomoxtli
totomostle	totomochtli
popcorn	momochtli
turkey hen	totolnacatl
rabbit	tochnacatl
lamb	ichcanacatl
dog	itzcuinacatl
crocodile	cipacnacatl
skunt	epanacatl
sausage	nacacuitlaxcolli
mojarra	cacalomichin
fish	michnacatl
sope	tlaxcaltzopitl
pinch	tzopitl
stomach	cuitlatecontli
briefs	kaltzomitl
panties	cihuamaxtli
totopo	totopochtli
moustache	camatzontli
Pole	pollacatl
Portuguese	portugallacatl
German	alemantlacatl
Guatemalan	cuauhtemaltecatl
Spaniard	castillantecatl
Spaniard	kastiltekatl
Spaniard	kastilantlakatl
Tlaxcala	Tlaxkalan
Spain	Kastilan
lastname	tahtocamemeliztli
lastname	nantocamemeliztli
representant	teixpantiani
colony	tlahxilancalli
phone	ehcatlanonozaloni
telephone	mecatlanonozaloni
telephone	tepozmecatlanonozaloni
student	momachtiani
bussinesman	tequimacani
worker	tequitini
file	tlapohualtequitl
e-mail	caltitlaniliztlanextli
transparency	nelmelahuaztli
phone	ehecatlanonotzaloni
telephone	tepozmecatlanonotzaloni
call	nonotza
call	nonoza
nahua town	nahuaaltepetl
fungus	chauistl
rattlesnake	tepocolcoatl
snake plant	tepocolli
rattlesnake	chiauhcoatl
caterpillar	chiahuitl
serious	ixcualani
speak	tlahtoa
urine	axiliztli
be	tlahuemiqui
cantil	zolcoatl
nasal mucus	yacahcuitlatl
dragonfly	apipiyallotl
peacock	quetzalhuehxolotl
peacock	quetzaltotolin
chichicua	chichicoatl
coral	pichicoatl
coralillo	xochicoatl
green cantil	cochocoatl
boa	mecacoatl
nauyaca	nauhyacatl
coral	cozcacoatl
reptilian	tlacacoatl
cosmic man	teotlacatl
mermaid	cihuamichtli
pubis	tepoltzontli
lung	chichitl
ass	kuijchil
nalga	tsinte
bely	ijte
matraca	totopoka
drum	kuajtampol
top	kuatelolo
arc	tlatsteminal
jug	tsotsokol
mirrow	teskatl
comb	tsekauastl
brush	xeluastl
bleach	mekoatl
jícara	xikal
glass	pisteuilotl
glass	teuilotl
pot	komitl
plate	pelkaxitl
handkerchief	tlaxkalpayo
chair	ikpal
dining room	tlapechtlakualis
spoon	tlakualteka
molcajete	chiltekaxitl
tejolote	temolotl
table	ajkopechtl
notebook	amatlajkuilol
book	amox
pencil	kuajtlajkuilol
chalk	tenextlajkuilol
teacher	temachtijk
