of	ab
rabbit	zago
tail	zagal
heap	hufo
thought	hugu
ermine	harmo
hurry	ila
youth	jugund
drug	luppi
sober	nuohturn
nit	niz
cattle	noz
nettle	nezzila
net	nezzi
fog	nebul
wet	naz
priest	pfapho
bull	varro
pool	pfuzzi
bait	querdar
torment	quala
coldness	kalti
raven	raban
sickness	siuhhi
Sunday	sunnuntag
adventurer	reccho
rain	regan
rainbow	reginbogo
fever	rito
trunk	rono
back	rucki
chin	kinni
bell	klocca
knife	sahs
shade	scato
debt	sculd
arbiter	sculdheizo
hot	heiz
call	heizzan
sign	segan
custom	situ
ram	stero
death	sterbo
sun	sunno
psalm	psalmo
sand	sant
equipment	saro
damage	scado
troop	scara
plough	scaro
shine	scimo
thigh	scinco
lap	scozo
sickle	sihhila
victory	sigu
snake	slango
sled	slito
fat	smero
snow	sneo
snail	snecco
shall	scolan
pack	saumari
spur	sporo
rung	sprozzo
spool	spuolo
stick	stecko
leg	stollo
heavy	swar
heaviness	swari
disease	swero
treasure	treso
judge	tuomo
judge	tuomen
dark	tunkali
faithfulness	triuwa
top	toldo
expensive	tiuri
animal	tior
evil	ubil
evil	ubili
deer	hiruz
millet	hirso
shepherd	hirti
brain	hirni
morn	uohta
honeycomb	wabo
scales	waga
wax	wahs
choice	wala
cheek	wanga
guard	warto
water	wazzar
soft	weih
softness	weihhi
wheat	weizi
werelt	weralt
trouble	werra
woe	wewo
wild	wildi
friend	wini
left	winstar
wood	witu
know	wizzan
right	zeso
tongue	zunga
inner	innar
outer	uzaro
upper	obaro
lower	untaro
inner	innaro
lower	nidaro
down	nidar
below	nidana
inside	innana
above	obana
above	obar
outside	uzana
behind	hintar
rear	hintaro
behind	hintana
there	doret
right	reht
grey	grao
daring	kuoni
many	filu
better	bezziro
best	bezzisto
well-being	wolo
well	wola
want	wellen
dumb	tumb
this	dese
equal	gilih
crooked	krump
crookedness	krumpi
hook	ango
light	liht
serious	ernust
fat	feizit
wet	fuht
wetness	fuhti
naked	nackut
raw	rao
lamentable	wenag
lament	weinon
deaf	toub
more	mero
loud	lut
boldness	baldi
meanness	argi
ripe	rifi
even	sleht
evenness	slihti
happy	salig
pregnant	swangar
tired	muodi
next	nahisto
slow	laz
many	manag
quantity	managi
through	duruh
twofold	zuiski
two	zwene
three	dri
twenty	zweinzug
twelve	zwelif
eleven	einlif
ten	zehan
five	fimf
seven	sibun
six	sehs
nine	niun
four	fior
thousand	dusunt
before	furi
foot	fuoz
to	zuo
plain	eban
evenness	ebani
umpi	umbi
evil	bosi
shake	biben
borrow	borgen
unleavened	derb
compose	dihton
break	brehhan
bake	bachan
bathe	badon
begin	biginnan
bite	bizan
shelter	bergan
burst	brestan
bow	biogan
bind	bintan
offer	biotan
brew	briuwan
thank	dankon
press	dringan
press	drucchen
twist	draen
thresh	dreskan
endure	dolen
eat	ezzan
your	iuwar
I	ih
me	mih
vinegar	ezzih
fall	fallan
fly	fliogan
flee	fliohan
fight	fehtan
sparing	karag
cowardly	feigi
fern	farn
afar	ferrana
ready	fartig
darkness	finstari
entreat	flehan
fly	flioga
fledged	flucki
untamed	freh
early	fruoji
early	fruo
feel	fuolen
fill	fullen
yawn	ginen
fear	forhta
pray	beton
pay	geltan
self	sih
enough	ginuog
fast	rado
advice	girati
pour	giozan
bright	glat
glide	glitan
glow	gluoen
gripe	grifan
hold	haltan
hate	hazzon
holy	heilag
heat	heizen
confused	irri
done	garo
prepare	garwen
uncomfortable	leid
softly	liso
loudness	luti
people	liudi
and	unti
or	odar
that	daz
but	avur
mild	milti
help	helfan
friendliness	huldi
friend	holdo
hew	houwan
smoke	rouh
smell	riohhan
hunger	hungar
catch	fogalon
bird	fogal
wander	irren
err	irron
itch	jucchen
ferment	jesan
weed	jetan
hunt	jagon
both	ioweder
which	wedar
poppy	maho
Odermennig	kleinkletta
needle	nadala
reach	reichen
clean	subar
sleep	slafan
ship	skif
swear	sweren
crawl	slihhan
hit	slahan
wake	wahhen
book	buoh
plate	tisc
pus	eitar
finger	fingar
feather	fedara
fetter	fezzera
fetter	fezzil
hard	harto
fence	zun
poor	arming
teaching	lera
wind	wint
ever	sin-
gently	lindo
give	sellen
blood	bluot
tree	boum
breast	brust
brother	bruoder
bread	brot
animal	frisking
purple	purpura
crack	spalt
hail	hagal
third	dritto
woman	itis
do	tuon
blacksmith	smid
anniversary	ertag
soul	ferah
raise	heffen
sin	sunta
bar	skina
bacon	spek
it	iz
take	neman
indicate	wisen
king	kuning
beard	bart
hedgehog	igil
mother	muoter
sister	swester
rasp	raspon
heart	herza
hawthorn	hagan
daughter	tohter
desire	sinnan
*meȥȥot	metod
cage	stiga
tremble	zittaron
discord	strit
firmly	fasto
hand	hant
land	lant
carry	tragan
let	lazan
mesh	masca
clod	scolla
bailiff	fogat
spot	flek
treasure	skaz
merlon	zinna
supreme deity	Wodan
courage	ellan
mix	miskan
angel	engil
late	spato
suppose	wanen
firwood	forst
throat	slunt
him	inan
pus	gunt
female genitalia	cunta
brother	bruodher
dusk	demar
field	angar
speak	sprehhan
folle	fullo
suffering	jamar
farmland	ackar
can	mugan
chair	stuol
heaven	himil
earthquake	erdbibunga
go	gangan
past participle	gi-
also	ouh
free	losen
high	hoho
ban	giban
serf	skalk
belly	wamba
axis	ahsa
or	alde
roofing	skura
read	lesan
seal	selah
girdle	gurt
ju	giu
but	afur
drink	trinkan
liver	lebara
freeze	friosan
die	sterban
eye	ouga
sink	sinkan
herb	wurz
womb	reve
mulberry	murberi
medlar	mespila
see	sehan
rectum	afterling
ruler	truhtin
fold	faldan
win	giwinnan
gender	kunni
grow	wahsan
greatness	irmin-
tendril	hranca
weapon	wafan
deep	tiof
oak	eih
nail	nagal
borer	nabager
keel	kiol
make	mahhon
beech	buohha
destiny	wurt
forehead	stirna
spirit	geist
deceive	triogan
mountains	gibirgi
inhabitant	gibur
sheep	scaf
what	waz
praise	lobon
calf	kalb
sleeve	armil
maple	ahorn
dough	teig
suitable	tugan
breath	atum
entrust	felhan
serve	thionon
Öschtrych	Ostarrichi
inquire	gifregnan
fitting	zeman
until	untaz
multiply	gimanagfalton
multiply	managfalton
spleen	milzi
fishing rod	angul
peculiar	eiganhaft
half	sami-
thin sand	melm
horse	marah
today	hiutu
seek	suohhen
lath	pretil
fast	drato
storm	sturm
near	nāho
heritage	uodil
god	Donar
doom	ubargang
lard	smalz
cake	kuohho
beam	balko
pluck	biroufen
furrow	furh
fill up	krimman
look carefully	wahten
dress	pfeit
dandruff	hruf
protect	skirmen
bench	skranna
watchman	wahtari
footprint	stapho
tail	sterz
jackdaw	tahala
steam	damph
dip	toufen
sour cherry	wihsila
basket	zeina
tuft	zoph
knuckle	knohha
crust	stucki
locust	hewispranga
hay	hewi
gnaw	gnagan
number	zala
necromancy	helliruna
retainer	degan
Frank	Franko
stop	stoffon
meat	fleisk
pledge	wetti
revelation	offanunga
open	offan
bee	imbi
pan	pfanna
kite	wio
duck	enita
body	botah
lady	frouwa
call	ruofan
deliverance	losunga
gift	geba
friend	friunt
dara	thara
us	unsih
be	werdan
knowledge	giwizzi
come	kweman
love	minnon
flame	loug
which	welih
fight	bagan
fortune	sluna
success	slunigi
earthly	erdlih
houseleek	donaresbart
destiny	urlac
Valkyrie	Hilticoma
Aostargoz	Aostargaoz
Haostarpald	Aostarpald
Passau	Pazauuue
Wayland	Welant
goddess	gutin
Baldr	Paltar
dare	ginenden
dawn	tagarod
Gothic	-mēs
mean	meinian
please	lihhen
people	diutisk
teacher	lerari
look	scouwon
speak	fluohhon
uninflectable adverb	einemu
happen	leiben
sufteon	sufton
message	arunti
alone	eino
alone	einluzzo
bitter	hantago
little	luzzil
mixed	samahaft
no	nihein
one and a half	anderhalb
singing	singanto
smooth	glato
walking	fahanto
why	wio so
thrice	driror
completely	alagaro
first	allererist
elsewhere	alleswar
elsehow	alleswio
all alike	alsamo
always	zi altere
ever	eonaltre
nio in altar	nio in altare
timidly	angustlihho
vainly	arwun
without contradiction	ana baga
boldly	baldlihho
honourably	erlihho
friendly	friuntlicho
gloriously	in frono
daily	tagalihhes
daily	gitago
daily	gatago
daily	gidago
everywhere	ubaral
over	ubari
ubelo	ubilo
finally	az jungist
cleanly	kleino
modestly	kusgo
lovely	lioblihho
falsely	meino
false	meinnes
together	gimeino
moderately	mezhafto
in the morning	in morgan
at night	thes nahtes
easily	odlihho
maybe	odowan
fuotiren	fuotaren
Bavaria	Beiara
Hirminhart	Irminhart
Hirminperht	Irminperht
Irmengart	Irmingart
Irmindrut	Irmindrud
Donarpret	Donarpreht
ingyna	Ingina
Ingoberta	Ingaberta
funso	Fonsa
Fuscolus	Fusculo
Fuscarus	Fuscari
push	eindrucchen
nobly	adallihho
lordly	adallich
fly	fliuga
devil	tiuval
devil	satanas
amazed	wuntaron
Balder	Phol
Donar	Wigidonar
place, village sqaure	zīh
rise	ufgang
god	irmingot
fetter	kunawid
disastrous fate	wewurt
judgment day	muspilli
star	himilzungal
folly	tolaheiti
fortune-teller	warspello
war	hadu-
Odoacer	Otacher
fight	sahhan
refuse	widarsahhan
throw	werfan
deny	firsahhan
fight	gisahhan
image	manalihho
widow	wituwa
believed	giloub
celebration	uoba
certain	giwissi
certain	giwis
witless	wizzilos
pure hearted	reinherzi
merciless	unarmherz
merciful	armherz
faith	giloubo
married couple	sinhiwun
demon	unholda
Tuesday	ziestag
Pleiades	sibunstirni
anus	arsloh
falcon	smirl
sound	krahhon
cross	kruzi
gründen	burjan
crucify	kruzigon
brown	erpf
dearest	dekkist
lead	gileiten
bind	gibintan
bedbug	wantwurm
weevil	wibil
landscape	lantskaf
barley	gersta
buzzard	musari
sparrowhawk	sparwari
cedar	zedarboum
weakness	zagaheit
doubt	zwifal
suslik	zisimus
dwelling	wonunga
worshipper	uobari
weaver	garnboum
abrotanum	garthagan
hospitality	gasttuom
comrade	gatiling
hackberry	geizboum
milk thistle	gensedistil
spell	germinod
priest	gewipriest
coaeval	gialtar
birthday	giburtitag
thought	gidank
rival	giellolf
promise	giheiz
alien	gikumiling
arriver	gikwemaling
concession	gilaz
idler	gimeitgengil
comrade	ginoz
call	giruoft
community	gisamanung
companion	gisind
step	gistiegil
domestic god	giswasgot
tent pin	gizeltkegil
twin	gizwiniling
Friday	garotag
bundle	gibuntil
juggling	gougaltuom
bolt	grintil
juniper	griozboum
pebble	griozstein
rectum	grozdarm
ground frost	gruntfrost
cloth	gruonpfellol
beer	gruzing
follower	guotdegan
life well lived	guotwerklib
girdle	gurtil
occiput	afternel
crupper	afterreif
skeleton key	aftersluzzil
ancestor	altmag
butter	ankspint
vow	antheiz
eighth day	anttag
bracelet	armboug
rectum	arsdarm
arse wiper	arswisk
medical doctor	arzat
ash tree	askboum
pavement	asterih
chaff	asweif
spear	azger
invention	adank
apple tree	affaltar
apple tree	affaltarboum
agate	agatstein
chilblain	ahhalm
little tile	ahsling
oath	ahteid
latecomer	akwemiling
servant	ambahtari
worshipper	anabetari
neighbour	anabuari
instigator	anahezzari
pillow	ahsalari
salt stone	salzstein
keep	samahafting
contribution	samantregil
light wagon	sambuh
pebble	santstein
armed man	sarling
armchair	sedalstuol
juniper	sefinboum
seabird	sefogal
mast	segalboum
trunk	selbboum
manor	selihof
anchor	senkil
anchor	senkilstein
helm	siguhelm
prize	sigulon
silver coin	silabarling
silversmith	silabarsmid
sickness	siohtuom
butler	skafwart
robbery	skah
bar	skaltboum
stool	skamal
measure	skaramez
pirate	skifskalk
shield bearer	skiltkneht
poet	skopf
sheaf	skoub
missile	skozil
bolt	skubil
sausage	skubiling
shoe	skuoh
downy beard	skuzbart
sacrifice	slahtfrisking
key	sluzzil
anvil	smidastok
mirror	spiegal
juniper	sporahboum
stone oven	steinofan
corrupt person	firkoufling
firestone	fiurstein
weaver	fizziboum
flax	flahs
flail	flegil
pebble	flinsstein
industry	fliz
winged shoe	flugiskuoh
comforter	fluobargeist
birdlime	fogallim
combat	folkwig
imagination	foragidank
preference	foralon
question	fragan
servant	framkneht
produce	framwuohhar
friend	fridil
fellow freedman	friginoz
freedman	frilaz
Sunday	fronotag
intellect	firstant
ridge	firstboum
pirate	fiurdiob
god	fiurgot
fire stove	fiurofan
short cut	fristfrang
churchyard	frithof
discretion	frituom
godchild	funtifillol
god	fuotargot
white grape	wizdrubo
wise man	wizzo
hollow brick	wolbo
wolf dog	wolfbizzo
cloud	wolko
disgust	wullido
paradise	wunnigarto
delight	wunno
berserk	wuoto
worker	wurhto
creator	wurko
worm	wurmo
observer	waranemo
prophet	warkweto
fortune teller	warsago
fortune teller	warseggo
lord	weraltfuristo
ruler	weraltheriro
knowledge	weraltrehtwiso
philosopher	weraltwiso
worldly wealth	weraltwolo
scribe	werkbriefo
wind maker	wihttrago
lover	wisigerno
buffalo	wisunto
body	lihhamo
beloved	frifridil
take	uzneman
pierce	stehhan
stand	stantan
joy	frewida
completeness	ganzida
dominion	tuom
rule	giwaltan
condemnation	nidarunga
tell	zellen
save	nerien
deliver	arlosen
