no	nu
burn	ardu
cur	curat
candle	luminari
tasty	gustos
Romanian	mucan
gather	adun
veined	vinos
dirty	murdar
zboari	zbor
calves	pulpos
handful	pulmu
sta	stau
fox	vulpi
lutoasã	lutos
spider	pangu
city	cãsãbã
habit	huchi
mountainous	muntos
bony	usos
ox	buin
May	maiu
not even	nichi
bake	coc
cherry plum	prun
cough	tusi
time	chiro
shit	merdu
worker	argat
anthill	furnicar
snow	niau
di	seti
moartã	mortu
sleep	dormu
west	vestu
snake	sharpi
satiate	satur
force	dinami
dine	tsin
collective nouns	-ame
nest	cuib
guest	musafir
November	brumar
plane	paltin
then	apoi
usãc	uscat
fish	pescu
me	iou
pimtã	pingu
codzrã	codru
deaf	surdu
oarbi	orbu
single	singur
hen	gãljinã
over there	dindi
buciunj	bucium
because	cã
sister	sorã
arets	areati
somewhere	iuva
sheep	oai
mãni	mãn
barren	sterp
lean	macru
arinoasã	arinos
co-father-in-law	cuscru
capiti	capit
early	timpuriu
blind	chior
hand	mãnã
foamy	spumos
nose	nari
easti	escu
iconostasis	templu
mucous	mucos
sleepy	somnos
spill	versu
saltã	saltu
fruit	fructu
wear	portu
this	aestu
thirsty	sitos
yard	curti
boy	ficior
disgust	agnos
soarbi	sorbu
drink	beu
treatsi	trec
sun	soari
leather	pungar
scare	aspar
ansãritã	ansar
utri	utri
prince	cneaz
cloud	nior
war	polim
theater	teatru
tooth	dinti
cellar	chilar
adaptã	adaptu
shasi	shes
apusã	apun
glowworm	licurici
if	disi
prãdatã	prad
stormy	furtunos
coward	fricos
stinking	puturos
bowl	blid
boat	luntri
sign	semnu
when	cãndu
there	aclo
multã	multu
some	nishti
shintsi	tsintsi
lundzi	lungu
lãrdzi	largu
small	njic
man	bãrbat
broashti	broascã
daughter	hilje
a little	putsãn
father	tatã
spring	primuvearã
Aromanian	armãneascã
Aromanian	armãn
song	cãntic
girl	featã
louse	piduclju
worm	yermu
people	popul
chest	cheptu
foot	cicior
virgin	virghirã
stick	virdzeauã
child	fumelj
vãtãmatã	vatãm
write	scriu
seed	simintsã
swan	mielmã
bãshatã	bashu
chicory	tsicoarã
search	caftu
wood	lemnu
arpi	arpã
laud	alavdu
dzãtsi	dzãc
tail	coadã
peani	peanã
Wednesday	njercuri
cãlcãnji	cãlcãnju
name	numã
speak	zburãscu
chetri	chiatrã
mãcã	mãc
spoon	lingurã
land	tsarã
soil	pimintu
flour	fãrinã
mouth	gurã
calf	yitsãl
liver	hicat
alive	yiu
njelj	njel
azboairã	azboair
pigeon	pãrumbu
forehead	frãmti
sword	spatã
heart	inimã
shushuratã	shushuredz
ascucheatã	ascuchiu
blow	suflu
ascultatã	ascultu
avdi	avdu
capri	caprã
avinatã	avin
alumtã	alumtu
acumpãrã	acumpãr
imnatã	imnu
ask	ntreb
tsãni	tsãn
strindzi	stringu
alãtratã	alatru
urlatã	urlu
chirdutã	cherdu
lip	budzã
cry	plãngu
alimtã	alingu
this	aistu
that	atsel
there	atsia
throw	aruc
numiratã	numir
bark	shcoarci
marble	marmar
tavri	tavru
freeze	ãngljets
inflate	umflu
day	dzuã
sand	arinã
wind	vimtu
twenty	yinghits
snow	neao
ice	gljets
many	multsã
culcatã	culcu
set	ashedz
house	casã
finger	dzeadzit
red	arosh
yellow	galbin
hot	caldu
old	veclju
old	aush
straight	ãndreptu
round	gurguljat
near	aprochiu
left	stãngu
crown	cãrunã
August	avgustu
ambrãtsatã	ambratsu
find	aflu
angel	anghil
Albanian	arbinescu
nearsã	nergu
thousand	njilje
God	dumnidzã
ashtiptatã	ashteptu
dishcljidi	dishcljid
ncljidi	ncljid
pashti	pascu
pashti	pasc
nashti	nascu
somu	somnu
fãts	fatsã
cover	acoapir
hide	ascundu
cow	vacã
church	bãsearicã
Christian	crishtin
cross	crutse
beautiful	mushat
blãstimatã	blastim
beard	barbã
supper	tsinã
wax	tsearã
shirt	cãmeashã
curuni	curunã
chestnut tree	cãstãnj
cljamã	cljem
how much	cãt
criscutã	crescu
cherry	cireashã
coasti	coastã
circle	tserclju
hedgehog	ariciu
misuri	misurã
misoarã	misur
neighbor	vitsin
judgement	giudets
nephew	nipot
well	fãntãnã
njadzã	njedzu
pig	porcu
ordzuri	ordzu
fireastri	fireastrã
ncaltsã	ncaltsu
discãltsatã	discaltsu
sin	picat
widowed	veduu
poami	poamã
pagan	pãngãn
wound	pleagã
demon	demun
the	-lu
umpli	umplu
enter	ãntru
lexicon	lexico
grill	frigu
furtsi	furcã
grain	grãn
entire	ãntreg
winter	iarã
week	siptãmãnã
smear	ungu
bee	alghinã
ljea	ljeau
lightning	sfulgu
wool	lãnã
millet	meljiu
table	measã
my	njeu
ãnsuratã	ãnsor
mãritã	mãrescu
female	soatsã
firitã	firescu
coaptã	coptu
mix	ameastic
njerli	njerlã
Tuesday	martsã
March	martsu
yearling	noatin
Thursday	gioi
Sunday	duminicã
young	tinir
judge	giudic
melon	piponj
mãshcã	mãshcu
mushti	muscã
word	cuvendã
mill	moarã
malji	maljiu
gnaw	arod
walnut	nucã
oali	oalã
peach	chearsic
peach	chearsicã
not even	nitsi
nipoati	nipoatã
dzãcutã	dzac
masini	masinã
yoke	giug
ngiugatã	ngiug
un-	ni-
peari	pearã
fisher	piscar
primtã	prindu
wave	undã
aprimtã	aprindu
grab	acatsu
break	arup
aruptã	aruptu
barefoot	discultsu
orphaned	oarfãn
lousy	piducljos
shepherd	picurar
joke	pezã
chicatã	chicu
comb	chiaptin
street	ulitsã
priest	preftu
triyirã	triyir
door	ushã
gate	poartã
flea	puric
king	vãsilje
king	bãsilãu
root	arãdãtsinã
arãpi	arãpã
devil	dracu
collect	culeg
shei	shauã
swallow	alãndurã
evening	searã
onion	tseapã
emperor	ampirat
sãntã	sãntu
saint	ayiu
scamni	scamnu
crooked	strãmbu
thigh	coapsã
cheek	bucã
urãtã	urãscu
whistle	fluiarã
fairy	dzãnã
cherry tree	ciresh
laugh	arãs
clear	sirin
full	sãtul
ãntunicã	ãntunic
darkness	ãntunearic
axe	tãpor
axe	tsupatã
seatsirã	seatsir
simtsitã	simtu
sixty	shaidzãts
fifty	tsindzãts
forty	patrudzãts
thirty	treidzãts
eighty	opdzãts
nine	noauã
ninety	noauãdzãts
hundred	sutã
mister	domnu
plãtsinti	plãtsintã
aumbri	aumbrã
somersault	tumbã
grave	murmintu
suptã	suptu
uscatã	usãc
ear	schic
thorn	schin
spiny	schinos
autumn	toamnã
summer	vearã
foam	spumã
aspumatã	aspum
field	cãmpu
astimtã	astingu
shuiratã	shuir
kidney	arniclju
asudatã	asud
mouse	shoaric
cherry plum	prunã
alumti	alumtã
late	tãrdziu
ash	frapsin
vein	vinã
wool	bascã
windy	vimtos
old	bitãrnu
dzidzitari	dzidzitar
then	atumtsea
ripe	mãtur
sneeze	stãrnut
mistress	doamnã
lady	chirã
agiutatã	agiut
giuratã	giur
forget	ultu
azvindzi	azvingu
frãndzi	frãngu
frãmtã	frãmtu
aspartã	aspargu
shatter	disic
leave	plec
surpatã	surpu
run	alag
ãnsãratã	ãnsar
vigljatã	veglju
avigljatã	aveglju
stab	pungu
agiundzi	agiungu
stretch	tindu
ashtearni	ashternu
adusã	aduc
ashtearsã	ashtergu
aleadzi	aleg
aleg	aleptu
ntsearni	ntsernu
coal	cãrbuni
cherry tree	tsiresh
cherry	tsireashã
ash	tsinushã
beloved	vrutã
minduitã	minduescu
muldzi	mulgu
snow	neauã
reply	apocrisescu
reply	apãndisescu
answer	apandisi
answer	apocrisi
return	tornu
toartsi	torcu
astoartsi	astorcu
stricuratã	stricor
lie	minciunã
lutsitã	lutsescu
arãsã	arãd
ardu	arsu
mutritã	mutrescu
green	nverdu
nvirdzãtã	nvirdzãscu
creature	fãpturã
heat	ncãldzãscu
friptã	friptu
storm	furtunã
njardzi	njergu
mix	meastic
grain	yiptu
February	flivrar
cousin	cusurin
scissors	foarficã
adãvgatã	adavgu
learn	nvets
learn	anvets
wealth	aveari
love	vreari
pistipsitã	pistipsescu
collected	culeptu
azvimtã	azvimtu
wash	aspel
pãstritã	pãstrescu
tushitã	tushescu
greashti	grescu
forgive	ljertu
mplãtitã	mplãtescu
tsirnutã	tsernu
rains	pluireadzã
plãmtã	plãmtu
stab	ampar
power	puteari
gray	cãnut
know	shtiu
strimtã	strimtu
traptã	traptu
been	futã
tricutã	tricut
who	tsini
nãsã	nãs
nãs	nãsã
nãs	nãsh
elu	elj
ia	eali
that	atsea
heartã	hertu
unsã	unsu
utsisã	utsid
freeze	ngljets
ice	ãngljatsã
nsuratã	nsor
bleed	sãndzinedz
pitrumtã	pitrundu
strãbati	strãbat
tremble	treambur
bond	ligãturã
ascãpatã	ascap
escape	scap
hindrance	cheadicã
ncheadicã	ncheadic
impede	mbudhuescu
ndultsitã	ndultsescu
ãndultsitã	ãndultsescu
nfluritã	nflurescu
pãtsitã	pãtsãscu
work	lucredz
lie	minciunedz
shorten	shcurtedz
mputsãtã	mput
priimnatã	priimnu
pãzitã	pãzescu
edge	mardzinã
grab	acats
fãrni	fãrnu
peas	madzãre
groan	dzem
dzeamiti	dzeamit
alãxitã	alãxescu
aspindzuratã	aspindzur
spindzuratã	spindzur
grai	grai
dzeaminã	dzeamin
poartsi	poarcã
piglet	purtsel
sow	purtseauã
famine	foamitã
cokiu	cochil
grape	auã
army	ashcheri
nfãshatã	nfash
wheel	roatã
puppy	cãtsãl
dog	cãtsauã
a	unã
vindicã	vindic
ncarcã	ncarcu
ãncãrcatã	ãncarcu
discarcã	discarcu
deer	tserbu
pigsty	purcãreatsã
bull	giuncu
star	steauã
understand	ntsileg
understand	duchescu
achicãsitã	achicãsescu
ndreadzi	ndreg
ndreaptã	ndreptu
repair	ãndreg
ahurhitã	ahurhescu
ãnchisitã	ãnchisescu
apãrnjitã	apãrnjescu
begin	ntsep
left	astãnga
shepherd	uiar
clover	trifoljiu
tumtã	tundu
soul	suflit
light	lishor
light	ljiushor
rose	trandafilã
diznjirdatã	diznjerdu
fate	soarti
amintatã	amintu
pair	pãreaclji
ram	birbec
pãrnãsitã	pãrnãsescu
urdzãtã	urdzãscu
cruitã	cruescu
tsasi	tsas
fabric	tsãsãturã
rod	veargã
armi	armã
veardzã	verdzu
green	veardi
virdets	virdeatsã
astradzi	astrag
root	zãrãtsinã
nhidzi	nhig
nhiptã	nhiptu
plãntã	plãntu
mbetu	mbet
tsindzi	tsingu
tsimtã	tsimtu
ascãpitã	ascapit
tall	analtu
anãltsatã	analtsu
udder	udzir
foal	mãndzu
two	antsãrtsu
plough	aratru
ghivãsitã	ghivãsescu
dew	aroauã
breeze	avrã
bell	cãmbanã
hemp	cãnipã
hemp	cãnavi
heat	cãroari
heat	cãldurã
flower	lilice
lipseashti	lipsescu
torrent	flumin
gljami	gljem
gljoami	gljom
fig	hicã
tomorrow	mãni
blue	njirlu
still	ningã
fog	negurã
before	nãnti
before	ninti
fleshy	cãrnos
dipuni	dipun
nãmalji	nãmaljiu
numalji	numaljiu
njirã	njir
piri	pirã
school	sculii
fat	grãsimi
juniper	giuneapini
gum	dzindzii
molar	mãseauã
some	vãrnu
fãrmatsi	fãrmac
poisonous	toapsec
amãrãtã	amãrãscu
eami	eamã
fog	cãtãhnii
hit	agudescu
make fun of	shupãr
pit	sãmburi
anvãrtitã	anvãrtescu
spulbiratã	spulbir
arrow	sãdzeatã
thank you	haristo
shoot	sãdzitedz
cat	matsã
fern	fearicã
ladder	scarã
coami	coamã
time	oarã
lard	usãndzã
cattle	pravdã
neck	gushi
gavri	gavrã
anjurdzitã	anjurdzescu
fricuitã	fricuescu
fear	fricã
live	bãnedz
life	banã
bãnatã	bãnedzu
shatter	dischic
sharp	tãljos
smooth	buimatcu
rough	ascuru
adiljatã	adilju
puddle	baltã
alghitã	alghescu
deep	adãncu
bottom	afundu
frandzi	frangã
strawberry	cãpsheanã
ndisatã	ndes
arãchitã	arachiu
ascent	arap
arãchitã	arãchescu
blacksmith	hirar
smith	favru
nhiuratã	nhiuredz
hevri	heavrã
dough	aloat
today	asãndzã
behind	dupã
boiling	hirturã
ntsirtatã	ntsertu
ncãceatã	ncaciu
ncljinatã	ncljin
ãncljinatã	ãncljin
bend	aplec
amãnatã	amãn
ntãrdatã	ntãrdedz
apiritã	apir
mother-in-law	soacrã
apãratã	apãr
daughter-in-law	norã
frost	brumã
belly	pãntic
belly	pãnticã
fart	bishinã
feminine	feamin
withered	veashtid
squirrel	viviritsã
ligãminti	ligãmintu
flame	fleamã
eyebrow	sprindzeanã
dzeani	dzeanã
mushroom	buburec
south	njeadzã-dzuã
lamb	njior
middle	nolgiuc
lime	tiljiu
yin	vinitã
mouth	arostu
moustache	mustatsã
piss	chish
ermi	ermu
locust	lãcustã
Turk	turcu
mistletoe	vãscu
nviscutã	nvescu
vishtiminti	vishtimintu
siminatã	seamin
hairless	spãn
whey	dzãr
whey	shar
shcljimuratã	shcljimur
vulture	ornji
shoulder	umir
wedding	numtã
arnatã	arnedz
wintering	arniu
horned	curnut
colostrum	curastrã
pumpkin	curcubetã
belt	curauã
sulfur	scljifur
healthy	sãn
barren	sterpu
diaper	scutic
wooden	limnos
sweetness	dultseatsã
arãvdatã	aravdu
soot	furidzinã
raven	corbu
hail	grãndini
hail	grindinã
June	cirishar
nut	alunã
July	alunar
tortoise	broascã tsãstoasã
July	iuliu
July	curic
September	septemvriu
Ghizmãciuni	ghismãciuni
January	gulugeu
October	sãmedru
bloody	sãndzinos
November	nuembru
December	andreu
December	dechemvriu
alunicatã	alunic
bird	puljiu
gljindi	gljindã
unsheared	njitsã
youth	gioni
stepmother	nuearcã
teat	tsãtsã
together	deadun
together	mpriunã
scabbard	teacã
cãlcatã	calcu
prey	pradã
resin	ritsinã
pulicari	pulicar
calf	pulpã
peacock	pãun
lead	pljumbu
ncalicã	ncalic
cord	coardã
ngustatã	ngustedz
sleeve	mãnicã
mãrdzeali	mãrdzeauã
flax	ljin
ngljitatã	ngljit
bucusitã	bucusescu
hiccup	sugljits
noose	alats
cupi	cupã
hemlock	cucutã
crest	creastã
horseman	cãlãrets
mounted	cãlar
mounted	ncãlar
wild	ayru
theft	furtu
noastã	nostu
light	lunjinedz
morningstar	lutseafir
poor	ftoh
us	nã
lãpturi	lapti
Aromanian	armãneashti
call	angan
mallet	malj
wound	plaghe
summer	viare
soft	moali
red	rosh
cry	pleng
mother	atã
string	nhir
-ous	-osu
cãscatã	cascu
-ty	-tati
-ish	-escu
ncapi	ncap
exactly	giustu
burden	sartsinã
flag	flãmburã
France	Frantsia
Russia	Arusia
Germany	Ghermãnia
Switzerland	Shwaitsã
Great Britain	Britania Mari
Sweden	Suidia
crow	tsoarã
elm	ulmu
double	dublu
evil	strigã
mãtritsi	mãtricã
yitsali	yitsauã
anchor	angurã
ram	birbicar
cooked	cupturã
pus	pronjiu
whirlpool	vãltoari
reddish	coatsin
nvulbatã	nvolbu
millwheel	vãrvurã
pray	angrec
pray	pãlãcãrsescu
blessing	urãciuni
fighter	alumtãtor
agiumtã	agiumtu
alimtã	alimtu
ntindire	ntindu
timsã	timsu
timtã	timtu
lundzitã	lundzescu
tree	arburi
tree	cupaci
rag	cãrpã
towel	prusopi
splinter	ashclji
bird	pulj
silver	asimi
pitreatsi	pitrec
spãnticatã	spãntic
frimintatã	frimintu
vomiri	vomirã
picunji	picunjiu
broatits	broatic
fãricatã	fãric
divide	mpartu
outside	afoarã
cufuritã	cufurescu
astraptã	astraptu
sweet	blãndur
voice	boatsi
here	aoatsi
here	aoa
melancholy	milanculii
butsitã	butsescu
wail	boatsit
state	crat
burets	bureati
sãmtã	sãmtu
blãnts	blãncu
apucatã	apuc
cãshtidz	cãshtigã
caring	cãshtigari
care	cãshtighedz
peas	madzãri
peas	bizelji
cadeni	cadenã
cãtini	cãtinã
back	schinari
lock	cãtinar
advance	custã
pãljuri	pãljur
guest	oaspi
banquet	uspets
filipsitã	filipsescu
welcome	uspitedz
skin	cheali
comb	cheaptin
comb	chiaptini
comb	cheaptini
chetri	cheatrã
hãscatã	hascu
cinushuri	cinushi
key	cljai
acljamã	acljem
crow	cioarã
coarni	coarnã
bearded	bãrbos
silk	mãtasi
quince	gutunjiu
quince	gutunj
quince	gutunji
fresh	proaspit
-ure	-turã
cowherd	vãcar
cake	afreatsã
turti	turtã
criscutã	criscut
cumãndatã	cumãndu
Christianity	crishtinãtati
Christendom	crishtinami
-ity	-ãtati
Christian	crishtinescu
cripituri	cripiturã
goodness	bunãtati
bad	nibun
scãntealji	scãntealji
scabies	rãnji
scabies	arãnji
mangy	arãnjos
wound	aranã
arãnitã	arãnescu
ntsileaptã	ntsileptu
astimtã	astimtu
zgaibi	zgaibã
acumtinatã	acumtin
cross	crutsi
church	bisearicã
ncurunatã	ncurun
curunatã	curun
cãlcãnji	cãlcãnjiu
heat	cãloari
mountains	muntean
dog	cãni
coal	cãrbunar
cat	cãtushi
cãtushi	cãtush
plum	damaschinã
plum	damaschin
receive	dixescu
order	dimãndari
dispãrtsãtã	dispartu
down	nghios
down	ghios
up	nsus
window	firidã
ncljisã	ncljis
dishcljisã	dishcljis
priest	afendi
master	afendu
parent	pãrinti
pain	dureari
justice	ndriptati
ndriptatã	ndriptedzu
sweet	dultsi
gatekeeper	purtar
Sunday	dumãnicã
always	tutdiunã
always	totãnã
always	tutauna
ten	dzatsi
ndziminatã	ndzeamin
eyebrow	sufrãmtseauã
over	disuprã
over	prisuprã
spinach	spãnac
over	pristi
giurãminti	giurãmintu
giuratã	giurat
dizligatã	dizleg
knee	dzinuclju
mpãratã	mpar
nor	dziniri
fraternize	nfrãtsescu
mplinj	mplin
south	njadzã-dzuã
north	njeadzã-noapti
north	njadzã-noapti
night	noapti
brotherhood	frãtsilji
brotherly	frãtsescu
power	vãrtuti
beechwood	fãdzet
maker	fãcãtor
companion	fãrtat
clot	cljag
curdle	ncljeg
goats	cãpãrleatsã
deer	cãprior
cãprioari	cãprioarã
bandage	fashi
Greek	greacã
Greek	gãrtsescu
Greek	grãtsescu
gãrtsã	gãrcu
number	gricami
Aromanian	gricuman
cadaver	murtãciuni
cadaver	murtutsinã
death	moarti
broom	meturã
nalbi	nalbã
nauã	nãu
news	nãutati
dative	voauã
giunatitsi	giunatic
youth	giuneatsã
young	tinireatsã
February	flivar
food	mirindi
woodcutter	limnar
lay an egg	oauã
sharp	giunglju
Easter	Pashti
flower	floari
flower	floarã
flower	lilici
cowherd	vãcãreasã
cattle	vãcãreatsã
old age	bitãrneatsã
age	mbitãrnescu
old	strãveclju
thing	vicljiturã
old	nvicljescu
pingu	pimtu
servant	shcljau
servant	huzmichear
service	huzmeti
cast	ncãntu
heal	discãntu
bellows	foali
burning	tãciuni
fortress	tsitati
hunger	foami
citadel	grãditã
shoulder	anumir
or	icã
burning	fucos
forest	frãpsinet
dust	pulbiri
cold	aratsi
cold	arcoari
chill	arãtsescu
stench	putoari
lime	tilj
face	nfruntu
leafy	frãndzos
leaf	nfrãndzãscu
book	carti
paper	hãrtii
sheet	acoalã
scholar	cãrturar
pump	nfoljiu
chest	chiptos
vest	chiptar
rabbit	ljepuri
family	fumealji
pacify	mbunedz
minciunoasã	minciunos
straighten	ndriptedz
chisatã	chisedz
civility	uminilji
humanity	uminiri
human	uminescu
humanly	umineashti
freshen	mpruspitedz
kneel	ndzinucljedz
companion	nfãrtedz
old	nvicljedz
old	vicljedz
baptism	pãtigiuni
Epiphany	Pãtigiuni
bad	niom
sparkle	scãntiljedz
pair	mpãricljedz
rains	mplueadzã
rainy	pluios
rainy	pluinã
arichi	aripã
blood	sãndzi
thaw	dizgljets
roast	fripturã
bridle	frãn
bridle	nfãrnu
smoke	fumedz
smoke	afum
smoke	fumig
furculitsi	furculitsã
pitchfork	nfurcu
fork	pirunã
palm	palmã
hilji	hilji
adopted	hiljastru
wife	nveastã
grandfather	ghiush
moashi	moashi
babi	babã
omi	omã
oami	oamã
great-grandfather	strãush
being	hiintsã
little	hiljor
adopt	nhiljedz
living	yeatsã
age	etã
nose	nãreci
nose	nãros
sweat	asudoari
soot	fulidzini
dare	cutedz
yesterday	asearã
evening	nsireadzã
evening	nsiredz
night	nupteadzã
night	nuptedz
rich	avutsãscu
ant	furnicã
ants	furnic
tingling	furnicãturã
oat	uvedz
oat	vromi
impale	ntsap
shiver	hior
flour	fãrinar
flour	nfãrinedz
floury	fãrinos
gãlbinushi	gãlbinush
yellow	ngãlbinescu
galbini	galbinã
jaundice	gãlbinari
well	ghini
greet	ghinuescu
good	bunuescu
giucãtor	giucãtor
toy	giucãreauã
tsirtseali	tsirtsel
tsirtsealji	tsirtselj
diminutive	-eauã
giudicatã	giudicat
njadzã	njedz
middle	nolgic
unyoke	dizgiug
animal	giugãtor
field maple	giugastru
giuntsi	giuncã
whistle	fluearã
ginti	gintã
ghimti	ghimtã
piturniclji	piturniclji
partridge	pirdic
acorn	vãlani
forgiveness	ljirtãciuni
forgiving	ljirtari
ngrãshatã	ngrash
lose weight	dizgrash
lose weight	slãghescu
strong	vãrtos
strong	cadãr
strong	ndrumin
capable	putut
strong	silnãos
coercion	silã
heathendom	pãngãnãtati
cãcatã	cãcat
efforts	sprem
shit	spreamit
grets	greatsã
load	griutati
poison	nvirinedz
tsiritori	tsiritor
behead	gushuescu
bile	heari
tiny	njicuts
shrink	njicuredz
blacksmith	hirãrilji
hen	gãljinar
hen	gãljinushi
greens	veardzã
pie	virdzari
ruminate	aroamig
mixture	amisticãturã
meastitsi	measticã
mix	mintescu
willow	saltsi
scami	scamã
lint	canã
card	scarmin
scratch	scarchin
zmuldzi	zmulgu
milkman	lãptar
milky	lãptos
suckle	alãptedz
milk	lãptuescu
ivy	eadirã
thrush	sturdzu
thrush	strudz
eapi	eapã
sigh	suschir
grass	earbã
grassy	irbos
winter	earnã
irnatã	irnedz
supplies	arnatic
so much	ahãntu
astreatsi	astrec
resin	arushinã
tinder	eascã
turn over	arãstornu
flight	fugã
gadfly	davan
gadfly	tãun
oxfly	streclji
encourage	inimusescu
encourage	mbãrbãtedz
ayiti	ayitã
ayiti	yitsã
vineyard	ayinji
vine	yier
tear	lacrimã
tearful	lãcãrmos
shed tears	lãcãrmedz
black	arãpescu
widen	lãrdzescu
width	lãrdzimi
blackness	lãeatsã
blacken	lãescu
disgust	lãilji
nauseating	gritsos
ncreadi	ncred
lighten	lishuredz
talkative	limbutsescu
ljea	ljau
flax	ljinar
state	duvleti
queen	vãsiloanji
kingdom	vãsilii
emperor	amirã
royal	vãsilchescu
rule	vãsilipsescu
rule	amirãripsescu
rule	dumnescu
empress	amirãroanji
empire	amirãrilji
stãtutã	stãtut
ship	cãravi
catridzi	catrig
ship	ghimii
mast	catargu
boat	varcã
lentils	linti
grey	ncãnutsãscu
grey	cãnutsãscu
unemployment	nilucru
worker	lucrãtor
holiday	sãrbãtoari
celebrate	sãrbedz
celebrate	sãrbãturescu
lumtã	ljuftã
menstruation	lunarili
ray	aradzã
take root	nrãdãtsinedz
