pet	deer
Maastrichtian	lavvabo
Maastrichtian	teleur
Maastrichtian	krissie
ready	veerdeg
right	zjus
Maastrichtian	sjógkel
Maastrichtian	slivveniersbieske
Maastrichtian	rijstartel
lanternlighter	lanteriemenneke
approval	alabonneur
Maastrichtian	bomma
marble	huif
Maastrichtian	impassant
dog	hóndj
Maastricht	preuvenemint
Maastrichtian	sjevraoj
elegant	sjiek
Maastrichtian	ziech sjaggernere
Maastrichtian	naoventrint
so	zoe
mouse	moes
Maastrichtian	noets
Maastrichtian	oets
always	altied
Maastrichtian	sjink
Maastrichtian	sjinkerij
shoemaker	sjoester
our dear Lord	Slivvenier
Maastrichtian	sjotelsplak
Maastrichtian	vermassekrere
Maastrichtian	astrein
Maastrichtian	noondezju
Maastrichtian	kiksjozerij
Maastrichtian	crappuul
native	sjeng
Maastrichtian	noondemieljaar
Maastrichtian	boerum
Maastrichtian	bröl
adverb	biewaord
word	waord
noun	naomswaord
verb	wèrkwaord
English	Ingelsj
Bosnia	Bósnië
Macedonia	Makedonië
Germany	Pruses
sea	zieë
country	landj
rain	raenger
drop	dróppel
size	gruuedje
space	ruumdje
comparative	mieëvórm
dictionary	waorsbook
un-	ón-
sugar	sókker
yes	jao
lay	lègke
vaem	vaam
brother	broor
shoe	sjoon
dragonfly	wientemper
January	jannewarie
February	fibberwarie
moon	maon
Bangladesh	Bangladesj
week	waek
year	jaor
ant	aomezeik
sheep	sjaop
sleep	slaope
have	höbbe
elder	äölentäöl
cut	snieje
Swedish	Zwèdsj
haematology	bloodslieër
cold	kaajd
tunnel	tönnel
syllable	lèttergreep
century	iew
drink	jeppe
drone	dreen
roof	daak
Russian	Rössisj
rain	raengere
boat	boeat
