cloudy	gp
Edom	tꜣ šꜣsw yhwꜣ
Shasu	šꜣsw
Roman emperor	tyts
big	wrr
autocrator	ꜣwtqrtr
Caesar	qysrs
Cleopatra	qrwjwꜣpꜣdrꜣt
rebus principle	𓊗
lay	wꜣḥ
epithet	nb-r-ḏr
nineness	psḏt
we	.wn
we	.nw
we	.wjn
you	.tjwn
you	.tjwnj
they	.y
they	.wy
two	.ty
two	.wj
Two Ladies	nbtj
Tefnut	tfnwt
reed	gꜣš
go	šmj
converse	snbb
stride unimpeded	wsṯn
trample	ptpt
fraternize	snsn
hate	msḏj
sit down	ḥmsj
loudly	nhmhm
endure	nḏdnḏd
broaden	swsḫ
broaden	ssḫ
cool	sqbb
desolate	fk
devastate	sfkk
live	sꜥnḫ
appear	ḫꜥj
travel	ḫpj
lead	sḫpj
verdant	ꜣḫꜣḫ
green	sꜣḫꜣḫ
invert	sḫd
invert	sḫdḫd
weary	bꜣgj
tire	sbꜣgj
draw back	nḫbḫb
draw back	snḫbḫb
cut	nšm
sharpen	snšmšm
epithet	nb-tm
epithet	ḫpr-ḏs.f
empty	šwj
harvest	ꜣzḫ
Tefnut	tfnt
carry	jšš
sunlight	jꜣḫw
earth	gbb
god Set	stẖ
goddess Nephthys	nbt-ḥwt
Khepri	ḫprj
Horus	ḥr-ꜣḫtj
god Ra-Horakhty	rꜥ-ḥr-ꜣḫtj
bring	mz
give	rḏj
arrive	jwj
arrive	jj
magic	ḥkꜣ
high	qꜣj
recite	šdj
perceive	sjꜣ
utterance	ḥw
take away	nḥm
run	pḥrr
content	sḥtp
renew	smꜣwj
believe	nḥtj
give birth	smsj
bless	ḥzj
sing	ḥsj
strong	nḥd
locust	znḥm
white	ḥḏ
break	sḏ
they	ntw
milk	jrṯt
travel	nꜥj
downstream	ḫdj
funerary priest	ḥm-kꜣ
stick	mꜣqꜣrꜣ
firm	rwḏ
libation	zꜣṯ
mourning	jꜣkb
raise	ṯzj
in front	m ḥꜣt
behind	m sꜣ
oil	mrḥt
kingship	nsyt
station	ꜥḥꜥw
work	kꜣt
Saïs	zꜣy
Book of the Dead	rw nw prt m hrw
toe	sꜣḥ
treat	srwḫ
prescription	pẖrt
slaughter	smꜣ
boast	ꜥbꜥb
open	wbꜣ
confide	wbꜣ jb
Retjenu	rṯnw
