water	abba
sister	sorre
nettle	urtiga
grape	achina
face	rostru
watermelon	pateca
big	mannu
war	gherra
hospital	ispidale
rag	istratzu
tear up	istratzare
pollen	galileu
oil	unghere
woman	fémina
oven	furnu
turkey	dindu
food	chiu
five	chimbe
yes	emmo
red	ruju
hearsay	abauditu
irrigatable	abbàbbile
placable	abbaccàbile
lull	abbaccada
placates	abbaccadore
relief	abbaccadura
calm	abbaccare
winter	jerru
pair	joba
slender	nadighipunziudu
swollen	narunfiadu
skin	peddhe
watermelon	patega
holm oak	iliche
window	bentana
bear	ussu
June	làmpadas
between	intre
sister-in-law	connada
want	cherere
eye	oju
peace	pache
tree	carba
prison	prejone
know	ischire
make	fàghere
make	faghidore
talk	faeddada
word	faeddu
quarrel	paraulare
stammering	limbidentu
sweet	dulche
blood	sàmbene
bloodthirsty	sambenariu
Sassarese	tataresu
city	tzitadinu
castle	casteddu
castellan	casteddanu
more	prus
sky	chelu
windy	bentosu
that	cuddu
light	lughe
shining	lughente
eye	lughentes
person	òmine
husband	maridu
bloody	sambenosu
knife	gurteddu
sweet	durche
sweetness	durcura
sugar	tzùcaru
uncle	tziu
aunt	tzia
grandfather	giaju
empty	bòidu
vacancy	vacàntzia
wife	mugere
brother-in-law	connadu
grandmother	giaja
horse	caddu
horse	ebba
language	limbàgiu
steel	atzàrgiu
want	bòlere
price	preju
egg	obu
frutta	fruttu
grappa	filuferru
oven	forru
hunt	cazziàre
wife	muzere
obstinate	ostinadu
foreign	anzenu
foreign	allenu
hundred	chentu
ten	deghe
twelve	dòighi
eleven	ùndighi
thirteen	trèighi
fourteen	batòrdighi
fifteen	bìndighi
sixteen	sèighi
seventeen	deghessete
eighteen	degheoto
nineteen	deghennoe
galena	galansa
also	fintzas
dismiss	cungedare
provided	semper chi
harm	nòghere
harm	noghimentu
action	-mentu
harm	nogumentu
adjustment	adecuamentu
adaptable	adecuàbile
-able	-àbile
anger	tzaca
alfalfa	erbamédica
palate	paladare
world	mundhu
other	àteru
knuckle	nogia
naras	nàrrere
see	bìdere
use	impreare
bull	maglioru
grandfather	jaju
jet	turru
snow	nibe
office	impleu
rabbit	lepere
place	ospile
holly	golosti
hill	mogoro
hornbeam	aurri
maple	costiche
eye	ocru
center	chentru
center	tzentru
city	tzidade
brain	cherbeddu
deer	chervu
search	chircare
fight	chertare
circle	chinghere
hind	cherva
separate	chernere
bedbug	chimighe
candle	chiriu
gum	ghinghiva
frost	ghelu
turn	ghirare
read	leghere
son-in-law	gheneru
twin	ghemeddu
huge	ghigante
your	bostru
their	issoro
nut	nughe
cooking	coghina
beside	bighinu
beside	bichinu
beside	vighinu
beside	vichinu
kill	occhidere
be born	naschere
grow	creschere
know	connoschere
spark	ischintidda
learner	dischente
angel	anghelu
silver	arghentu
foreign	azenu
beautiful	bellu
arm	bratzu
city	chidade
city	chitade
blood	sambine
live	bivere
paint	pinghere
coguinas	coguina
winter	ierru
winter	iernu
winter	ibernu
spring	beranu
autumn	atonnu
freeze	ghelare
this	cussu
prick	punghere
magic	maghia
rule	reghere
milk	mulghere
indulgence	indulghentzia
without	sentza
without	chentza
vinegar	aghedu
vinegar	achetu
vinegar	achedu
cook	coghinare
cook	cochinare
cook	coghere
cook	cochere
win	vinchere
cross	grughe
like	praghere
like	prachere
like	piaghere
like	piachere
face	faghe
go	duchere
go	dughere
holm oak	ilighe
sickle	falche
root	radighe
side	ladus
twist	torchere
cold	frittu
cold	frighidu
red	rubiu
skin	pedde
chest	pettus
piece of clothing	pinnus
head of cattle	pegus
finger	poddiche
finger	poddighe
finger	dighitu
finger	dighidu
scatter	isparghere
cry	pranghere
cry	pianghere
intelligence	intellighentzia
intelligent	intellighente
ash	chisina
food	chibu
belt	chingra
belt	chintorzu
belt	chintoriu
belt	chintura
belt	chintula
chickpea	chigher
chickpea	chighere
chickpea	chicher
chickpea	chichere
name	nomene
groan	ghemere
chalk	ghissu
horse	cabaddu
hook	unchinu
acerbic	acherbu
lie	jachere
lie	jaghere
lie	giaghere
ferment	matriche
ferment	madrighe
bark	cortiche
bark	cortighe
rancid	ranchidu
judge	judiche
judge	judighe
judge	giudighe
guilt	neche
guilt	neghe
medicine	medichina
medicine	medighina
shine	luchere
shine	lughere
incite	inchitare
incite	intzidare
root	radichina
root	radighina
oven	furru
knife	culteddu
son	fizu
fruit	pomu
cherry	cherasa
cherry	cheresia
cherry	cherasia
strawberry	fragula
eat	mandigare
eat	mandicare
legume	legumene
rabbit	cunigru
rabbit	conigliu
meat	petza
mouse	sorighe
mouse	soriche
oil	ozu
grape	aghina
orange	aranza
potato	pomu de terra
sweet potato	patata dulche
pitch	pighe
fry	frighere
thrust	fighere
key	crae
old	seneghe
old	seneche
game	giogu
game	jogu
game	giocu
bright	craru
word	fueddu
fox	mraxani
onion	chepudda
onion	chebudda
fifty	chimbanta
certain	tzertu
quarrel	chertu
bird	achedda
circle	chircru
circle	chircu
cicada	chicala
harm	nochere
fern	filiche
fern	filighe
happy	felighe
happy	felitze
bright	luchidu
bright	lughidu
willow	salighe
sheep	berbeche
sheep	berbeghe
cup	calighe
lime	calchina
deduce	deduchere
deduce	dedughere
furnace	furnache
furnace	furnaghe
furnace	furrache
furnace	furraghe
decent	dechente
decent	deghente
suit	dechere
suit	deghere
tamarisk	tamariche
tamarisk	tamarighe
translate	traduchere
translate	tradughere
predict	predichere
predict	predighere
induce	induchere
induce	indughere
bless	benedichere
bless	benedighere
curse	maledichere
curse	maledighere
sea bream	dentiche
sea bream	dentighe
vinegary	achetumine
vinegary	aghedumine
dedicate	addichere
dedicate	addighere
maid	anchidda
maid	anchilla
convince	convinchere
convince	combinchere
reduce	reduchere
reduce	redughere
reduce	arredughere
produce	produchere
produce	produghere
kindle	inchendere
light	acchendere
find	imbènnere
ravine	péntuma
hen	pudda
source	migia
dill	tzichirìa
heather	ghiddostre
no one	nemos
disheartenment	arremattu
blind	tzurpu
deposit	depòsitu
mixture	mesturitzu
holm oak	èlighe
traveller	biagiadore
common kestrel	futiventu
brain	herveddu
fox	marzane
Zelanda	Noa Zelanda
spell	berbu
kick	carchidare
pumpkin	curcuvica
jack-knife	lesorja
sow	sughe
lentisk	chersa
orange	arrubiu
