dog	犬
dollar	弗
big	弘
이	弛
younger brother	弟
호	弧
weak	弱
돈	弴
strong	强
warp	彆
爆彈	彈
strong	彊
록	彔
comet	彗
collection	彙
form	形
동	彤
彫像	彫
bright	彬
팽	彭
창	彰
shadow	影
조금	彳
duty	役
that	彼
지	彽
go	往
wait	待
law	律
after	後
slow	徐
party	徒
obtain	得
래	徠
어	御
widespread	徧
요	徭
wait for	徯
징	徴
징	徵
benevolence	德
badge	徽
모양	忂
surely	必
grieved	忉
intention	志
busy	忙
delighted	忭
thought	念
뉴	忸
fury	忿
앙	怏
anger	怒
quiet	怗
령	怜
lazy	怠
rapid	急
nature	性
원	怨
니	怩
strange	怪
산	怾
순	恂
fear	恇
련	恋
seemingly	恍
공	恐
항	恒
anger	恚
괄	恝
deep-seated	恨
favor	恩
념	恬
respectful	恭
breath	息
린	悋
against	悖
량	悢
worry	患
busy	悤
리	悧
sad	悲
agony	悶
녁	惄
sentiment	情
람	惏
anxiety	惙
grace	惠
모양	惢
참	惨
idea	想
성	惺
narrow-minded	惼
유	愈
obstinate	愎
fast	愓
satisfied	愜
feeling	感
ashamed	愧
소	愬
peaceful	愷
개	愾
률	慄
delight	慆
자	慈
겸	慊
manner	態
참	慘
custom	慣
wise	慧
려	慮
consolation	慰
습	慴
celebration	慶
루	慺
우	憂
용	憃
련	憐
lean	憑
foolish	憒
돈	憝
longing	憧
stupid	憨
rest	憩
경	憬
law	憲
remember	憶
generous	憻
경	憼
현	懁
peaceful	懕
sorrowful	懣
나	懦
참	懺
fear	懼
련	戀
confusion	戄
수	戍
arms	戎
accomplishment	成
I	我
kill	戕
kin	戚
halberd	戟
시	戠
subjugate	戡
sever	截
륙	戮
戲	戯
fight	戰
play	戱
Hanja	戲
esteem	戴
house	戶
려	戻
려	戾
room	房
place	所
small	扁
점	扂
fan	扇
hand	手
talent	才
hit	打
한	扞
분	扮
handle	扱
비	批
skill	技
cheer	抃
choose	抉
take	把
서	抒
tremble	抖
fight	抗
절	折
throw	抛
발	抜
저	抵
늘이다	抻
압	押
thumb	拇
념	拈
랍	拉
kidnap	拐
거	拒
발	拔
drag	拕
drag	拖
초	招
bow	拜
inclusion	括
wipe	拭
길	拮
help	拯
bow	拱
fist	拳
finger	指
설	挈
안	按
나	挐
도	挑
련	挒
나	挪
bend	挫
tie up	捆
knead	捏
arm	捥
렬	捩
념	捻
sweep	掃
륜	掄
pick up	掇
give	授
gather	掊
palm	掌
排球	排
굴	掘
hang	掛
략	掠
search	探
체	掣
touch	接
공	控
추	推
조	措
게	掲
간	揀
copy	描
삽	插
침	揕
읍	揖
change	換
암	揜
pull out	揠
grasp	握
취	揣
높이	揭
fold	揲
aid	援
beat	搒
tie up	搤
추	搥
dig	搰
rub	摩
pick up	摭
모	摹
throw out	摽
로	撈
scatter	撒
economize	撙
wave	撝
hold	撟
withdraw	撤
발	撥
료	撩
spray	播
take	撮
찬	撰
박	撲
wō	撾
로	擄
select	擇
strike	擊
conduct	操
lift up	擎
환	擐
catch	擒
shouldering	擔
산	擟
람	擥
찰	擦
raise	擧
compare	擬
place	擱
확	擴
롱	攂
spread	攄
려	攊
롱	攏
란	攔
섭	攝
save	攢
련	攣
spread out	攤
람	攬
기	攲
hit	攵
collect	收
examine	攷
悠	攸
reform	改
attack	攻
release	放
politic	政
strong	敃
old	故
effect	效
teach	敎
nimble	敏
save	救
칙	敕
defeat	敗
teach	教
look down on	敡
dare	敢
돈	敦
respect	敬
knock	敲
enemy	敵
선	敾
렴	斂
refined	斌
measure	斗
료	料
aslant	斜
spin	斡
new	新
sever	斷
direction	方
give	施
placename	旀
방	旁
려	旅
revolve	旋
기	旐
류	旒
hanja	旕
flag	旗
early	旦
early	早
ten	旬
brilliance	旭
drought	旱
민	旼
swarm	昆
bright	昉
prosperity	昌
bright	明
dark	昏
석	昔
sun	昜
star	星
project	映
령	昤
spring	春
yesterday	昨
소	昭
this	是
하	昰
time	時
bright	晄
Jinju	晋
evening	晚
daytime	晝
dusk	晡
절	晢
temporary	暫
evening	暮
닐	暱
료	暸
dawn	晨
쉬	晬
fair	晳
clear	晴
지	智
sunstroke	暍
sunlight	暐
hot	暑
darkness	暗
고	暠
shine	曅
력	曆
dawn	曉
향	曏
dim	曖
dawn	曙
dusk	曛
포	曝
extensive	曠
sunlight	曦
롱	曨
라	曪
dry	曬
say	曰
bent	曲
document	書
Cho	曺
change	替
gather	會
possess	有
friend	朋
반	朌
clothes	服
crescent	朏
first	朔
I	朕
랑	朗
desire	望
expect	期
dim	朦
롱	朧
tree	木
not	未
끝	末
root	本
찰	札
kwukyel	朰
naive	朴
궤	机
bowl	杅
pole	杆
trowel	杇
가지	杈
cedar	杉
나무 그루터기	杌
리	李
apricot	杏
material	材
표	杓
bunch	束
배	杯
묘	杳
뉴	杻
pine	松
plank	板
분	枌
arch	枓
림	林
fruit	果
지	枝
평	枰
oar	枻
table	枼
모	某
감	柑
dye	染
유	柔
pine tree	柗
유	柚
작	柞
root	柢
pillar	柱
류	柳
시	柴
fence	柵
investigate	査
구	柾
persimmon	柿
매	栂
회	栃
tag	栍
률	栗
firewood	栝
school	校
stump	株
arch	栱
sandalwood	栴
핵	核
root	根
항	桁
desk	案
mulberry	桑
람	擽
진	桭
정	桯
통	桶
량	梁
Prunus mume	梅
stem	梗
홈통	梘
려	梠
ash tree	梣
배	梨
joist	梲
comb	梳
곤	棍
종려	棕
touch	棖
잔	棧
릉	棱
깃	棲
ridgepole	棼
의자	椅
량	椋
mallet	椎
닻	椗
명	椧
야	椰
linden	椴
모탕	椹
연	椽
버들	楊
maple	楓
long	楕
lush	楙
clear	楚
련	楝
릉	楞
유	楡
미	楣
hardwood	楨
즙	楫
work	業
paper	楮
pole	極
유	榆
비	榌
랑	榔
paper	榖
방	榜
glory	榮
류	榴
build	構
퇴	槌
spear	槍
차	槎
참	槧
무환자나무	槵
량	樑
루	樓
mark	標
추	樞
across	横
견	樫
복	樸
tree	樹
화	樺
coffin	樿
류	橊
bridge	橋
tangerine	橘
등	橙
stake	橛
machine	機
집	橧
across	橫
자	橴
박달나무	橽
강	橿
birch	檀
회	檜
해	檞
check	檢
레몬	檬
레몬	檸
oar	櫓
려	櫚
box	櫝
력	櫟
력	櫪
귀	櫷
란	欄
power	權
wardrobe	欌
엄	欕
람	欖
령	欞
yawn	欠
second	次
cough	欬
정성	欵
sorrowful	欿
envy	歆
sing	歌
sigh	歎
Europe	歐
suck	歙
선	歚
stop	止
here	此
step	步
military	武
步	歩
아	歪
age	歲
go through	歷
알	歹
death	死
잔	殘
die	殞
렴	殮
다	殲
long	殳
step	段
great	殷
voice	殸
shell	殼
not	毋
pierce	毌
mother	母
always	每
comparison	比
help	毗
cunning	毚
hair	毛
ball	毬
담	毯
취	毳
scraggy	毿
foundation	氐
people	民
energy	氣
helium	氦
nitrogen	氮
aura	氳
long	永
spring	氿
shore	汀
집	汁
request	求
물	汊
night	汐
땀	汗
dirty	汚
stream	汜
you	汝
river	江
멱	汨
river	汭
scour	汰
water	汲
decide	決
vast	沆
침	沉
disorderly	沌
sand	沙
river	河
비	沸
oil	油
swamp	沼
물	沿
far	泂
설	泄
spring	泉
stay	泊
