imam	امام
cenote	څونوټ
bad debtor	بدپوری
superpower	زبرځواک
raccoon dog	تانوکی
morning	ګهيځ
endure	زغمل
world	نړۍ
masturbate	موټک وهل
Sumer	سومر
fashionable	ډولي
highlander	غرڅنی
river	سيند
honour	ننګ
country	هېواد
knead	اغږل
beautiful	ښکلی
alive	ژوندی
sweet	خوږ
friend	ملګری
cooking	پخلی
cook	پخول
suitable	وړ
consider	ګڼل
seduce	لېشه کول
science	پوهنه
anthropology	وګړپوهنه
cooked	پخېدل
mill	ژرنده
hope	هيله
king	باچا
husband	مېړۀ
original	آر
garden	بڼ
demonstration	لاريون
snake charmer	پاړو
friend	ملګرې
month	مياشت
resident	اوسېدونکی
resident	اوسېدونکې
justice	نياو
without	بې
view	اند
manul	برغټ
swimming	لامبو
swim	لامبل
firework	اورلوبه
game	لوبه
holy	زبرګ
districts	ولسوالۍ
power	ځواک
gardener	باغوان
last night	برايي
ساوې	سا
restaurant	خوړنځی
son	زوی
heavy	درنه
dance	اتڼ
egg	هګۍ
minute	دقيقه
wrong	ناسم
second time	دويم ځل
next time	بل ځل
human	وګړی
dictionary	وييپانګه
oolong tea	وولونګ چای
Afridi	اپريدی
clan	خېل
Barakzai	بارکزی
wholly	ساپټ
Himalayas	هماليۀ
moveable picture	خوځنده انځور
picture	انځور
bold	جسور
throne	پلاز
capital city	پلازمېنه
Sumer	شومېر
guest	مېلمه
settled	مېشت
rough	ځیږ
long	اوږد
ox	غويی
cowboy	غوبه
critique	نيوکه
giant	دېو
Night hag	خپسه
Africa	جېبوتي
sharp	تېرۀ
end	پای ته رسېدل
result	پايله
traveller	يونی
free	وړيا
Persian	پارسیوان
century	پېړۍ
deep	ژور
hedgehog	جږګی
born	زېږېدل
understand	پوهېدل
mouse	موږک
how many	څومره
east	ختيځ
comb	ږمنځ
sandal	څپلۍ
hungry	وږی
teacher	ښوونکی
drink	څښاک
taste	څکه
perhaps	ښايي
perhaps	کېدې شي
abuse	ښکنځل
elder	سپين ږيری
spark	بڅرکی
sweeper	جاروکښ
mister	ښاغلی
who	څوک
large serpent	ښامار
forest	ځنګل
lung	سږى
dear	ځار
broom	رېبز
nail	مېخ
hair	وېښتان
ram	ګډی
girls	جنکۍ
jujube	مېشکوړ
straw	پروړه
haulm	دروزه
crane	کرکره
pigeon	كوتره
bastard	مټونګى
impala	نرکاشه
egg	ويه
pony	مېړګی
sunset	ماښام
spring	پسرلی
run	منډه
summer	اوړی
jaw	ژامه
chin	زنه
leg	پښه
prayer	نمونځ
possible	شونی
word	ويی
words	وييونه
chinaberry	بکاڼه
day by day	ورځ په ورځ
solar system	لمريز غونډال
celebrate	لمانځل
solar eclipse	لمر تندره
profit	ګټه
puppy	کونګرى
forehead	ټنډه
linguistics	ژبپوهنه
pharmacology	درملپوهنه
geography	ځمکپوهنه
mathematics	شمېرپوهنه
pronunciation	وينګ
continue	پايول
taught	زده
غاړه	غاړی
snow	واورتون
cheek	بغور
mujtahid	مجتهد
economy	وټه
economic	وټه ييز
forgiveness	بښنه
teapot	چاينک
airport	هوايي ډګر
importance	ارزښت
thank you	مننه
subject	انفس
lemon	نيمبو
pharmacy	درملتون
armour	زغره
stubbornness	ځېل
vine	مېلوه
sun	ميېر
tomato	پامدور
tomato	ټماټر
England	انګلستان
police	پوليس
border	پوله
bird	مرغۀ
nation	اولس
intelligent	ځيرک
cell	ژونکه
cell	ژوندينکه
pharynx	کومی
uvula	ژبکۍ
gland	مرغړی
moth	پتنګ
writer	ليکوال
painter	انځورګر
Pashtun	پښتنه
ruler	واکمن
role	رول
wind	سېلۍ
ram	مېجی
hardness	کلکوالى
comparison	پرتله
clay pit	اګل
igloo	ايغلو
Eskimo	اسکيمو
sledgehammer	سټک
hammer	سوټک
hammer	څټک
in	په
in	کې
in	کښې
France	فرانس
forgotten	هېر
rain	شيګره
fish	کب
opium	اپيم
opium	اپين
nail cutter	نوکغوڅی
copy	نسخه
soap	سابون
washed	کنګال
violet	چوڼيا
Parliament	ولسي جرګه
Parliament	مشرانوجرګه
grey	خړ
brown	نسواري
orange	نارنجي
pink	ګلابي
indigo	نيلي
list	نوملړ
nasal letter	ں
necklace	همېل
position	موقف
cat	پيشو
myna	ښارو
meadow	ورشو
culture	کلتور
rug	غالۍ
sheet	څادر
warden	څارونکى
cattle	څاروى
wig	څاوار
starling	څاښکه
slap	څاپېړه
slap	څپېړه
proprietor	مالک
persimmon	املوک
jaggery	ګوړه
settle	مېشتول
stone	کاڼی
naked	لغړ
thorn	ازغی
English	انګرېزي
blind	ړوند
rotten	وروست
feedback	غبرګاوی
purple	کینخي
button	تڼۍ
masturbation	موټک
dude	مړه
dude	مړې
mistake	تېروتنه
medicine	درمل
International Phonetic Alphabet	نړيواله غږيزه ابېڅې
ford	ګودر
mistaken	تېروتل
mist	لړه
zebra	بييی
buffalo	سنډا
buffalo	مېښه
lioness	زمرۍ
calf	سخی
hazel-eyed	شهلا
honey	ګبين
pine tree	نښتر
joker	ټوکي
joke	ټوکه
dwarf	بونا
helper	مرستونی
now	فعلا
siege	محاصره
emoji	اېموجي
handmill	مېچن
wheelbarrow	لاس ګاډی
sheep	پسه
origami	اوريګامي
rice straw	پلاله
rice bran	خمچې
rice	شالي
bay leaf	تماله
rice	وريجې
rice	وريژې
skyscraper	ستورڅک
umami	اومامي
peach	شلتالو
peach	شوتالو
honeyguide	اينو
teepee	تيپي
prediction	مخوېينه
ship	بېړۍ
quinoa	کنوه
pecan	پکان
buttermilk	شوملې
read	لوستل
rhinoceros	ګېنډی
storm	توپان
storm	جکړ
stem	ډانډ
club	دانګ
accept	منل
wise	پوه
how	څنګه
harvest	حاصل
praise	مدح
guard	کشک
battle	محاربه
signature	لاسليک
purslane	تندولی
bandit	ډاکو
tailor	درزي
sheep	پسهٔ
mouth	میاشت
-ness	-توب
expert	-تون
-ment	-تیا
-ness	-ښت
occupant	-وال
big	-والی
-ship	-ي
-ship	-نه
-er	-ونکی
light	سپک
brave	زړهور
hair	وېښته
leave	پرېښودل
reservoir	اود
young	ځلمی
when	کله
slowly	ورو
ripe	پوخ
boy	زڼکی
contraband	قاچاق
border	بچ
village elder	کدخدا
sigh	آه
cap	خولۍ
district	ولسوالي
defender	مدافع
delay	ځنډ
upside down	ناړولی
bring	راوړل
gout	وتل
tire	ستړی کول
blame	غندل
praise	ستايل
vow	لوړل
yak	يهک
motivation	هڅکه
effort	هڅه
jaw	زامبه
soil	خاوره
bison	بيژکۍ
fair	مېله
wool	وړۍ
reservoir	آبخانە
ravine	آبکند
ink	ورېغ
camel	اوښ
iron	وسپنه
bear	يږ
opium poppy	كوكنار
vegetables	سابه
keep	ساتل
buckshot	ساچمه
swindler	سادو
noble	ساوو
وزرونه	وزر
چرګې	چرګه
rooster	چرګ
boy	چوكره
watering	آب پاشِي
fox	لمبړ
bee	مچۍ
walnut	اکوړ
rabbit	سوۍ
ablution	اودس
alley	کوڅه
brick	خښته
carpenter	ترکاڼ
carrot	ګازره
cream	پـېروى
cream	قيماغ
cucumber	بادرنګ
desert	دښت
farmer	بزګر
hill	غونډۍ
dwelling	استوگنه
plum	الوچه
summer pasture	البند
emirate	امارت
necklace	امېل
blending	آمېزش
mango	آنبه
utilization	انتفاع
bale	انډی
mat	انډېری
companion	انډېوال
fence	انگړ
warrior	اوبچي
delinquency	اوبال
otter	اوبسپی
howitzer	اوبوس
saint	اودال
rain	اورښت
flour	اوړه
moon	اوږم
country	اوېجه
mustard	آهوری
century	اهوړ
enemy	بدخواه
villain	بدکار
wine	بډال
victory	براونه
part	برخه
victory	بریالیتوب
lieutenant	بریدمن
riverbed	مجرا
argument	مجادله
needle	ستن
hump	کوب
earth	مځکه
front	محاذ
help	مرسته
reed pipe	مرلۍ
throat	مرۍ
slave	مريه
courage	مړانه
murder	مړکونه
pumpkin	کډو
nomad	کډبه
cabin	کډغالی
family	کډه
gunsight	کراول
family	کډوال
army	لښکر
steppe	ډګر
announcement	اعلان
calming	ډاډ
night	شپه
rebel	سرغاړی
saddle	سرغ
cypress	سروه
viol	سرينده
nostril	سږمه
earthenware pitcher	سړوبی
plowshare	سسپار
coal	سکاره
sack	سکم
mandate	انتداب
olive	ښون
turban	بګړۍ
hostility	عداوت
eggplant	بانجڼ
feather	بڼکه
jirga	جرګه
table	مېز
dale	راغه
bend	پېچ
sumac	ډنبره
ambush	پسونی
ledge	پېزه
dust	مټه
ember	سکروټه
separate	بېل بېل
trough	بېله
seeding	کښت
both	دواړه
claim	ادعا
hut	څپره
spokesman	ویاند
sign	نښه
meeting	ټولنه
clan	پرګه
count	شمېر
